,vsini100,vsini102,vsini104,vsini106,vsini108,vsini110,vsini112,vsini114,vsini116,vsini118,vsini120,vsini122,vsini124,vsini126,vsini128,vsini130,vsini132,vsini134,vsini136,vsini138,vsini140,vsini142,vsini144,vsini146,vsini148,vsini150,vsini152,vsini154,vsini156,vsini158,vsini160,vsini162,vsini164,vsini166,vsini168,vsini170,vsini172,vsini174,vsini176,vsini178,vsini180,vsini182,vsini184,vsini186,vsini188,vsini190,vsini192,vsini194,vsini196,vsini198,vsini200,vsini202,vsini204,vsini206,vsini208,vsini210,vsini212,vsini214,vsini216,vsini218,vsini220,vsini222,vsini224,vsini226,vsini228,vsini230,vsini232,vsini234,vsini236,vsini238,vsini240,vsini242,vsini244,vsini246,vsini248,vsini250,vsini252,vsini254,vsini256,vsini258,vsini260,vsini262,vsini264,vsini266,vsini268,vsini270,vsini272,vsini274,vsini276,vsini278,vsini280,vsini282,vsini284,vsini286,vsini288,vsini290,vsini292,vsini294,vsini296,vsini298,vsini300
T15000logg2.0,285.484211786225,279.08135694128725,271.03996488289516,264.05379057550033,259.18243207667325,253.05692522628544,247.83865742946438,244.30900784417864,239.83218260870396,236.13452956234232,233.7720974942563,230.7067814037776,228.3099390287358,226.95624315736043,225.09293909776656,223.80228437849485,223.3141446500257,222.46799325042286,222.11118766273472,222.3593605604403,222.3671515715196,222.79146104618593,223.65928392427517,224.37651636790622,225.44620964645287,226.8283379378284,228.12681306060557,229.72137512291928,231.52303060252976,233.28938911497224,235.3027482424472,237.43972251723534,239.5749973427802,241.9153159310361,244.31410241389614,246.7331812728888,249.32207689254162,251.91936873080655,254.54999249769122,257.32116140135025,260.0628439894416,262.8440864031379,265.7414874965318,268.5812619552901,271.46161941696704,274.4375587359922,277.33549384487793,280.2711647939425,283.28482037583973,286.2062651733762,289.160059863782,292.1765083353441,295.09143222546754,298.0318909141672,301.0215048778022,303.90422423772475,306.8053873398699,309.7440500019326,312.57359486370257,315.4153741665128,318.2849766017719,321.0456460994636,323.81404700906523,326.60281967171335,329.2845833885864,331.97187835162185,334.67462011988016,337.2732642593103,339.87785694539275,342.4953859204765,345.01186541402205,347.5372906510009,350.0748615474731,352.5138116167701,354.9669163710987,357.4321412619005,359.80009359856535,362.18922900055276,364.59039577815827,366.8944727486158,369.2283100190153,371.57359210113555,373.8209712725268,376.1079701658947,378.40521065602115,380.6029890867468,382.8512122888906,385.1079211781379,387.26310515969624,389.48020876733636,391.70366443291744,393.8232201108415,396.0165226572499,398.2138090161429,400.3046409672323,402.4811060261602,404.65905954536015,406.72792538293174,408.8941093808964,411.0592105810571,413.1125866026294
T15000logg2.2,399.3323480836581,389.04512105342224,376.54722799986735,365.1706108278908,356.7765372112016,346.64055630449803,337.46843019137094,330.75128520275,322.6703241697012,315.4157650678343,310.1738420200748,303.8716657348612,298.2762443743638,294.32381300025247,289.5532748216987,285.38536577001025,282.55273956836714,279.09328713540344,276.1459568779852,274.27881340213634,271.9341142583304,270.0229444754512,268.9814856957523,267.5770855394354,266.53798894874774,266.19573591640716,265.5766859315861,265.263833308445,265.5066431199498,265.536312641069,265.82133720996416,266.5473301820397,267.10653691406793,267.87761907627953,268.9969320741206,269.9826810916534,271.1431407004696,272.57701422672653,273.9005389967271,275.3663766735609,277.0453792765313,278.6294163039355,280.32671122068143,282.1890276583456,283.9654649147508,285.82873304601685,287.819178809126,289.7282233703732,291.7001601566051,293.7700486527597,295.75998726758013,297.79113455442155,299.8981323983636,301.92493641003404,303.9735284444603,306.0816946343696,308.10895161452316,310.1410432700259,312.22112777705087,314.22037953362786,316.21026171664334,318.2401862140688,320.1910256893905,322.12129434172516,324.08639923116937,325.9763575135713,327.8380148447924,329.73124096084064,331.5557006756539,333.34784846366836,335.16924243796524,336.9305688708798,338.658749300304,340.4137467285397,342.119163253009,343.79245432551556,345.4892202127486,347.1480941486889,348.77632833673846,350.42357128737905,352.04554856905696,353.637962473925,355.24398038691373,356.8381227755206,358.40301539101284,359.97551794995013,361.5499929717644,363.0947887880127,364.6409354386712,366.20297957871327,367.7343734547304,369.2608511279891,370.816963045401,372.34119413713057,373.8543955908083,375.41063721587557,376.9337438248514,378.43996195783075,380.00221393613083,381.53023320215914,383.03575414272115
T15000logg2.4,389.14005352424863,379.83314226400546,368.41567139458226,358.0654290080403,350.4860185690364,341.22459329528544,332.8906896012709,326.84704245283785,319.4689972885643,312.89535632678053,308.20685464876647,302.46549340552747,297.4200170995028,293.918936473213,289.5924780653678,285.8658110053492,283.3976437785809,280.28706916953945,277.6909256604571,276.11418044262996,274.04131863838103,272.40698060952116,271.5928523091495,270.39846930841594,269.57509841191427,269.4069040145953,268.94883316328077,268.8020255481789,269.17457452079043,269.32654115295736,269.73735588749304,270.5566064233574,271.20740239618317,272.07147147099215,273.25404597787053,274.3064852488668,275.5326623736372,277.00486873092575,278.37430690008125,279.8828338583086,281.5793376689425,283.1917770328163,284.9122969698591,286.7747473706861,288.56507226812215,290.43538716858757,292.41170009814243,294.3228693847477,296.2886303118798,298.33294809923564,300.3158115857094,302.33043290094923,304.4031296521877,306.41607488084236,308.4404644987275,310.50815650170944,312.51699824312516,314.5197077772641,316.555525911368,318.5337707362512,320.49133666386683,322.47532469979467,324.4042571444447,326.3011694424555,328.22038811945674,330.0888081499205,331.91730011571985,333.7656705412788,335.5694951028635,337.32894091195806,339.1065901196031,340.8478919186015,342.54323051522044,344.25496278274113,345.94014460229056,347.5796106122332,349.2328664254297,350.8705259248692,352.46338730462753,354.0663934429018,355.66566186612914,357.22092068114665,358.7817654409736,360.3514527889508,361.8774242824018,363.40379324999583,364.952014217119,366.4562774354383,367.9554156444871,369.4895139848463,370.9790516030359,372.45783173600057,373.98455484236604,375.4659273205482,376.9309449085614,378.45657396598546,379.93602950209413,381.3936504314767,382.92411457049764,384.4076501607289,385.8640342683003
T15000logg2.6,310.469050356382,303.4734621787967,294.7638937405692,287.02770315923715,281.49570325726796,274.6128836235966,268.58020696648435,264.34759402768657,259.05813367962827,254.51007473541682,251.42216591428695,247.51477229574658,244.2526638443699,242.16560079870717,239.45015272841425,237.29474967690618,236.07597469987286,234.38170031837066,233.17157178491664,232.6994900827542,231.87316632613584,231.46327734099737,231.62691685941195,231.5312882461268,231.79181096148665,232.49051424767066,233.00303363233235,233.8182721717314,234.96128779821737,235.97302721225574,237.24047613209208,238.7465320425166,240.16141744763635,241.7910653364458,243.5880378668254,245.32227411166025,247.2357823229883,249.26017916779483,251.24111749477453,253.37023896125214,255.56604572670588,257.7304976514256,260.01554950136654,262.3331814827782,264.62604888303673,267.0147163959729,269.4102955920053,271.78374160380787,274.23068459443925,276.66581286594067,279.0788036962855,281.5453209382528,283.9870245318274,286.4050949296997,288.8590130441129,291.27967912226364,293.6747206877866,296.0903500198791,298.4679680227226,300.8184361077553,303.176917897867,305.4953948342923,307.7863419906255,310.0756105728331,312.3248203586623,314.547783420533,316.7623607739497,318.93793301905225,321.09043470425445,323.23056461679437,325.3330124528522,327.41742874659724,329.4875509168737,331.52088705614335,333.5428738406182,335.549823355787,337.52002146157434,339.48698155033617,341.438538142319,343.35238005827887,345.2723047333488,347.17628859086835,349.040693222472,350.9215253287023,352.78547753350836,354.6073148107273,356.4566875939134,358.2878561607434,360.07391275325654,361.89906356673305,363.70439868482083,365.4613426706384,367.26909359803494,369.0552780844795,370.78964872097,372.5864720612444,374.35995189632683,376.0781371564334,377.8701296312793,379.6370018312801,381.345101617667
T15000logg2.8,330.07175701414366,322.9939605087571,314.1546629481982,306.29197688424193,300.64452721995946,293.60170314899176,287.4114102154701,283.0374425034942,277.56451722715633,272.8350657588075,269.586371213915,265.4775504386075,262.01633515636524,259.75457246591657,256.82376621280423,254.4560459649999,253.05286464674862,251.13221888918824,249.70010305343183,249.03716678716214,247.9760923100411,247.33762264900096,247.3065214834476,246.97040821309014,246.99851925592148,247.50063390991122,247.76963013448784,248.35108127912508,249.29729258540738,250.06504151802514,251.09948461186835,252.40995232045287,253.58273814339427,254.98204795846243,256.58593912669727,258.08185472417074,259.7691195212199,261.60396794695185,263.3517924350155,265.25993631367953,267.27059625612515,269.2082457608815,271.27838930096044,273.41594670532805,275.4890762157134,277.6695818644552,279.8907288048207,282.0519890221154,284.29790983343537,286.5646462466354,288.7732519386007,291.0461107509674,293.32567335390394,295.5471710618217,297.81488944035755,300.0798664591787,302.2862327570714,304.52334194203183,306.75194422367616,308.9217100508994,311.1095502554711,313.2859149253013,315.4043141244906,317.53110659428467,319.64533346956017,321.7040690976926,323.76440397705903,325.8120857781463,327.80861858633773,329.80247494389914,331.7838270870205,333.72025122486264,335.6516005687563,337.57018883863316,339.4517880050011,341.32696507677525,343.18831908951796,345.0220919331393,346.848392225626,348.6589020450126,350.4524173219242,352.2372428945473,354.0035241592591,355.7643141744678,357.5148391151539,359.2434678372628,360.97874116104435,362.7018268004334,364.3993084718183,366.1159085354218,367.818218157148,369.4910155443197,371.1955046797094,372.8835564202557,374.53808966502913,376.23675426343874,377.91683937163157,379.55937594251145,381.25809173143114,382.9361206871626,384.57261022818045
T15000logg3.0,289.2258549902773,283.9062475504319,277.2924384084214,271.474111810683,267.35091232608016,262.23445410126334,257.8107628091427,254.75501331441114,250.94840560261176,247.74419660257138,245.63313699258785,242.96487546430635,240.81949561936372,239.53771847061466,237.8516449047656,236.61857131002736,236.05840045492855,235.21277906457732,234.75874535795714,234.8202543146191,234.68721617370358,234.89184689065218,235.4828937000971,235.9476873323332,236.70269010328803,237.73893915514273,238.69930472424966,239.9081173578123,241.3130692942865,242.6783218038076,244.25507557401403,245.95978423006164,247.6498165199163,249.5187701486137,251.46173435295538,253.40636629549454,255.50118848673898,257.627927143181,259.7659403929143,262.02853757578794,264.29079486952696,266.5686953592586,268.9480898950184,271.3030726466849,273.6741206950354,276.1256823320141,278.5355825317899,280.9591886259109,283.44424585465526,285.8760493603679,288.31742061743256,290.803128739785,293.22862536430864,295.6587110474551,298.11806379702034,300.51391391436044,302.9093734332298,305.32124009740585,307.6691869107499,310.0125598412281,312.3619755593175,314.64908928574056,316.9288489559865,319.20685680480557,321.4254527896831,323.63573907854885,325.838967564697,327.9861612828821,330.1260615159236,332.2556824025904,334.33249691368593,336.4050121424941,338.4655444736419,340.4758373273037,342.48667969289966,344.4846747823463,346.4340672133164,348.39043798297524,350.3333461418384,352.22829217887767,354.13793681525976,356.0333606670237,357.8805733507204,359.75121727568313,361.6065706012104,363.41276870554884,365.25183961478035,367.07427362911517,368.8461117481336,370.6607338403573,372.4571969256933,374.20126931921277,375.99823094372596,377.7753949442422,379.49813115798173,381.2838046505866,383.04797840686024,384.75553438671756,386.5357533234199,388.2926854745297,389.9907350966056
T16000logg2.0,322.5730875050169,316.6724842418112,309.28925956859763,302.92912565986967,298.5094972356534,292.99259515695525,288.3415674452108,285.2151659641368,281.2990057443866,278.1129676525642,276.1081505381982,273.5577222774028,271.620843542423,270.58294650126294,269.19142312820156,268.3135190491894,268.1038764574849,267.68910624054354,267.7024413663489,268.1966804153095,268.5979248018979,269.3541465511843,270.44036324481124,271.51530071879154,272.8826450193672,274.45978929405794,276.0821500207204,277.94367359328555,279.92076124757,281.9790645913157,284.2319439399875,286.52802609402926,288.9252297964075,291.48077848150524,294.02531837563464,296.6786829847498,299.4619467122164,302.1946461416471,305.0350770050409,307.98394982553003,310.8542266272347,313.82501734834085,316.8885521610676,319.8541542685436,322.9089443824219,326.045123974332,329.07037807691114,332.170924680855,335.34427826128086,338.39829322722244,341.51239051437636,344.6922379285649,347.74775159291585,350.84790848227664,354.0074775868627,357.0404028446368,360.10337074398745,363.219979032629,366.20977792366085,369.2170172197367,372.272786840757,375.2031843705713,378.1413531605321,381.1238734140997,383.9835626618295,386.8450516278156,389.7480758844211,392.53130437822836,395.3145130330673,398.13778725424805,400.8440679329338,403.5525024540009,406.3003849979806,408.9332347416028,411.5736624000503,414.25308781541696,416.81831410002417,419.39896187612305,422.01784664634556,424.5222587206206,427.0516613816244,429.6179844496121,432.06868881293417,434.5551435920752,437.0766360227503,439.4807770362891,441.9321297301835,444.4161214167382,446.7806891527488,449.20421221385277,451.65758824306,453.9893367033187,456.39176387754014,458.8209837806793,461.1263769068489,463.51390846731306,465.9249666582657,468.2101170721395,470.58838847851473,472.98676151343574,475.2573435835434
T16000logg2.2,311.0105489030274,302.96506762303227,293.077805214543,284.3030391041782,277.94557505783587,270.18397671604805,263.36801490768124,258.49619949737394,252.57338342398177,247.45022791030675,243.87677328586656,239.5364002406206,235.86878603166164,233.42320220811928,230.4379332793332,228.01503418904153,226.5430379240443,224.71112014729343,223.345738682571,222.70805747346648,221.8504893588539,221.3763557524493,221.44729617271224,221.40487791501823,221.67387039595002,222.33972759692696,222.97058822471345,223.8508727702134,225.0091408982213,226.1876309213404,227.56302980562484,229.12243109653994,230.73867082061028,232.50842802319207,234.38913360131627,236.3485431586128,238.42647998507655,240.55948204474902,242.78135225891123,245.09387232715858,247.41959615506693,249.83500201149485,252.31899234184272,254.78571346347866,257.3355389137035,259.9364211297571,262.4987157793971,265.1320384805888,267.8025222129111,270.42041224085057,273.0937082260099,275.793040045678,278.43146841112326,281.1077932796043,283.8011712430174,286.42980467215534,289.07866160897174,291.73757835787853,294.3313195003819,296.92906959448686,299.53190350260775,302.07160496038495,304.6017970537193,307.13426304251766,309.6072765068704,312.060765555942,314.51610701174366,316.91642669263126,319.29121946493257,321.66959954659023,323.9971594348576,326.29710374706735,328.6036409750277,330.8625241696575,333.09506012052873,335.3373460140149,337.53371749588655,339.7076747174724,341.8938363121516,344.0344363787491,346.1587107263538,348.29660907139186,350.3882446272236,352.4713452769265,354.5684269164135,356.6178616576567,358.6676945105319,360.73098531436307,362.74486276307493,364.7687226444194,366.80485110219047,368.7896188237287,370.79427496375865,372.8095762583632,374.7715368882756,376.7634069741474,378.76407096807156,380.709480100231,382.69473585747534,384.6868490486103,386.6219052685101
T16000logg2.4,353.7633589906551,344.61033230490665,333.3807915138052,323.2924941196843,315.8921805474613,306.8794851250876,298.8401662143252,292.99164882780127,285.90734380248927,279.6491718501546,275.16501042791776,269.7494309654887,265.03152830066887,261.7395938059316,257.7606314358146,254.36752067547783,252.1109971694573,249.36145654689537,247.10064833055498,245.7370442191391,244.03205927501114,242.73172286496154,242.13177481584788,241.30640248224043,240.81309926321356,240.85963078913628,240.7667867003052,240.94395095992144,241.53125520487362,242.04070975313635,242.767798447475,243.80148512883514,244.79907559888838,245.97095815081946,247.3678543639822,248.75474961288683,250.28063179730879,251.9680241257066,253.6591235041715,255.4605244660173,257.3746735317802,259.29640397141856,261.30481056751364,263.3892410310724,265.4774561938273,267.6326947689628,269.8370758756478,272.03598844999163,274.28546305492387,276.5650853535278,278.8267200922127,281.1249880386061,283.44056918152927,285.72435751411615,288.03289614212457,290.3506097880404,292.6232530802317,294.9106483141257,297.20254319390074,299.4383442474137,301.6808057167582,303.9255161148976,306.1065877154107,308.2883329002398,310.4716466066043,312.5878474489738,314.7010895356867,316.81602721116707,318.864482185388,320.9086457377548,322.95469485289925,324.9384043867626,326.91821557085984,328.8995240017129,330.8251937586907,332.74810886880323,334.6712008271305,336.54700838590213,338.4211067089782,340.2931530572392,342.1273766577099,343.96042397355285,345.7885301187643,347.58908491626687,349.3883657391104,351.17942503588927,352.95364405086633,354.7259088858904,356.4865350456427,358.24112193137347,359.99268631560653,361.7292297861106,363.47041590124593,365.20733030431785,366.9259686610282,368.65971043837277,370.38789050400555,372.09471772679444,373.8268310755135,375.5521690652934,377.25324689592617
T16000logg2.6,387.98658914702474,378.54569913948365,367.0100569224599,356.57409676029556,348.8591819258574,339.5036802650684,331.0904992703718,324.91044003655975,317.4596197942768,310.81224939253195,305.98728572806357,300.1913505310464,295.07686670351575,291.4405412524773,287.07454220882374,283.2831639436874,280.6826592303747,277.5444556637074,274.88761132275437,273.18320487514325,271.0916090304492,269.40033742269867,268.46480430089423,267.25772884788296,266.38090705611074,266.09876774342484,265.6316006602611,265.4346120704927,265.7015675191145,265.84613688994006,266.2099900480438,266.93275340718924,267.57654498894715,268.3971383443277,269.49313415109486,270.5382454579374,271.7250392758454,273.121568082311,274.4831556386914,275.9573352839153,277.5902308545266,279.1944445235191,280.8867394850498,282.6988198906034,284.4808494146469,286.3300182813692,288.27003712922306,290.17315244976044,292.125498999607,294.1478931509366,296.12323743078684,298.1324910535164,300.19736768822685,302.2037207893588,304.230830953363,306.3039968249264,308.307678604284,310.3209942666171,312.37434829910757,314.3494717349398,316.32516874272164,318.3373335468355,320.2659898717493,322.188354114451,324.14514362410466,326.0171405900461,327.8783277501258,329.77263702161974,331.58481436645445,333.38395548438035,335.2149548231609,336.9698498977791,338.71121759117534,340.4826622316759,342.18645403684513,343.8771552647469,345.59534065451237,347.25586012014344,348.90382827154565,350.57587037217144,352.2011488242776,353.8140498981451,355.44705344639925,357.04473532844924,358.6296947773181,360.2305184013236,361.8076390620961,363.37124158494623,364.946451297787,366.5094542551302,368.05784942993824,369.6137138456374,371.1685700166985,372.70761673684046,374.25019291636994,375.8026046455391,377.3380236207747,378.87326947539714,380.42878741971924,381.96623334962015,383.5000381827728
