,vsini100,vsini102,vsini104,vsini106,vsini108,vsini110,vsini112,vsini114,vsini116,vsini118,vsini120,vsini122,vsini124,vsini126,vsini128,vsini130,vsini132,vsini134,vsini136,vsini138,vsini140,vsini142,vsini144,vsini146,vsini148,vsini150,vsini152,vsini154,vsini156,vsini158,vsini160,vsini162,vsini164,vsini166,vsini168,vsini170,vsini172,vsini174,vsini176,vsini178,vsini180,vsini182,vsini184,vsini186,vsini188,vsini190,vsini192,vsini194,vsini196,vsini198,vsini200,vsini202,vsini204,vsini206,vsini208,vsini210,vsini212,vsini214,vsini216,vsini218,vsini220,vsini222,vsini224,vsini226,vsini228,vsini230,vsini232,vsini234,vsini236,vsini238,vsini240,vsini242,vsini244,vsini246,vsini248,vsini250,vsini252,vsini254,vsini256,vsini258,vsini260,vsini262,vsini264,vsini266,vsini268,vsini270,vsini272,vsini274,vsini276,vsini278,vsini280,vsini282,vsini284,vsini286,vsini288,vsini290,vsini292,vsini294,vsini296,vsini298,vsini300
T15000logg2.0,22.44710432419825,21.633079967414268,20.656318732216914,19.722840519396048,18.99231603655257,18.122958676146183,17.29207985792731,16.63846793132692,15.866498508301225,15.128804903240708,14.545880525426622,13.862207419066637,13.209097449720824,12.691013888725724,12.087359932732554,11.510955743108635,11.052235429447782,10.521049804980349,10.014151153706178,9.609692484324547,9.144106577735991,8.700155949055718,8.34523922379457,7.939014771412907,7.5520503077929755,7.242331092032029,6.88980539393943,6.554435206773373,6.2859453397986185,5.982026839791776,5.693432609830307,5.462598457242993,5.202750896501097,4.956637842011814,4.76025406637464,4.540410905616128,4.332945045163097,4.16813586624914,3.9846627590213184,3.8124340854584093,3.676623533096544,3.5262742836650096,3.386234642391668,3.2770948260011363,3.15695036661186,3.0463352433869306,2.9617221451625078,2.8691234328465787,2.7853825834637402,2.7232822062648157,2.655772248699645,2.5964991753552353,2.554975560986492,2.510224410166236,2.4730965049960196,2.4502533453155277,2.4260042957001917,2.408744491239476,2.4027027576985733,2.396747628624318,2.3971284605486067,2.4060361316612076,2.4162276268874052,2.4320982173023333,2.4541568316019937,2.478457104993236,2.5078023107617735,2.5413157835053273,2.5778609050295196,2.6188491515117622,2.662261052330476,2.709367953302779,2.76032843223575,2.8122071563395306,2.868320830112322,2.9276938265920087,2.9866961564082595,3.050333504146299,3.116626646702866,3.181466877707767,3.2511784535906916,3.3229487797693915,3.3923936590977535,3.466781012664204,3.542684766723422,3.6155986347638205,3.693378755710313,3.7722336574109905,3.847626297096666,3.927688828346238,4.008511484670869,4.085559493982665,4.166986355970514,4.248977760280209,4.3270019937925905,4.409035857291092,4.4915257645593325,4.569945515265813,4.651945937255133,4.734347872377186,4.812645208867116
T15000logg2.2,31.46983893116074,30.47879404210955,29.274528991553193,28.127090196708686,27.2300960614004,26.15022644770492,25.120697506216523,24.311046177023282,23.344570657987354,22.42271429806181,21.693870272372884,20.830604939716622,20.00688458681867,19.352559788761617,18.583080989686856,17.84865371770469,17.26286178853296,16.57852436220488,15.925277620955233,15.402402956291521,14.795334804282257,14.215836811247861,13.750631930713078,13.213625457776343,12.701060498105392,12.288632764541433,11.815124199391708,11.363320637115207,10.999188183160133,10.583326041705972,10.186808951899778,9.866959310453304,9.503585009336271,9.157513356876983,8.878372260263209,8.562861647893572,8.262870966471642,8.02118918153234,7.749322371495305,7.491426925443926,7.284201517094794,7.0520956904485335,6.832606018090383,6.657014658944392,6.461062122144923,6.2765348034361175,6.1299016976531755,5.966768821640065,5.814002367549695,5.693799992608912,5.560426843252601,5.436451112635,5.340296749919489,5.233848018579096,5.135867349465943,5.061487665494132,4.979277993255338,4.904613695317343,4.849807991665047,4.7892539398780505,4.735323059684633,4.697951719299356,4.656559054342035,4.620875899943877,4.598868691495712,4.574254739696747,4.554469721265735,4.545859794960054,4.535797600604511,4.529732911073265,4.532685606178184,4.535123029431728,4.540778454114313,4.553595378226809,4.566639668525034,4.582156833451284,4.603246339350472,4.62511239349607,4.6487307911765,4.676580875779445,4.705561841079934,4.735616321238652,4.768802801953869,4.803290191641987,4.8382501501400865,4.875473872698605,4.914005642535521,4.95252175246387,4.992642694471427,5.03393842762205,5.0748673492123935,5.116922182258134,5.15991231157722,5.202328867533953,5.2455361506961875,5.289367321696228,5.332545631494711,5.376283334106649,5.420288277696002,5.463643914566667,5.507395486190077
T15000logg2.4,30.023368305320826,29.087654145864335,27.95575433461047,26.874190460198836,26.027008363787623,25.011487042264076,24.0406665197613,23.27579209749736,22.366535017865377,21.496996413316932,20.80836352512019,19.995999804339057,19.218927023480088,18.600701890725784,17.87655278834806,17.183754167222045,16.630376368375973,15.98645861054229,15.370394965786025,14.876633152481746,14.305622850324319,13.75935098408544,13.320295493051619,12.815460482497079,12.332595766015412,11.94366292139856,11.498865672308101,11.07361962163061,10.730606978013157,10.34035759373301,9.96758119035165,9.666713902860012,9.32615320780488,9.001275902230558,8.739172717221699,8.443929843699848,8.162812941432358,7.93637993731987,7.682454862878858,7.441302258316041,7.247663855324013,7.031376405273096,6.826670580865328,6.663119895260889,6.481055520482819,6.309515402357535,6.17348609612314,6.022490045813795,5.881068661923104,5.7701376617145925,5.647308059503925,5.533162634867611,5.445035802450775,5.347664713845125,5.2581115459831205,5.190596666880482,5.116111472709275,5.048576192366491,4.999552747720696,4.945475190169761,4.897475290067751,4.864885243087693,4.828826162529843,4.797984789123073,4.779848762835814,4.759537894307057,4.743618330710816,4.738063741262448,4.731378508161952,4.728298830052657,4.7335691129587545,4.7385340621972345,4.7463583444321555,4.760808891903132,4.775584940765105,4.792510316688907,4.814597689828922,4.837452946945355,4.8617741116541415,4.890033380978585,4.919316917389597,4.949424991691742,4.9824805221890465,5.016646891156469,5.051076985755696,5.08768562795174,5.125342589079308,5.162816323210017,5.201898325195075,5.241839820144279,5.281284828686033,5.321935313398353,5.363157026041929,5.403704378604355,5.445187274436605,5.486884888547109,5.527852136877478,5.569580003014387,5.611126495881022,5.6519651172351635,5.693450990177834
T15000logg2.6,24.99580894462522,24.179224221539485,23.19222041274763,22.25010046322461,21.512742488487113,20.629411191177944,19.78604391160327,19.122271198890612,18.33356259477795,17.580478448039937,16.98483607381473,16.28241385016861,15.611770400696951,15.079045596041714,14.455245183899583,13.859781039179117,13.385017565873971,12.832755829672061,12.305739673407926,11.88424375168303,11.396991707891958,10.93221577700443,10.559578961481122,10.13134350057882,9.723114398991845,9.395238098161027,9.020561448833478,8.663712441478102,8.3768357207373,8.05079828799445,7.740700857405218,7.491427256974482,7.209654939176881,6.9421962126790895,6.727482509619751,6.486040427165579,6.257499951797562,6.074568678089235,5.869863972625912,5.676843595170618,5.52312562591218,5.351866695592587,5.191233410016806,5.064324145323996,4.923473439768428,4.792319797332741,4.689947605067543,4.576706651231475,4.472329203135821,4.3923444382349945,4.304127401356742,4.223989945709816,4.164340508726552,4.098716748858742,4.040401976011986,3.9991076091896707,3.9537588570886646,3.914940590826544,3.8900772346585044,3.8627558636058716,3.8411785154822757,3.830870080249933,3.8194092395639885,3.8129168134196156,3.8153608882193173,3.8177039995797033,3.82426658292343,3.8377554712386486,3.8519812756521548,3.8697107369270665,3.892644539506723,3.916965521393054,3.944104010483218,3.974981949507554,4.007726421774056,4.042625695432219,4.080030874866404,4.119612968955197,4.160703973095602,4.203285315672641,4.248183966442845,4.293984418031076,4.340473457245464,4.38926451093797,4.438428080910534,4.4876814081689975,4.539087800380687,4.59045196985143,4.641488081179091,4.694418650110048,4.747024168496832,4.799033159021161,4.852595355015404,4.905682383248541,4.958017807545174,5.0115104057608235,5.06448319895264,5.116625852161242,5.169493270559821,5.221858090001407,5.273366807875467
T15000logg2.8,26.02895791454801,25.1988062286694,24.195704270899014,23.23743089145581,22.48676321345529,21.587838522676826,20.728792985754353,20.05202268480175,19.248249336593425,18.480014684641368,17.8717489035339,17.154833676372817,16.469617656393552,15.92469992325069,15.286999081833628,14.677563025776005,14.19106892422108,13.62550500327983,13.085126017916258,12.652377623821002,12.152417699476413,11.674877438045083,11.29146542646801,10.851087437530014,10.430661309869267,10.09246723050062,9.706173555951992,9.33766244483485,9.040905785028347,8.703761204449815,8.382526046129724,8.123802862834397,7.831412778112705,7.5533126448471695,7.329560598332616,7.077971318342573,6.839279672261756,6.647716973125647,6.433344579371193,6.2306716172418275,6.068737631407379,5.888304824270313,5.7185319706917195,5.583835426681533,5.434324647734417,5.294560578537161,5.1848473942522535,5.063466073171826,4.951007077804755,4.864128674752702,4.768271600704642,4.680555796616933,4.614441267295569,4.541642358489254,4.476213443090632,4.428849557936527,4.37673792125934,4.331214572972912,4.300632216778146,4.2669145792764205,4.238999616379816,4.223288448584393,4.205764226100263,4.193272443913684,4.190605290831225,4.1871965703825,4.188077774369769,4.196728700390473,4.205494042273468,4.2178364431118,4.23618469215006,4.255312471144705,4.277331172028349,4.303849966669888,4.331634767086428,4.36163704991339,4.3948679499508225,4.4296664784743465,4.466021449912206,4.504557561091879,4.544787892545459,4.585949206609224,4.628463977919267,4.672642995613972,4.717204688517638,4.762503033863315,4.809305187543417,4.8560618220700045,4.903126555072443,4.951434505252277,4.999411005630832,5.047419636758775,5.096334725985901,5.1447701608360825,5.193074598629594,5.241898515790574,5.29020027458208,5.338283027023555,5.386464267048311,5.434141458806494,5.481563626601112
T15000logg3.0,21.770637248588407,21.06490903178421,20.212921507971004,19.39908041256271,18.76158328418584,17.999027577177966,17.270498860370495,16.6966449153992,16.016017576147963,15.365786622188315,14.85110563048583,14.245466803130682,13.66699942340086,13.20718503482553,12.670101869704446,12.157297463049968,11.748210420798433,11.273695440439027,10.820845945021771,10.458520894464174,10.040992077641569,9.642772354687537,9.323439520938143,8.957719061830593,8.60920304914522,8.329321541930742,8.010662385335412,7.707353741330264,7.463654117139102,7.187770972277471,6.925640291950848,6.715163582635411,6.478234634407547,6.253676035401055,6.073748338127432,5.872323001504054,5.682075254656295,5.530254773524128,5.3612007978964655,5.202295711483921,5.076331708750769,4.936783859664952,4.806495426245403,4.704291823225253,4.591625562417792,4.487439170311469,4.407029614699956,4.318817793534439,4.238377819231558,4.177887097908835,4.1118581798345435,4.052933136716977,4.010556012964585,3.9645636570765923,3.9250154692979904,3.898998288736443,3.8709707274737006,3.848718313050431,3.8373391311664538,3.825264642702739,3.8182951851538416,3.8198784031189805,3.8218259754482675,3.8282232175561823,3.841164169122126,3.855309123477916,3.873268022056254,3.896043631512521,3.9206648584138915,3.9484865037071852,3.9796517857640485,4.013125556022885,4.049201913402546,4.0873774940675425,4.128156441049891,4.1709486605434325,4.214805602482945,4.26139554992996,4.309417012540201,4.357668365627214,4.4086259981249505,4.460462006857048,4.5118886129530456,4.565860592419321,4.620226274862365,4.673730762499386,4.7295147266153705,4.78531395555349,4.83996563204831,4.896551390075768,4.952898656215259,5.007944437020912,5.064523565436406,5.120730853189227,5.175579377791771,5.231527721232371,5.287063086726123,5.341245892957063,5.396077695937311,5.450511380502754,5.503640847877774
T16000logg2.0,21.439713596951783,20.666896271197043,19.71577308568768,18.820030012517957,18.127398217609684,17.28277174212122,16.48708005648856,15.868295664530027,15.120030965685789,14.41509612100355,13.8641913163921,13.203136964557288,12.5805021855887,12.091878944988249,11.50973549376562,10.961659182908962,10.530050883572528,10.019244313364592,9.538639354256174,9.159114114702467,8.712798436946724,8.293246833869986,7.961255346604178,7.573250849101051,7.208939130122554,6.920300978595932,6.585023416611131,6.270707079777301,6.0216106760910755,5.734048168348257,5.465037086429586,5.2520480322532315,5.007713712958458,4.779820133302513,4.599858163035584,4.3947454680452065,4.204259272645431,4.054586722179374,3.8851374103414127,3.7287877097416806,3.606977353600563,3.470050437218175,3.3449566881095363,3.2488512651642374,3.141657731514604,3.045242571963061,2.9728825685343376,2.892911315979962,2.8228153836137664,2.7723708075379347,2.7173071024641597,2.6713007236967186,2.6410065179115985,2.608650260079426,2.5845721872741128,2.572690460597499,2.560904039597493,2.5566187740434008,2.561410221530556,2.5680647626485027,2.5814435522631065,2.601159268607092,2.6241596602788952,2.6531280856032877,2.6860517966464226,2.7234166068379517,2.766041090562036,2.81055985153111,2.860501089935258,2.915045761230246,2.969697186750132,3.0306353894063918,3.0955491380822493,3.1590142158134356,3.2295199169465403,3.303369512692223,3.3744217806092216,3.4531227051438127,3.5345192261835527,3.611969968071052,3.6974958473736725,3.78506886272092,3.8677530678542467,3.9587494529870693,4.051190331043884,4.138005971180003,4.233201200272598,4.32933126987363,4.419293205822586,4.517567007585457,4.616386576756232,4.708656622742943,4.8090636559084015,4.909736647571141,5.003604843696605,5.1053414880913195,5.207148900386847,5.301995457018473,5.4043604882167235,5.506657100389923,5.601917346698454
T16000logg2.2,25.96068573743746,25.09902654002069,23.989600906256815,22.965487053061842,22.187905565571466,21.197630626408262,20.28263114565563,19.583013585479417,18.70098384723849,17.88535945327049,17.257812435440112,16.474020046076138,15.748783684416935,15.187676529823074,14.492931935122241,13.849780954295698,13.349754201266853,12.735642972716496,12.166970640779128,11.722989626461073,11.181871913753094,10.680740217054531,10.28811379391699,9.813044465969531,9.373121919650101,9.027491719611312,8.61217303873893,8.227736492996401,7.925105854236988,7.563913621709536,7.229877512221338,6.966661750600412,6.654624980484931,6.366488571674853,6.139492373923412,5.8721678103889206,5.625899026666603,5.432235922136933,5.205603234857886,4.997556334627966,4.834586754921124,4.644993297620875,4.471832942604144,4.337103082055944,4.18119382752748,4.039836501983445,3.931034825788975,3.8057311866908754,3.693324754104311,3.608267930313547,3.5107465403308926,3.424630284498284,3.3612411721089983,3.2888798390088088,3.226537712036434,3.182819923437452,3.1331248489885097,3.09212622500122,3.06612673792516,3.036668909003134,3.0146401750794385,3.0044331712679275,2.9928525420708776,2.987503373510805,2.991217512048899,2.9952698802390687,3.0044432850303124,3.020301926557156,3.037909236732597,3.0596223234434876,3.0859789301172276,3.115254675378783,3.14770236166945,3.1830443695973396,3.222255358861766,3.263764216573162,3.306677293694902,3.3541817254704185,3.4031564844898265,3.4522864626329293,3.506495093375083,3.561406022979621,3.6154576547186004,3.6748591203645082,3.7342895037671804,3.79206845335843,3.8552824729536987,3.917980698271819,3.978433982052108,4.044262634823152,4.1091743413463355,4.171409914151055,4.2388559011691305,4.305118934108969,4.36840129633949,4.436655660427752,4.503573954809209,4.567301186057717,4.635706529487076,4.702695635875404,4.766352688331918
T16000logg2.4,29.13058329400643,28.21210164104249,27.054773962219635,25.973338904567107,25.142639930036964,24.10568569462817,23.13635090821762,22.387174093970888,21.459961798682716,20.592997467651955,19.919259350234615,19.091994913491774,18.318367281524,17.714228211620494,16.97785790390231,16.28918634634294,15.749082840168805,15.095270925889642,14.483840011345004,14.002536288466601,13.42366029612177,12.882388679919792,12.454986525820912,11.94406321243421,11.46646540981897,11.088407617674857,10.639084330335807,10.219291704445729,9.88640503732719,9.493003524960312,9.12580731236781,8.834357386251147,8.491869547010841,8.172661356251409,7.919322256484197,7.623253860032051,7.347879792522791,7.129628286037061,6.87587301138129,6.6405326317064715,6.454569260674117,6.239349334455015,6.040528137688648,5.884222958193423,5.704033974811391,5.538456502906902,5.409317130110812,5.260921793702914,5.125541629354086,5.02120970502081,4.901629428858873,4.793612901040595,4.711859525578711,4.618327466914339,4.535002139735125,4.4736977197790715,4.403590138440008,4.3423922111499,4.29947121441853,4.2502494248032425,4.208696089264093,4.182140847761969,4.151351444099904,4.127054868809762,4.114911721989187,4.100221210982755,4.090933002357969,4.09134818348374,4.090588397266513,4.0942299571715655,4.105472315652265,4.116649489077134,4.131308223211671,4.151768004343382,4.173045574753825,4.196944000436487,4.225108529134628,4.254753510901882,4.2862029070900585,4.320627172793293,4.356977030848309,4.394373486271851,4.433689347612079,4.4751800852689545,4.517051177926179,4.560008872556408,4.6052203586202065,4.650269691593636,4.695774143361457,4.743471516125408,4.790610256555839,4.837741580319972,4.886903634369251,4.935257019679825,4.983272792268322,5.033090124471572,5.081972983954562,5.130283000954421,5.180118831287454,5.22897256485999,5.2770827569641465
T16000logg2.6,30.618364299638912,29.689082596532703,28.51839158976053,27.42398084877182,26.58203467043859,25.53132057872309,24.548685681620118,23.788027781186656,22.846898199627546,21.96652721536562,21.281240067081967,20.440076380445834,19.653093914351953,19.03746184081432,18.287347857643482,17.585499133984445,17.034055513945855,16.366761451696043,15.74240713333362,15.249975457479234,14.657916744623485,14.10401037212357,13.665722319668086,13.141940105109315,12.652020347134531,12.263339383743435,11.801499130472983,11.36971562244246,11.0264848037334,10.62093559837507,10.242100327042147,9.940603924207245,9.586355180645135,9.255875224623148,8.992801433588593,8.685361352241648,8.399086230838538,8.171416261945247,7.906671943105333,7.660790965557348,7.465718573593489,7.239868824002659,7.030838388698383,6.865710530299051,6.675221214152097,6.499729402882598,6.362021836232421,6.203617828895725,6.058576120007898,5.945891904669705,5.816554169590537,5.699083706641112,5.609152437437627,5.506070523356527,5.413451031986276,5.344099144068619,5.264604732015446,5.194230118949495,5.1433520488896285,5.0848753562231375,5.034231745404228,4.999777761384922,4.959847290222813,4.926528211657967,4.906521510150416,4.882790549846609,4.864532251776732,4.857098846410348,4.847381431516521,4.842082261565266,4.845466907981952,4.847741379190389,4.85345909586291,4.86602486676191,4.8784140512529355,4.893335256141818,4.913541594238328,4.9342688612057275,4.95667271700284,4.983052495650547,5.010417382997347,5.0386731154104245,5.069840213863929,5.1022429261205104,5.134855043106462,5.169545699994753,5.205539486976281,5.241199246857718,5.278312950336681,5.316649391485258,5.354268364978721,5.392888837712071,5.432544246556665,5.471257857910074,5.51065213087432,5.550828871660357,5.589969157210087,5.6295618237504055,5.669638966309308,5.70866686729141,5.747981800137173
