,vsini100,vsini102,vsini104,vsini106,vsini108,vsini110,vsini112,vsini114,vsini116,vsini118,vsini120,vsini122,vsini124,vsini126,vsini128,vsini130,vsini132,vsini134,vsini136,vsini138,vsini140,vsini142,vsini144,vsini146,vsini148,vsini150,vsini152,vsini154,vsini156,vsini158,vsini160,vsini162,vsini164,vsini166,vsini168,vsini170,vsini172,vsini174,vsini176,vsini178,vsini180,vsini182,vsini184,vsini186,vsini188,vsini190,vsini192,vsini194,vsini196,vsini198,vsini200,vsini202,vsini204,vsini206,vsini208,vsini210,vsini212,vsini214,vsini216,vsini218,vsini220,vsini222,vsini224,vsini226,vsini228,vsini230,vsini232,vsini234,vsini236,vsini238,vsini240,vsini242,vsini244,vsini246,vsini248,vsini250,vsini252,vsini254,vsini256,vsini258,vsini260,vsini262,vsini264,vsini266,vsini268,vsini270,vsini272,vsini274,vsini276,vsini278,vsini280,vsini282,vsini284,vsini286,vsini288,vsini290,vsini292,vsini294,vsini296,vsini298,vsini300
T15000logg2.0,17.300733219816536,16.848724717283623,16.261079709254986,15.717439061975709,15.305407690885524,14.77585657476544,14.28493696317645,13.909830605538486,13.432904767338098,12.989915525023784,12.64890712695884,12.219764625771388,11.820485198081002,11.511028346616593,11.125437908106422,10.766150137362752,10.485958637388105,10.140197759814182,9.817659849698861,9.564732181695481,9.255580530570228,8.966990173257749,8.739586298348973,8.46424450250749,8.207167330508636,8.00375464942558,7.75972241887076,7.531927621219286,7.35106121901675,7.135991438941616,6.935338694035493,6.775587536821529,6.587235756817033,6.411655209827698,6.271585756702258,6.10778991646899,5.95526430590988,5.833442352180016,5.692138683809546,5.560747750329677,5.455771517712927,5.335006659633128,5.222902984065164,5.133397397495535,5.031302182907437,4.936718394770814,4.861341607224888,4.776121156669262,4.697349342930554,4.63479059138259,4.56472409431896,4.5001382896232744,4.449144716658475,4.3926130879797585,4.340723350842277,4.3001504818389495,4.255681876539495,4.21514188011913,4.183947474165704,4.150203917885707,4.119801419683805,4.097050434666431,4.072840203269783,4.051503254142016,4.036356131147853,4.020605186914395,4.007355961831487,3.99903873811138,3.990773619665413,3.9847113944288552,3.9824997677979335,3.9808382554327575,3.9811488455484643,3.984388197200361,3.9885720736470134,3.9945672635985408,4.002694501878098,4.012100398911879,4.023216499024193,4.035774941365579,4.0499228943707255,4.065726147011825,4.0823626037777,4.100884112825371,4.121043330620809,4.141489682035506,4.164095969997693,4.188330258192521,4.212352408969546,4.238771910940104,4.2668066482659555,4.2941754548447335,4.324130818260352,4.355674106699006,4.386141543952915,4.419329473482601,4.4540637320804075,4.4873583411571705,4.523455587018308,4.561041786202715,4.596869273616031
T15000logg2.2,19.07271363510304,18.603100485741805,17.99174970117232,17.425514454636993,16.99588828438904,16.4428957220397,15.929790376949382,15.537378326391957,15.03760383201624,14.57310824134149,14.215289334441916,13.76411818932468,13.344198762589533,13.018576869833073,12.611920700838809,12.232966635987692,11.937345681189274,11.571553440589158,11.230381774415545,10.962813761156522,10.634710054738079,10.328540440698335,10.08730395109047,9.794081544510371,9.52045201367992,9.303993942485981,9.043111455060549,8.799736546062688,8.606568900433372,8.375624038600101,8.160293630879504,7.988927837924846,7.785602541038707,7.596161446654017,7.445095476675058,7.267135859344761,7.101463931114845,6.969181642911339,6.8144080926223545,6.670467569267901,6.555476065517257,6.421806339617019,6.297626712715254,6.198454469270128,6.083896797204619,5.977603697702748,5.892826662657717,5.7954890807374735,5.705296538779196,5.63354542573941,5.551642138580847,5.475877373955308,5.415864274110293,5.34773756997685,5.284889091407185,5.235456764988885,5.179625515228971,5.128355051636743,5.08847168647771,5.04360981127111,5.002728457828234,4.971482011634347,4.936419281328695,4.90488712090191,4.88147021684039,4.855167771002924,4.8320515783686835,4.81573132445231,4.797258939713337,4.7817023748250005,4.771793687280434,4.76030645428643,4.751529080041532,4.747406719502422,4.742172603981283,4.739507262378988,4.740626988934921,4.741037115800924,4.743925716897164,4.7498365279535,4.755409637311154,4.76341080925251,4.7737528855104,4.784108984334366,4.796874001138682,4.811364097301837,4.826199089278564,4.843426262418136,4.861811780568241,4.880837724318872,4.902229295978387,4.924260200027115,4.947178980901129,4.97241436623919,4.997817015134651,5.024297934135956,5.053024625550421,5.081497249281784,5.111183122385325,5.143023934384379,5.174239632889538
T15000logg2.4,20.08846143004522,19.617292213984243,19.007693621223265,18.440332354235544,18.008123855412755,17.455406509092395,16.94003799667791,16.544321160408458,16.04365791499935,15.576055688846399,15.21442994996277,14.76145849675375,14.337804908588637,14.008037906500533,13.598876746115277,13.215754363620551,12.915785298093219,12.546955705234748,12.201309219409122,11.929278907537299,11.59773045095577,11.286888833904174,11.041141650724787,10.744164444640855,10.46573903610029,10.244768422354063,9.979904291459011,9.731673010466618,9.53402990515764,9.298952020020968,9.078757332152616,8.902978242962512,8.69541312476415,8.501117955737975,8.345708495531994,8.163436240710393,7.992935703900871,7.856379539479564,7.697234966131578,7.548483558964525,7.4292801717160195,7.291196066761998,7.16223261088461,7.058910256175559,6.939906885515163,6.828864007661945,6.740004139493306,6.638210165242753,6.543318847835452,6.467563118326117,6.381211713033166,6.300820104235062,6.236893234589273,6.164346054627572,6.096952201691727,6.043705121676608,5.983501043215018,5.927790036063647,5.884209256134538,5.835048466954698,5.7898509868813255,5.755037299230169,5.715766401778782,5.680060003517917,5.653221425394955,5.622825936661569,5.595698249399543,5.576120129692008,5.553695489150785,5.534318763623447,5.5213383161211445,5.506066450970647,5.493682493087696,5.4866901127629335,5.477858246637464,5.471817280648275,5.470284866371085,5.4673037821225705,5.46705627727159,5.470536069623678,5.472928045210348,5.478033480762649,5.486162891659486,5.493548688092384,5.503648063543907,5.516133768668469,5.528203266383417,5.542990080127587,5.559572430704697,5.576033542894888,5.5951971222059615,5.615612869547145,5.6361581289109735,5.6593659393014235,5.683329761585522,5.707619205043736,5.734502718518529,5.761697976403959,5.789360819919392,5.819525958472763,5.849609822559201
T15000logg2.6,20.13520869133945,19.682018887045487,19.092030628373863,18.54398269621966,18.1270938046566,17.590409604348935,17.09111141733119,16.708335920465895,16.220695668599383,15.766374731491386,15.415581289249172,14.973084527331885,14.560308474665785,14.239507070352117,13.838650300479241,13.464315174798893,13.171654303638762,12.809261422455346,12.470581977472648,12.204390560264411,11.877668595809903,11.57220210570948,11.330988047556502,11.037449920913078,10.76300773952262,10.545408037061117,10.282776215778368,10.037292664773169,9.841972947944548,9.608057798617674,9.389499094181666,9.215092047203244,9.0077421936553,8.814087725869213,8.659189985448483,8.476287140572916,8.305532564783153,8.16871278780952,8.008182611574256,7.8583806082737855,7.738219090444099,7.598076326634239,7.467351176086278,7.362450563259283,7.240795334567812,7.127368551749351,7.036384720227187,6.931423638684623,6.833606782011096,6.755249886320616,6.665288383216657,6.581504423755687,6.514564605527973,6.43803570955859,6.366864828474007,6.3102619813832925,6.245774937650189,6.185970575589313,6.1387467527715405,6.0850576439350785,6.0355067993543114,5.996810128504281,5.952814849177532,5.912541780881488,5.881618725098681,5.846341083492848,5.81447362118932,5.79064402386878,5.763216649076482,5.738963843616106,5.721597525244745,5.701239598251831,5.683882244463998,5.672404041695647,5.658436437562714,5.647356000119794,5.6412640536086744,5.633119771350221,5.627790545927733,5.6266600281847285,5.623881733749731,5.623881399871339,5.627367355971938,5.629587047629969,5.63457021016585,5.642393187491866,5.6493090761199385,5.65897537070799,5.670882549505016,5.682203257605224,5.696242749965819,5.71197317476528,5.727387047608825,5.745464676909347,5.764732587815148,5.783895357221675,5.805643011038645,5.828133803009375,5.850676204483993,5.875703962485592,5.901079617022351
T15000logg2.8,21.36698047100383,20.910046012408415,20.31331927972337,19.75893041924528,19.337161661917584,18.79276503082805,18.286099855254058,17.897522891452326,17.40138866856816,16.93887956960138,16.581543977422783,16.129933333798483,15.708323780067978,15.380391259365823,14.969934718467863,14.586265094673974,14.286008151407524,13.91365159466801,13.565263941547157,13.291117418933286,12.954171275147571,12.638728045259572,12.38929062770864,12.085365345119385,11.800773448864328,11.5747594933112,11.301654411368592,11.045920365797722,10.842056378719468,10.597639636304933,10.368775782460682,10.185735689006876,9.967880819956749,9.763891697319517,9.600297253177043,9.406898993609824,9.225790891590139,9.080225769539107,8.909215791573198,8.749058800941583,8.6201222476219,8.469529325990834,8.328467301961561,8.214783641608525,8.082720428814705,7.958992057233337,7.859234854840615,7.743915782400872,7.635849946590871,7.548748442407996,7.448496213976558,7.354539517296372,7.278905888183312,7.192172869426763,7.110926436961318,7.045698608463734,6.971112734175405,6.901348092912351,6.845583768557261,6.781919305831583,6.7225377741685275,6.675395603274405,6.621558630598372,6.571586458909304,6.532313649165967,6.487328586075242,6.445892838608706,6.413808418917412,6.37681122394773,6.3431219517576,6.31759731774782,6.287810875198577,6.261153501827805,6.241619075056706,6.218374899557598,6.198144592944584,6.184109853242898,6.166857241677424,6.152544959524549,6.143600268611265,6.131901168178559,6.123103538582273,6.118920842707834,6.11242742578597,6.108816042536145,6.1091299002110135,6.107552216032109,6.108833213339366,6.1133978818914585,6.116449482169827,6.122317446768591,6.1308767125433645,6.13824637856765,6.148363803156069,6.160630157892757,6.1719666180750234,6.18595819959548,6.201611541519308,6.216536203342658,6.234001445083118,6.252695759644089
T15000logg3.0,19.703064809629407,19.305100399405397,18.785105302884194,18.30178612433974,17.933670044317182,17.458081196507415,17.01539151614119,16.67557798092133,16.241129799242,15.836169655514873,15.523076700252037,15.126744254240835,14.756834978962447,14.468950341240312,14.107982731507564,13.770711499581543,13.506632877433447,13.178549149376376,12.871731347901424,12.63017739991169,12.33277821137116,12.054512117679387,11.83435231784572,11.565687352549041,11.314256714454899,11.114455242490218,10.872727545227443,10.6465014892336,10.46603106496111,10.249475461410972,10.046802005269909,9.884570023075952,9.691383926548383,9.510552176385753,9.365385269540257,9.193740280390521,9.033020920075245,8.903694066173863,8.751782075138042,8.609478994723345,8.494767475132777,8.36085548586742,8.235351106788775,8.134054884569204,8.01648525441456,7.906235071296542,7.8171966624998115,7.71441287074875,7.617976138826625,7.5401011901318595,7.450650155813129,7.366688037150566,7.298953421242854,7.22149455155681,7.148790524978712,7.090273413730398,7.023613324099873,6.961108783267272,6.91100031350153,6.854083082954752,6.800833662982224,6.758409744781931,6.710288388511031,6.665452889676256,6.6300660734383525,6.589897566073702,6.552720732234718,6.523783845029371,6.4908160049262476,6.460618799766988,6.437594366679931,6.411155578465913,6.387322998930911,6.369722234705014,6.349231402775453,6.331241000926172,6.318648633913971,6.303636910799213,6.2910593358837446,6.283131408078952,6.273224342427631,6.265720247703328,6.262185023884653,6.257088070771099,6.254377495513231,6.255013134115702,6.2544760291938095,6.256311347479182,6.260913741205952,6.264684364503326,6.270792197732829,6.279134618081267,6.286927718949869,6.297002177061768,6.308827019670458,6.320322670784283,6.334021511105462,6.349037404691513,6.363886658306201,6.380845024545075,6.398737129123282
T16000logg2.0,17.144015720978352,16.690519387234627,16.09833934605074,15.553428696686828,15.140769774943404,14.607724972497403,14.11635109100223,13.741282699059832,13.261662025547603,12.818811351209707,12.47832554085592,12.047099592265509,11.64837814154454,11.339782762265372,10.952604044659,10.594179472451314,10.315074743332577,9.968135014219966,9.646659571935807,9.394944022471378,9.084961396945344,8.797569542120584,8.571431861422406,8.295573639108383,8.039799510230385,7.837673127115042,7.593433481738632,7.367047671489244,7.187490566895988,6.972538779283289,6.773429187237737,6.615040354824158,6.427153387763992,6.253297922927918,6.114698674203649,5.951755657788981,5.801202622833714,5.681027256097308,5.541010017114183,5.411911595823019,5.308836763716956,5.18984957701291,5.08042855359508,4.993149112480214,4.893360356120315,4.8018974356577235,4.729122403753351,4.646755768947393,4.571561583298359,4.512001706166028,4.445328469031152,4.384768680559915,4.337163880042604,4.284528505617719,4.237071444299783,4.2002451128841924,4.160128458531991,4.124382428265934,4.097252586553216,4.068268786483939,4.042968043141384,4.024550160832985,4.0054511997581255,3.989465134893284,3.978867306981271,3.968523440546993,3.960815418713652,3.9572098345924323,3.9545911322250755,3.954203905383438,3.956812287940351,3.9609791920776587,3.967041708876049,3.9751543336420707,3.9852934012013117,3.9970701245642415,4.010077953089855,4.025525062751261,4.042412047109862,4.05981886619594,4.080062275832939,4.101600499596837,4.123028994614344,4.147678094102809,4.173518276632256,4.198687884743097,4.227439139831446,4.257299406132929,4.285979826912323,4.31855488639671,4.352166672670888,4.384140536950061,4.420259738110017,4.45734648759197,4.492386181629312,4.531752674120985,4.572018662744783,4.609878907145803,4.652183641573811,4.695316737080024,4.7357329248692945
T16000logg2.2,21.12585745384111,20.60709351708705,19.929281140675556,19.304868216004706,18.83104246252248,18.218241068555283,17.653044570520688,17.22095047642566,16.66735452185464,16.15622209998905,15.762802565146053,15.263204001739622,14.801530504455965,14.443987626487898,13.993800196019073,13.577510111393355,13.253305707557018,12.84844090485409,12.473900420105597,12.180753310863603,11.817622042591678,11.481672139556455,11.217572879118125,10.893022125601721,10.592875755117122,10.356036689210061,10.067236670865825,9.80034410153677,9.589091459670612,9.333392942362275,9.097331859999432,8.910026701268336,8.684887192058614,8.477303366473464,8.312309336977068,8.115266346335524,7.9338505246409925,7.789515492280709,7.618165772463718,7.460670944118987,7.335355290082247,7.187398885661988,7.051661175417251,6.9437448315241355,6.816969786879913,6.700916617579696,6.608826837220842,6.501144589608343,6.402810969855393,6.325036069394258,6.234472892354211,6.152021139255502,6.087140865125053,6.0118692595208145,5.943623741062897,5.890352806323303,5.828735536411703,5.773232985494742,5.730445311056488,5.681040491278718,5.636994672501614,5.603701139404044,5.565238437223886,5.5315282762750435,5.506859666615846,5.478217323181261,5.453833503145086,5.436995029847338,5.417157933167153,5.4011714331798295,5.3914162742414256,5.3794551645164885,5.371005039725816,5.367636524919291,5.3627302864826385,5.361070950304089,5.363481961896681,5.364954146275169,5.369463188874925,5.3771464782521825,5.384452683992261,5.394635919934889,5.407190627183859,5.419899855253908,5.435361696804154,5.452473082833985,5.470238496431973,5.490655325897481,5.51206142238356,5.534567073850098,5.559620901716314,5.58506568130778,5.6119840098926375,5.641338411048636,5.670546577553237,5.7015182598043,5.734802426732209,5.767466791472971,5.802101676529045,5.838918600973475,5.874703515985949
T16000logg2.4,23.117408491974764,22.581465576695834,21.882434207462232,21.236312341840044,20.744604747076153,20.10988091752311,19.52249971306065,19.07214709648418,18.496333606162047,17.962902010579725,17.55112066211261,17.02931728729307,16.54550469945058,16.169701695694197,15.6975226967086,15.25940129595914,14.91716015921168,14.490643490046665,14.094712268685168,13.783857985358138,13.399532162596941,13.042711437651128,12.76130358238961,12.41608655763015,12.095637154407727,11.841918239561515,11.533004333703033,11.246376846531637,11.018666178580073,10.743395518323984,10.488128981483042,10.28475599874022,10.040557741112938,9.814251602856388,9.633537401959092,9.417899507907887,9.218186134113283,9.058433680464661,8.86890498788968,8.693491357043765,8.5530166608584,8.387239440569198,8.233898811761721,8.111034585036103,7.966749726144099,7.833364742336008,7.7264972900594575,7.601568010234752,7.486131991184771,7.393719089452387,7.286145151590218,7.186797035389218,7.107405556616633,7.0153519786014895,6.93043254168696,6.862791731747405,6.7846396162026545,6.712699070977998,6.655694946041373,6.590012301582556,6.529785018065508,6.482451651143091,6.427992175788251,6.378385496373735,6.339879775297832,6.295544059113712,6.255582274560222,6.225142351617767,6.189945811153207,6.158729885227492,6.135640367709239,6.108681734864841,6.085382459169336,6.068981934228772,6.049469385271425,6.03336376476489,6.023066173592931,6.010326204358479,6.000798596034871,5.996111357579265,5.989599888175665,5.986154424853144,5.986681741235222,5.985962635639839,5.988205580746651,5.993637226055054,5.998357939629199,6.0059480287531,6.016009987016919,6.025835642382608,6.038436772849256,6.052858845606693,6.0674426700322295,6.084693530699123,6.103179301456024,6.122136030341793,6.143637993044214,6.165856073939011,6.188767376456543,6.214090428538317,6.239676863029424
T16000logg2.6,24.610400632838285,24.08276329566185,23.393121003026444,22.75558331821467,22.27028542633441,21.64252948205732,21.061638568487805,20.616185295710153,20.04540759632397,19.516768389223124,19.108656599544666,18.59032540384517,18.10991822175101,17.736780790132997,17.26680864240799,16.83101107960407,16.490656241663004,16.065366178806304,15.670892148279632,15.36129132437678,14.977386216200873,14.621332296311229,14.340669594092919,13.995235447459484,13.67499091299904,13.421604355256006,13.111970214122366,12.825105596074048,12.597403300376119,12.321025442863002,12.065185235237548,11.861571342436381,11.615965195677665,11.388812222004903,11.207655001664596,10.99036798001437,10.789584158118881,10.629218608021153,10.437838333117131,10.261146660387883,10.119904057259632,9.952103554049101,9.79732558317825,9.673571931050757,9.527133862144815,9.392184869501675,9.284338704911365,9.157171761321989,9.040103736888298,8.946669337286053,8.836824791604071,8.735835072144535,8.65542455399418,8.561116088548147,8.47457131831621,8.405933621271172,8.325564983158042,8.252052313568235,8.194108601104174,8.126295587074813,8.06459122874928,8.016403414697065,7.959925192995003,7.908956317132524,7.869701882590867,7.823486584608647,7.782305084078352,7.7512450936770065,7.714333548254068,7.6820746433023155,7.658523755622548,7.630047397614953,7.605910802290115,7.589228482196361,7.568411801728625,7.551689738438798,7.541310271333658,7.527505525747184,7.517606122853054,7.51305097869606,7.505722421815161,7.502153899711475,7.5030302777877935,7.501742608439671,7.50409586997901,7.510079663087943,7.514463343823316,7.522389922963813,7.533204247727027,7.542922882744179,7.556078870686338,7.571446075585272,7.586141319414803,7.604154917458463,7.623771952432455,7.643049605005096,7.665512303995005,7.689039477133636,7.712468983182479,7.73894243952928,7.766009296223663
