,vsini100,vsini102,vsini104,vsini106,vsini108,vsini110,vsini112,vsini114,vsini116,vsini118,vsini120,vsini122,vsini124,vsini126,vsini128,vsini130,vsini132,vsini134,vsini136,vsini138,vsini140,vsini142,vsini144,vsini146,vsini148,vsini150,vsini152,vsini154,vsini156,vsini158,vsini160,vsini162,vsini164,vsini166,vsini168,vsini170,vsini172,vsini174,vsini176,vsini178,vsini180,vsini182,vsini184,vsini186,vsini188,vsini190,vsini192,vsini194,vsini196,vsini198,vsini200,vsini202,vsini204,vsini206,vsini208,vsini210,vsini212,vsini214,vsini216,vsini218,vsini220,vsini222,vsini224,vsini226,vsini228,vsini230,vsini232,vsini234,vsini236,vsini238,vsini240,vsini242,vsini244,vsini246,vsini248,vsini250,vsini252,vsini254,vsini256,vsini258,vsini260,vsini262,vsini264,vsini266,vsini268,vsini270,vsini272,vsini274,vsini276,vsini278,vsini280,vsini282,vsini284,vsini286,vsini288,vsini290,vsini292,vsini294,vsini296,vsini298,vsini300
T15000logg2.0,9.987446093209385,9.495078137543436,9.083317757148675,8.597202652182679,8.17692724272434,7.829813775045465,7.41873805502117,7.0632215174352755,6.773476963664602,6.429205256751014,6.13179356941694,5.892974234388951,5.608230722150938,5.362981384776416,5.1694366413009085,4.937819775223357,4.739425963295045,4.586180365611829,4.402013902532616,4.245719816126082,4.128376112108331,3.9866078583314466,3.868121946121725,3.7827583565790084,3.678822800416585,3.59420715907247,3.5372635846531386,3.4669437966742844,3.4124907186394577,3.3806535394627755,3.339938233937338,3.3120732037748546,3.3021926158443122,3.287235425711496,3.28248879680542,3.291568116195832,3.29862332046965,3.313593254097947,3.3391345401116213,3.3641576121314474,3.3955187488286134,3.4339941959381033,3.4742005095115593,3.518717061323446,3.567537227886012,3.6194378512715075,3.673991309797731,3.7310554683337576,3.7909892823140128,3.852638418749387,3.915367247013913,3.9805630028793377,4.0466083274916365,4.112313484221678,4.180645204209469,4.248711024481722,4.315300319122905,4.3847191951957765,4.452819106469896,4.519044700018165,4.587425786593047,4.654008613537384,4.718440129043733,4.784680204543232,4.8486638834548765,4.910419990175559,4.973741601298407,5.034520010140423,5.093148173871117,5.1532186021070645,5.210655810394768,5.266042951198029,5.323008566354465,5.377376425901812,5.429790778365046,5.484071944083879,5.535922377968799,5.585889039902322,5.638041974142314,5.688038239073814,5.736187913396799,5.786751343732294,5.8355040063560395,5.882427843295557,5.931825310305851,5.979801952403591,6.02596771328942,6.07447751312106,6.121977430249843,6.167704122490411,6.215473121631934,6.262655980547652,6.308113035809457,6.355223510692999,6.402158313748294,6.447433652779912,6.493915435274024,6.540622332682864,6.585742926758276,6.631616006838639,6.678093180196332
T15000logg2.2,11.209647647989685,10.69300578299122,10.259574997985412,9.747546106044847,9.303871999025743,8.936073550609803,8.500300443466301,8.122447450881964,7.813124571593013,7.445502029616613,7.1269318949186795,6.869706095049954,6.563004676267334,6.297814715673101,6.087040105236861,5.834848104318188,5.617726963559399,5.448401877066194,5.244988236673296,5.071124764479736,4.9387841190886554,4.77899361875978,4.644008075053119,4.544640953167518,4.423786866284498,4.323624280765624,4.253559709870684,4.167265527172062,4.09807264362113,4.053868282664907,3.9979574500689843,3.9560098926265055,3.934386543411735,3.9048456553128466,3.8865207149774395,3.884399229815162,3.877271172756464,3.8790193799137325,3.8939017620344996,3.904863666364504,3.923222386695444,3.9512392328175228,3.97759752201728,4.009211554697076,4.047549869146017,4.085821398969086,4.127468627064363,4.173914026226819,4.22036802596182,4.269026440357577,4.320940762592561,4.3727218339327285,4.42562794985575,4.480242672456403,4.535192394519071,4.589926120661129,4.6451099107356395,4.701149566563823,4.755706566337722,4.810234772492965,4.865191625150061,4.918019671699013,4.970459779042459,5.023233235101015,5.0732646115164926,5.122792753928844,5.172581217199621,5.219242869139217,5.2654457774112435,5.311934814827424,5.355128523933263,5.3979031135122355,5.441290623476325,5.481327228542776,5.520963151618745,5.561716644386296,5.599192846521792,5.6362520781801555,5.674972697453347,5.710605773801517,5.745773378962848,5.783042708214973,5.817502166882839,5.85143191331143,5.887711046339224,5.921518987024491,5.954739077062117,5.990334457339591,6.023832027542051,6.05671072417573,6.09178474800183,6.125159212431464,6.1578998405346095,6.192545682316979,6.225884648025437,6.258599320513031,6.292853877562728,6.3261908727865865,6.35892429803728,6.3928134742539555,6.426157558121656
T15000logg2.4,12.053077792662759,11.527283042826106,11.085462442926488,10.563141071802505,10.109929034332803,9.733496652314699,9.287207306318928,8.899632801546826,8.581599753508678,8.203420873418452,7.87510438628151,7.6092210444548956,7.292064891841134,7.017219699326693,6.797931473927716,6.535469362486712,6.308854692011851,6.131213521847368,5.91776645570411,5.734616617811326,5.5941905247918555,5.424627386561129,5.280573564631858,5.17335371480108,5.042969806224138,4.933941817771725,4.856241871353422,4.7606348015430875,4.6827531296723555,4.6311071985394,4.566064300295634,4.515571227702427,4.486670947515975,4.4481399826287165,4.421377456867651,4.412136713464761,4.396096708258417,4.389477270830295,4.397422532523297,4.399454641880612,4.40947911608876,4.430607249959995,4.448078079355674,4.471354486975071,4.5027637081662935,4.5322175131292095,4.565499487011717,4.6049425174882685,4.642638830563488,4.682887007785116,4.727714479434845,4.770779751653574,4.815221265462929,4.86263909696529,4.908923541656794,4.95513368868846,5.003000013964047,5.050426807612409,5.096401856992065,5.143508662192182,5.189891633209034,5.234089016374343,5.279015936034188,5.32326108906369,5.364625937049697,5.40659262007696,5.447871141735651,5.485841100086934,5.524447372980009,5.562447849604227,5.59693654596201,5.632070781336541,5.667016707199503,5.698346294056044,5.730293793020851,5.7626749255651735,5.791456249910705,5.820785195859046,5.851221398414237,5.878190057841425,5.905602843248898,5.934690874896383,5.960537473812003,5.986709526025939,6.014920925270692,6.040183003896017,6.065661353678067,6.093307071861405,6.118337862603496,6.1435099884072715,6.17075384564499,6.1957511827663945,6.220835668926943,6.247773715193594,6.272834470413902,6.297956028032666,6.324628823811696,6.349794372906379,6.375007991836032,6.401445111417009,6.426731918868919
T15000logg2.6,11.259210499202856,10.776319477490667,10.370544711689185,9.891127294715579,9.475391181620147,9.130124149234005,8.721135730213359,8.36626002488544,8.075145725035622,7.729364875771967,7.429533583800788,7.186862020030721,6.897804252121809,6.647726732172783,6.4484114151410665,6.210272603770683,6.005135029281543,5.844623885133401,5.6521637158347335,5.487562774980065,5.361757602370208,5.21021733260949,5.082098291279685,4.987278724301666,4.872283365069691,4.77685340247789,4.709584867892213,4.627025303371699,4.560662757925749,4.517711651654012,4.463649972747168,4.422831411675106,4.401098242707255,4.371720553106327,4.352998335642567,4.349588686390838,4.341096785182594,4.341091227292025,4.353675766417822,4.361909293023589,4.377317044696592,4.402157748986048,4.424591159025884,4.452210221771474,4.486611482102494,4.519945593010746,4.556713111192959,4.598580987386551,4.639261067053154,4.682307711550747,4.729129783326274,4.774460718870536,4.821175036564288,4.870276327188324,4.918285961885936,4.96639201056301,5.015723306844166,5.064503918749755,5.11212217929554,5.160533204283991,5.208054080967091,5.253741678778956,5.299902601568577,5.345143422928057,5.387916816332207,5.431123214899183,5.473291782255938,5.51263144116375,5.55250774476534,5.591320555581566,5.627146385275223,5.663565233253626,5.699253637070806,5.731866016638086,5.765072512446981,5.798114231091919,5.828085072010097,5.858597194604467,5.889586000362971,5.917602660998655,5.94606986758678,5.975569550804912,6.002279176873834,6.029332938541104,6.057791133856233,6.083703538133042,6.109863293976666,6.137577526217175,6.163033471462811,6.1886753868719175,6.215805954526433,6.241002288663275,6.266343234985203,6.292989293409497,6.318028515864123,6.343198004553685,6.36940850988767,6.39434415803137,6.419407567626937,6.445225233326428,6.470089255592164
T15000logg2.8,13.59553524620011,13.060870334890504,12.611368831454833,12.07861623550191,11.615388884203666,11.230287837709042,10.772524782879376,10.374032158555039,10.046566117580886,9.656108862595822,9.316178419682918,9.040288801674603,8.710274898498835,8.423319226701008,8.193629405413837,7.91793643269551,7.678888606283048,7.490601112953348,7.263701852939203,7.067913980731506,6.91669625023081,6.733536662273313,6.576702371657586,6.458601087255625,6.314527069951255,6.192622574021579,6.103992338745013,5.99465025970406,5.903846047155202,5.841263010183168,5.762488774885696,5.699063167688727,5.659247849128152,5.607005805385137,5.567307385944182,5.547198176135598,5.517441759575536,5.497878649795778,5.495072069787491,5.483303482764006,5.480362892730336,5.490707499373727,5.494413327429439,5.504691919633648,5.525200467427372,5.5409962500578,5.56123754923642,5.589642796527924,5.613782786807594,5.64093466013169,5.674577279319253,5.704183698334404,5.73547402982633,5.771551064592089,5.80448879644125,5.8374988619154,5.8738797394086735,5.908071167064559,5.940807643430388,5.976329739151259,6.009564681354244,6.0405030168632345,6.07377656456097,6.104960831305295,6.133065288417132,6.163377965950237,6.191650035459436,6.216383989167713,6.243360159810624,6.268434637828662,6.289747463209285,6.313284160734854,6.335436347275557,6.353686039968819,6.374082420821993,6.393845573698429,6.409679064080359,6.427524270772392,6.445547828782554,6.459719302736931,6.475723651864545,6.492609486261905,6.505807514310998,6.520642249567377,6.53685589308478,6.549608144433311,6.56381300942199,6.579653389252513,6.592302524928005,6.606263679327737,6.621881587159596,6.634620486358513,6.648558646252935,6.66404328106118,6.676970365352146,6.691017563405557,6.70640963899461,6.719574832368415,6.733797938280513,6.749133841702938,6.762567425214237
T16000logg2.0,9.230782994568818,8.746500231684227,8.342012195885793,7.864999036715343,7.453461878180457,7.114087679527842,6.7125218311657076,6.366032354938961,6.084195869994089,5.749547925999508,5.46121166242558,5.230275170355805,4.955062930890849,4.718765898046337,4.532941251270319,4.310633471727927,4.120978866396943,3.975223746764831,3.8001190488372716,3.652343624721131,3.5422592251811,3.409338586153891,3.299196015298707,3.2209017037022227,3.1256899901808386,3.049344923470873,2.999366860256446,2.937807962431489,2.8917258607596024,2.86689147810732,2.835200035758481,2.8160253396932955,2.813357713046469,2.807929754024923,2.812423661389168,2.8290049043653416,2.846436665483206,2.8714170472222804,2.904657445311319,2.9413820661872148,2.9837202187756904,3.03070930510684,3.0836657284545006,3.1402976240331393,3.1988139510925206,3.2644308117454925,3.332365915003995,3.4004678400974035,3.4751192565180893,3.55149450626896,3.6266459910897684,3.707627437047025,3.789776538099633,3.8693518990838482,3.9544997330919296,4.040029077774001,4.121907406767381,4.209133666946869,4.295990348512652,4.378789364315606,4.46594820604605,4.552468179649774,4.6346692738696715,4.7205088831163575,4.805452675300746,4.885985121146424,4.969617457167943,5.052203096991934,5.130455061967114,5.21139841571866,5.291320075613789,5.367048613811921,5.445287911938223,5.522660304377121,5.596000326537896,5.671818747425268,5.747047212524077,5.818390808504386,5.892222292522737,5.965829180416397,6.035670039207485,6.107940365193249,6.180396327127154,6.249185694929487,6.320214254960222,6.391857740483966,6.459933559587777,6.529912049041204,6.600939106990413,6.668516603001645,6.737527729147119,6.8080251576526125,6.8751993465371495,6.943279483163508,7.013264990522755,7.080067897322737,7.14721411518242,7.216668279616837,7.283082192197468,7.349286192585401,7.41817138054763
T16000logg2.2,14.007180625102645,13.37853197746821,12.848709164605618,12.222341850850365,11.678085714825212,11.224465331501584,10.68656655396405,10.218521986396809,9.832858938347412,9.374075456521387,8.974714067871657,8.64962794770335,8.261605356045719,7.924127483351041,7.653087415178868,7.328417585074602,7.046700758815456,6.823917212209841,6.555985310645884,6.324499925387673,6.14482221921267,5.9276992231954,5.7414213114461,5.600229092532629,5.428541513155145,5.282848073240686,5.175936854036954,5.044705664059504,4.935226412220733,4.858670046272292,4.763145421634201,4.685655794992809,4.635715451602127,4.5713402935790635,4.5217451320151785,4.49489418689276,4.457230237047771,4.431542551885618,4.4249132661417745,4.409159883230846,4.403512741276085,4.412775969979321,4.415908165389696,4.426560578003862,4.448507565913743,4.4666911493203525,4.4900484999079255,4.522161798736631,4.55124461720436,4.583915620098835,4.6232572075956595,4.659978785873162,4.698843925140258,4.742345359172038,4.784178432640375,4.826477562254827,4.871739136831964,4.916240725512978,4.959652505945251,5.005239362180248,5.049875395888893,5.092570430837416,5.136811864521363,5.1802270848114205,5.220899443046454,5.262773818999867,5.3039516444587544,5.341839733726157,5.380797024011249,5.419255817737332,5.454139612912718,5.489977134828671,5.5258351283557205,5.557968581795021,5.590936915454661,5.624633004714312,5.654612682739226,5.685285315126317,5.7174281409350165,5.746001159994008,5.775102434688675,5.8062893344308,5.834163273132929,5.8623949054453774,5.893096992725037,5.920821053433494,5.948749158466027,5.9792679569120715,6.0071922824883695,6.035204646820528,6.065684002959532,6.093985351446045,6.122282884068682,6.152788834119807,6.181531279335358,6.210212378446152,6.2407492336972235,6.269937036638344,6.299025240689912,6.329585690282289,6.359195978226175
T16000logg2.4,15.059256202232483,14.433327242951053,13.904987319680906,13.279959172565365,12.736083319023269,12.281977232859528,11.743246025286817,11.273762667305446,10.886108407758893,10.424838578890228,10.022648527258244,9.69444067434034,9.30267789184406,8.961301095780426,8.68628275554937,8.356894519438981,8.070437182738416,7.843016726005807,7.5695886397173915,7.3326759901040655,7.147833995788057,6.924558890708035,6.732267940725549,6.58547141611767,6.407054426754518,6.254812443090345,6.141900687475057,6.003382771003559,5.88682931908486,5.803890126570014,5.7005258711702025,5.615435562805673,5.558734799011615,5.485961154868552,5.42822863078893,5.394281678056418,5.347605597464618,5.313234387794995,5.299267488502293,5.273781419719103,5.25889500079929,5.2604042497379755,5.253250344163468,5.254109445491625,5.2677902237251155,5.275246384468095,5.288271463684634,5.311594498478987,5.329557380024621,5.351385622535833,5.381445710275438,5.40668613382444,5.434239745690392,5.467974723358464,5.49804017496503,5.52860951189741,5.563654513833309,5.596164344695568,5.627485369389651,5.662472897740897,5.694929908409319,5.725232583909053,5.758543525442745,5.789647098855388,5.817683496825399,5.8483873914190125,5.877123129303086,5.902179276215075,5.929769952796117,5.955683650148897,5.977572713547797,6.001852217104925,6.025102569024334,6.0441006688056085,6.0653194883660415,6.0863780304425354,6.103100826919334,6.121841076070608,6.141344930062573,6.156570703417175,6.173587431598038,6.192167273798368,6.2066498816507645,6.222691275431056,6.24085391978648,6.255191379380566,6.270875630703617,6.288955382334885,6.303545168746665,6.31931205360776,6.337480033100627,6.352537826004257,6.368630027049161,6.386975254283971,6.402595245799208,6.4191438966409144,6.437689398098371,6.45390038012411,6.470955901109908,6.489710143197781,6.506509774727084
T16000logg2.6,16.096257085180717,15.47023747285759,14.941317501725207,14.314969527039525,13.769291316414462,13.313151751389494,12.771505677326658,12.298865554223076,11.908045386940579,11.442615946693188,11.036204883392527,10.703955920266699,10.307070720692963,9.960647060359774,9.68092193035463,9.345673308214701,9.05352271256574,8.820884077967149,8.541010256536053,8.297890434162166,8.107433539332359,7.877248200000931,7.678327603743895,7.525596345064161,7.339869254718885,7.180629944970092,7.061512302692511,6.915335947639894,6.791461952441536,6.7020854570474615,6.590754756704625,6.498052307862375,6.434711280417191,6.3536904519733755,6.288076810867862,6.247329920115657,6.192121914183716,6.149614091852367,6.128754597046934,6.094407240468576,6.07113730802397,6.065572121792269,6.0493334246608494,6.0415678663785135,6.047937721216442,6.046153608991729,6.050327176369524,6.066102361281843,6.074708429248633,6.0874834788806735,6.109781270913889,6.125571570323125,6.143897815885646,6.169665739635942,6.190230638860298,6.211427697739876,6.238323130896653,6.261310538778858,6.283144038919253,6.309838471877009,6.332767350148483,6.353499045625874,6.378407143707105,6.39999627537485,6.418407919759306,6.440659409825517,6.459883199663271,6.475286573769953,6.494397777096072,6.510817098358817,6.523043147898983,6.538812650747529,6.552614090540047,6.561951505387445,6.574623325713327,6.586300832793261,6.59337431931882,6.603529896879571,6.61373598391217,6.619336267654717,6.627739144822135,6.637116088509657,6.6420096791437535,6.649420283907651,6.658483496885717,6.6632817304993335,6.670333122867675,6.679423099021249,6.684534510571593,6.691682855923176,6.700973502224815,6.706624269550402,6.714126946036023,6.723710971261156,6.730005327525419,6.738006687906868,6.7479126108295535,6.754890119846644,6.763453564874116,6.773696700394365,6.781366325726879
T16000logg2.8,16.174088129338955,15.575169436551306,15.06895221842482,14.469238042036121,13.946554824797884,13.509440715534586,12.990243720072208,12.537032411877558,12.162080135982759,11.715486908880482,11.32540192926878,11.006301654908691,10.625119917929771,10.292302260363275,10.023363558415795,9.701069855123876,9.420129656486514,9.196218725679536,8.926898994149006,8.692884079938139,8.509360804909356,8.287631816168,8.095965606376664,7.948603403320391,7.769486005137441,7.615855935275114,7.50072833424621,7.359513345380912,7.239773092723452,7.15316262629492,7.045326768468192,6.955445869967942,6.893793948879786,6.814978889482744,6.751027567582829,6.711037924635899,6.656893396471477,6.61503056283969,6.594117172294261,6.559844543824377,6.536333145547893,6.530038891776997,6.512995893238388,6.504225845338776,6.509303800353333,6.505963288015014,6.508492094377244,6.522513013675724,6.52894066083435,6.539551912634283,6.559731451289367,6.5728528027265725,6.588613301748222,6.61198198262114,6.629513770420168,6.64784828449052,6.672132731630031,6.691844190920165,6.710610670114174,6.734537293673714,6.754045262165998,6.771574409191125,6.793624882573673,6.811697750469199,6.826827291467481,6.846203335443157,6.86183438284732,6.873913579265249,6.8901557534356,6.902931459268345,6.9118053520310205,6.924703721215115,6.934830185543772,6.940780238249319,6.950551855491054,6.958525306081693,6.962155219891017,6.9693485475563275,6.975811346501477,6.977886075150435,6.983234228926852,6.988814745325804,6.99008140292996,6.994322373128645,6.999527293188343,7.0005834166961876,7.004334396815143,7.0094975566399516,7.0107442844606815,7.014456993517636,7.019749945625799,7.021416237796678,7.025352218480547,7.030873276210371,7.03307379584445,7.037387767698065,7.043175481960479,7.0459629697881665,7.050731243881726,7.056812165109717,7.060211015381776
