,vsini60,vsini62,vsini64,vsini66,vsini68,vsini70,vsini72,vsini74,vsini76,vsini78,vsini80,vsini82,vsini84,vsini86,vsini88,vsini90,vsini92,vsini94,vsini96,vsini98,vsini100,vsini102,vsini104,vsini106,vsini108,vsini110,vsini112,vsini114,vsini116,vsini118,vsini120,vsini122,vsini124,vsini126,vsini128,vsini130,vsini132,vsini134,vsini136,vsini138,vsini140,vsini142,vsini144,vsini146,vsini148,vsini150,vsini152,vsini154,vsini156,vsini158,vsini160,vsini162,vsini164,vsini166,vsini168,vsini170,vsini172,vsini174,vsini176,vsini178,vsini180,vsini182,vsini184,vsini186,vsini188,vsini190,vsini192,vsini194,vsini196,vsini198,vsini200,vsini202,vsini204,vsini206,vsini208,vsini210,vsini212,vsini214,vsini216,vsini218,vsini220,vsini222,vsini224,vsini226,vsini228,vsini230,vsini232,vsini234,vsini236,vsini238,vsini240,vsini242,vsini244,vsini246,vsini248,vsini250,vsini252,vsini254,vsini256,vsini258,vsini260
T15000logg2.0,1855.4178388496996,1815.5663746461626,1778.8652416751083,1753.0441073575641,1715.8705600851026,1681.603277471061,1657.1092519414915,1622.648092244697,1590.8463118984575,1567.8016939158194,1536.0093455096512,1506.6412905101697,1485.107077087023,1455.899670344353,1428.898140471713,1408.894995323178,1382.166787282046,1357.4429486232063,1338.9630291569704,1314.594743717407,1292.0452016223935,1275.0593385044892,1252.9229109799446,1232.434561743641,1216.8976787373674,1196.8605211530419,1178.3152564421764,1164.1713526550031,1146.1005054199939,1129.3792336876825,1116.5656067888985,1100.3308342306618,1085.3165399816871,1073.7671576690807,1059.2431665431482,1045.8228513464535,1035.470593067614,1022.5378305038467,1010.6031580506857,1001.3809383679203,989.9254647825788,979.3724653670173,971.2133754628125,961.1256564029112,951.8535659504505,944.6903418191035,935.8640717782282,927.7741789135744,921.5385234979791,913.8695467765134,906.8643746379308,901.4865847327696,894.8728038194491,888.8563306598998,884.2657523358943,878.6080895993173,873.4869013099939,869.6131809896515,864.8170129066306,860.5018131036918,857.2764420625905,853.2530643463436,849.66007177951,847.0178489609247,843.6854412982824,840.7373829475696,838.617501660551,835.9015106232255,833.5279741512096,831.874572037728,829.7078962468312,827.845699916381,826.6083501226416,824.931539182155,823.5248638376215,822.6588441256263,821.4200352855538,820.4203954474104,819.8867567961598,819.041386840572,818.4072520690421,818.1725357741865,817.6827250956354,817.3787532739692,817.4143831012099,817.2478765877519,817.2435529269397,817.5246670226147,817.6529044094228,817.9203054482323,818.4238725367945,818.8194226493164,819.3308680521999,820.0338918668548,820.6688587838922,821.3960386812009,822.2748971331208,823.1208580310835,824.035177788357,825.0659092715041,826.0945236147405
T15000logg2.2,2741.2178637103466,2703.5476320819885,2669.1215604162785,2645.2449719397696,2609.5718255098977,2576.9569367581216,2553.973955185158,2520.3927303169303,2489.6642367966865,2467.7080299078566,2436.2279472300565,2407.3938818101637,2386.5390192633618,2357.1237515482344,2330.1548615397937,2310.4387649102578,2283.026801214062,2257.8719474238073,2239.306936204823,2213.8213432187235,2190.4147072814044,2172.9944921974197,2149.3471688479526,2127.611993517989,2111.3155785111244,2089.410932421467,2069.263824365586,2054.059702428054,2033.799760790512,2015.155645644206,2001.0062216686367,1982.2950893901095,1965.0705633335056,1951.9353398689716,1934.6812120316729,1918.795914149938,1906.6330207643216,1890.748165248164,1876.1243157032668,1864.8905408826067,1850.289673941883,1836.8502371736183,1826.49989243694,1813.0980896088076,1800.7652686052013,1791.2493494218313,1778.9611933503363,1767.6558806703376,1758.9218198454116,1747.6612837035166,1737.3031983209075,1729.2952044043443,1718.9763297785928,1709.4848976435426,1702.1449375286647,1692.6832677838047,1683.9792387458729,1677.2486278993085,1668.5630713046642,1660.5703497300758,1654.3915110267405,1646.4060238342497,1639.0533053052125,1633.3714847753654,1626.0163716561513,1619.2383372886336,1614.0028363747563,1607.215082052908,1600.9528321343132,1596.1176950569752,1589.8412636831401,1584.0426674663233,1579.567099891665,1573.7529371733042,1568.3725820187385,1564.2210356234452,1558.8267717362787,1553.8256686318382,1549.967708103715,1544.9573053999256,1540.3026331082008,1536.7127460178588,1532.0562665545813,1527.7210154221436,1524.3782590120238,1520.0512400945393,1516.0130043741576,1512.899920753449,1508.881346113373,1505.1199264445968,1502.2205644332746,1498.4900292538907,1494.984631659206,1492.2823175923538,1488.8176366853968,1485.545330640376,1483.0215577026972,1479.7984808145832,1476.7346897631214,1474.3694943646788,1471.3626482023892
T15000logg2.4,3300.210877786776,3268.485481530286,3239.460311722638,3219.3524785206278,3189.1082576543213,3161.431720274341,3141.9534571684167,3113.2937038558994,3087.0489059107044,3068.3223388275615,3041.275864547577,3016.485987993354,2998.5825091456168,2973.1341267726043,2949.786200410727,2932.7433644215016,2908.8516520081394,2886.9102757237256,2870.742285145583,2848.349472117597,2827.764461144663,2812.4685483194266,2791.505510737545,2772.216358964286,2757.776864610653,2738.1677292891995,2720.108198977483,2706.5006187463564,2688.167574237484,2671.2698698668614,2658.464585549811,2641.331315942454,2625.528914258599,2613.493804239943,2597.487420348202,2582.7163137962502,2571.4181058026193,2556.4691545089704,2542.667383577119,2532.0715737628248,2518.112540233819,2505.2185127703915,2495.2882773004985,2482.2515346416326,2470.2024349338585,2460.89765862149,2448.7147486578165,2437.4464555202385,2428.723902889718,2417.3260464047366,2406.7736950013923,2398.587653481755,2387.9064451083173,2378.005272318938,2370.3085344795404,2360.277007112074,2350.96373613471,2343.7090891842818,2334.26345979416,2325.478082484191,2318.6200490893066,2309.7011007005117,2301.388176848372,2294.884323126964,2286.438294701114,2278.5477757962562,2272.3595601615716,2264.3386653415896,2256.8264113051046,2250.919771278847,2243.2825401612995,2236.110598000059,2230.4562580908237,2223.167483517369,2216.3038642028328,2210.8772485659497,2203.907594618714,2197.325929511026,2192.106931047994,2185.432530786357,2179.111546512687,2174.0840713809284,2167.685802825564,2161.608411349293,2156.759611470445,2150.6219399708148,2144.7737832989847,2140.092809549112,2134.201903549239,2128.5692299299367,2124.0454758335277,2118.386862257622,2112.95445188929,2108.575936520224,2103.1329846024746,2097.883361220308,2093.6362044283233,2088.390206323958,2083.304256098209,2079.173169222013,2074.1043133383405
T15000logg2.6,3442.1140441976727,3415.458683985768,3390.8113024239224,3373.5074801365286,3348.050369003453,3324.4934943688445,3307.6917711192414,3283.513363712905,3261.116189326241,3244.9214989694374,3222.0454000794202,3200.830616427882,3185.307356935283,3163.7223371146915,3143.682475159785,3128.866066231963,3108.5387670123655,3089.646791386238,3075.5518441106337,3056.435126904589,3038.6508866302706,3025.276536807283,3007.3144097662407,2990.5893790219257,2977.923526559804,2961.055533716328,2945.336381451478,2933.3589542675277,2917.5228527199197,2902.7542685012018,2891.4400052435662,2876.5746285900423,2862.7018060855557,2852.0226413275527,2838.069363446654,2825.0390148273327,2814.965343664986,2801.8680697100153,2789.628291442649,2780.1292571926065,2767.833442699837,2756.332742934701,2747.3758054656196,2735.8269771549135,2725.0130341289046,2716.563355676179,2705.705961229584,2695.525090281119,2687.5454267424484,2677.322761403721,2667.7202581602687,2660.1714432915237,2650.5264681307426,2641.4476726567227,2634.2896413261,2625.16637471301,2616.5581661822685,2609.751306264268,2601.0965416058093,2592.9089491144528,2586.4155314619666,2578.180184152961,2570.3674250123186,2564.152527869932,2556.292372918009,2548.813455608458,2542.84558095176,2535.3215852000594,2528.1405023803886,2522.391857555767,2515.170335909304,2508.256371008564,2502.7032981971947,2495.7561465126228,2489.084019289459,2483.707153299857,2477.0117523207578,2470.5614170767653,2465.3455292373305,2458.8841191834754,2452.6396937093814,2447.5727975490445,2441.3311266012424,2435.2797796273558,2430.3523142494255,2424.318698612027,2418.449241506707,2413.652717438917,2407.815873535098,2402.1166681340524,2397.442059732463,2391.7895866935696,2386.2473779636935,2381.684156568648,2376.201725411062,2370.801246883119,2366.337120603244,2361.0086241369822,2355.7330787264414,2351.3544338571664,2346.1626108697824
T15000logg2.8,4103.201173316378,4077.708101155042,4054.1123135997764,4037.519103681619,4013.1051804713093,3990.49079758321,3974.333256704045,3951.078350116962,3929.5130382315406,3913.890942477538,3891.819405511293,3871.325166956629,3856.2989011570103,3835.400746036195,3815.970519445857,3801.5729092916463,3781.816885048036,3763.4245498325595,3749.6685372245497,3731.009366253152,3713.6162307233103,3700.500204707576,3682.8845497236434,3666.444092340554,3653.955971560075,3637.325848277807,3621.786924757109,3609.907272569295,3594.20294796441,3579.5126405916285,3568.2174007244685,3553.3800599819347,3539.4860330721754,3528.7487958187994,3514.7218022963098,3501.573289286327,3491.366384629206,3478.0955081709494,3465.642924325796,3455.937333081733,3443.369658530976,3431.563673367862,3422.3286216067268,3410.4115078670015,3399.202331412435,3390.404884273948,3379.085388943998,3368.422280114546,3360.0270728818487,3349.251942957719,3339.0835850784256,3331.0534448419353,3320.7698970430133,3311.0455716912707,3303.342689108622,3293.499675286208,3284.1704272484617,3276.7575505206846,3267.3068844725967,3258.3268987752085,3251.1687401429645,3242.0663042179626,3233.3940321674327,3226.4582926134394,3217.664979037168,3209.2638961558537,3202.522084101498,3194.0041142777864,3185.843110929421,3179.270974799425,3171.00021388751,3163.05369656899,3156.631355698648,3148.585139552668,3140.8328499211543,3134.544744391398,3126.705694960745,3119.1323977771667,3112.967016488945,3105.3224322111796,3097.9169764373687,3091.8660135815103,3084.406475091711,3077.1600920726887,3071.2169980451417,3063.934413036772,3056.838581128979,3050.9967845756964,3043.882246994385,3036.926786461228,3031.178187440791,3024.2205237716767,3017.3927298307294,3011.727124315809,3004.912818686948,2998.198013538529,2992.603573978869,2985.9175325707924,2979.299992133095,2973.7640236503375,2967.19054841348
T15000logg3.0,4375.790468755464,4356.047562027805,4337.7489475572165,4324.879461563946,4305.845955614354,4288.192195637525,4275.578220857854,4257.325204537597,4240.377811619882,4228.101060085387,4210.659483455718,4194.446190679426,4182.559328390677,4165.933413930966,4150.458801149523,4138.9931504201695,4123.169300363613,4108.4223049088505,4097.393577485866,4082.3464561477413,4068.30538810845,4057.7177031871834,4043.414277906106,4030.0501831869587,4019.898968811776,4006.301361520585,3993.580829630471,3983.855397441572,3970.9236150056,3958.811077086081,3949.496781365919,3937.189971948363,3925.649003622231,3916.728494363931,3905.0062020763453,3894.000204803607,3885.4541095917534,3874.276278427076,3863.7685037358783,3855.5757148679754,3844.902512481423,3834.855841854951,3826.9934405093095,3816.7848129321405,3807.1611850821178,3799.6040441872215,3789.819002166398,3780.5790107170583,3773.299661807077,3763.8965952897656,3755.0000223806323,3747.9692165468364,3738.9065546687434,3730.3133768168173,3723.5010483292413,3714.7387448698587,3706.4104487890368,3699.786925722978,3691.287368692439,3683.188022324624,3676.7252025408084,3668.4543931366184,3660.551871880345,3654.2243826855733,3646.1528166123385,3638.41961473137,3632.205577451957,3624.308648356748,3616.721865581036,3610.6029781226775,3602.8605509278623,3595.4017835156706,3589.3634875906087,3581.760209491072,3574.4159761564224,3568.447755520398,3560.9730924024807,3553.734331963271,3547.8292536398953,3540.4765769685687,3533.337719849129,3527.4917308432764,3520.2569982520813,3513.213957499491,3507.4240215384834,3500.3032804401046,3493.3514888100176,3487.6141831763234,3480.602571908543,3473.735850926137,3468.046206644262,3461.1364966828164,3454.3460871469306,3448.6970554854634,3441.8797212294576,3435.1549386776187,3429.5378568406595,3422.8018471812316,3416.1308486663997,3410.5360498999785,3403.8693385524784
T16000logg2.0,1637.2251835570685,1596.1889580092356,1559.0848053946436,1533.5235627430754,1495.4116732532566,1460.9418931498174,1436.8105634469714,1401.6642990758362,1369.8619833127807,1347.2842720173142,1315.0693166482,1285.9073740249062,1264.9495130993676,1235.5894245638824,1209.0048590339427,1189.6938111616294,1163.0856672347002,1138.9911253075559,1121.3244473307566,1097.3460865799707,1075.635501080777,1059.586936062503,1038.1015121443086,1018.654423480939,1004.1783487040515,985.0385469476829,967.7242724223497,954.759928592441,937.8123835976895,922.4944763612893,910.9702772839177,896.0600556004359,882.6005174208414,872.4381432990602,859.4129700065215,847.6759492739411,838.7939318693502,827.5067972566663,817.3609855990352,809.6771628241278,799.988121928334,791.3083640120245,784.7415689158333,776.5183471786631,769.1858064590301,763.6565537333968,756.7737966017539,750.6749559515565,746.1051414402713,740.4426294795948,735.4677546476884,731.7799359154327,727.2216052572427,723.2644238704708,720.3819100065344,716.8163158246502,713.7747133221343,711.6224087663709,708.9439351040725,706.7211357549186,705.2266679834834,703.3367624291118,701.8424092212023,700.9371689714152,699.7452045499291,698.896107254168,698.5160132476976,697.9396163554615,697.6598824195116,697.745731309828,697.7106799065436,697.9317888686065,698.4295310784005,698.8696671172085,699.530477025067,700.391417181649,701.2487414642766,702.295755556585,703.4768720797134,704.7015695733393,706.0887033296623,707.5525433626007,709.1023041569312,710.7902773508966,712.504590395566,714.3437442355865,716.2989391180032,718.235850790416,720.3332322153492,722.5254060136318,724.6597152021965,726.9860510569811,729.3861714784343,731.6936357099489,734.2199864578798,736.7993654910264,739.2559901648282,741.9538000043245,744.684293646725,747.2664172257041,750.1078227244576
T16000logg2.2,2018.2811793366743,1979.8458063094197,1945.1951281603826,1921.4435522136298,1885.4021641208121,1852.9143664499923,1830.2963120038703,1796.7026482489089,1766.4165938250792,1745.046252330428,1713.876125061982,1685.7707508061378,1665.7072229657826,1636.8978427276716,1610.9211729098145,1592.189513435098,1565.6584733546736,1541.7405588609681,1524.3422982312484,1499.9943852440301,1478.052310322242,1461.970638801685,1439.7008010607217,1419.6418701408409,1404.845317586616,1384.5420523949942,1366.2674776017802,1352.713743299708,1334.2631654965496,1317.6719636977775,1305.3118174859785,1288.601479797673,1273.5939529756536,1262.374699045953,1247.295830192564,1233.7752056036409,1223.6425909869151,1210.0905852979065,1197.963112026664,1188.861830232523,1176.7350345831667,1165.9087042673116,1157.7818507857057,1146.9800889467595,1137.3634590411132,1130.1519488118684,1120.5751547622351,1112.076231310506,1105.7182433360992,1097.2660599588905,1089.7923234385516,1084.223556052318,1076.7959240213577,1070.2551929486247,1065.4098159633102,1058.9086802776053,1053.2108369127466,1049.023109257696,1043.3544158430166,1038.4132708390182,1034.8192342278292,1029.8947554149831,1025.6296908221668,1022.5686539321347,1018.3073514627436,1014.644368623742,1012.0599042590994,1008.3885514167278,1005.2607935110209,1003.1013356931304,999.9546833566092,997.3025047271561,995.5215774337802,992.8422022362101,990.6131758504974,989.1695494756156,986.90791238073,985.0567591778948,983.9144654863652,982.0284659449443,980.5166477561593,979.6447589103851,978.0993631170768,976.8947866867833,976.2672645052234,975.0337170067563,974.1094948329543,973.704319363715,972.757986177999,972.0900531809015,971.8874747549394,971.2045722973402,970.7689213512649,970.7493318948791,970.3048229104755,970.0763124982462,970.219251158734,969.9868157531397,969.9394079843918,970.2236420104418,970.1763490500394
T16000logg2.4,2589.77919473446,2554.855107298364,2523.3754798935693,2501.8377816468787,2468.812614758893,2439.052156257174,2418.370283090177,2387.3286100180617,2359.3503112311314,2339.6410090964405,2310.589302682411,2284.3957921833567,2265.7233460084103,2238.6262288888565,2214.1866683810763,2196.582127981537,2171.380686802862,2148.6441021696255,2132.1156494245033,2108.735832036847,2087.6374126883043,2072.175970951836,2050.5329796703118,2030.9982078574933,2016.5815032628454,1996.5841815566084,1978.5331460096265,1965.129679387821,1946.684886695639,1930.0361795268554,1917.6088954917195,1900.625211491147,1885.2989991652423,1873.8082322107273,1858.1980394718855,1844.117433367328,1833.5224809981025,1819.2019123948157,1806.2925638399465,1796.5517379749647,1783.4390381707672,1771.6273561480828,1762.6969342428747,1750.7103976172027,1739.9219757939738,1731.7552832723313,1720.8121072808033,1710.97103944178,1703.5181356027372,1693.5344871411965,1684.563799393126,1677.7719486487201,1668.6638460016,1660.486355489459,1654.3009738057365,1645.9858823035113,1638.5260145074997,1632.892333646513,1625.2912001535876,1618.4767569425874,1613.3414274700901,1606.3803212663145,1600.1439121680178,1595.4563533653456,1589.067706738049,1583.3477712485671,1579.0611287885556,1573.1842603995035,1567.9254749178178,1563.9971425506774,1558.5783950378527,1553.7317648247008,1550.123609434397,1545.1163390348304,1540.6392928286689,1537.317879585371,1532.68244378431,1528.5387511481379,1525.4753384996259,1521.1787500313542,1517.3381714333261,1514.5085251976154,1510.5239943282331,1506.961776963041,1504.3458612576967,1500.651859208779,1497.347535524478,1494.9286490365673,1491.506772910555,1488.4418394737756,1486.2048624632423,1483.0368625382146,1480.1921900316158,1478.1215949618966,1475.1872314276413,1472.5418124481494,1470.6206436651803,1467.897572570324,1465.4288563525527,1463.6389200718693,1461.1035419521688
T16000logg2.6,3183.7001496613825,3152.3767450816754,3124.117871864691,3104.7984124813647,3074.9692879355757,3048.070938631834,3029.3951400905958,3001.160198704269,2975.700003074529,2957.7837249017557,2931.172411878857,2907.171781565348,2890.083103936386,2865.082304167902,2842.5281015150554,2826.3027503536,2802.873479378495,2781.7304803482116,2766.3813345254257,2744.4673517348297,2724.6853146912176,2710.2083381699535,2689.7418864762426,2671.260381993805,2657.63891302839,2638.545069807886,2621.2977061911647,2608.5062915405983,2590.7074457221506,2574.62600062514,2562.6340867832973,2546.0538611849183,2531.0714530842156,2519.846265990373,2504.4113483264723,2490.463371040183,2479.971057839712,2465.6108810426213,2452.6342875693035,2442.839752289409,2429.48479413705,2417.4167121053088,2408.2827901591104,2395.8631833524373,2384.6396899185324,2376.1263985218134,2364.5709466867897,2354.1265742197324,2346.190880163065,2335.427354520078,2325.695661261792,2318.292084516713,2308.248420351201,2299.163296442492,2292.245119486726,2282.8510093833243,2274.348113143335,2267.8687198833773,2259.0573389093515,2251.07590316338,2244.9904286776527,2236.700161464756,2229.1841168872756,2223.450479460613,2215.6254803388183,2208.52410700206,2203.10375912185,2195.69446567134,2188.962739478828,2183.8210407327783,2176.7843292888515,2170.383076336349,2165.4895962861647,2158.7888443968036,2152.6849697890448,2148.013780087748,2141.6190924177436,2135.785482950739,2131.3150810856464,2125.202623979527,2119.6174435119833,2115.3303350702768,2109.4815590565136,2104.127514998529,2100.00971807911,2094.4101175651367,2089.272959690664,2085.312865295496,2079.9496675234636,2075.015930113985,2071.2025891469225,2066.0622323408566,2061.31704590878,2057.63846344443,2052.704883008086,2048.1311478937732,2044.5736326183862,2039.8285537802449,2035.4075491950287,2031.9560912349282,2027.3798332706526
