,vsini60,vsini62,vsini64,vsini66,vsini68,vsini70,vsini72,vsini74,vsini76,vsini78,vsini80,vsini82,vsini84,vsini86,vsini88,vsini90,vsini92,vsini94,vsini96,vsini98,vsini100,vsini102,vsini104,vsini106,vsini108,vsini110,vsini112,vsini114,vsini116,vsini118,vsini120,vsini122,vsini124,vsini126,vsini128,vsini130,vsini132,vsini134,vsini136,vsini138,vsini140,vsini142,vsini144,vsini146,vsini148,vsini150,vsini152,vsini154,vsini156,vsini158,vsini160,vsini162,vsini164,vsini166,vsini168,vsini170,vsini172,vsini174,vsini176,vsini178,vsini180,vsini182,vsini184,vsini186,vsini188,vsini190,vsini192,vsini194,vsini196,vsini198,vsini200,vsini202,vsini204,vsini206,vsini208,vsini210,vsini212,vsini214,vsini216,vsini218,vsini220,vsini222,vsini224,vsini226,vsini228,vsini230,vsini232,vsini234,vsini236,vsini238,vsini240,vsini242,vsini244,vsini246,vsini248,vsini250,vsini252,vsini254,vsini256,vsini258,vsini260
T15000logg2.0,14.644391302485865,14.009566846698853,13.441154441052255,13.039234875100355,12.479757687131944,11.979761245352325,11.62095929834455,11.133334844724274,10.698197599109118,10.381948108701335,9.960938223493322,9.585758058713333,9.310120663644595,8.949751256292325,8.629128302786697,8.3914488528343,8.085653180472377,7.814194843677543,7.611525533186277,7.354518380455705,7.127124228034473,6.956487446470311,6.742958538552543,6.554940950658399,6.413455612673683,6.238581883879261,6.085629999778254,5.970531594884093,5.829918327207064,5.708077948587942,5.616740307161751,5.506394282060439,5.412057283711423,5.342008454920015,5.258329760868035,5.188234515106924,5.137182667029006,5.076960609249372,5.028182861439125,4.994025619734752,4.954382311766375,4.924268713603972,4.9050584206050605,4.883368592941837,4.869500120833286,4.863434285588625,4.857337053637465,4.857563324555004,4.8630142624362485,4.8704377901087055,4.882875343022627,4.898396147917836,4.917541591812305,4.940566584518153,4.964892070317653,4.994200733775513,5.02639252118256,5.058396953147843,5.096466548433515,5.13653550531811,5.17518299751342,5.220701217101993,5.267445234602525,5.3117526155971655,5.363462111819771,5.415722099683586,5.464720484487886,5.521395506679691,5.578029876313632,5.6307508595064775,5.691199185330559,5.751094226758031,5.806584532301259,5.869666435527899,5.931762129749932,5.989106921985215,6.053763483364329,6.117082192151748,6.175432270800504,6.240724348415863,6.30441525641514,6.363033686644788,6.428196103753937,6.491590002737942,6.549903298332214,6.6143854605692685,6.677014527751879,6.7346306753822525,6.798088406017167,6.859673006032832,6.916366267805273,6.97862103892263,7.039021311867585,7.094684712178085,7.155658093294431,7.214810101989997,7.269395791873734,7.329044735037851,7.3869085258087575,7.440386152501677,7.498676177062974
T15000logg2.2,18.177873867960685,17.443297250348756,16.778034622985984,16.303135989066405,15.645146957862798,15.050643867008855,14.619977269475458,14.037572299085845,13.512258790007197,13.126808390206937,12.616292285925713,12.156414243433238,11.815199508122792,11.371320478167766,10.971945847566824,10.672781671087158,10.289657782566353,9.945470417864538,9.685587391919263,9.357402387099032,9.0632341215507,8.83969889609967,8.560984306610125,8.311926471142876,8.121757704751007,7.887371171991741,7.6787326134638345,7.518934967520289,7.324038054968225,7.1514080764801475,7.0190592520239825,6.859181068636993,6.718504288710151,6.610835503346756,6.481965744261951,6.3696093674238705,6.284078471752999,6.18265635874309,6.095375098252788,6.0296663951371166,5.952516235594548,5.887388612022613,5.83936990103983,5.783597471050616,5.7379228554293285,5.705578660373512,5.668486883342122,5.639753342511764,5.621178971779576,5.600288524142026,5.586216538308371,5.57964950552122,5.572722975546878,5.571253201667754,5.575070813806981,5.580087506868479,5.589359643728577,5.602070934359303,5.617205804292166,5.635533777975911,5.655772182215691,5.679344956570355,5.705186279016895,5.731689127599852,5.762140166263405,5.7940741861131375,5.825655349050937,5.861532483119562,5.898232406668421,5.933766230628475,5.973731858743729,6.013974385025317,6.052413419974438,6.095264000843681,6.137948061198044,6.178342911278719,6.223015223539583,6.267164802987992,6.308668024564195,6.354231283424405,6.398995802045928,6.440868884879699,6.486553718118642,6.531251669305281,6.572911422428973,6.618152454003937,6.662304999438171,6.703353461871433,6.747799727019695,6.791132042059376,6.831357581277099,6.874858109019016,6.917274434116008,6.956625001358156,6.999175596099773,7.040693127283724,7.079207084291608,7.120855775897048,7.16151548995799,7.199243765082239,7.240023461940966
T15000logg2.4,16.70381486482828,16.049501645594745,15.456226317179919,15.033101797630385,14.446907558996672,13.916657968280768,13.532951320927838,13.01405528035008,12.545512722749667,12.202148954015199,11.747337911790348,11.337228298852832,11.033378775319152,10.638052762027423,10.282066939170582,10.015849626867038,9.674901640790393,9.368434896913268,9.137488622898836,8.845891135742793,8.584465268011014,8.386275958935816,8.139269934065554,7.918594092076057,7.750571571642429,7.543633613615035,7.3595806123930805,7.219102862804302,7.047969155629019,6.896629850006753,6.781114287146886,6.641812421243826,6.519570098663801,6.426550467563057,6.31548235398822,6.219063465422092,6.146252663145884,6.060206114054526,5.9866779814986435,5.931979768077897,5.868064887239689,5.81475297662323,5.776212801228534,5.731770779801938,5.696194124972823,5.671957474746225,5.644506235427268,5.624349109225124,5.612654785225238,5.59990500300138,5.593054280366326,5.592265427527655,5.592150923612915,5.596706539883147,5.6053270482352495,5.616001778649,5.6302659570852995,5.646932474349547,5.666720215380199,5.68913619318008,5.71258257729086,5.739924682986167,5.769055863765472,5.79810561718395,5.831560135090218,5.8660945919108585,5.899653077246251,5.937890064773572,5.976614258720949,6.013650371825751,6.055444553156422,6.097237673959222,6.136791048208112,6.1810400082620385,6.224893561575737,6.266095027014211,6.311827881382424,6.356852590131204,6.398929564569617,6.445304213775611,6.490732940501712,6.533020722001052,6.579348206556125,6.6245694339653305,6.6665461915250255,6.71232514938517,6.756914486159583,6.798228287766531,6.843150201408157,6.886864427447947,6.927326776093746,6.971252203151089,7.013998449117881,7.053552916928225,7.096462059540404,7.138242235902414,7.176909099159611,7.218830068526747,7.259671860699628,7.29748807509907,7.3384460908716385
T15000logg2.6,14.024484502563142,13.470376496975774,12.970478017632963,12.61555708340498,12.123169208037414,11.67992561702335,11.360642893765778,10.92825074307714,10.539682003698081,10.256267596917787,9.88033121256865,9.542994208403913,9.294308257886918,8.970352012981094,8.680153917716076,8.464310286018097,8.187651025141609,7.940408604660103,7.755216302912006,7.521328943420574,7.313022492563151,7.156199992634779,6.960846123841308,6.787687059836975,6.656942492221272,6.49615853030997,6.354552323976012,6.247603236616119,6.117690661934828,6.004271475533323,5.91889330160331,5.8164198231091255,5.728054521945595,5.662110609104998,5.583948073287373,5.517787298380415,5.4692766500683785,5.412591881867791,5.366029968961371,5.3330831405095624,5.295305014756397,5.265969946951269,5.246844418834312,5.2256066367554315,5.211297399370166,5.204346964788099,5.197477032354748,5.196190051908304,5.1998885245909845,5.205417405112835,5.215335875456534,5.228275017796083,5.244437294785133,5.26394589897771,5.284856069051973,5.310094786798045,5.33776736398393,5.365503200529074,5.398411760124,5.432945473488672,5.466446628921275,5.505715343265788,5.545902203340497,5.584175470966753,5.628578576403425,5.673302870410299,5.71541255193392,5.763804817910868,5.812012369223155,5.857057828326646,5.908362014293377,5.959059170146848,6.006185056859658,6.059413030628459,6.111689511835065,6.160106815572386,6.214372015426526,6.267415384991775,6.316415822849496,6.3709538585409256,6.424070853088911,6.4730533110943025,6.527251111349732,6.579901899927491,6.628405534258012,6.681826644576294,6.733642444590968,6.781359777970095,6.833736254015291,6.8845031574939535,6.931265009272387,6.982468574358166,7.032094898997558,7.077836550304066,7.127826861769703,7.176288350858481,7.220998187815886,7.269769338680017,7.317063942592164,7.360747523817199,7.40830110429984
T15000logg2.8,14.113631841451731,13.568324739099232,13.076176450085663,12.726635302795422,12.241477421744221,11.804566278030002,11.489721683797306,11.06308086977946,10.679487405110539,10.399581136939922,10.028016667202218,9.694425531015172,9.448383827150584,9.127605009420002,8.840093020698966,8.626133085134462,8.351639017890182,8.106190660178106,7.922231634434343,7.6896858442758385,7.4824538276713195,7.326335118249612,7.131675847943973,6.959025482634262,6.828566636949409,6.66797894905317,6.526449229630092,6.419461975086904,6.289361952814948,6.17568100057882,6.090011953908365,5.987063114314298,5.898185335197201,5.831760805100329,5.752898431118079,5.686020383452609,5.636876229346733,5.579310107302949,5.531865720794588,5.498157187342752,5.459334292391877,5.4289603432790905,5.408952164435459,5.386523403790968,5.37103466588546,5.363088402824025,5.354883181731079,5.352272607812433,5.354858870108479,5.358914121459149,5.36738040978761,5.379106135884552,5.393679705071673,5.411630061268877,5.431238506358985,5.454784834970391,5.480799622828144,5.5071518673518485,5.538274950695061,5.571065857962949,5.603113307579173,5.640518011562266,5.678895472257094,5.715657341420277,5.75813452932476,5.8009906672209235,5.8415340640856375,5.8879421283579365,5.934226055456601,5.977652655698703,6.026918663114868,6.07564217095754,6.121100018985872,6.172240184017325,6.222496680424574,6.2691982975293445,6.321331912380574,6.3723166153147535,6.419562453359296,6.47194149942445,6.522981974597079,6.570188751697619,6.622226612824324,6.672805984768498,6.719533124744588,6.770817985868648,6.820590398101094,6.866550460040246,6.91683567547176,6.965605081770915,7.010643210131433,7.059808667331335,7.107488462857747,7.151542206177234,7.199546202496539,7.246111625241828,7.289168530024002,7.336003937911523,7.381451885413414,7.423516111029907,7.4691852530672
T15000logg3.0,12.030875228243623,11.592547222820965,11.19704562103121,10.916456566955244,10.52726322219012,10.176944993454255,9.924848578448488,9.58352044002402,9.27689643611474,9.053538081303191,8.757353879674769,8.491785312201715,8.296332271529433,8.04185749191739,7.814209353890694,7.645259547512361,7.428923338272217,7.236017615746424,7.091946602996905,6.910311614201146,6.749099227650479,6.628217319421437,6.478059674408285,6.345651113799071,6.24623714853735,6.124491164658082,6.018085583824861,5.938374838125483,5.842127744077093,5.759059510513369,5.69730189647202,5.623823002352456,5.561589829894688,5.516079405003798,5.462835494633847,5.419104713522462,5.388202766807648,5.35285536084165,5.325468873544988,5.307619375734653,5.288017332938982,5.274979707024236,5.268710512907518,5.262861723217207,5.262315983679326,5.266228388144077,5.272286840501317,5.282521809308727,5.295306526535389,5.311597391465244,5.331071259963709,5.351531181018583,5.376566241407462,5.4039209007282105,5.4309805500966855,5.463439844631927,5.497458114271156,5.530136761924162,5.568821541405065,5.608398522057549,5.645792267135219,5.689593387129171,5.733707599145376,5.77497025028643,5.822849130423108,5.870552181176823,5.914883276173719,5.965865953635099,6.0162624113484675,6.062892017584295,6.116062649867114,6.168306156924498,6.216501391705989,6.271018967881712,6.3243354724401035,6.373421924723522,6.428539146066436,6.482246192627774,6.531627855001576,6.586712604463715,6.640239057647637,6.689419183854132,6.743974145932728,6.7968821828568275,6.84548529404815,6.89916077671751,6.951154852672932,6.998932257999069,7.051514222139143,7.102421807759231,7.149232284579846,7.200609961610571,7.250349109542792,7.296129172798674,7.346259457453992,7.394802638145567,7.439532789871142,7.488405062227924,7.535746608170642,7.579425721978822,7.627041782473007
T16000logg2.0,14.774456353442437,14.136447737163069,13.568274519100456,13.166615611372883,12.606754298654899,12.109158083472806,11.752064266509215,11.26639565889124,10.835427590577808,10.522133744362673,10.104996586493215,9.735397619788731,9.46375253732874,9.10874155309431,8.794733650100788,8.561831103895136,8.262421883800245,7.998197631323476,7.800795069345911,7.550725461309526,7.330778911667352,7.165600002913162,6.959138978299792,6.778442899928901,6.642354949377862,6.474369232797735,6.328393295439777,6.2184650939345065,6.084387474424194,5.969058403735037,5.882571189429416,5.778322188271716,5.68998364943113,5.624430634424741,5.5463859795211174,5.4817823812402855,5.434872715794511,5.379832947886426,5.3360620757928245,5.305709715588256,5.270824150399609,5.245276243230006,5.229570426143117,5.21226635434325,5.202586308550067,5.1997757065369825,5.197762936407819,5.2018816043432174,5.210405163411455,5.221698405673322,5.237831680700175,5.256326716719927,5.279233739221125,5.305864149489718,5.333155416906173,5.366225309516281,5.402036810772973,5.437089151526174,5.479017714077713,5.522819591042942,5.564684064327413,5.614247511883564,5.664921611042069,5.712683896399408,5.768691488268912,5.825136317219979,5.877871809326788,5.939143349411754,6.000254438822567,6.057022414567928,6.122389245919981,6.1870687503232835,6.246926084556343,6.315246500482981,6.382426149927754,6.444445702370297,6.5146303246041,6.583301101912764,6.64660105269699,6.717665912366742,6.786935971754331,6.850737811486406,6.921870999654678,6.991025597167588,7.054711989459117,7.125313501922788,7.193837358143919,7.256973820287306,7.326656926009782,7.394228569908303,7.45655300453921,7.525102210633559,7.591543362619232,7.65291557165801,7.720215800940435,7.7854248975172755,7.845763031936201,7.911734838632569,7.975637077399368,8.034879046385425,8.099455680517664
T16000logg2.2,16.12727934499201,15.430358710936197,14.806511974671261,14.362968338910626,13.745409695401248,13.193779495589474,12.795565544705191,12.254787792655296,11.772508368559237,11.41973299888847,10.950876940268834,10.533291056830127,10.224335358734443,9.821357817023006,9.462924686699145,9.19514664448181,8.851593495924856,8.546540871518133,8.316806417659574,8.026373149997989,7.7691396500877214,7.574194954953536,7.331019287546237,7.1164252758249456,6.953070200486675,6.751805453649232,6.575068623006778,6.44021549880372,6.275979941110835,6.132724801481326,6.02345908671368,5.8918636268874,5.778155076408991,5.691782180139351,5.5889197770606565,5.501250820137533,5.435310555187626,5.357753021796976,5.293022362229162,5.245296625967928,5.1899980671896335,5.145421268180601,5.113881663509318,5.078079253420574,5.0511157945166305,5.033877483956704,5.015040961832666,5.0033812612749085,4.998702651365388,4.994567241085631,4.99616577240105,5.0024777786553525,5.011053714973052,5.024106543798697,5.039997337015179,5.059520438093969,5.082420292238307,5.106609468299298,5.1354842880348475,5.166770536496137,5.198077105734148,5.2348180839665925,5.273138003784046,5.3104474691777135,5.353660183896437,5.397736239298221,5.439965775399458,5.4883261987015075,5.536937506369608,5.583032921653554,5.635298673647437,5.687294231211161,5.736251993447214,5.791268425139535,5.845574670170478,5.89645218223954,5.953152977663903,6.008785529400145,6.060715363145386,6.1181547053662335,6.17425681286873,6.226486100044539,6.283888302520886,6.339778163113295,6.391718569758523,6.448525481068429,6.503730574264233,6.554987934253526,6.610858534571206,6.6651092896954935,6.715476495614002,6.770264339472555,6.82345445807268,6.872865200124036,6.926535517057464,6.978643242177436,7.027096661045172,7.079650563577529,7.130674170625083,7.178178610952006,7.229610748172984
T16000logg2.4,17.013862851712222,16.306324225984916,15.67060362670566,15.2177355154437,14.587340016211382,14.022155580738405,13.613369371500552,13.058343255019617,12.561526146131015,12.197403138022933,11.713537976433457,11.280959717084524,10.960255178530543,10.541975084421525,10.168475862700165,9.888832668988536,9.53005007158885,9.210175562806029,8.968704567006942,8.663422717080852,8.391873863416512,8.185528771588686,7.928119738402289,7.699885972598513,7.525599634118688,7.310838196023708,7.1212129897154774,6.975967252756918,6.799029274389573,6.643669176775973,6.524584290103143,6.381078586781395,6.256032612315887,6.160412676118178,6.046415835998728,5.948156617611205,5.873532951508154,5.785585396712972,5.710977453822315,5.655112320906413,5.590132098273027,5.536357430324585,5.497201457701367,5.4523722566914365,5.4168300196469295,5.392453203731301,5.365166479257917,5.34546484308342,5.3340626896003345,5.321955651682446,5.315949580538974,5.3158733692413325,5.316844128835535,5.322624628479872,5.332376111263837,5.344550690353083,5.36040511223795,5.378613142931456,5.400290901785029,5.4246543663627085,5.450048470901912,5.47964829455967,5.511078229885432,5.54246719639143,5.578514068705731,5.615670237337478,5.65192024201664,5.693048862405101,5.73467550078351,5.774700470453845,5.819646132189488,5.864574868413415,5.907354109784588,5.954964060920217,6.0021298427966165,6.046726997464409,6.0959622646406295,6.1444065374204895,6.189975608654853,6.239922620121329,6.288816850885793,6.334630233396538,6.384545270529684,6.433235157821321,6.478729415576328,6.5280792310000315,6.576116213239022,6.620919618769196,6.669388131774831,6.716525005369332,6.760450741777053,6.807912527102772,6.854067893264969,6.897073583981892,6.94351944339349,6.988698711612338,7.030809392445809,7.076266527115399,7.120493107104025,7.161741718964718,7.206227340876489
T16000logg2.6,17.1272067934566,16.439729509552848,15.820739739963313,15.379362394862884,14.764799247735311,14.212680256559237,13.812960495898029,13.270061945637408,12.783119041151254,12.425889032961893,11.950991388600508,11.525584354406847,11.20988495680128,10.797958965551278,10.429418744982947,10.153203532954548,9.798685830641292,9.482022875323715,9.242718006009985,8.940102375475009,8.670416262322638,8.465246406374584,8.209286069302571,7.981887013157646,7.808011000708341,7.59378677248441,7.404233085734863,7.2588206323430065,7.081731317059533,6.925866166214783,6.806176683617484,6.662009076912202,6.53602983320353,6.439474327885896,6.324424627428692,6.224902643830392,6.149087587169936,6.059779299082416,5.983653812549223,5.926397030660613,5.859805869818464,5.804300536623229,5.7635820621674805,5.716928186693412,5.679476454631818,5.653392033577287,5.624096634914157,5.602328129781286,5.5890856845344095,5.574791038511641,5.566559194890355,5.564507715210424,5.563108298968527,5.566498741651607,5.574132401408376,5.583747278575977,5.59704067250651,5.612980584958577,5.631903785142238,5.653529384738376,5.676494150873782,5.703139705706099,5.731647864358199,5.760440458350755,5.7933417374188885,5.827398810503342,5.860889476720863,5.898689455886757,5.9370510949418245,5.974161359103111,6.015609794147798,6.057125476756624,6.096849075944511,6.1408212552756725,6.184454111742003,6.22587730887138,6.271370383222372,6.3161963861842265,6.358502964206121,6.404645128309546,6.4498724014172675,6.4923677142967255,6.5384532068306775,6.583461284743982,6.625613258997224,6.671143104228596,6.715513627333402,6.756977096122648,6.801659373757816,6.845166395927349,6.885772572908705,6.929492250604048,6.972062182817345,7.011774387650443,7.054526324278596,7.096169571235635,7.135016611069931,7.176830683826719,7.217573971622293,7.255592102780818,7.296489545511573
