,vsini60,vsini62,vsini64,vsini66,vsini68,vsini70,vsini72,vsini74,vsini76,vsini78,vsini80,vsini82,vsini84,vsini86,vsini88,vsini90,vsini92,vsini94,vsini96,vsini98,vsini100,vsini102,vsini104,vsini106,vsini108,vsini110,vsini112,vsini114,vsini116,vsini118,vsini120,vsini122,vsini124,vsini126,vsini128,vsini130,vsini132,vsini134,vsini136,vsini138,vsini140,vsini142,vsini144,vsini146,vsini148,vsini150,vsini152,vsini154,vsini156,vsini158,vsini160,vsini162,vsini164,vsini166,vsini168,vsini170,vsini172,vsini174,vsini176,vsini178,vsini180,vsini182,vsini184,vsini186,vsini188,vsini190,vsini192,vsini194,vsini196,vsini198,vsini200,vsini202,vsini204,vsini206,vsini208,vsini210,vsini212,vsini214,vsini216,vsini218,vsini220,vsini222,vsini224,vsini226,vsini228,vsini230,vsini232,vsini234,vsini236,vsini238,vsini240,vsini242,vsini244,vsini246,vsini248,vsini250,vsini252,vsini254,vsini256,vsini258,vsini260
T16000logg3.2,15.116343992357148,14.565750967305313,14.068809550228032,13.714276789289915,13.220014262447027,12.774884336718074,12.45248084760562,12.013881225764568,11.61955622459083,11.330173246000937,10.944759915192101,10.598770271076312,10.341950243679513,10.006240824574279,9.705360165486809,9.479840152766721,9.189969195206288,8.93073012845424,8.734852274616594,8.486961629668965,8.265919804212384,8.097837953229632,7.888167746773933,7.7019367880734535,7.559673035669535,7.384592015363132,7.229872012023928,7.1113769313991275,6.9674086898875265,6.841026971180107,6.744239191872043,6.62811015358161,6.527083541454203,6.449993193630716,6.358664501376958,6.280216845077003,6.220892696734665,6.151561689309206,6.093125192970732,6.04973568953098,5.999827316577178,5.959033218805092,5.929850643364528,5.896975490846103,5.871615270754521,5.8549968919110915,5.8369295842731805,5.8249554325599755,5.8193491501887005,5.814044761968699,5.813588415951041,5.817549924311201,5.8231648594583865,5.832546948240419,5.844748756471235,5.859632548242484,5.877342035434761,5.896562449629177,5.919207618997628,5.943859642382825,5.968960344180823,5.9979768657648185,6.028301160107903,6.058218657913932,6.092320117013636,6.127143860616061,6.160875267065601,6.198874294353367,6.237109327978047,6.273705408483687,6.31451319924273,6.355155960852908,6.3937327241260995,6.436373019977901,6.478524609681044,6.518286420038375,6.56190528429584,6.60478410305525,6.645039589664849,6.688922437865669,6.731884979850026,6.7720715380222964,6.815667404672506,6.858231639231603,6.897938397804282,6.940873295853663,6.982726996189407,7.021700268183575,7.063768512682375,7.104755121296001,7.1428802570337036,7.184005568278252,7.224077022719284,7.261330986706359,7.30150937090497,7.340674468367029,7.3770786002562785,7.41633274532931,7.454614620190069,7.49019976290895,7.528551404271048
T17000logg3.2,16.615150510724785,16.015413576109804,15.474228963253381,15.086790002959917,14.546035283317751,14.05924091131256,13.705311564978672,13.22361711449217,12.79079737907159,12.471823603403514,12.04710859112506,11.66606992969726,11.381906951431514,11.010766165975786,10.678277804065054,10.427754670268444,10.106152534894797,9.8185552330335,9.599948633726509,9.323710491555971,9.077272444526336,8.888582990656992,8.653590404262452,8.444591911901412,8.283638593277324,8.085872404990717,7.910660116094007,7.775170356558328,7.610790849035427,7.465881560255117,7.353597655772559,7.219012700791726,7.101165074034866,7.009912180189271,6.901840785885245,6.808089995636068,6.735819097722654,6.6512858254194915,6.578933104894819,6.5237353062104715,6.460034270364356,6.4066078300228435,6.366693372891834,6.321315336989361,6.284500614763208,6.258155253126999,6.228736478058444,6.206357760867925,6.1919317109642735,6.176278354750994,6.166330510398151,6.1622643394764784,6.158385116366176,6.159047873692551,6.163890265290041,6.169992474732025,6.179619336223203,6.192027708275024,6.206482353448176,6.223568810024938,6.242294560264685,6.263591384819295,6.2867510767016705,6.310629301676952,6.3373788089368945,6.36535638100559,6.393309312582215,6.424254730957425,6.455905662687865,6.486930311855611,6.520943978281966,6.555236231055314,6.588418011401274,6.624504817262438,6.660526268461376,6.695051472219457,6.732345548191238,6.769302541692332,6.804462076546532,6.842225989440667,6.879449452547427,6.91465208160605,6.952299525969987,6.989275635332718,7.024081081254898,7.0612090664665,7.097602791267202,7.131739154874968,7.168126013586778,7.203768177021595,7.237115715393025,7.272686076534425,7.307535967670088,7.340086499068954,7.374855852991806,7.408942282277173,7.440740787417847,7.47475319943917,7.508118195429871,7.539216681323399,7.57250958587067
T18000logg3.2,16.728590583439658,16.10316901560209,15.54531246160209,15.149477841868316,14.587171728177847,14.086725561565537,13.725754603497315,13.226658603976842,12.783231308470896,12.458778589760952,12.020593055998898,11.631804908441888,11.343753761148102,10.96263089803367,10.624890664398206,10.371932904376573,10.043253458639427,9.7524193676472,9.532567930387124,9.25152263151715,9.003338959322544,8.814275525853164,8.576138341792435,8.366409868211386,8.205654035596915,8.005874744130063,7.830551244956216,7.69557671539818,7.529900069370752,7.38520125759665,7.273560235530842,7.138111540747886,7.020600857234572,6.9299953199225,6.821308429012227,6.727910099245902,6.656225966704876,6.571231041633941,6.499197725995671,6.44450427533612,6.38044442422749,6.327280495742579,6.287784067546905,6.242113518025044,6.205493184300506,6.17948265294451,6.149809931929217,6.127556183585322,6.113391031609595,6.097506639499084,6.087617168046112,6.083749025171285,6.079651888615677,6.080312923556308,6.085301356862993,6.091191724344274,6.100761666300686,6.113271251580064,6.1275086797804805,6.144481331830147,6.1632644860820305,6.184331241741262,6.207324504827664,6.231217006737126,6.257724932826607,6.285489415062003,6.313415883965359,6.3441199979065495,6.3755322547765285,6.40650403213531,6.440291992521878,6.474340615033073,6.507457886404982,6.543347361747724,6.579136164724055,6.613595831182821,6.650727340853236,6.6874745277346115,6.722574527608543,6.760216043340505,6.797261912453282,6.832416827687819,6.869982922745326,6.90681529466772,6.941584770107778,6.978667630275429,7.014947845687396,7.049057957363735,7.0854326660073,7.120990922754348,7.154323606990017,7.189916757759199,7.224712790127602,7.257263523293498,7.292094942260342,7.326161521407014,7.357981414802099,7.392098896471001,7.425480188362466,7.456623780006794,7.490064277297416
T18000logg3.4,16.47641114706415,15.884125275905689,15.35750851773797,14.98491421163625,14.450934118849553,13.977004607047071,13.635888160829559,13.160381627052635,12.738923186514164,12.431001345553138,12.0120006675242,11.641027150450201,11.366424021869756,11.000579154321622,10.677017918705799,10.434775069680834,10.11805064180226,9.83832443571734,9.626851586191998,9.355022336446687,9.11541865238751,8.932793635633535,8.701662510582336,8.498477733692503,8.342588620642289,8.148075019651321,7.977689792154335,7.846338027075488,7.684574586501553,7.543553840114675,7.43455392341359,7.301953740265073,7.187118562782688,7.098370875146993,6.991682007149076,6.900147652182103,6.829689783937218,6.746000908200597,6.675168345885852,6.6211846514938815,6.557853168264972,6.505331445562469,6.466111650920478,6.42067957844829,6.384230845786352,6.358132156227837,6.32828517203707,6.305805516986661,6.29124346963519,6.274833277793737,6.2643799274377185,6.2598496101889385,6.254918219052615,6.254716605625804,6.25880607002291,6.263580547300811,6.272018419785787,6.283412465814735,6.296274437776176,6.311868940219961,6.329333432066225,6.348784953750947,6.370177907459034,6.392562620757494,6.417241365893016,6.443208310537037,6.46945134885603,6.498135737599472,6.5275761027595935,6.556705891812282,6.588312382020785,6.620244253135531,6.651384041809244,6.684960081145699,6.718516934933588,6.750887175302691,6.7856046731865645,6.8200360554017445,6.852960901329438,6.888121072204898,6.9228001885452715,6.955722489982538,6.990775387444994,7.025224833557506,7.057734477932537,7.092306179820315,7.126217224681818,7.158066690992917,7.191960344718268,7.225187119306789,7.256279573181471,7.289442319941679,7.321961372698273,7.35230573459474,7.384767873565058,7.416619743957153,7.446271877664249,7.478086096217554,7.509320942259229,7.538338865397604,7.569546890149239
T19000logg3.2,16.898002082482314,16.2485501984484,15.673324122706573,15.265703992850794,14.68390853876098,14.169833771677412,13.799396316485147,13.285288154991134,12.831885532270846,12.500392208175136,12.051342070751227,11.655896722745604,11.363105660479189,10.974675510695052,10.633061224647912,10.377344460344457,10.044203131246817,9.751636856383747,9.530564320925585,9.247126769491594,8.998676695188648,8.809438840474476,8.570262326739968,8.361129673802369,8.200800120858851,8.000761621967257,7.8264372588424544,7.692146584929527,7.52657577305777,7.382953392729046,7.2720106364174235,7.136751091934215,7.02019243536651,6.93015334498937,6.821587269108095,6.728921294442191,6.657610726862399,6.572603707096487,6.501058342844898,6.446538420716293,6.382315723643651,6.329396539032653,6.289885872502021,6.243899333826876,6.207298712970521,6.181108150659271,6.150973538074749,6.128535587404019,6.114045707967807,6.097562867938289,6.087308007720443,6.0829889297540864,6.078162100248666,6.078290922895399,6.082715225597848,6.087748281576584,6.096635075285004,6.10848074326908,6.1217412213297,6.137895486004319,6.15592338156392,6.175901562507556,6.197958227910793,6.221010630468623,6.246341099832648,6.273073810112763,6.300084403836529,6.329543548096616,6.359849950439791,6.389842271782166,6.422340403693827,6.455233852734548,6.487324798652283,6.521899063963569,6.556505781401696,6.589905981756981,6.625710264202513,6.661265449744278,6.6952808475925485,6.731589404444271,6.767443128648624,6.8014907839604986,6.837720587388582,6.873368026998415,6.907010462456665,6.942761857913528,6.977872166138774,7.010841981681777,7.045903579853789,7.080319873126856,7.112514321005995,7.146833287216895,7.180532482939368,7.211965200562389,7.245580707816452,7.27861224049083,7.309349099625576,7.342324697603797,7.374750983433019,7.404852972994803,7.437233408732843
T19000logg3.4,16.229514380864167,15.636090553195142,15.109582703493064,14.736647042825382,14.202439097791366,13.729523151322839,13.388827030310873,12.914249995836562,12.494878954253075,12.188276892802008,11.771427865410393,11.403603073551619,11.131214437171701,10.768628133090298,10.449120892416305,10.209865101607067,9.897253564230464,9.622223714631497,9.414299245364933,9.147121099046622,8.912559588608035,8.733799737913245,8.50754494786141,8.309463834992595,8.15752485528427,7.967836746442335,7.802377591893962,7.674865172189584,7.517677704187564,7.381249507052794,7.27584731305954,7.1474552739194355,7.036788206760121,6.951319694990318,6.848424812162442,6.760615310641463,6.69309583442419,6.6127794639880415,6.545230108054155,6.493846235085188,6.433491090345079,6.383851465109253,6.346923045164122,6.3041079617647995,6.2701771940636934,6.246089987488984,6.2185281593122745,6.198234924007336,6.18542953461522,6.171000762535709,6.162434788760411,6.159432107762563,6.156205915760456,6.157624183147464,6.1630372027152855,6.169266821341356,6.17908148535404,6.191613972410388,6.205696604524352,6.2224462053471505,6.240881978902233,6.261349149250505,6.283708063382398,6.306918863280049,6.332445536407885,6.3592237402523715,6.386171818297117,6.415569845331806,6.445696355941909,6.475432955844575,6.507652133640923,6.5401790571669505,6.571855479850823,6.605978927161033,6.640074568821656,6.672939469423524,6.708167280003727,6.74310847148241,6.776507643276373,6.812160258458015,6.84733796960322,6.8807283414426115,6.916265470688284,6.951211103162537,6.984186952001006,7.019236036272172,7.053640819936565,7.085950628174519,7.1203110450471705,7.154024751461321,7.185566148033404,7.219183535556533,7.252182114165652,7.282962887397288,7.315873354290626,7.348201385928109,7.378280148665265,7.410541272980655,7.4422550886907,7.471691540896196,7.503349306562665
T19000logg3.6,18.71659362441777,18.108152018921377,17.566782193306093,17.18074146946683,16.626680558723983,16.134834506645607,15.777909839313118,15.279764476881155,14.838352743439206,14.513059840543596,14.069965396379054,13.67788102335516,13.384980524494539,12.994377089748276,12.649169615520652,12.388155078036853,12.046552137504941,11.745059106081673,11.514636505620896,11.21816166063355,10.956938286295474,10.755379208197569,10.500084061991235,10.275595686010742,10.100925204537312,9.882845278151438,9.691550920684307,9.541649605572088,9.35693913481556,9.19543366678929,9.06816064526226,8.913234315054344,8.77835850000155,8.671650333649296,8.543254897990854,8.432151110836825,8.344089989319201,8.239334759773822,8.149448981828987,8.078280394311882,7.994559674093463,7.923554151554409,7.867629271521021,7.802499137696401,7.748146998002426,7.7058420202793725,7.656937165757254,7.617097682532877,7.5867994268938865,7.5518838106220745,7.524539242267009,7.50467493236916,7.481669036327464,7.464945290930547,7.454010234083457,7.441014222676998,7.433192168416356,7.429770936734674,7.425053705848861,7.424564204737284,7.427334390993029,7.429325927525308,7.43475269970909,7.44249171793177,7.44979454380592,7.459881081523595,7.471478691924444,7.48286122461186,7.4965005092651795,7.5109651658318235,7.525358813660525,7.541592709220236,7.558059350545323,7.574550782496912,7.592556098419142,7.61027616726576,7.628083669305239,7.647159353327323,7.665492787530665,7.683960418322275,7.703520384544398,7.7219351695896945,7.740534568705938,7.7601244487394165,7.778217970158017,7.796583702257332,7.815905900017274,7.833429109825634,7.851372698306566,7.870297803658862,7.88716229327726,7.904662648781651,7.923207751496586,7.939449767696916,7.956587897258852,7.974870355892673,7.990562604091762,8.007445855493225,8.025558590558962,8.040814356664233,8.05753106997342
T20000logg3.2,16.329921200228128,15.682136084356166,15.11028166721316,14.702999265711904,14.12568725980018,13.617504513959206,13.249492815688807,12.74255261898805,12.297380035566722,11.970330563537221,11.530832983389697,11.145613120227083,10.859050684689885,10.482065895862375,10.152157056122537,9.904052000964077,9.583603982743485,9.303603638471907,9.091017352545585,8.82083415945279,8.585178714557491,8.404774827130625,8.178778012955641,7.982112004330724,7.8305054805921275,7.643079001431411,7.480490986608477,7.354484354299059,7.200625703482818,7.06777160183432,6.964474150191391,6.839862842902546,6.733004225743766,6.649878718665432,6.550851043237938,6.466800985142764,6.401649214591699,6.325081027124352,6.261098695340353,6.211999757971262,6.155169640922234,6.108830040403822,6.074051409451226,6.034490271778029,6.003569433015898,5.981482785815732,5.956900973129379,5.939342409011221,5.928401093795358,5.9166938806691185,5.910611302088904,5.909358104111665,5.908611935561568,5.912292188870385,5.919369206714141,5.927861078559404,5.939755627814218,5.953903300950098,5.970071863104325,5.988768214637984,6.0088025250184876,6.031217900349458,6.05542748650355,6.080236558689642,6.1076139690916404,6.136180778915378,6.1647418441154604,6.19594287821291,6.227831584474984,6.259214680631124,6.293215544676798,6.327495489391724,6.36085614340143,6.3967415089752775,6.432583535213408,6.4671612249251655,6.504123792689855,6.540799814397234,6.575922019793763,6.613267058857935,6.650158620227514,6.685259536061145,6.722429669074583,6.759056722826763,6.793709814574125,6.830328641299898,6.866381456274155,6.900328493056296,6.936206022505844,6.971547046237863,7.004691844620928,7.039798079954359,7.074429048113935,7.106783995991937,7.141176229489891,7.175166765329128,7.206793488899773,7.240546602264781,7.273922057346151,7.304927994714459,7.338092775888173
T20000logg3.4,16.0983986409432,15.493895926163045,14.959208816317462,14.578050428830245,14.036238154137262,13.55829067915108,13.211765788363632,12.733000574143272,12.311609626423783,12.001571146738861,11.583649506756313,11.21646920407528,10.942832329031932,10.581776511340724,10.265052338348779,10.026355644553695,9.717239916374735,9.446524619788963,9.240487358824288,8.97808774583906,8.748741892209837,8.572692125310235,8.351868584406471,8.159349126048339,8.010500923370495,7.826402814193585,7.666433638814656,7.5420628631023146,7.3902537118190805,7.258961566096762,7.156529222704472,7.033089908171863,6.927059428780145,6.844270409530562,6.745797666173067,6.662058723134635,6.596876196258374,6.520425308621426,6.45638023274073,6.40698804010728,6.349948688748598,6.303269008254358,6.268004708870546,6.227989732447491,6.196520822529278,6.173804716899486,6.148576571535886,6.130297484647162,6.118606552519289,6.1060828394483115,6.099130632706263,6.097021239013361,6.095312376652504,6.097990298504488,6.10411307114147,6.11150325132149,6.122267912331359,6.135361518464977,6.150290537955953,6.167729750712704,6.186607622565021,6.207646908772544,6.230476574477752,6.254026371070064,6.27989846906361,6.306970804498663,6.334172511270639,6.363745019739408,6.3940323686115335,6.423958833236891,6.45622370668037,6.488813025411564,6.520631653872941,6.554698948879629,6.588786428543411,6.621757150079407,6.656849755841179,6.6917358487750995,6.725211798167807,6.760669333984854,6.795766534772252,6.829209317990861,6.8645048069907,6.899358935731398,6.932363432035964,6.967137630714466,7.0014535004153835,7.033769067066795,7.067833862929396,7.101476325998675,7.132999439184859,7.166318647624594,7.199296311348003,7.230020581521105,7.262644006928523,7.295003873581141,7.325000141965292,7.356998035778653,7.388748961595663,7.418137264550446,7.449562391857857
T20000logg3.6,15.430500738231748,14.883277281629299,14.398441905648973,14.052991990857889,13.560414380104444,13.125109176198682,12.809615315829046,12.372280264848806,11.986633058963816,11.702957005952445,11.319284754096035,10.9815689318796,10.729912982671161,10.396768542345564,10.104012926981456,9.883372873637391,9.596786317983161,9.345396066257141,9.154041337987872,8.90973537063349,8.695896655410879,8.531715521706639,8.325410986373784,8.145327960756527,8.006057053233556,7.8336258671008085,7.683647245228276,7.567007561209703,7.424608507140025,7.301358161467866,7.205170129890943,7.089334215983126,6.989777145544384,6.9120255172041585,6.819683803934433,6.741129247400213,6.6799839808855195,6.608434168731685,6.548499635429211,6.502304505405285,6.449130612635871,6.405655755131842,6.3728742997955585,6.335838270601008,6.306802792140299,6.285957734491781,6.262945191177757,6.246442395573565,6.236098164383912,6.225137346284818,6.219395298497044,6.218176251534879,6.2174637761429965,6.220865260861163,6.227478136055884,6.235374103433178,6.246433828560987,6.259656781746795,6.27465705415993,6.2920131261856485,6.310692811372697,6.331426999436075,6.353840515186232,6.376896096364629,6.402135955401578,6.4285019242702175,6.454944865027962,6.483605819331233,6.512941507774887,6.5418795286826406,6.573003313296846,6.6044398106754425,6.635078483435752,6.667827720579593,6.700607836334459,6.7322489480953855,6.7658959527308244,6.799365479843156,6.8314051149679536,6.865339568069973,6.898958455222852,6.930904127141742,6.9646495907738775,6.998006510508706,7.029493516146837,7.062726366879459,7.095558333961386,7.126366896461876,7.158922474289132,7.191112382311331,7.221154398645022,7.253003113874369,7.284564144747713,7.31383505443311,7.345021385674367,7.376002886488528,7.404564879189593,7.435156186713008,7.465572260418952,7.493539974715071,7.523590072229982
