,vsini60,vsini62,vsini64,vsini66,vsini68,vsini70,vsini72,vsini74,vsini76,vsini78,vsini80,vsini82,vsini84,vsini86,vsini88,vsini90,vsini92,vsini94,vsini96,vsini98,vsini100,vsini102,vsini104,vsini106,vsini108,vsini110,vsini112,vsini114,vsini116,vsini118,vsini120,vsini122,vsini124,vsini126,vsini128,vsini130,vsini132,vsini134,vsini136,vsini138,vsini140,vsini142,vsini144,vsini146,vsini148,vsini150,vsini152,vsini154,vsini156,vsini158,vsini160,vsini162,vsini164,vsini166,vsini168,vsini170,vsini172,vsini174,vsini176,vsini178,vsini180,vsini182,vsini184,vsini186,vsini188,vsini190,vsini192,vsini194,vsini196,vsini198,vsini200,vsini202,vsini204,vsini206,vsini208,vsini210,vsini212,vsini214,vsini216,vsini218,vsini220,vsini222,vsini224,vsini226,vsini228,vsini230,vsini232,vsini234,vsini236,vsini238,vsini240,vsini242,vsini244,vsini246,vsini248,vsini250,vsini252,vsini254,vsini256,vsini258,vsini260
T19000logg3.6,71.24108411306088,69.7698720509817,68.43979869155736,67.4927523189555,66.10950005529666,64.86020698011802,63.955101557155416,62.666566625924546,61.503155203864594,60.64708005770741,59.454759544617396,58.377878528987026,57.57424797648319,56.47581604714054,55.4830016203515,54.73250723648066,53.72329655624152,52.81025413996873,52.11181552678053,51.18604476159859,50.3476274673015,49.69915502015223,48.850698435221304,48.08154637157117,47.48047849682546,46.7033848141743,45.9983155470003,45.441966625669124,44.73065422761411,44.084802556739845,43.57051433581387,42.91981784206498,42.32864425118838,41.85382145493836,41.25891981708314,40.718157548325216,40.28025705812153,39.73663794815544,39.24229456220634,38.83885392155976,38.34234360533355,37.89071083243904,37.519372898163354,37.06612231089352,36.65378330421869,36.312322948321494,35.898842605297105,35.522715219564425,35.20909220236807,34.83230876251233,34.48968371788095,34.202087253916105,33.85932174027299,33.547814587705126,33.28463672031958,32.973484292264445,32.69091969253589,32.45067021592767,32.16886629541833,31.913169704905954,31.694395830738785,31.43973442614617,31.208876272861392,31.010120428845347,30.780437099862926,30.572436063436776,30.3922439567669,30.185457440342887,29.998411240639193,29.835361617104994,29.649498108986528,29.481597580203594,29.334328900572647,29.167527223757737,29.017051979963387,28.884256839350837,28.7347337056259,28.600034946231,28.48040332415409,28.346403760426405,28.22589285352474,28.118061522680698,27.99784031164188,27.889981045953153,27.79252436916954,27.684356968880714,27.587610433926116,27.49912880628539,27.401339955668814,27.314174131169267,27.233338240666264,27.144336680425187,27.065280295312142,26.990823151879983,26.909109797147433,26.836752613896657,26.767487278631314,26.69165674170926,26.624673507865193,26.55947663804779,26.48822147649236
T20000logg3.6,60.69317249834556,59.34883785290491,58.137959792406626,57.27719515175686,56.02325221706131,54.894975632026785,54.079012013898996,52.92044150613999,51.878310926454255,51.11298771583613,50.04979958559743,49.0931391901353,48.38075188605435,47.40933774874219,46.53451361991386,45.8747208828145,44.98925042610138,44.190900581551304,43.58165104906942,42.7752954854698,42.04736238234641,41.48571463725538,40.75154706743119,40.087998521038735,39.570729265186756,38.90227124240847,38.297507819094506,37.821482158127,37.21291925730539,36.6619135565028,36.22423414800646,35.67039984500856,35.16865317649524,34.76665949332031,34.26290271830359,33.80632975599865,33.43753633658218,32.97962118049168,32.56448244805799,32.22655028978937,31.810602144543708,31.433472191911545,31.124205566486843,30.74671207343362,30.40448609470226,30.121856611966834,29.77967768170844,29.4695875818237,29.21176329915494,28.902148175430955,28.62177177980203,28.38713600295812,28.107691635514424,27.854896803435373,27.642012026729333,27.390581115981885,27.163413959129162,26.970939176162474,26.74548790769145,26.542085054984234,26.36871284203954,26.1672566927753,25.985796541681164,25.83021786621735,25.650825380878544,25.489541853615766,25.350461475211706,25.191280317538617,25.048479946312735,24.924636596147,24.783915832633415,24.65798504120116,24.54817580002257,24.424258944767793,24.313669746960304,24.216718345971593,24.108011169040793,24.011294307230273,23.926022353860546,23.830955942526952,23.74671182504835,23.671875820978578,23.58889013111236,23.51574246430336,23.450073532587318,23.37763355054209,23.314187305293828,23.256461218104747,23.193075975078838,23.13795037841347,23.086988877287055,23.03123112171858,22.983079445724947,22.93776635285509,22.88828576281951,22.845848560611124,22.80509322477476,22.760617417405996,22.722915969673497,22.68547341751024,22.644819057847517
T20000logg3.8,65.0397942308598,63.75445916841839,62.59236254451528,61.76299082475259,60.55141815183211,59.45718023649901,58.662456263493354,57.531180742791875,56.5098844675211,55.756451801012325,54.70752430051134,53.76039469697888,53.051711722972065,52.08375390108313,51.20917901997329,50.546242855245396,49.65565476233918,48.850260696007275,48.23240131715501,47.41439819153668,46.67390536380883,46.09945680660127,45.348838844988364,44.66870127367307,44.135528971281644,43.44720637294256,42.82300155338231,42.32884361613749,41.69805255307944,41.125636391238345,40.66825926738484,40.09060687845708,39.56613748908302,39.14337986540598,38.614794051723976,38.13467508873206,37.74442871644522,37.26109069160418,36.821941335813165,36.462148919093416,36.020497767831834,35.61915508086079,35.2878288466591,34.88456934147127,34.51811436775808,34.213375269902656,33.84552088916007,33.511317058828936,33.23143841593069,32.89634666644952,32.59206790938626,32.335510950292374,32.030872788311456,31.75446434275927,31.519854768131538,31.243588035414966,30.993156918455178,30.779203421853822,30.52931799581689,30.303039615523303,30.108465732080465,29.883012527154847,29.67909471018357,29.502614999405722,29.299677574621576,29.11636439094757,28.95669119634003,28.77441835751374,28.610016266268474,28.465887046648007,28.302517042026516,28.15540107778189,28.025598261724152,27.87945252983634,27.74807464093528,27.631401066981702,27.50085678479369,27.383733447739033,27.27896919034148,27.16241697117995,27.05812728167617,26.96397274389475,26.859803759956982,26.766916176649513,26.682065788828133,26.58868439850145,26.50573510851561,26.428919285561,26.344769631056433,26.27031418649183,26.2003087115856,26.123908050841912,26.056522297287696,25.992194224445463,25.922153056603285,25.8606474748256,25.80077852010709,25.735808637736664,25.679222191154977,25.622527563890547,25.561441876693937
T21000logg3.6,61.541766943991625,60.11867952398859,58.841354330825,57.929522731006486,56.60876370180017,55.424748721572854,54.564747439808436,53.35104215399491,52.26348665954561,51.461226750385464,50.35370708847021,49.36101290396246,48.61837169945465,47.61206953274193,46.70928497861542,46.025117275710585,45.11256402139075,44.29283248747774,43.66407517086523,42.83676402741582,42.092537519030714,41.51518781166253,40.76465436843813,40.08856824982583,39.558429882085456,38.87691723042203,38.262295068200345,37.77543859189489,37.15615544944317,36.59716218473919,36.150094621108735,35.587179995231715,35.078753806303396,34.66840064337573,34.156747769068616,33.6944392705315,33.318049505636544,32.85312007733689,32.4329506892747,32.08801194814469,31.665744225926815,31.284144044016152,30.96836027738155,30.585128247926924,30.238903618758904,29.95018891728504,29.602780792326612,29.289110285276024,29.025603514382944,28.711225786432927,28.427654653257374,28.187727665460855,27.903956952237053,27.648332552013006,27.43054550685554,27.175205492953122,26.945560291958056,26.748572510459162,26.51961251554789,26.314071804467122,26.136575107855787,25.931996880833285,25.748723981834292,25.589402188654645,25.40724886816193,25.244447194950265,25.101989775151807,24.940378821052057,24.796317329610723,24.669449054506643,24.526594943848046,24.399639550244622,24.28711139271467,24.161320461370618,24.049943570230194,23.950515353308692,23.840161424184686,23.74294497375391,23.655325167940966,23.558803776626043,23.474301821648748,23.39722654707984,23.312943115106712,23.239662419368166,23.171913574762694,23.09830007072899,23.034707523263044,22.97513603616831,22.910676851983602,22.855549729893,22.802775376725545,22.74602976650402,22.698228156937923,22.650897558645795,22.600510052874036,22.558748118122402,22.51578277807932,22.47048110756185,22.43346614096631,22.393930729320708,22.35253709214345
T21000logg3.8,62.11694383764238,60.789925677638315,59.596502874328536,58.74210701297608,57.503406243660805,56.3907254790407,55.58000663401826,54.434910610144264,53.40676590750496,52.645770505475504,51.59454798066127,50.65045170972536,49.94161521205454,48.98079857317917,48.117210662523945,47.46024295949863,46.58404272521922,45.795614311321366,45.188441366493265,44.3899937925927,43.67062869858481,43.110242826934346,42.38256772196885,41.72618758923308,41.20929638763759,40.545878034667865,39.946860868210024,39.470283684659364,38.86530631043669,38.318648385709,37.87948623078694,37.32785159475992,36.829135995469024,36.42477597161705,35.92195531709879,35.46721927817298,35.09525804420501,34.63715024302512,34.222788369352735,33.88098131626342,33.46385718418892,33.08658025514263,32.77283036979246,32.39331188126218,32.0501376710983,31.762506644112232,31.41757285934239,31.105845235269165,30.842587341063904,30.529596041121867,30.246988393662924,30.006562564130935,29.723205586162386,29.467666854434185,29.24870183969331,28.992903043606812,28.762552974044812,28.563766730646414,28.333554167956684,28.12658422811611,27.946711406988154,27.740154709783774,27.55478825228939,27.39255801325804,27.20776768202833,27.042263563557533,26.89641714944913,26.731579044028404,26.584281500887464,26.453574539773292,26.30696271720661,26.176312677487534,26.05951166179296,25.929482074540815,25.814071677087604,25.709895415874076,25.594865940391877,25.493287787264613,25.400503812258574,25.298911617930575,25.209700637581303,25.127130308685448,25.037419310355915,24.95904972183122,24.885567527545014,24.80620638824963,24.737295059487916,24.671659052787916,24.601164192490998,24.540644482407885,24.48136644523187,24.418324058574097,24.364935200204336,24.310825681075983,24.253906824397998,24.206321732440045,24.156389178186682,24.104350790337424,24.061341794082445,24.014635337371082,23.966328026001392
T22000logg3.6,57.10966216482045,55.729116297702134,54.49412493699175,53.6086640890632,52.33443940387717,51.19619631907506,50.3657770440312,49.20189257892788,48.16287059489565,47.392988785707104,46.33777606222456,45.39558195472292,44.68753805288555,43.73504676305659,42.883788970528016,42.23569147568614,41.37735537366926,40.60914971170583,40.01708288957156,39.2432843090309,38.549592965527225,38.008709716485896,37.31001400431764,36.682651557771365,36.188039065436065,35.555966885775305,34.987671563769666,34.53487409123642,33.96219509731077,33.44680308540246,33.03201196233148,32.51268686992499,32.04502934752673,31.665037075709872,31.19396318168448,30.769631109147387,30.421677818771215,29.99445445375129,29.60961768459826,29.291274488547206,28.904044641328085,28.555332439569362,28.264433660238076,27.913801778108663,27.598232297743294,27.332837736193756,27.01581412176724,26.730765350545347,26.4891551463165,26.203150253815323,25.946347926760442,25.727023891651474,25.469791839040134,25.23924125056155,25.040878335298082,24.810405157312854,24.604286468676587,24.42565265000717,24.22003393667032,24.036601998956336,23.876483915807547,23.693856485360033,23.53138825742427,23.38856713914961,23.227101314515636,23.08391678100967,22.95715754544915,22.815080473057343,22.689563376837196,22.577639517001057,22.45325666046758,22.343916200338597,22.24557543164901,22.137273979479282,22.04270341837308,21.956708768151643,21.86293546931669,21.781696034107256,21.70689101941731,21.626110916303897,21.556690810157157,21.491984005646845,21.42266857272262,21.363703909910225,21.307849366694395,21.248493983624243,21.198867131199755,21.150399940705928,21.09954944027333,21.057917761706715,21.015669676098277,20.971942833793847,20.936909444230505,20.89988014625894,20.86198212448083,20.832354925592444,20.79946982917117,20.76618767908481,20.740902573217923,20.711092035704873,20.68130356689175
T22000logg3.8,57.04439146508839,55.76249540558736,54.61294652487301,53.79002059103246,52.600177936210834,51.534568248286874,50.758296321441506,49.664977646364534,48.68635289224076,47.96225511508177,46.96488886930227,46.07196300458799,45.40186218879147,44.49605548399015,43.68440498713686,43.06729486272171,42.24626690266912,41.50963412443293,40.94267995338051,40.19861506856382,39.53005730376259,39.00952515136724,38.33462328183987,37.72736681322958,37.24935502617678,36.63649435065804,36.084425000157154,35.64530745713428,35.08831355836237,34.58615459220591,34.18276736676049,33.6763837748109,33.219614052407394,32.849217617092584,32.38890269490333,31.973578875560477,31.633748260048378,31.215492979602395,30.838108075181225,30.526645403368832,30.146865843095455,29.804274092768974,29.51917068337193,29.174666168903137,28.864053724636417,28.603486313188707,28.29142051220871,28.01029819089565,27.772638529088997,27.490543655590777,27.2367443777869,27.020568283141245,26.76629734677203,26.53790941081295,26.341946056951958,26.11356075908666,25.90882902662999,25.731888169965007,25.52755167440152,25.344791191369062,25.185701001732724,25.003613787263923,24.84116094117727,24.698742694299366,24.537135053579323,24.3933613471107,24.26642939378101,24.12359218384706,23.996939210348778,23.884314545007292,23.758618458856095,23.64764376585548,23.548131345553905,23.438022565679578,23.341383808818595,23.25377450372836,23.157748847721884,23.07406604317202,22.99722462074389,22.913793907928884,22.84162624303442,22.77447258809288,22.70215624436556,22.64008932230161,22.581510674847937,22.51885027537225,22.46582254844467,22.414376964428715,22.35995773003975,22.314743088801702,22.269213163707054,22.221686389125296,22.18295418834389,22.142333775474896,22.10043419363933,22.066925694549244,22.03025831762524,21.99279961055207,21.963482936228203,21.92971863736664,21.895608780569056
T23000logg3.6,55.13750673437603,53.757635113581536,52.5283572990405,51.639501466249584,50.369976300561376,49.24092493764904,48.40989233958766,47.25457039029901,46.227993857435926,45.460306505056664,44.41711288577172,43.49017409346632,42.78690591598308,41.84925862871493,41.01544894364933,40.37427417530088,39.5328145888395,38.78351571336898,38.19993851078817,37.44419744285948,36.77012085925534,36.238670503431784,35.558429049387435,34.95072044529628,34.46591460333569,33.85206540828237,33.30296013716724,32.85990834337471,32.304796728997935,31.807804766668426,31.402410253280237,30.899760435615974,30.449549373012637,30.07845225342024,29.62308268429636,29.215204379126007,28.875595244592574,28.46311579007942,28.093777336552428,27.7832446646022,27.409871076838805,27.07577599203064,26.792202215371347,26.454624448463395,26.15287992459899,25.89439009178046,25.58971593963752,25.317794038691947,25.08274166274971,24.808468523792847,24.564172404238015,24.351123404756482,24.105077787065802,23.886478074495596,23.694167875168723,23.47439942838086,23.279727012112314,23.10698453910808,22.91165227027415,22.73922737815355,22.584880558468154,22.412177940146037,22.260380129169068,22.12319501147208,21.971330264034467,21.838639350550412,21.717275240127904,21.584502646449444,21.46934450862544,21.362568731400142,21.247211182861392,21.147940473080983,21.054670807379274,20.955119476386045,20.870381683259346,20.78932463015232,20.704024150892106,20.63260883321289,20.562368465396208,20.48978278394867,20.430126707311807,20.369651245891927,20.308256314428558,20.258832492449304,20.20703955062038,20.15534318248455,20.11495894244952,20.070466335235526,20.02702789832268,19.99420651808382,19.955994897888687,19.919455617799834,19.892820800442777,19.85989622621564,19.828985586618074,19.807272904533242,19.778660862347877,19.752191509768288,19.734251557169177,19.70900235104896,19.685880887210914
T23000logg3.8,54.45109154509167,53.178128391836985,52.04092008045836,51.22174385575363,50.04499663611563,48.9953567651354,48.22573165123134,47.14933180001017,46.189923605585314,45.47523684998976,44.498077303025184,43.62707583260876,42.96883235769382,42.08580778886619,41.29810216684611,40.69480382528018,39.89828781459926,39.18683643728286,38.635036909210186,37.9163333776128,37.27340919637502,36.76873707070077,36.119252776068876,35.53739933269786,35.07538276497124,34.48736545677122,33.95995064736339,33.536522149063224,33.0033492326601,32.52473778100303,32.136419587313924,31.65256733298551,31.218048273631773,30.861927638913187,30.42276022512955,30.028338236239648,29.70192978173112,29.303455251569428,28.94565899910755,28.646775766830487,28.28549069272998,27.961262182125946,27.68795309716853,27.360770358175756,27.06740426664397,26.81792315706656,26.52212125486836,26.25723176052059,26.03002572582311,25.763233990489454,25.5247413733332,25.318451639981674,25.078607804517095,24.86467970780587,24.67809941963512,24.463349422288964,24.272307917258175,24.10432146558733,23.912916230284768,23.743150045703345,23.592651957568542,23.422866587164652,23.272795110193613,23.13864501808088,22.988777926246264,22.856906606861067,22.737887294058485,22.606284391066726,22.491199022614204,22.386065152912316,22.271133392999065,22.17136838875247,22.078997488440372,21.97920688746326,21.893242637440594,21.812634070676197,21.726498682914553,21.653044706539706,21.58299945913193,21.509049434226846,21.447030514808198,21.38612275928335,21.322895460658987,21.2709165708816,21.218032920435622,21.164087178879587,21.12065545883878,21.0748063542573,21.028751822645088,20.992715097216017,20.952646925783185,20.913168024484634,20.88325607549971,20.84794618725793,20.813810948551115,20.788743258644296,20.757309667217683,20.727371049060917,20.705996415965416,20.677569132384583,20.650772176884082
T24000logg3.6,50.763712374373654,49.46432660178673,48.30825645046474,47.47121378789533,46.27911115248655,45.22039025865501,44.44009929946409,43.35857734746767,42.39900715770226,41.68051662432434,40.70722616319183,39.843760063839156,39.18784645381343,38.3161119478495,37.54216264166845,36.94630174941088,36.166759169548754,35.47370256165914,34.933262032411236,34.23548570789136,33.61408009981352,33.12350761016292,32.49738150541333,31.938869665223173,31.49265676997276,30.929218427998542,30.425960563188777,30.01922600768453,29.51097972148403,29.056634451557976,28.68532495895417,28.226188812014893,27.815601870556684,27.476439102301452,27.06145125212637,26.690379267605763,26.38066902915999,26.005683219620682,25.67055104679997,25.38801525237932,25.049484728548368,24.74721007894562,24.489870802547514,24.184719508942468,23.91261667594932,23.67873830229459,23.40428492598415,23.16000798576253,22.948067112571113,22.701989069709814,22.483501764003528,22.292174000703668,22.072452420842822,21.87796016863676,21.706076700461214,21.510905127395755,21.338775327234046,21.18525336223215,21.012928151273815,20.86160453417749,20.72535648738288,20.574199219515258,20.442205683924474,20.322059011355933,20.19040558927768,20.076299259751615,19.97103596769722,19.8572540134385,19.759488516572635,19.668024312281993,19.570536891895912,19.487659683069168,19.408880531076317,19.326173387409458,19.25708929981412,19.18958855099212,19.120187439476492,19.063482715803534,19.006194435999728,18.948640390011565,18.902767055102267,18.85475136182565,18.80759301453041,18.77140940645189,18.73131415900547,18.693128120779654,18.665231280326946,18.631997005431003,18.601410207622283,18.580385040083964,18.55304425786434,18.528763964134665,18.513295267259167,18.49090650722674,18.47172876591117,18.460654933768787,18.442254467277888,18.4270579662364,18.41926395258576,18.40398245739856,18.391738508058157
