,vsini60,vsini62,vsini64,vsini66,vsini68,vsini70,vsini72,vsini74,vsini76,vsini78,vsini80,vsini82,vsini84,vsini86,vsini88,vsini90,vsini92,vsini94,vsini96,vsini98,vsini100,vsini102,vsini104,vsini106,vsini108,vsini110,vsini112,vsini114,vsini116,vsini118,vsini120,vsini122,vsini124,vsini126,vsini128,vsini130,vsini132,vsini134,vsini136,vsini138,vsini140,vsini142,vsini144,vsini146,vsini148,vsini150,vsini152,vsini154,vsini156,vsini158,vsini160,vsini162,vsini164,vsini166,vsini168,vsini170,vsini172,vsini174,vsini176,vsini178,vsini180,vsini182,vsini184,vsini186,vsini188,vsini190,vsini192,vsini194,vsini196,vsini198,vsini200,vsini202,vsini204,vsini206,vsini208,vsini210,vsini212,vsini214,vsini216,vsini218,vsini220,vsini222,vsini224,vsini226,vsini228,vsini230,vsini232,vsini234,vsini236,vsini238,vsini240,vsini242,vsini244,vsini246,vsini248,vsini250,vsini252,vsini254,vsini256,vsini258,vsini260
T17000logg3.2,35.74146502515042,35.2143866375322,34.63207837792784,34.15539821919289,33.687365685775156,33.168890730068206,32.7402475157352,32.3265702947017,31.866788897529513,31.48332847153666,31.118742561741804,30.712087903372872,30.370325212837354,30.049674557600696,29.690771685208624,29.387133845167682,29.105678637709566,28.78960486963695,28.52068187197591,28.27418637795244,27.996516314104184,27.759139385233073,27.543853101445897,27.300633413941622,27.09189038324374,26.904493796435293,26.692186875076455,26.509398690856322,26.346928549691068,26.16233882599631,26.003035547197193,25.86283620051034,25.70306743664484,25.564959283055195,25.444630717039,25.307019709461255,25.187961802254858,25.08530209271569,24.967405884957806,24.865399374458324,24.77840642547428,24.677997552314533,24.591200083860777,24.51806618773634,24.433124663568545,24.359839372703487,24.29892395913414,24.227600431301344,24.166250351164003,24.116046798888515,24.056624230658805,24.005724316816377,23.96482990892133,23.915698641283473,23.87383895326288,23.840938072260336,23.80057259587434,23.766396293548176,23.740235905879377,23.707172818464244,23.679369750128178,23.658752634661337,23.631593889605973,23.60889743819022,23.592675319522463,23.570075616020215,23.551255925815248,23.538364357769986,23.518990746700663,23.502857434319825,23.49228199739727,23.474864821653604,23.460292076172415,23.450951752468903,23.43446389837981,23.42043132707594,23.41129915913637,23.3949029173145,23.380525825244508,23.370810799773214,23.35372227010046,23.338274830377518,23.327369868008113,23.308948460023057,23.291878413417646,23.27936531323468,23.259122691994378,23.240055152211077,23.225646848202636,23.203305118752436,23.182039691269676,23.165585171320423,23.14105679260161,23.1175580200588,23.099044266359634,23.072392356869916,23.046755997326255,23.02635112342289,22.99766100469665,22.970063687406583,22.948096952383374
T18000logg3.2,37.290542975928695,36.653850768299186,35.95004980866104,35.373549917021556,34.80752521226065,34.18020360116727,33.66123944055488,33.16036504737439,32.60342028620568,32.138602709629794,31.69658086676591,31.20332236713624,30.788454188862598,30.39907899055751,29.963024124778684,29.59378714789278,29.251341147453356,28.866545145203187,28.53881958643106,28.23819969303467,27.89933893196505,27.60931229120977,27.346013653173497,27.04833942029037,26.792513282975424,26.562552986909434,26.301826506040452,26.07699720305866,25.876836910817577,25.649256456361872,25.452490948153024,25.27897462184652,25.08110183482979,24.909687165363653,24.759979832658903,24.588651013488818,24.440053021295203,24.311543657713223,24.16387596025472,24.03573812419504,23.926060708046965,23.79943783455089,23.68960397678004,23.59663760091882,23.48870039509885,23.395191997161714,23.317015155377856,23.22559829650473,23.146574011094085,23.08141946356028,23.0045170164679,22.9382469022946,22.884472783978875,22.820205061294978,22.765048337945167,22.721116177935055,22.667708186587905,22.622090855274738,22.58654064301795,22.54229022706645,22.50468866802863,22.476121715497587,22.439396848856855,22.408334690488967,22.385408276799218,22.35463097228405,22.328665747030236,22.310124907123853,22.28372989003279,22.261464636906215,22.246120041962207,22.22261446101445,22.20273012586406,22.189313147192276,22.167492815112467,22.148795188502664,22.136092058532416,22.114987948380637,22.09644682964929,22.083527351459043,22.062236675888304,22.043010535505065,22.029164498162306,22.006950050751982,21.98640283844883,21.97114527944733,21.947447761067576,21.92514878582853,21.908150936852415,21.882650216590104,21.858373691641937,21.839469958627546,21.812070002945088,21.78578303919779,21.76496990245633,21.735747116679825,21.70756981395485,21.685037570500356,21.654111306612293,21.62425957910946,21.600366984157468
T19000logg3.2,36.360702143583424,35.68890224538863,34.94611689966449,34.337584740529536,33.7404417275397,33.078544933291646,32.53092283468363,32.00266933079694,31.41525060441992,30.92497459948259,30.45897465261557,29.93896162692504,29.501586482232394,29.091277545235812,28.631803362273292,28.24274832147471,27.882077268793882,27.476843962358526,27.131740984749847,26.815309752755294,26.45868896260103,26.153506922046112,25.87655977340244,25.563539003978402,25.29458402986136,25.052920178416255,24.77902989448497,24.542924698295472,24.332817146653642,24.0940540520185,23.887707940707347,23.70583314664052,23.498571528786435,23.319125561127873,23.162524642348078,22.98340844382929,22.828197036965037,22.6941103327946,22.540120990452603,22.40666692530306,22.292603088764544,22.16099910667872,22.047042826050212,21.950777211393916,21.839092272757323,21.7425643458465,21.66208372161309,21.56805065608679,21.4870219395635,21.420471091802845,21.34198913859428,21.274651027440473,21.22031022740855,21.155413556187,21.10004570049947,21.05629735384102,21.00311764543864,20.95806587673413,20.923373447882806,20.88012469943985,20.84379017904899,20.81668372491047,20.78164992742025,20.752477985976327,20.731542248010523,20.703059614133533,20.679529793941644,20.663440173692134,20.639859688477422,20.62049870498678,20.607999966955312,20.587748227932803,20.571164020333473,20.560921028819273,20.542722167881315,20.52765408782633,20.51838748451703,20.50121824024639,20.48658178766159,20.477312425956818,20.46022573309971,20.445139362041257,20.43512226580396,20.417344842476314,20.401138488613746,20.389860508638964,20.37080083454384,20.353017489215034,20.340128631461717,20.319445206895203,20.299840439901338,20.285161020228657,20.26274875550565,20.24128199542378,20.224804921834487,20.200742982059694,20.17753687585158,20.159453205033486,20.13386935907582,20.109146752310586,20.089813115674847
T19000logg3.4,39.51546704441926,38.85700066960698,38.128348361624184,37.530942428247776,36.944340726733586,36.29359119913154,35.754773507669405,35.23472373451252,34.65594216955831,34.172484052501154,33.712737297926616,33.19925336914223,32.76699131341651,32.36128558786948,31.90653354781467,31.52110646501521,31.16362362348084,30.76155552053068,30.41877874627055,30.104309544969542,29.749486589399016,29.445468749933877,29.16939955203023,28.856958871102968,28.588119489593513,28.346364126165774,28.071955396609383,27.835006660955525,27.623927560194712,27.383644457447037,27.17557259703319,26.99192404246839,26.782229221750953,26.600243258942044,26.441128231547,26.258741078202014,26.100229503180977,25.962945479442634,25.80490540075764,25.667438799736136,25.549543407517238,25.41315485430872,25.294508253643308,25.19381152812857,25.076640339958367,24.974770856171006,24.889287433123226,24.7890988320738,24.702102824585,24.63000326685373,24.544720115724886,24.47080759399284,24.410391497181326,24.338069465939334,24.27553618684107,24.22520394592965,24.16399038646881,24.111195019153133,24.06942561416391,24.017553034353885,23.972913747780826,23.938256262780417,23.894030385224845,23.856012242063247,23.827072020709398,23.78885522808432,23.755962278749223,23.73144625311601,23.69761359572044,23.66840349507078,23.647088788279977,23.61610127875765,23.58921691018779,23.569783282457752,23.540420230880528,23.514638220773325,23.495821231661267,23.467118485610566,23.441392742464945,23.422237245786782,23.393293132979778,23.36677565000392,23.34656282465333,23.316641304071613,23.28869681743868,23.26694356390984,23.23548645282393,23.205688962263434,23.182073434148943,23.14876395945119,23.116893648062707,23.091259751638464,23.05601015072055,23.022047193357455,22.994409309437575,22.95731394707437,22.921398933183415,22.8919701076537,22.853166947115216,22.815539835682905,22.78470328070446
T20000logg3.2,33.265475828842064,32.620194658175464,31.907479686562446,31.32412364751006,30.752118093710013,30.118768928075205,29.59528204044699,29.090664507031757,28.530145386525955,28.062814710580227,27.61892195413095,27.12414357292291,26.708472574485416,26.318788924392802,25.882937025098055,25.5143544124576,25.172909069657543,24.789772721108225,24.463953602691646,24.165445297590257,23.829502041168915,23.542489597228244,23.282279907442195,22.988653782153726,22.736849768759782,22.51086185484047,22.255220967974587,22.035349438472306,21.83997908067255,21.618441396687334,21.42750061009156,21.25952618565542,21.068578500098763,20.903795289972606,20.760404840263362,20.596736620937033,20.455526318870195,20.334022185094277,20.194751047512085,20.074728158357818,19.972705034467573,19.85519962150242,19.75418159702179,19.669485343768365,19.571361382162856,19.487344906350756,19.41802670719165,19.337098179531292,19.26821798586321,19.21248260403436,19.146718209448846,19.09122142117322,19.047401466218208,18.994903079154493,18.951128498643214,18.917661755338994,18.876628088259455,18.842978406112103,18.81837863984833,18.787086987295144,18.76201596045106,18.74486040070712,18.72164878709639,18.703649432277103,18.6925654589293,18.675821742566903,18.663415999951773,18.65711120627035,18.64523089722643,18.636977974590376,18.634222083159692,18.6256696422607,18.620209356613746,18.619710739018615,18.61323007782712,18.60933088395342,18.60985535377862,18.604431765220802,18.601031505634925,18.601627537605413,18.596322852961087,18.592553511791326,18.59249061127618,18.586540501914005,18.581739726460317,18.580510350961273,18.573329245207756,18.567041851623316,18.56429576084737,18.555546790290325,18.54752465399138,18.54307784029547,18.532657243876802,18.522847999665355,18.516682890333197,18.50466323877305,18.49317334676876,18.48546233250888,18.471961062143972,18.458996099595463,18.450067695704682
T20000logg3.4,36.77073093055653,36.12516603456829,35.41119287568652,34.82612448132718,34.25196800882872,33.61543934090423,33.08870729276077,32.580608993014046,32.015528157646145,31.543825751148088,31.095505775825092,30.595169662874554,30.17429559313806,29.779507770908968,29.33737588212976,28.96297136028421,28.615931716625578,28.225980171385284,27.89386512882466,27.589393587883837,27.246216107242734,26.952520965922453,26.686048597488167,26.384838310728362,26.12602079587157,25.893514028820373,25.629975894468142,25.402785862603423,25.200655535387956,24.970927672364475,24.772381022719678,24.597418041047604,24.397999055001673,24.225332269048184,24.07469968891935,23.902319564939834,23.75295072502467,23.623966563186304,23.475716132529005,23.347245395421833,23.237494582049752,23.11071895601872,23.000950756231905,22.908271647288625,22.80057335173951,22.707491496322717,22.62992393459294,22.53909862230781,22.460825848690007,22.396565630108288,22.32057239353224,22.255346570924058,22.202718962058295,22.139643782525095,22.085790002636795,22.043222404771598,21.99125159273517,21.94716044689381,21.913159678248256,21.8705562352882,21.834670738453603,21.80780744318019,21.772903365909144,21.74371194064537,21.72261240692179,21.693794210621075,21.669819699450322,21.65320326311516,21.628864488424743,21.608675446313605,21.59532537174735,21.573939481334723,21.556187251683905,21.544801669190566,21.525147049675127,21.508615931362375,21.49795115406194,21.479057261509162,21.462706701274964,21.451819186014934,21.43278202610031,21.41576571087563,21.403939602501374,21.38401796540094,21.36569457146738,21.352441348591924,21.331070109992417,21.311006270456904,21.295996848611317,21.27285437062451,21.250821419540806,21.233890787143114,21.208884541566,21.184849604780595,21.166000071938793,21.139215076941007,21.113303927786323,21.09273273896423,21.064296251192598,21.036733560142217,21.014801961530452
T21000logg3.2,29.580596329517714,28.99095657503364,28.340596995048013,27.808937569604364,27.287897498832393,26.711758433277755,26.236173646964403,25.777927377839813,25.269625559277436,24.846426656718158,24.444606877919075,23.997392740440194,23.62226830625223,23.270731724655775,22.87820049123528,22.54684793138725,22.240029727859746,21.896410388590947,21.604808174579148,21.33780174160547,21.03798453541668,20.782471542616314,20.550998620662252,20.290504652902733,20.06778289623991,19.868113506497803,19.642978463671067,19.450047281595698,19.278876624206788,19.0855308813374,18.919625007319784,18.773985802802844,18.609179057665113,18.467730728424723,18.345144645948295,18.2056883623629,18.086301936559387,17.984212212586957,17.86749523013487,17.767955757628563,17.684111455664482,17.58771300926279,17.505994413337245,17.438388329672694,17.360105192745912,17.294341944386126,17.241153101737545,17.1789539813492,17.127402497159476,17.086950312943536,17.03894006832482,16.999958296045527,16.970679307196175,16.935089111497287,16.907121879801398,16.887551427216472,16.862703430522693,16.84425760655471,16.83300485250794,16.817290218597,16.80691532335061,16.80264323575505,16.79450552574242,16.790784355727975,16.79220115383708,16.790123393883864,16.791662654773965,16.79754488451613,16.80002567287306,16.805468984537622,16.81465641563721,16.820251150879116,16.828312100023414,16.839598256594563,16.847103025639516,16.856614361223453,16.868847003950695,16.877283198976237,16.88723533746519,16.89951881500581,16.907985624640624,16.917547945225987,16.929186800275158,16.936944929888945,16.94547704971624,16.95598059833831,16.962464152672396,16.96952162113584,16.978545102719114,16.98343019144745,16.988761442101353,16.996117942168073,16.99930916233122,17.002843694659617,17.008503261376827,17.010067847321004,17.011886733320683,17.01599868428234,17.016037477664053,17.01632352095275,17.0191854307824
T21000logg3.4,33.12329416808375,32.521823807898,31.85746330679047,31.313657752301985,30.780324740971245,30.189790463893978,29.701688180841728,29.23111096460403,28.70842463913072,28.272660170363167,27.85871931771078,27.39736700742599,27.009818057600494,26.646492742937742,26.240169432291093,25.896612893108625,25.578366151365543,25.221319271924305,24.917758988081115,24.63967587601772,24.326785990649135,24.059551766966674,23.817317962912828,23.5440497795772,23.309800394963844,23.09962306638786,22.861945388088998,22.657627710920135,22.476140572474286,22.27042461792218,22.09323181678454,21.937420989872756,21.76037296145655,21.60770360011542,21.474969730164226,21.3234431473813,21.192865849974424,21.08065236711272,20.951949005095376,20.841210935486572,20.747241530285248,20.63888381988101,20.545922544013585,20.468161858181627,20.377900077456367,20.30081816074802,20.237418696920177,20.163180334578204,20.10020359733826,20.04945854072085,19.989313359233257,19.938773809599432,19.899098103755517,19.851245773691378,19.81156487005023,19.78147448711524,19.744205619615144,19.713862236904642,19.691943965937586,19.66361899436754,19.641139684017322,19.62603893271338,19.605076152187646,19.589022900774673,19.579431607111445,19.564294400238484,19.553258958742454,19.547949885302494,19.537115026924408,19.52973125459789,19.527541168000237,19.519553855580135,19.514532043674624,19.514232989745853,19.507907845803157,19.504080829780083,19.50449769015844,19.498879118887228,19.495240577884115,19.495470832141173,19.489672776573542,19.485398801941482,19.484749869057516,19.478046740064496,19.472510891435725,19.470505156980852,19.462344541590785,19.455117273913235,19.45142541837946,19.441491213437367,19.432338252806648,19.426789130041502,19.414991103241476,19.40386315951172,19.396444667735643,19.38285737484859,19.369855779103208,19.360742252302565,19.345475051865318,19.330801575492423,19.3203260876716
T22000logg3.2,26.287078749326955,25.75147247052435,25.161630086326877,24.680135069666242,24.208559112877015,23.687979049359292,23.258933289714594,22.845759494172174,22.388273295488954,22.008047794438475,21.647210281366597,21.246402482621072,20.910870628493143,20.59659136167107,20.24644913307005,19.951556837453804,19.678648192789854,19.373800648953143,19.11580184732799,18.87972461234794,18.615459828904815,18.390976412999684,18.187798045380532,17.95999547180033,17.765989666783316,17.592281156951476,17.397292235942086,17.230998118891595,17.08372112525671,16.918258873067295,16.77712739385741,16.65355385136142,16.51461685498984,16.39627037043547,16.294264163641326,16.17873732186307,16.08094658761702,15.998059848723459,15.903593962104422,15.82430101958538,15.758422100912364,15.682796492884133,15.620114822286146,15.569365281757891,15.51054239975502,15.46272874551114,15.425401684506355,15.381490863829995,15.346910594323933,15.321429119726973,15.290670470217277,15.267789144024055,15.252691267638628,15.233442419121833,15.220809912785578,15.214729506988474,15.205437539389843,15.201663827158788,15.203303886201843,15.202476906404526,15.206209077520311,15.214320993460548,15.220508889750855,15.230421811746112,15.243796487884495,15.255585136484715,15.270372848662428,15.287858942567384,15.303843277941104,15.322230940064182,15.34273567182342,15.361566774353777,15.382346597704142,15.404747808244371,15.425281528589215,15.447351737048466,15.470577584259583,15.491875151527056,15.514280533928162,15.53749110991374,15.558691376991872,15.5806417882349,15.603179063453682,15.623576269971247,15.644458813692468,15.665853679763428,15.684903576011818,15.70428871020678,15.724206086684376,15.74160242805203,15.75923635873579,15.777488265230422,15.79314398928953,15.808933388377696,15.825477062768243,15.83945407026128,15.853452896294298,15.868417622879877,15.880795027136767,15.893159658314543,15.906812936703739
T22000logg3.4,29.66457903452244,29.110135203592318,28.498580960686784,27.998630011792848,27.508485969931964,26.9665600819897,26.519242566956773,26.088108431581492,25.609982468186608,25.211967851037436,24.83397639763121,24.413428291936793,24.060761187336784,23.730217659295615,23.361303906393523,23.049999258639982,22.76171514051175,22.439044896188364,22.165350741165845,21.91473199686581,21.63352579809584,21.394021236404576,21.177056809964537,20.933106443085766,20.724687934718595,20.53785984653225,20.327416816275367,20.14724547203271,19.987425341388924,19.807111665600097,19.652566295435523,19.516939613369267,19.363665680079116,19.23230043277914,19.118566801224834,18.989238495507845,18.878767491194033,18.78445940617194,18.676608307766458,18.584910284645222,18.507867374001616,18.41918598400988,18.344315712237698,18.28260819667845,18.210983653842586,18.151145479201556,18.103021722793095,18.046507902854223,18.000026530772413,17.96387223924314,17.920654120967317,17.88595019739825,17.860262532572495,17.82864250132517,17.804219521749626,17.787590476753586,17.765955906007566,17.750374547304506,17.74146432819764,17.72826890612452,17.720131293747396,17.71765316662162,17.71139898889572,17.709340766571497,17.712052564878807,17.711287375565565,17.71397263987171,17.720704816100316,17.723988832791868,17.730118625356717,17.73976037894982,17.745714117398602,17.75405816147668,17.76545239355331,17.772928895958152,17.78236953306162,17.79441109311371,17.802475505649433,17.812046133222616,17.82387754057092,17.83166997122655,17.840576982114566,17.851534938328914,17.858350546291735,17.865983325149923,17.875601981587444,17.880900455169584,17.88683580447367,17.89478826724799,17.898265063917503,17.902262272214394,17.908371828015778,17.909939937174265,17.911927311999968,17.916165839039916,17.915891451506322,17.915943338376362,17.918463338956716,17.91643308688017,17.914723842957056,17.915827336362597
