,vsini70,vsini80,vsini90,vsini100,vsini110,vsini120,vsini130,vsini140,vsini150,vsini160,vsini170,vsini180,vsini190,vsini200,vsini210,vsini220,vsini230,vsini240,vsini250,vsini260,vsini270,vsini280,vsini290,vsini300,vsini310,vsini320,vsini330
T15000logg2.0,4.997378470775541,4.448847868589267,4.026584714252667,3.687051020807445,3.4469193427649336,3.272739219699745,3.1445554304039067,3.064550552887839,3.018156066988332,2.99688941309907,2.9976914151050673,3.0138096962357044,3.042130378043483,3.079327626885273,3.1227561290764507,3.17163265700208,3.222776341252303,3.275393789075695,3.330099413513776,3.384745008950377,3.439390149777024,3.4947405274221404,3.5488466606936906,3.601778124596474,3.65399288043033,3.703910831740447,3.751777057354277
T15000logg2.2,6.272184940118285,5.557703688729662,4.991881749831331,4.521915201882352,4.176360047564322,3.9130439015755356,3.7045699640693477,3.5586181834855526,3.4557625771038674,3.3832089642303265,3.3411715841628444,3.3197767750181817,3.313044690667863,3.3201938636099197,3.3370143945300104,3.3612808646997325,3.3917216861785677,3.4263668855927336,3.4645026285420655,3.5050762219856417,3.5473083055549592,3.5909090580453196,3.634720775442177,3.6780510399658577,3.7205321664177053,3.761413505128059,3.8004744995420707
T15000logg2.4,5.90612675206807,5.2961975577962495,4.8120979294540955,4.410880645296215,4.116559977884438,3.893615160662797,3.7195945859043626,3.599795409506855,3.517467730012457,3.461834614061078,3.4322196172140735,3.4203408249971683,3.421235251895492,3.4338760610834016,3.45486165163861,3.482340514065103,3.5150129176383786,3.55131661086732,3.590531278237557,3.631589215698375,3.6738961486176978,3.717040083451578,3.7599844770913866,3.802224085679626,3.8433001213017772,3.882617953725676,3.920073037453506
T15000logg2.6,5.099457476009262,4.634812806992386,4.273961815434251,3.9815563046608093,3.7735864023506482,3.6222006029563603,3.5102283502312903,3.439853503799944,3.398479155944226,3.378297089316253,3.3771515114215718,3.389183131937091,3.411167858941051,3.4410208910689213,3.4765358949975425,3.5166533097003825,3.5593479305501883,3.6038534881269593,3.6500712985043418,3.69656510801895,3.743229609452333,3.7900381548538062,3.835728196310417,3.8802002880744397,3.9233042209875983,3.964230326377895,4.003109253777442
T15000logg2.8,5.228574343786248,4.786031116185195,4.441943409111183,4.162346754115328,3.963498276218878,3.8190247136317192,3.7124217977182044,3.6458671145305956,3.6071480365263704,3.588540985197539,3.588056655343634,3.6001353163273966,3.621674469456466,3.650770458253042,3.6853234875568175,3.724259244925028,3.7656880293703354,3.8088767032999886,3.853659829959228,3.8986862050246036,3.9438195003738796,3.988947513061682,4.03288875641315,4.075540208059624,4.11669963767238,4.155651447861908,4.192511045395177
T15000logg3.0,4.8926026606137,4.553486517192453,4.291943279068253,4.08241707582062,3.936680146236031,3.8344895277517197,3.763606097782824,3.724299039193673,3.7071617270150403,3.706490290648249,3.7195319558677737,3.742245427989068,3.772620591519967,3.8083554096315573,3.8481027382273667,3.8913350796395645,3.935930571884542,3.9815775822545163,4.02837977902835,4.074773724538042,4.120843225970785,4.166626548287384,4.210829883507847,4.253540265521422,4.294698238454698,4.333504626261047,4.370186944314934
T16000logg2.0,5.048481230928173,4.499285992110326,4.0827447713427985,3.7525346998610494,3.522682518429982,3.35862310982909,3.2396743537248076,3.167665246075939,3.1284448357468975,3.1139169571318095,3.1206175370671323,3.1419785853180913,3.175285402313497,3.2167998003246954,3.2639698957382577,3.3163168781471075,3.3702310458765825,3.4250060573390013,3.4817146010208453,3.537992292673261,3.59401188324975,3.6509159580528263,3.706555341272308,3.7610760992354253,3.8152545358561687,3.8672039738579014,3.917175038809978
T16000logg2.2,5.487107958088006,4.844525719129611,4.350322780211304,3.9512800622621955,3.666959696070338,3.4574971173353677,3.297422734945611,3.191675935177181,3.1238610727882525,3.083399355279556,3.0688369107195594,3.0719398927840578,3.0880783237103255,3.1149787273105005,3.1492084342461313,3.189244380429694,3.232690308698585,3.2782282641524114,3.3260785176024825,3.374754816539233,3.423997146861317,3.4742691771576544,3.5240063255107383,3.572869411015538,3.621018245068513,3.667208702459872,3.7114067677226097
T16000logg2.4,5.843157843625623,5.178062658093068,4.6612090103946935,4.239134889496438,3.934665281487841,3.7072675684292937,3.530358133751762,3.4102017034552454,3.3295570790129143,3.2768679931430085,3.2516156192471084,3.2450281972026187,3.2516741928484123,3.2701174820410177,3.296656114600084,3.329275269092147,3.366290314015496,3.406111502416926,3.4484223343899347,3.4921769493242154,3.5368958246799496,3.5825778817537173,3.6280319076414766,3.672728528194852,3.716470318104031,3.7583971481366585,3.7983733486608733
T16000logg2.6,5.9576669551435755,5.318526126126842,4.818851987549482,4.408122489638532,4.11027904537922,3.8870276851617716,3.7127416927796215,3.5938082664955484,3.5133919170760093,3.459922964168466,3.4331842676873707,3.4246688194636827,3.4288628336377776,3.444715329948228,3.46862219939223,3.498433886964948,3.532818541254118,3.5701817765975425,3.6099293839590993,3.651249983459581,3.6935925849078433,3.7367052247914696,3.7796394192168434,3.8218232309103723,3.8628565488045647,3.9021360437291337,3.939483836991916
T16000logg2.8,5.771886868022586,5.209235331627974,4.767862476289682,4.4045923297988905,4.141614506097674,3.9455308521313386,3.794024291211722,3.692410750465822,3.6255210109058,3.5830665782750204,3.5643938877108874,3.561948534679546,3.570946564347697,3.590202016259362,3.6166334084453746,3.648441753522716,3.6842194053350186,3.7226278558437866,3.7631592636834315,3.8048415491420267,3.8472375877658562,3.8900908603271187,3.93240002601183,3.973718711692513,4.013679682334769,4.051682662606351,4.0876479324133275
T16000logg3.0,5.526365860263093,5.042357445337404,4.662806734999637,4.351199704292573,4.127031887357069,3.961826322535845,3.83675330421955,3.7556290613501244,3.7051813475622977,3.6765534292955686,3.6684246851346596,3.6743811866985876,3.690511614946748,3.7153000220491847,3.7462269607902345,3.7819072872905184,3.820717789973876,3.8616304468638485,3.904315119248412,3.9476247769060637,3.9912762701952555,4.035088186359576,4.077989095706228,4.119689906345067,4.159887046401506,4.197960646932747,4.233912320412127
T16000logg3.2,5.8043783122537,5.3161684358822345,4.931478962902738,4.613221645468806,4.382688775975036,4.211812763418052,4.081418152386155,3.9957856241473353,3.9413117717619297,3.908611133059749,3.8967501928307047,3.8992868779423486,3.9120331232798526,3.933857952392789,3.962185465096065,3.995346679773346,4.032016510060493,4.071086113921072,4.11193821154541,4.153634622047716,4.195754596529514,4.237849369514144,4.27906008749365,4.3190261145302635,4.357268562417102,4.39338139605353,4.427325228583495
T17000logg2.2,5.591960945378846,4.914617055107394,4.4060359023223,4.006683693079169,3.7281100353068313,3.5255212348881946,3.370992708113852,3.2685630052681445,3.202437117014406,3.162192336875179,3.1468001741244582,3.1482304715567335,3.161888881979725,3.1860681109287183,3.217335655046406,3.2539981820245867,3.294065763178618,3.336173945313958,3.380411679973437,3.4258394246187605,3.472160628930968,3.519650513872231,3.567152921194683,3.614133353477022,3.660447116272009,3.7051917214152037,3.7481777885573053
T17000logg2.4,6.073192991184226,5.348211037065247,4.791596914341994,4.34241302173748,4.020619252377677,3.780895911096744,3.593323879675865,3.464515446376853,3.376926589993585,3.3183610146732425,3.2886483961857422,3.27847580523621,3.281939098980725,3.2977379081547724,3.321785208415876,3.3518586409036315,3.3863529650567106,3.423533362931108,3.46312366982685,3.5044402461974227,3.5469932867901144,3.5907457997232304,3.6347832565325797,3.6783990210417286,3.7211570247675607,3.762466596713986,3.8020298023154027
T17000logg2.6,6.391479668293938,5.663384622416393,5.09777901170787,4.635874032544112,4.300942043891187,4.048636995299622,3.848990748185044,3.7095795355057697,3.6123573404102793,3.5445023288231052,3.506480331349168,3.4886556060650067,3.4846599285441644,3.4937190768721105,3.5115898029903234,3.535816695425728,3.565220513054107,3.5978919012759323,3.633191015690004,3.670646363141792,3.709602831244325,3.749720790841154,3.7903039331584334,3.8305313822074782,3.869719214694702,3.9075491198162937,3.9436601255880728
T17000logg2.8,6.4298793613374,5.740421363897569,5.200656102900657,4.756332888115718,4.432361206233679,4.187434507678112,3.993300298621001,3.8576094859541414,3.7627555725224915,3.696188156849282,3.6584732199373016,3.640315114754555,3.6354542351880097,3.6433383779276634,3.6599432925874464,3.682734949563272,3.710804183367002,3.7422894586467943,3.7763014936518844,3.812491440437156,3.850161147060596,3.888755894563663,3.9277118814751284,3.966214143142451,4.003502347889905,4.039359823569309,4.073437655334418
T17000logg3.0,6.354551347737056,5.717299284299246,5.215133199237429,4.799314191596246,4.4949026458510035,4.264517065080714,4.082303353425459,3.9554270215773495,3.8672411151368493,3.8058557378495843,3.7716512355854452,3.7559389651551,3.752874845229091,3.761892821545723,3.7793145999995605,3.802765299099816,3.8313426355742655,3.8633102419267504,3.8977076864827827,3.9340958304636753,3.971771993863608,4.010074502543353,4.048440691432029,4.0861306944324145,4.1223485109352485,4.156930661568242,4.189599247996748
T17000logg3.2,6.239353527309293,5.663236285470344,5.206883363825487,4.827284958937645,4.549103841753139,4.339094636135389,4.174118567913337,4.060562869293143,3.982937939441085,3.930243144854599,3.9025095934175726,3.8918320651758833,3.892846775038975,3.9049483470322324,3.9248528974455934,3.9503656269610077,3.9805873525878064,4.013960214086485,4.049561697971059,4.086834609199307,4.125143771008615,4.163844086518885,4.202307066013315,4.239894330538491,4.2758833444905004,4.310069995552699,4.342251470999972
T18000logg2.2,5.281633042581569,4.65460937728789,4.1832005076568946,3.8126591943785,3.55430163582446,3.36755131107999,3.2270699695360636,3.1360154309185932,3.079584219186622,3.0479401331260974,3.0394211048194615,3.046778198925499,3.0660748223491483,3.095288374723675,3.131362255285376,3.172998542906597,3.217778794502813,3.264519617719877,3.3135858235331908,3.3634591670972753,3.4138951988262747,3.465315180496212,3.5162624298322576,3.5663547162988047,3.615571719827503,3.6628679849018315,3.7081758543602414
