,vsini100,vsini105,vsini110,vsini115,vsini120,vsini125,vsini130,vsini135,vsini140,vsini145,vsini150,vsini155,vsini160,vsini165,vsini170,vsini175,vsini180,vsini185,vsini190,vsini195,vsini200,vsini205,vsini210,vsini215,vsini220,vsini225,vsini230,vsini235,vsini240,vsini245,vsini250
T15000logg2.0,1450.5256190733671,1400.709719811694,1347.7134565207289,1299.8943586624987,1259.4525053516095,1216.9392348256092,1178.7076595135745,1146.3310305293885,1112.57921914246,1082.2839269363064,1056.580727828879,1029.8879497450118,1005.885396278137,985.4257785103466,964.1231263169426,944.8278633399962,928.2392836563783,910.8269451519649,894.8718082855287,881.0007599659139,866.292789250448,852.6354419109032,840.6208117775262,827.7734672059674,815.7037024480363,804.9809358163227,793.4751476766453,782.5775103533596,772.8219661469077,762.3563481895416,752.3802477964014
T15000logg2.2,3267.3133321094374,3211.09089518112,3148.9512378796617,3090.886848460858,3040.103864510435,2984.4419824480674,2932.319710243188,2886.419253424992,2836.402348746007,2789.4231717786834,2747.756244139017,2702.499162090951,2659.778159447421,2621.5702431237196,2580.095511961339,2540.670744086941,2505.080699296712,2466.4203037294524,2429.3937174548237,2395.666500268191,2359.0236450366183,2323.7017880468275,2291.281547550311,2256.116370755951,2222.0697478670563,2190.644195120313,2156.6892286063376,2123.73709273709,2093.191900767991,2060.3408975046273,2028.4007750898697
T15000logg2.4,4659.064700041739,4606.943736139029,4548.405540950148,4492.885332478802,4443.668557231411,4388.807476127485,4336.587986964498,4289.908708766844,4238.157625622524,4188.69043013296,4144.1044784823835,4094.850660074391,4047.5198518300285,4004.4862218461762,3957.041132320933,3911.1642619940408,3869.0851000398006,3822.764963070814,3777.711584413838,3736.0637789269144,3690.332621120323,3645.6570623541966,3604.107231542952,3558.6750500983107,3514.1874221268326,3472.6381816934163,3427.4643406852956,3383.1948311238652,3341.719316322188,3296.8913050212213,3252.942190323286
T15000logg2.6,5310.764456904894,5264.204058356992,5211.486517544395,5161.127921370504,5116.218674870058,5065.736185501471,5017.3124498385205,4973.741911771289,4925.02377166143,4878.0722937506125,4835.456342144838,4787.984901583744,4741.98381271069,4699.859699435439,4653.0582101472,4607.437551249726,4565.305458610771,4518.616803929139,4472.868873291363,4430.312287292839,4383.327574829431,4337.130894442987,4293.928410211525,4246.484298146963,4199.77017722748,4155.930709829909,4108.096297339218,4060.990594549642,4016.6668038448306,3968.611465296156,3921.2956773365486
T15000logg2.8,6501.816501696243,6456.128384253285,6404.057100733893,6353.983395409521,6309.0533538797745,6258.21330620544,6209.099811592914,6164.619201101734,6114.565009374831,6065.978845752146,6021.587089894203,5971.847829478621,5923.320627497358,5878.604814054683,5828.676433723752,5779.711469076921,5734.23438352657,5683.634334126267,5633.79531957154,5587.201863605022,5535.595443875425,5484.633315710518,5436.766965611547,5384.069571635643,5331.994640950731,5282.936992746022,5229.300279415054,5176.315182860263,5126.2860657187175,5071.948807048679,5018.300659166506
T15000logg3.0,7314.067358263746,7273.905734531081,7227.878311013107,7183.1696678933895,7142.694306600873,7096.690846575754,7051.8119879482565,7010.811697952119,6964.508201179614,6919.135404949608,6877.336169726515,6830.3746973335465,6784.145896411268,6741.220433038039,6693.202624642736,6645.730194988684,6601.339771792393,6551.903005140942,6502.864537022907,6456.749115151914,6405.664523631323,6354.907146715635,6306.990142523078,6254.2609343043505,6201.8701042621815,6152.289612381949,6098.118922419509,6044.338520204894,5993.347551169457,5938.01134608195,5883.125366876828
T16000logg2.0,813.7107222128933,769.5591983097246,724.0975513891398,684.2473108719072,651.3946859144905,618.1843557918122,589.3813074316615,565.7980087245035,542.3261423284232,522.2236218218999,505.94390371465744,489.9293566573418,476.3981600848127,465.5979283652814,455.0131515795027,446.1858041503896,439.269773737421,432.44752856646437,426.83507616696016,422.5545904639357,418.2592337228722,414.78303285976506,412.2434449157455,409.6207855658242,407.55918958235225,406.1830932747534,404.7170218645465,403.65959142851517,403.1298934458193,402.53918976494936,402.25760491390656
T16000logg2.2,1871.394753079057,1823.1281900762406,1771.5846520242208,1724.6208810602743,1684.3469598333436,1641.7659515493397,1602.9867363122332,1569.591008610119,1534.456300438483,1502.414483068872,1474.6777193359958,1445.4615739203282,1418.6785237679728,1395.3049012916665,1370.4954341908738,1347.53640349751,1327.2766867599316,1305.5399530703519,1285.194431001651,1267.0251053374639,1247.3470770253675,1228.7282116063184,1211.9178119932408,1193.6144771858214,1176.1575406838087,1160.2681347089906,1142.9708551007084,1126.400939097547,1111.2320472254032,1094.773310473243,1078.9588716029873
T16000logg2.4,3200.4524859064013,3151.5760069042203,3098.039532043406,3048.043907414846,3004.2212761936307,2956.5169322423585,2911.837798769138,2872.3841345199958,2829.545780361081,2789.2634695150173,2753.4125677524603,2714.4454539075978,2677.5805028772284,2644.4659706747734,2608.3332547339146,2573.8830139123993,2542.62338298486,2508.3750008432194,2475.469599454323,2445.3304586456493,2412.248010411596,2380.2701155496115,2350.758399935023,2318.4074150547012,2287.0264234608044,2257.915244218163,2226.143297508641,2195.282423671005,2166.545868353281,2135.352440812753,2105.0275599914376
T16000logg2.6,4525.602203484212,4477.251431374019,4423.458954612121,4372.467110547346,4327.147332486403,4276.987438622245,4229.253988039333,4186.468959332391,4139.229413065717,4094.075095730231,4053.2598975800793,4008.2035247676445,3964.901571076215,3925.413204402739,3881.7721021271745,3839.5761819147992,3800.7569169053795,3757.8285912052816,3716.0974714128083,3677.4109253637384,3634.68991162269,3593.0067857194504,3554.1402588830483,3511.3896865072174,3469.6139175379562,3430.5114648828435,3387.7551061041145,3345.9693421526244,3306.74353749873,3264.117815677727,3222.4632952771926
