,vsini100,vsini102,vsini104,vsini106,vsini108,vsini110,vsini112,vsini114,vsini116,vsini118,vsini120,vsini122,vsini124,vsini126,vsini128,vsini130,vsini132,vsini134,vsini136,vsini138,vsini140,vsini142,vsini144,vsini146,vsini148,vsini150,vsini152,vsini154,vsini156,vsini158,vsini160,vsini162,vsini164,vsini166,vsini168,vsini170,vsini172,vsini174,vsini176,vsini178,vsini180,vsini182,vsini184,vsini186,vsini188,vsini190,vsini192,vsini194,vsini196,vsini198,vsini200,vsini202,vsini204,vsini206,vsini208,vsini210,vsini212,vsini214,vsini216,vsini218,vsini220,vsini222,vsini224,vsini226,vsini228,vsini230,vsini232,vsini234,vsini236,vsini238,vsini240,vsini242,vsini244,vsini246,vsini248,vsini250,vsini252,vsini254,vsini256,vsini258,vsini260,vsini262,vsini264,vsini266,vsini268,vsini270,vsini272,vsini274,vsini276,vsini278,vsini280,vsini282,vsini284,vsini286,vsini288,vsini290,vsini292,vsini294,vsini296,vsini298,vsini300
T15000logg2.0,436.34044768047715,425.8302610179669,413.8281991678635,402.05086503571346,392.66295953042754,382.0611865059148,371.62033816096374,363.2383212364334,353.87298066142154,344.6151640794626,337.1342986445034,328.8622752304752,320.6532326013237,313.98003489104497,306.6766996877371,299.3988399825205,293.4499104531419,287.0062410666561,280.5559606724498,275.25657906339933,269.57625881632293,263.86157271350424,259.1443920697206,254.14143972061993,249.08005948626817,244.88402418468047,240.4810973865576,235.99907586443177,232.2686323545133,228.39581247096058,224.42650688287358,221.111049490577,217.70525275531108,214.1888757807291,211.24254516771393,208.24727214675295,205.13049890153022,202.51200302057535,199.87699652947626,197.11239482218477,194.78459349140596,192.46522630955042,190.01047052469175,187.9396708297659,185.89610077911414,183.71282885396076,181.8678816737062,180.0640393555135,178.11681855309394,176.468423924028,174.8711739374555,173.12697818447478,171.64745934929886,170.2262810810171,168.65442938837634,167.31794478204543,166.044915794672,164.6175056230165,163.40063386370338,162.25087934597505,160.94367315331024,159.82633147355045,158.77890319128585,157.57249201217056,156.53904408175836,155.57793454226595,154.45875090422552,153.4987176774617,152.61329618024604,151.57338930964835,150.68093423798032,149.86506537536857,148.90029603728044,148.072416966456,147.32246171404714,146.4299876760131,145.66434955175137,144.97714867814153,144.15357735799466,143.4471269985438,142.81883268344336,142.05951535846742,141.40805719527324,140.8337788844449,140.13290093122967,139.53126350677496,139.0052490607728,138.3562476483813,137.79869766671055,137.3147732104982,136.71096795297092,136.1917852853322,135.74400816591844,135.1793584489758,134.6934899036752,134.27680773979088,133.7464995841781,133.2900149507648,132.9006612820755,132.401411688729,131.97172894552358
T15000logg2.2,906.4536834495001,890.056519277509,871.5301852752773,853.1032981066719,838.235784600778,821.6066120315387,805.0124138459923,791.5284320556688,776.5900552258596,761.6327591623889,749.3989809395389,735.9690225058245,722.4753314979336,711.3713557970681,699.2892667540983,687.1059331062306,677.023259722927,666.1470805568832,655.1377721306661,645.9781748247451,636.1812008262574,626.223608527525,617.8976151958358,609.0658365944803,600.0497867823498,592.475695478618,584.5061104534599,576.3321425416442,569.4352881113055,562.2346865698472,554.8129978191664,548.5251453926431,542.0091305888318,535.2583838609959,529.5169362714176,523.608922739801,517.4550027715501,512.2020299292132,506.8320281456965,501.20651035206765,496.3876060900289,491.4910233711909,486.3300382759309,481.89357976921127,477.41049263548916,472.6543348063596,468.55136702808704,464.4263444062192,460.01971262269535,456.2044292981266,452.38688627334886,448.27931771440717,444.7095668378567,441.15382383887396,437.2998529023403,433.9375555210936,430.60280325548456,426.9621814129145,423.77375244096623,420.6242605032052,417.16263519949507,414.1197486646349,411.1256732236229,407.81559492909554,404.89620763847574,402.034515603752,398.8566445516697,396.04609191915546,393.3013362254719,390.2448091132389,387.5356955490276,384.8994058371397,381.95996093504226,379.35005563655903,376.81836446669695,373.9946477416981,371.4834476021967,369.0538394179514,366.3438845271892,363.9298658733148,361.59891353347507,358.99861284474974,356.67825778586104,354.4409186650284,351.94410296052,349.71214942760724,347.5620244191147,345.1612199658155,343.0113497434225,340.94128856213115,338.6285878422202,336.55422643433036,334.55717381643757,332.3252595896204,330.3204372440911,328.39033128430816,326.23334771592437,324.29342077724334,322.42583921676805,320.33993513333576,318.4620218826259
T15000logg2.4,940.5489595757161,925.2409248096646,907.908931376665,890.6376813527373,876.6731403053022,861.0188478803008,845.3729334314976,832.6339592615392,818.486645326752,804.3034356099275,792.6806385366181,779.8874309944486,767.0211418858479,756.4142581961693,744.8389776966843,733.1592167406352,723.476714479215,712.9976728295142,702.3872728188829,693.5453390327015,684.0529774233229,674.4059796587313,666.3275298473596,657.7224888421273,648.9425826503463,641.5564891124594,633.7481798670623,625.7475761047116,618.988103522111,611.8937718528363,604.5923005027213,598.3985935952056,591.9424844027006,585.2666184481174,579.5820370768291,573.694547924841,567.5763685890885,562.347738125006,556.9645516086475,551.340752770123,546.5176664474981,541.5790188123069,536.390184772251,531.9245900756569,527.374744339114,522.5652125237947,518.4115240520958,514.1988535462929,509.7170841075786,505.8327175800012,501.9100962601713,497.70925388305847,494.0552454516018,490.38029958443116,486.4184670299719,482.9598722816119,479.4949967505883,475.73543571538335,472.4417620456595,469.1543942042014,465.56615486807686,462.4120384418447,459.2752557064339,455.83391245002775,452.7998371442624,449.7929526207948,446.48123084340705,443.5540638275666,440.6628832952452,437.4705532276539,434.6431602232251,431.85929347676125,428.7815365610286,426.0510358735305,423.369984740659,420.4046545319434,417.7698886870951,415.188616181245,412.33343802275687,409.79268607105854,407.3076626247578,404.5587579271377,402.10875703451285,399.71522378761324,397.0670421258751,394.7031075564814,392.395234603927,389.8411317010554,387.5576884583318,385.32906503712303,382.86206734248987,380.6533362514703,378.497711827182,376.11138750219925,373.9721439474717,371.8841731529645,369.5733809062817,367.4995705447108,365.4753686532961,363.23671781679906,361.2258149423051
T15000logg2.6,754.3159051512042,742.2300528012033,728.4964373718872,714.8361311489103,703.8112677129935,691.407393195927,679.0356493970156,668.982138287231,657.7766298289699,646.5680564329824,637.4020580453513,627.276416381777,617.1177010899007,608.761592878083,599.6093921951987,590.3984301670021,582.7807430435739,574.5062946702133,566.1508035025781,559.2056737153587,551.7224418836271,544.1386872904255,537.805330014541,531.0346683832327,524.1464440349774,518.3686702661747,512.2387354115926,505.97637361371807,500.7020650946736,495.1469508669904,489.446582805688,484.6273124834065,479.5865285769855,474.3894756739815,469.9801108029548,465.3980061836848,460.65006878679924,456.60828700328443,452.43354690634305,448.08441698530123,444.3703130911512,440.5554297593588,436.5580887498775,433.1337640282215,429.6345368260257,425.94488344968545,422.77432935072176,419.5496921745177,416.12678817927195,413.1762522361578,410.188559415357,406.9949362791479,404.2333265808934,401.4484965704612,398.45048120659186,395.8497827008783,393.23752762978444,390.40566112722877,387.94151632815243,385.47574608797527,382.78539679703516,380.4376951674927,378.09692571290293,375.5287772019569,373.28216257281997,371.0499059723118,368.59029228514737,366.4343058429634,364.29906344816663,361.9393921204581,359.8677789863428,357.8221228442499,355.5574071545773,353.5666371134142,351.6057004528861,349.4324432094475,347.5198518199577,345.63961477314746,343.554185814194,341.7167177427553,339.9129055965645,337.9106858193431,336.1443076884051,334.4118739204825,332.48717681849735,330.78695063488954,329.120195974762,327.2667424476696,325.62727137369717,324.0203053555383,322.2318260930863,320.64780504094574,319.09508955993095,317.36600929907996,315.8328392113389,314.3298008335332,312.6558599456858,311.1701520905199,309.7136166764534,308.0921827880379,306.65197847286527
T15000logg2.8,822.1703749257035,810.2431245180588,796.6019296960857,783.0514953190041,772.1193789463485,759.7366597893015,747.4044876641732,737.3869511114889,726.142301849452,714.9136801415128,705.7348706002398,695.5191817750932,685.2897813897777,676.8788776797923,667.5933563953195,658.2683663475482,650.5595170884632,642.1147650259536,633.6081399082749,626.5403979399424,618.8554409570255,611.0890188581617,604.6060218025808,597.6071836357759,590.5097132253319,584.5592561765569,578.1792544633322,571.685594730844,566.2192172343842,560.3963391004637,554.4466646895592,549.4192080040892,544.0966346375048,538.6357186176998,534.0048839043949,529.1301978894686,524.1069650542789,519.8330467435437,515.3578240583005,510.7247074341787,506.77009657133476,502.64927017234794,498.3615655338836,494.6903907137319,490.88179321188517,486.8974876341877,483.4756089273167,479.93993616080184,476.21983976899355,473.0150990194907,469.7160875507811,466.22420716564767,463.20689438857204,460.11163391837204,456.81564657323105,453.95907164138816,451.03841166847013,447.9102296365663,445.19131617394424,442.42029705315684,439.4366128938729,436.8364820392978,434.1947404491561,431.33746988884235,428.8418131057328,426.3138229511807,423.5700964973723,421.1690636835462,418.7438129496736,416.10527763098816,413.79272543556846,411.46287338101837,408.92432378839794,406.6964782365735,404.45694096032366,402.0145243531158,399.86841182238436,397.7148872075957,395.3646416425045,393.296977396757,391.224933333649,388.9621012985328,386.9688008496926,384.973044577434,382.7919139823637,380.86804728329054,378.9427784210712,376.8370679218505,374.9772783020285,373.116547207451,371.0800533882421,369.2791327131463,367.4774376798371,365.5047385430794,363.7582460685979,362.01112066358155,360.0981145908613,358.4028160705895,356.7071657889451,354.85135941040045,353.2054470447013
T15000logg3.0,788.3652778819705,778.3566627317737,766.9396193163092,755.5477659761526,746.3244588917634,735.9051174524798,725.4824966193933,716.9863538874588,707.4752153341557,697.9361876427971,690.1114299539569,681.4261730332254,672.691785562568,665.485458495741,657.5508232617295,649.5485614995595,642.9107417187693,635.6578132491326,628.3210893749393,622.2049295731621,615.5706893360293,608.8384730246017,603.2001813758612,597.1268601323492,590.9430480423536,585.7416484978688,580.1760742480255,574.4889599605455,569.6860406344172,564.5790655446147,559.3407134792837,554.9000852211373,550.2060522510071,545.3717575334241,541.2591229186368,536.9354807317476,532.4634546164326,528.6462569192909,524.6533927511196,520.5044632606682,516.95165196668,513.2524223518291,509.3894437236234,506.07113149846356,502.63046825121074,499.01832907024374,495.90596590042037,492.6910834170706,489.2970276554158,486.3637483400718,483.3444039963788,480.1384762304073,477.3596244635942,474.5085311978484,471.4640956383087,468.8177363106852,466.11093559084793,463.20506717737527,460.67244023086613,458.08960014915107,455.303543925287,452.8695308759314,450.39429615104046,447.7137314141335,445.3670670645876,442.98711302050833,440.4019961836561,438.13503665846855,435.84170953713766,433.34564803530907,431.1537371222853,428.94134095610553,426.5303836633198,424.4106622462973,422.27522607491954,419.9464400366569,417.8966970935624,415.83489722941204,413.5853614562496,411.6032179647198,409.6116167576274,407.43776877929105,405.5201921488501,403.59478856749394,401.4923206043427,399.6356478710289,397.77201758221423,395.73620263228577,393.9364173201141,392.13001288274614,390.1561181640318,388.4092552902411,386.65583008892304,384.73965385328114,383.0422895045239,381.3383702740898,379.47673578227415,377.82638696967825,376.1696028958366,374.3605797828034,372.75585744654535
T16000logg2.0,338.96134964685126,329.2789331145258,318.1247629676603,307.27599111447546,298.6684390891603,288.8635727141315,279.2931827161876,271.6457232338919,263.02783484902784,254.58492253042246,247.79464586378444,240.2224043302875,232.77534783123406,226.75071697405357,220.10172762786726,213.5358913445613,208.1957125691193,202.3634504412975,196.5783358033439,191.85027438975865,186.7411038598069,181.6479892341121,177.46722667900485,172.99798930482453,168.51791150204429,164.82597366608687,160.92211932358097,156.98434609370295,153.7281934950331,150.3224976773729,146.863479175969,143.99494419337057,141.02692668370875,137.98999144754342,135.46582556304077,132.88183412859615,130.21736988772057,127.99958605316931,125.75293765032131,123.41839753256188,121.47434799672605,119.52511773768536,117.48437418246426,115.78596035835137,114.09995192187296,112.3215432117906,110.84364959608183,109.39070630240667,107.84578532082621,106.56461901664456,105.31688884387101,103.97762048677082,102.86971018024987,101.80061819926193,100.63978607790585,99.68192558381043,98.76611288914502,97.75757311350246,96.92746105576254,96.14130249438391,95.26107207971137,94.53842785985569,93.86115296042017,93.08899426726742,92.45702762508768,91.87223737784127,91.19325748299957,90.6399014041203,90.13648722896669,89.54133629846945,89.05916188266447,88.63052644945687,88.11382281736007,87.69853702133095,87.34058774538944,86.8986335452607,86.54719084961869,86.25645896705457,85.88557566882794,85.59484739298325,85.36734225712492,85.06295189378487,84.82900781942259,84.65966254436826,84.4160434077006,84.23399744311409,84.11671779343125,83.92720058183058,83.79141405828547,83.71943629463966,83.57690412337156,83.48141895279346,83.44791942115783,83.34549169401794,83.28458892517308,83.28332090047016,83.21495115668795,83.18362849777236,83.20940415186963,83.17027451556886,83.16455585948519
T16000logg2.2,608.2334994607168,595.1783333443965,580.1692651083002,565.4806228824125,553.7360731382802,540.3739746717143,527.2552613229976,516.6905582299336,504.78884550104317,493.06538780016496,483.56208169891096,472.95708526682347,462.4755025086819,453.9274676724414,444.47625238198935,435.10188881769,427.4142306804509,418.9914221992046,410.60532199920755,403.6927495395417,396.18711588129094,388.68319433960875,382.4684228621927,375.78019874917186,369.0631973598545,363.475832811221,357.51496210527677,351.4989487428704,346.4746318152772,341.15954526741757,335.76685928267517,331.2466891660795,326.5035050195552,321.66407169740035,317.5942889591436,313.3564387990245,309.0072434379731,305.33891817976445,301.54662415949525,297.6309050575949,294.31934775833525,290.9188364688958,287.3850923975029,284.38904821834484,281.33160175396534,278.1325728918456,275.4134613788873,272.65466870512245,269.7465894208835,267.26805456646315,264.7671827145211,262.1094820411905,259.8374085572078,257.55716090480263,255.11249103479676,253.01531900197304,250.9218098092762,248.6564628805794,246.7058083533897,244.76901306990112,242.65387408146478,240.82555402828606,239.0202749531421,237.03216898249806,235.3074870480538,233.61458588329404,231.73744311943582,230.10405930635702,228.51093209677387,226.7355041356999,225.18683271324835,223.6862065370407,222.00777468447913,220.54071033334048,219.12805318050286,217.54333775946176,216.15563769754854,214.82677741154876,213.3317486682782,212.02029991302445,210.77006637148466,209.3591402463097,208.1194223337438,206.94145530928918,205.60774983261038,204.43409308147852,203.32120254579567,202.05706033776838,200.94310367726794,199.8878000100217,198.68547849233514,197.6247808610624,196.61995477266657,195.4724155907379,194.4591650108877,193.49881398555544,192.40044003317107,191.43007526541805,190.50983512333036,189.4568867267548,188.52647233883604
T16000logg2.4,812.3648432074683,797.4981026315294,780.3017522599979,763.4569986669425,749.9753225367264,734.5352240042622,719.3676901576191,707.1416592291631,693.2695634788506,679.6025736513615,668.513696774194,656.042889735212,643.7197689469533,633.660722503025,622.444259031449,611.3262863925157,602.200167132158,592.1080059131715,582.0716320084638,573.790546062926,564.7064409785094,555.6406955882225,548.1243664433877,539.9434701590309,531.7481352927667,524.922977068071,517.5503139762758,510.1346446684754,503.93308969022695,497.282366397222,490.5639805858447,484.923845421014,478.91654812210214,472.8205387245392,467.68449358605386,462.24923476438744,456.7073347598419,452.02234719060203,447.0941355391628,442.04374495676285,437.7603685730021,433.27966529499616,428.6627940242126,424.7344170351367,420.6462905105334,416.40891533762107,412.79143312474656,409.04520002590175,405.1371965427514,401.78915584421884,398.3383453981939,394.7136443057034,391.5966057392136,388.3989555351928,385.0157285801547,382.09471869548616,379.1122399800226,375.9333128050112,373.1774277047839,370.37679074730187,367.37044047667683,364.75373917517044,362.1071231491555,359.2482347421448,356.7508314487148,354.2369590265537,351.5079949867111,349.11675624743253,346.7212220921136,344.1118194514344,341.819677702162,339.5337682866634,337.03853574865906,334.84224668437247,332.66047350042453,330.2758133066259,328.1731532602466,326.09070610536816,323.81235500538133,321.8001854814881,319.8114305728539,317.63353083208443,315.7071948620119,313.80534334834596,311.72065316839365,309.874231888838,308.0516659697753,306.0521271346836,304.2789815071383,302.52778835241594,300.60527001945144,298.89871878482546,297.2114378043921,295.35861983254813,293.71270182624204,292.08312059912924,290.29425183025137,288.70436590304496,287.128083610121,285.39944971388684,283.86272930608527
T16000logg2.6,942.9463787057426,927.5871358914151,909.9481538495793,892.5472723642642,878.5312529582716,862.5906376741099,846.8231099382043,834.0328477513848,819.6181020750145,805.3206321349506,793.647150008163,780.6038228526342,767.6299035521033,756.9731476195926,745.1634156372207,733.3819094010922,723.6504585222619,712.951207280415,702.2443368255463,693.3544898217823,683.6549047182498,673.9162614449033,665.7910768819974,656.9907886347266,648.1238878251638,640.6925252081338,632.7003283453893,624.6174817346731,617.8145979398835,610.5473019878284,603.1685053691555,596.9336220480423,590.3152284232406,583.5673413815354,577.8443216384966,571.8052467945115,565.620975059666,560.3573338996797,554.8336814974094,549.1507428890781,544.2970420696728,539.2297651926862,533.9899487874898,529.4991875511795,524.8333729106679,519.9820905947416,515.8095466632785,511.49420849299236,506.9806428155653,503.08422434676845,499.0725574169642,494.8501750357836,491.19104098303615,487.4407183678762,483.46755451623994,480.01058784129077,476.4837908268367,472.72289185167466,469.437344931684,466.1012539094407,462.52142490074556,459.38173517079605,456.20915563016905,452.78588477874695,449.7725742346566,446.7426842294647,443.4587440107147,440.5588279707015,437.6572363229939,434.50213529735566,431.70835974439206,428.9259749546705,425.893924367947,423.202739099519,420.5335983215544,417.62076484697826,415.029899943959,412.4689050223144,409.6710720798335,407.1776169238394,404.7189761234492,402.03043185477736,399.63007171814075,397.2668496289052,394.6804600043601,392.3676011109899,390.09203677900865,387.5998463864971,385.368137478903,383.1722509963899,380.76624977286923,378.60923200765836,376.48557734401567,374.1585663284316,372.0704656531657,370.0129006903092,367.7592525487823,365.7356401657424,363.7398454173212,361.55596197167597,359.59414975484407
