,vsini60,vsini85,vsini110,vsini135,vsini160,vsini185,vsini210,vsini235,vsini260
T15000logg2.0,"{'Hb': 1983.9037513166238, 'Hd': 873.151126137624, 'HeII_4199.83': 242.0715140855641, 'HeI_4471.50': 1016.580072099766, 'HeI_4921.93': 2742.1219182595387, 'Hg': 742.1452381001803}","{'Hb': 1787.3463848063425, 'Hd': 736.7091270624842, 'HeII_4199.83': 240.1559343169007, 'HeI_4471.50': 716.2437280188416, 'HeI_4921.93': 2110.533381014064, 'Hg': 582.8697851953164}","{'Hb': 1626.150430337223, 'Hd': 634.6259889231644, 'HeII_4199.83': 238.87765872194424, 'HeI_4471.50': 537.1337392599664, 'HeI_4921.93': 1713.1845137920407, 'Hg': 458.21524215444236}","{'Hb': 1498.6246229384299, 'Hd': 565.3212661334245, 'HeII_4199.83': 237.90302611647175, 'HeI_4471.50': 428.8753681776296, 'HeI_4921.93': 1442.3469207068479, 'Hg': 367.26899691016575}","{'Hb': 1398.0548859491917, 'Hd': 523.3450086658763, 'HeII_4199.83': 237.11445111080647, 'HeI_4471.50': 361.37907130420376, 'HeI_4921.93': 1246.2023413514949, 'Hg': 305.407481368985}","{'Hb': 1322.2406380571451, 'Hd': 502.75070211028157, 'HeII_4199.83': 236.57611112099588, 'HeI_4471.50': 319.3286550309752, 'HeI_4921.93': 1096.2883567226393, 'Hg': 268.4051053259361}","{'Hb': 1265.1530577137787, 'Hd': 496.6367395308221, 'HeII_4199.83': 236.26987436279055, 'HeI_4471.50': 291.8033203027418, 'HeI_4921.93': 968.8708708815074, 'Hg': 249.8336416741911}","{'Hb': 1221.7810493526479, 'Hd': 499.55733426411217, 'HeII_4199.83': 236.14543318981154, 'HeI_4471.50': 272.8590126737164, 'HeI_4921.93': 855.4123024801703, 'Hg': 244.254604848971}","{'Hb': 1189.5379344112037, 'Hd': 506.6779510875101, 'HeII_4199.83': 236.16584607889584, 'HeI_4471.50': 259.7919197982273, 'HeI_4921.93': 757.0675857799255, 'Hg': 247.88958922662565}"
T15000logg2.2,"{'Hb': 3232.686139467418, 'Hd': 1539.2287635007854, 'HeII_4199.83': 241.0265959170603, 'HeI_4471.50': 1203.3934284423676, 'HeI_4921.93': 3730.373035186509, 'Hg': 1236.8536649737305}","{'Hb': 3067.3443492418733, 'Hd': 1418.9785983898103, 'HeII_4199.83': 238.71671087010026, 'HeI_4471.50': 875.000552676607, 'HeI_4921.93': 2994.7294115579884, 'Hg': 1112.1696204862483}","{'Hb': 2918.332382846049, 'Hd': 1320.7964327987847, 'HeII_4199.83': 237.26801163606402, 'HeI_4471.50': 670.2909281327326, 'HeI_4921.93': 2504.43552071775, 'Hg': 1002.9717890526039}","{'Hb': 2787.553645945454, 'Hd': 1242.8785426459826, 'HeII_4199.83': 236.2314962442737, 'HeI_4471.50': 541.0861106461643, 'HeI_4921.93': 2156.4954797694327, 'Hg': 912.2215441946879}","{'Hb': 2672.6041861309686, 'Hd': 1183.1348771718594, 'HeII_4199.83': 235.439188587233, 'HeI_4471.50': 456.5911519662608, 'HeI_4921.93': 1897.0857410426545, 'Hg': 839.4308403587012}","{'Hb': 2575.716055811743, 'Hd': 1139.5629608540619, 'HeII_4199.83': 234.95606922534841, 'HeI_4471.50': 401.5759059850071, 'HeI_4921.93': 1693.267620686002, 'Hg': 784.9251799779589}","{'Hb': 2493.810368911736, 'Hd': 1108.1840793537676, 'HeII_4199.83': 234.7471550887799, 'HeI_4471.50': 364.30042663211856, 'HeI_4921.93': 1516.5705362056106, 'Hg': 745.6811043052641}","{'Hb': 2423.463375611588, 'Hd': 1085.7153630525866, 'HeII_4199.83': 234.7434430279895, 'HeI_4471.50': 337.7086982264082, 'HeI_4921.93': 1357.5076103620531, 'Hg': 718.3327601538003}","{'Hb': 2364.0006920684627, 'Hd': 1068.8920412711225, 'HeII_4199.83': 234.90038058627775, 'HeI_4471.50': 318.46970698784463, 'HeI_4921.93': 1217.9218136096483, 'Hg': 700.7605562077437}"
T15000logg2.4,"{'Hb': 4005.7323617190764, 'Hd': 2011.0870693312133, 'HeII_4199.83': 238.23246311335956, 'HeI_4471.50': 1233.5195374586513, 'HeI_4921.93': 3357.955504768031, 'Hg': 1605.7633031886012}","{'Hb': 3865.1202108969096, 'Hd': 1911.049539326025, 'HeII_4199.83': 236.8545313623972, 'HeI_4471.50': 917.0719697805731, 'HeI_4921.93': 2737.1263456269517, 'Hg': 1507.1327402650127}","{'Hb': 3736.49959138846, 'Hd': 1827.6242680201235, 'HeII_4199.83': 235.89288976817463, 'HeI_4471.50': 716.0884870672047, 'HeI_4921.93': 2314.575495576117, 'Hg': 1418.0017847690415}","{'Hb': 3620.4106455127476, 'Hd': 1757.639295594623, 'HeII_4199.83': 235.1270899399572, 'HeI_4471.50': 586.7574908537871, 'HeI_4921.93': 2009.0129945137533, 'Hg': 1340.3550881158994}","{'Hb': 3514.410143145678, 'Hd': 1699.235800001612, 'HeII_4199.83': 234.48676187818367, 'HeI_4471.50': 500.470870647977, 'HeI_4921.93': 1778.1803189907516, 'Hg': 1273.5651492341128}","{'Hb': 3421.082495660695, 'Hd': 1651.6467279762405, 'HeII_4199.83': 234.01526337394492, 'HeI_4471.50': 443.2372106793044, 'HeI_4921.93': 1594.6268929643406, 'Hg': 1218.868014931524}","{'Hb': 3338.363533510136, 'Hd': 1612.4948449950386, 'HeII_4199.83': 233.69337194289648, 'HeI_4471.50': 403.74093741013405, 'HeI_4921.93': 1433.8772602970143, 'Hg': 1174.7201185290062}","{'Hb': 3263.6797081728228, 'Hd': 1579.8077936572981, 'HeII_4199.83': 233.489537760106, 'HeI_4471.50': 375.0196317427741, 'HeI_4921.93': 1288.3497852019048, 'Hg': 1139.0788741472581}","{'Hb': 3197.354527018531, 'Hd': 1551.577303895971, 'HeII_4199.83': 233.38250839880814, 'HeI_4471.50': 353.9072301938751, 'HeI_4921.93': 1160.1271945722049, 'Hg': 1111.13841439088}"
T15000logg2.6,"{'Hb': 4164.327522980273, 'Hd': 2247.176258705746, 'HeII_4199.83': 240.9691230311207, 'HeI_4471.50': 1184.695878034776, 'HeI_4921.93': 2618.9183255576118, 'Hg': 1796.4061211396152}","{'Hb': 4040.9089435958417, 'Hd': 2165.3983402508356, 'HeII_4199.83': 239.2421641723959, 'HeI_4471.50': 888.5997652535827, 'HeI_4921.93': 2125.4606278590127, 'Hg': 1713.4065638662332}","{'Hb': 3926.6187146434063, 'Hd': 2095.75155852279, 'HeII_4199.83': 238.08163709202293, 'HeI_4471.50': 700.5865892099005, 'HeI_4921.93': 1796.171908951529, 'Hg': 1638.1174588438062}","{'Hb': 3822.325430855135, 'Hd': 2035.553017378977, 'HeII_4199.83': 237.18778030657037, 'HeI_4471.50': 579.4500863211998, 'HeI_4921.93': 1559.490933287215, 'Hg': 1571.6819667497714}","{'Hb': 3725.984778232386, 'Hd': 1983.528461781042, 'HeII_4199.83': 236.4598554444093, 'HeI_4471.50': 498.43065414355715, 'HeI_4921.93': 1381.0712132335937, 'Hg': 1513.5722706461984}","{'Hb': 3640.0765237258192, 'Hd': 1939.3525766535436, 'HeII_4199.83': 235.95177333405394, 'HeI_4471.50': 444.3650784018511, 'HeI_4921.93': 1239.2500495148913, 'Hg': 1465.0065638265198}","{'Hb': 3562.873011849585, 'Hd': 1901.2825246035618, 'HeII_4199.83': 235.63414911025086, 'HeI_4471.50': 406.66851254496544, 'HeI_4921.93': 1114.5716896675149, 'Hg': 1424.8533102445972}","{'Hb': 3492.133007322144, 'Hd': 1867.8237285194202, 'HeII_4199.83': 235.46416481934676, 'HeI_4471.50': 379.0249975199914, 'HeI_4921.93': 1001.2922982859274, 'Hg': 1391.494699393281}","{'Hb': 3428.3882670659737, 'Hd': 1837.5152097579505, 'HeII_4199.83': 235.4112444756557, 'HeI_4471.50': 358.6807400769725, 'HeI_4921.93': 901.4949278917629, 'Hg': 1364.4688838648558}"
T15000logg2.8,"{'Hb': 4857.5094202366945, 'Hd': 2800.392696387853, 'HeII_4199.83': 239.2135370195985, 'HeI_4471.50': 1231.1807566658745, 'HeI_4921.93': 2613.6524945423307, 'Hg': 2285.1768925661595}","{'Hb': 4741.778785705311, 'Hd': 2723.2090548996034, 'HeII_4199.83': 237.91606971667096, 'HeI_4471.50': 936.3728476775858, 'HeI_4921.93': 2143.360626468825, 'Hg': 2208.4275863698795}","{'Hb': 4633.734095743935, 'Hd': 2657.424408838507, 'HeII_4199.83': 237.01142656725267, 'HeI_4471.50': 746.9765141572789, 'HeI_4921.93': 1825.2461382864244, 'Hg': 2138.217819949502}","{'Hb': 4534.043580333643, 'Hd': 2599.6515212173103, 'HeII_4199.83': 236.28961181130646, 'HeI_4471.50': 623.1664258413583, 'HeI_4921.93': 1593.699301175608, 'Hg': 2075.137185691083}","{'Hb': 4440.508983061666, 'Hd': 2548.1605450196416, 'HeII_4199.83': 235.68668036396764, 'HeI_4471.50': 538.9791549071235, 'HeI_4921.93': 1417.3431107853082, 'Hg': 2018.198335331307}","{'Hb': 4355.49278409841, 'Hd': 2502.568310728227, 'HeII_4199.83': 235.24488721471096, 'HeI_4471.50': 481.8933488426869, 'HeI_4921.93': 1275.9097191057988, 'Hg': 1968.5894412259092}","{'Hb': 4277.428378026243, 'Hd': 2461.3788068869485, 'HeII_4199.83': 234.9474275172307, 'HeI_4471.50': 441.5047991147211, 'HeI_4921.93': 1150.6496211494787, 'Hg': 1925.3751766612415}","{'Hb': 4204.219464382361, 'Hd': 2423.348422226953, 'HeII_4199.83': 234.76550045892483, 'HeI_4471.50': 411.4545122287579, 'HeI_4921.93': 1036.32765264476, 'Hg': 1887.1837238098149}","{'Hb': 4136.693571900749, 'Hd': 2387.3919850287866, 'HeII_4199.83': 234.67624412125863, 'HeI_4471.50': 389.008891225123, 'HeI_4921.93': 935.3514188680012, 'Hg': 1853.9748350006098}"
T15000logg3.0,"{'Hb': 5200.272243496139, 'Hd': 3264.299706511136, 'HeII_4199.83': 238.19260166956715, 'HeI_4471.50': 1143.922285568946, 'HeI_4921.93': 2195.3292912551124, 'Hg': 2626.687579309023}","{'Hb': 5112.352427802265, 'Hd': 3202.366107516264, 'HeII_4199.83': 237.32286972129606, 'HeI_4471.50': 882.414157113758, 'HeI_4921.93': 1832.342090284925, 'Hg': 2568.925627211367}","{'Hb': 5027.739222039729, 'Hd': 3149.1040112408928, 'HeII_4199.83': 236.68035682145418, 'HeI_4471.50': 713.4865850754771, 'HeI_4921.93': 1580.7108579533894, 'Hg': 2514.8215243031414}","{'Hb': 4947.651070069029, 'Hd': 3101.5589352730303, 'HeII_4199.83': 236.14057650958648, 'HeI_4471.50': 602.2757496852521, 'HeI_4921.93': 1393.088431550444, 'Hg': 2465.014770139286}","{'Hb': 4870.737016304249, 'Hd': 3058.066667916509, 'HeII_4199.83': 235.67067511627434, 'HeI_4471.50': 526.0291208812184, 'HeI_4921.93': 1247.5207021014444, 'Hg': 2418.732783946838}","{'Hb': 4799.216479950168, 'Hd': 3018.1950797936047, 'HeII_4199.83': 235.3093405819504, 'HeI_4471.50': 473.956981756991, 'HeI_4921.93': 1128.785850289765, 'Hg': 2377.030219794849}","{'Hb': 4732.007763576091, 'Hd': 2980.741767000193, 'HeII_4199.83': 235.05513738584145, 'HeI_4471.50': 436.9126285330556, 'HeI_4921.93': 1022.207946451879, 'Hg': 2339.272700968607}","{'Hb': 4667.434408047957, 'Hd': 2944.7452970367945, 'HeII_4199.83': 234.89380498673376, 'HeI_4471.50': 409.24260630790036, 'HeI_4921.93': 924.307269163029, 'Hg': 2304.4192799358107}","{'Hb': 4606.43744469639, 'Hd': 2909.483691345532, 'HeII_4199.83': 234.80977563820204, 'HeI_4471.50': 388.5586007798443, 'HeI_4921.93': 837.3091354418862, 'Hg': 2272.676104686509}"
T16000logg2.0,"{'Hb': 1424.2811513198365, 'Hd': 672.758663854562, 'HeII_4199.83': 253.64524352785003, 'HeI_4471.50': 857.3837057008769, 'HeI_4921.93': 2684.428120863369, 'Hg': 640.2795497310949}","{'Hb': 1241.6146155378847, 'Hd': 537.6911021871709, 'HeII_4199.83': 250.66283284918512, 'HeI_4471.50': 598.5214423935564, 'HeI_4921.93': 2030.468171817216, 'Hg': 470.13030068191415}","{'Hb': 1097.2722971625428, 'Hd': 443.72708616363434, 'HeII_4199.83': 248.76821118792077, 'HeI_4471.50': 447.7689573656072, 'HeI_4921.93': 1631.1991404414289, 'Hg': 344.4033826319163}","{'Hb': 988.3609396474094, 'Hd': 387.32738035357823, 'HeII_4199.83': 247.3941141323564, 'HeI_4471.50': 359.49070880484027, 'HeI_4921.93': 1362.718530514062, 'Hg': 259.59976368606544}","{'Hb': 907.0718669330395, 'Hd': 360.4165118989566, 'HeII_4199.83': 246.32700374383225, 'HeI_4471.50': 306.87702901670235, 'HeI_4921.93': 1167.4360066947247, 'Hg': 208.80480890580577}","{'Hb': 849.5059401184382, 'Hd': 354.50349603819984, 'HeII_4199.83': 245.6539598571414, 'HeI_4471.50': 275.62054357058776, 'HeI_4921.93': 1018.2778589749327, 'Hg': 184.38597242389383}","{'Hb': 809.3310938169033, 'Hd': 361.53751198761586, 'HeII_4199.83': 245.3400338889373, 'HeI_4471.50': 256.1603312422984, 'HeI_4921.93': 892.4559797934673, 'Hg': 178.02031094758013}","{'Hb': 781.6089643153153, 'Hd': 375.53659123595986, 'HeII_4199.83': 245.2943368666452, 'HeI_4471.50': 243.5735668285571, 'HeI_4921.93': 781.0134279158956, 'Hg': 183.28715831482629}","{'Hb': 763.3679676718731, 'Hd': 391.5671351234047, 'HeII_4199.83': 245.45253146843802, 'HeI_4471.50': 235.4242271549123, 'HeI_4921.93': 684.8546864523869, 'Hg': 195.82928807576363}"
T16000logg2.2,"{'Hb': 2286.3134740750424, 'Hd': 1080.8284791780907, 'HeII_4199.83': 253.43424798588404, 'HeI_4471.50': 1020.914447818774, 'HeI_4921.93': 3209.735649219873, 'Hg': 863.6095827353518}","{'Hb': 2113.9785666889697, 'Hd': 960.6739996136931, 'HeII_4199.83': 249.17273778694158, 'HeI_4471.50': 727.2214796819303, 'HeI_4921.93': 2503.8182800345594, 'Hg': 724.655922298759}","{'Hb': 1966.1861772791024, 'Hd': 869.4531073488656, 'HeII_4199.83': 246.58616921577004, 'HeI_4471.50': 548.9028790062225, 'HeI_4921.93': 2059.7682624864087, 'Hg': 614.3748420468403}","{'Hb': 1844.0899318981392, 'Hd': 804.9755567761758, 'HeII_4199.83': 244.81783222609712, 'HeI_4471.50': 439.9526356341344, 'HeI_4921.93': 1755.0567154861903, 'Hg': 530.9008473102479}","{'Hb': 1743.693671697526, 'Hd': 763.2530814997469, 'HeII_4199.83': 243.53043709736812, 'HeI_4471.50': 371.5369304943323, 'HeI_4921.93': 1529.8925283491587, 'Hg': 472.4592364792056}","{'Hb': 1664.6348389770822, 'Hd': 739.3529265109813, 'HeII_4199.83': 242.83148054031372, 'HeI_4471.50': 328.32731628824376, 'HeI_4921.93': 1355.0936643438722, 'Hg': 436.2133310620488}","{'Hb': 1602.4161424318359, 'Hd': 727.4729532933982, 'HeII_4199.83': 242.64920365550145, 'HeI_4471.50': 299.6069230280599, 'HeI_4921.93': 1205.130302977051, 'Hg': 416.85194578347716}","{'Hb': 1552.8632018870032, 'Hd': 723.1819142105572, 'HeII_4199.83': 242.83763483070226, 'HeI_4471.50': 279.6722154100167, 'HeI_4921.93': 1070.2806980324056, 'Hg': 409.630193396153}","{'Hb': 1514.001808846372, 'Hd': 722.5708493695905, 'HeII_4199.83': 243.3028662821639, 'HeI_4471.50': 265.6970096164554, 'HeI_4921.93': 952.884064425546, 'Hg': 411.2479400476494}"
T16000logg2.4,"{'Hb': 3025.534719132919, 'Hd': 1522.4515896770706, 'HeII_4199.83': 252.57854338214835, 'HeI_4471.50': 1137.916939232725, 'HeI_4921.93': 3417.8748094301072, 'Hg': 1196.4296402935147}","{'Hb': 2877.9760234094406, 'Hd': 1421.668851300872, 'HeII_4199.83': 248.11344020614024, 'HeI_4471.50': 832.1613661644594, 'HeI_4921.93': 2712.0999441195227, 'Hg': 1086.59468519321}","{'Hb': 2746.0634133990725, 'Hd': 1340.8884466163158, 'HeII_4199.83': 245.37346620984061, 'HeI_4471.50': 640.9101498095584, 'HeI_4921.93': 2255.9522725561455, 'Hg': 994.4671852395733}","{'Hb': 2631.0384072834554, 'Hd': 1277.0432214551988, 'HeII_4199.83': 243.48438832149, 'HeI_4471.50': 520.4134458588074, 'HeI_4921.93': 1937.3038038421791, 'Hg': 919.3697547944776}","{'Hb': 2530.4160290099753, 'Hd': 1228.2813528873862, 'HeII_4199.83': 242.08885172972415, 'HeI_4471.50': 442.0384080730294, 'HeI_4921.93': 1699.9416100676021, 'Hg': 861.0200165145939}","{'Hb': 2445.756538994724, 'Hd': 1192.490155556161, 'HeII_4199.83': 241.27425831700884, 'HeI_4471.50': 390.80008303075016, 'HeI_4921.93': 1513.9645116968575, 'Hg': 819.0610697364549}","{'Hb': 2374.2796742942546, 'Hd': 1166.213928766611, 'HeII_4199.83': 240.94231089849612, 'HeI_4471.50': 355.6298206729232, 'HeI_4921.93': 1353.0827295296222, 'Hg': 790.5580053257903}","{'Hb': 2312.938857894465, 'Hd': 1146.7575390726938, 'HeII_4199.83': 240.94545305482637, 'HeI_4471.50': 330.3748410046637, 'HeI_4921.93': 1207.9219827617806, 'Hg': 772.427356933311}","{'Hb': 2261.014804515894, 'Hd': 1131.4320927217075, 'HeII_4199.83': 241.19998376034488, 'HeI_4471.50': 312.0537660945096, 'HeI_4921.93': 1080.9717327141516, 'Hg': 762.6916235570134}"
T16000logg2.6,"{'Hb': 3742.5997209943976, 'Hd': 2000.0314229125731, 'HeII_4199.83': 250.82304947396173, 'HeI_4471.50': 1199.3951507253914, 'HeI_4921.93': 3429.1465257902205, 'Hg': 1566.2452278213718}","{'Hb': 3614.970113261134, 'Hd': 1912.4388036997898, 'HeII_4199.83': 246.92156683285822, 'HeI_4471.50': 897.1459521624772, 'HeI_4921.93': 2761.55853525183, 'Hg': 1477.2865043980707}","{'Hb': 3497.5244587993207, 'Hd': 1840.211907072796, 'HeII_4199.83': 244.5061874557203, 'HeI_4471.50': 703.6061433852533, 'HeI_4921.93': 2319.781071809968, 'Hg': 1399.679224463846}","{'Hb': 3391.475641426859, 'Hd': 1779.5144566033086, 'HeII_4199.83': 242.8225126633136, 'HeI_4471.50': 578.6023331780696, 'HeI_4921.93': 2005.967037892967, 'Hg': 1333.1892994766615}","{'Hb': 3294.8940900156435, 'Hd': 1728.9142889532766, 'HeII_4199.83': 241.57027544791572, 'HeI_4471.50': 495.09819236389666, 'HeI_4921.93': 1770.0004577127816, 'Hg': 1277.651989497382}","{'Hb': 3210.0183373211134, 'Hd': 1687.4193345134406, 'HeII_4199.83': 240.8411422695512, 'HeI_4471.50': 439.0980075988467, 'HeI_4921.93': 1583.3370527413572, 'Hg': 1233.7082390034047}","{'Hb': 3135.055062416524, 'Hd': 1652.858870184728, 'HeII_4199.83': 240.56710319608106, 'HeI_4471.50': 399.8142330172301, 'HeI_4921.93': 1420.5078683171935, 'Hg': 1199.774977723289}","{'Hb': 3067.6750859346753, 'Hd': 1623.6007727704377, 'HeII_4199.83': 240.6210496673783, 'HeI_4471.50': 370.9875051801593, 'HeI_4921.93': 1273.0213286274125, 'Hg': 1173.8349038437218}","{'Hb': 3007.961427308253, 'Hd': 1597.8640473108146, 'HeII_4199.83': 240.92485596325346, 'HeI_4471.50': 349.5905706384522, 'HeI_4921.93': 1143.5213327113197, 'Hg': 1154.8869706871883}"
