,vsini70,vsini80,vsini90,vsini100,vsini110,vsini120,vsini130,vsini140,vsini150,vsini160,vsini170,vsini180,vsini190,vsini200,vsini210,vsini220,vsini230,vsini240,vsini250,vsini260,vsini270,vsini280,vsini290,vsini300,vsini310,vsini320,vsini330
T15000logg2.0,2302450.349252767,2133797.9885374475,1979903.272939736,1850926.3433397594,1734610.3268983276,1629128.614672772,1535275.1072111793,1448341.5125419665,1371442.2525756906,1304106.7485391754,1243045.6594736145,1190317.088374769,1143711.1910598152,1102952.306922081,1067334.930221764,1035414.1476723993,1007472.0010391648,982744.0974393374,960145.3570021805,940236.5063330472,922268.1929913807,906104.2206137731,891669.4720065923,878523.3685511898,866759.774873727,856182.8283108195,846481.1970464122
T15000logg2.2,3160135.5579992305,2950365.7061089487,2754318.5570007972,2586693.966797973,2433143.5893829367,2291764.587719673,2164215.7174130445,2044349.4211002495,1936199.995375203,1839716.9287169173,1750915.9211185733,1672834.5432659942,1602754.162911588,1540593.9668285693,1485266.549178823,1434928.1665786894,1390132.318346073,1349766.4532369392,1312330.8470841174,1278755.5153061547,1247991.5627564243,1219813.1389011845,1194213.2124365342,1170578.596585199,1148971.417624999,1129185.5282462244,1110788.221988201
T15000logg2.4,3159629.7785541606,2975390.6739140702,2802047.991070129,2652686.378889025,2515068.639178661,2387511.563648872,2271816.532635358,2162747.660795439,2063803.9354267293,1975022.998701593,1892962.4365048574,1820226.3343746061,1754511.865884814,1695874.045777284,1643304.170712128,1595101.9452194048,1551909.6611563438,1512708.8565356755,1476041.563699339,1442911.629228448,1412357.9993280931,1384065.0318337337,1358179.3720535696,1334130.8754612098,1311858.9563259562,1291316.6087984918,1272093.1278983064
T15000logg2.6,2845733.614483554,2696905.602073186,2557570.9666395267,2437676.4531413717,2327290.3951559467,2224836.8255864275,2131840.6530106035,2044334.8884310238,1964979.6628981265,1893772.7810433386,1827983.0910407153,1769577.5320775192,1716652.4476963088,1669295.1518094183,1626705.6394114252,1587474.3288284729,1552158.0818743794,1519969.587923302,1489693.7368730851,1462187.4395775574,1436718.0579693269,1412949.7295176499,1391084.987971011,1370690.4990071263,1351622.7419307216,1333938.3214816048,1317321.6173617793
T15000logg2.8,3027284.6574018775,2883960.2461938597,2749187.5881517795,2632720.8864879627,2524946.3028920754,2424410.7756412905,2332844.7039800966,2246426.2288081315,2167796.698121166,2097018.4449572763,2031436.1674736482,1972921.2354250927,1919715.3470313144,1871906.553581357,1828768.5949494177,1788818.7616863265,1752684.1006268896,1719638.4728739313,1688369.8884178435,1659832.650856861,1633315.0157055876,1608397.4368109507,1585371.4854249202,1563809.418772459,1543490.3115418036,1524555.6439998073,1506688.2548855133
T15000logg3.0,2936140.968469985,2821273.967029685,2712460.193119632,2617600.3888863353,2529243.1366150817,2446301.14166263,2370361.575949629,2298448.8144026306,2232718.3916091877,2173240.0420225677,2117853.2033199463,2068232.373812805,2022818.1418354353,1981817.7043959266,1944614.465249849,1909949.065562627,1878435.0862970592,1849447.037735477,1821844.1302014708,1796515.8659187015,1772855.76322641,1750446.4160816479,1729621.5933793546,1710013.8237531616,1691365.4401309849,1673885.449028559,1657296.7763526835
T16000logg2.0,2149189.5125947595,1979816.8372279168,1826876.491280557,1700093.933148676,1586878.553257916,1485346.0433876908,1395918.3659693627,1313702.722960798,1241827.2909568083,1179568.6346357402,1123520.9779575705,1075656.929414338,1033751.1438911281,997472.6184768922,966127.8902313237,938380.8693910227,914446.8516146189,893536.0146310774,874672.9073227448,858325.9244455306,843726.901227924,830805.4626439417,819446.8901582992,809195.1124108246,800207.8726707445,792266.3783095148,785048.2049216453
T16000logg2.2,2667739.7355626933,2474332.2329259715,2296886.042490943,2147277.2847497556,2012121.0353587843,1888803.8760727544,1778782.8980464805,1676514.243057284,1585291.2991657695,1504975.119385803,1431860.1461457876,1368135.002903175,1311663.37064141,1261891.3894652037,1217990.6902661116,1178517.8401139015,1143664.5260788805,1112482.4474076862,1083872.4517193823,1058412.740355661,1035272.0263105993,1014230.2491611097,995295.3259938079,977927.0340259395,962219.720683155,947963.2590247107,934790.4885831416
T16000logg2.4,3009369.58910155,2809438.1772525175,2624110.292332974,2466454.517028385,2322910.888369152,2190827.884903996,2072168.872505831,1961179.5749971955,1861241.7236066372,1772499.8252443352,1691137.8304376262,1619543.5007143677,1555572.568110617,1498720.6901533096,1448122.873525035,1402213.5380304335,1361278.7542499173,1324311.197262387,1290084.4308706117,1259296.5434051526,1231080.4198992492,1205141.4058182426,1181552.3452907607,1159753.9323383071,1139778.2113054448,1121449.279911499,1104388.5957445956
T16000logg2.6,3219466.3794741514,3025626.556442151,2844499.15439712,2689292.2317710933,2547032.979610974,2415216.321926996,2296179.0532049327,2184344.2017647363,2083024.0920302053,1992554.3365081607,1909199.1088747606,1835302.6824232207,1768908.2614868183,1709540.6892874734,1656377.41867254,1607823.9691210934,1564218.2363814064,1524627.8137722742,1487713.3126260194,1454263.4740866416,1423440.9186761314,1394878.0105126721,1368714.0104644485,1344404.7879265733,1321919.3640080974,1301133.6623971313,1281677.3524944354
