,vsini120,vsini125,vsini130,vsini135,vsini140,vsini145,vsini150,vsini155,vsini160,vsini165,vsini170,vsini175,vsini180,vsini185,vsini190,vsini195,vsini200,vsini205,vsini210,vsini215,vsini220,vsini225,vsini230,vsini235,vsini240,vsini245,vsini250
T15000logg2.0,22.392348030103417,21.054626239077066,19.858138518175746,18.828859449080927,17.78335871211448,16.85208144607971,16.050706023657657,15.2477896454981,14.537722790679084,13.928833412416637,13.327930492389568,12.801981742204575,12.354392778407382,11.920189148370964,11.545886496408308,11.2319101741825,10.934041149756643,10.683733981086222,10.479777746714154,10.293199699524445,10.144296715664618,10.031048641532438,9.935457473350372,9.869412899450412,9.830646063737396,9.80882936106134,9.809525766779432
T15000logg2.2,38.01775216636632,36.46355116416086,35.05461464504876,33.82522699122226,32.55756635781369,31.409122419639914,30.402739997767767,29.37480021315294,28.44549789039196,27.629332540772452,26.803618199141454,26.05978492244769,25.406241859256586,24.751139754980898,24.163473498640624,23.647520576724975,23.13467766816017,22.677022077295874,22.276295651677014,21.88147630003701,21.5318484825416,21.227574343286065,20.93065510709315,20.670384202604133,20.445973475290433,20.228805320038692,20.040607733137396
T15000logg2.4,47.51097433031356,46.1130556081662,44.84094722276677,43.72754456861821,42.57336710628626,41.5222286576404,40.5969809361825,39.6451762438248,38.778580819480055,38.0127019522768,37.23063909941053,36.51945262757882,35.889194250486035,35.24982844197806,34.66913191841784,34.1533320684344,33.63274910567463,33.16054186727075,32.740444837220906,32.31826143592837,31.936018100803263,31.595781671903694,31.25495317910962,30.946852991275875,30.67243062369971,30.39754490223892,30.14886319074567
T15000logg2.6,49.129287853432395,47.93920286247427,46.8554977470959,45.90666689672222,44.92196517543124,44.02444624970338,43.23406584755252,42.419976081922094,41.67802626253625,41.02184331627378,40.350562748772475,39.73904723010033,39.19631114199807,38.64408447989425,38.141123581192325,37.69327999926735,37.239376990584226,36.82603001780314,36.45700090763364,36.08408026057378,35.744625736012736,35.44098131468788,35.13462735616836,34.85572479828549,34.60566236876318,34.35299190772625,34.122345284326904
T15000logg2.8,60.043301136638654,58.871617980473076,57.802476728949195,56.86452552176877,55.88841553053317,54.99604848970257,54.20785307056832,53.39278754776293,52.64676869102834,51.98417077388777,51.30263661431436,50.67815703933186,50.120673237347404,49.54940704765598,49.02513627067165,48.55471863611235,48.07368775177068,47.63137768401314,47.23252929494944,46.82504088381625,46.449530580999756,46.10925463477298,45.76138047822937,45.43980698497444,45.14673751544631,44.84614989659642,44.56678559263775
T15000logg3.0,65.48291083895084,64.51143098724422,63.622819105111226,62.841624076914805,62.0263895122275,61.278984314123626,60.61717327821261,59.93045657798638,59.299660609535245,58.737565974943124,58.15684758965245,57.622296323179285,57.14306074945588,56.64920970706049,56.1933686430369,55.782143032115215,55.35871987102499,54.966590868434594,54.6105763241485,54.24376466515856,53.90274079274737,53.591054172045055,53.269200526156055,52.96852172427628,52.69162235776927,52.40443330711349,52.134311141838076
T16000logg2.0,20.191654430039335,18.96482097563372,17.876976624385303,16.94630830210036,16.011350604983388,15.187216943418953,14.483334460458417,13.787716719345918,13.18099731853525,12.666502578889371,12.167826774845333,11.739714630285553,11.381723606513246,11.043188312234113,10.760013512893766,10.529783081100847,10.32033931477527,10.153989947571871,10.027508003669592,9.922020955013876,9.849992724277746,9.808080875589066,9.786730158099951,9.791130000766708,9.818276729648897,9.864920180905784,9.930796550061837
T16000logg2.2,25.866735997791125,24.479465887446135,23.234108486960466,22.153319537930333,21.053773932099777,20.06984302724791,19.214425016015312,18.355398748128604,17.59124873161456,16.927886285466105,16.27084538508203,15.691090754988082,15.189913363656542,14.700531462960882,14.273256852358237,13.906776134719836,13.554622378597854,13.25203365308502,12.996504918498287,12.7564802197356,12.55606468671806,12.392332462504593,12.244320180007364,12.127628080242351,12.039448301368452,11.966033714398577,11.916615498545696
T16000logg2.4,35.127057336216204,33.723762352412905,32.455756734436164,31.34879592109822,30.213369087949687,29.188606932559093,28.290510228830488,27.37890389750527,26.558684365087803,25.83873193715695,25.115511062397086,24.467487331234636,23.89859416624375,23.332510516011535,22.827587962895617,22.38472452127886,21.947839860138185,21.56047281182415,21.221889885961247,20.891113373921247,20.60057961301149,20.348681330396776,20.10538947210208,19.894520749509514,19.714129392840857,19.541846023676012,19.39495272172596
T16000logg2.6,45.29457862986265,43.930213529803105,42.692743235177254,41.60787885932304,40.49009606451965,39.47601017092455,38.58210945500239,37.66905107995849,36.84163952751564,36.10961491635227,35.36800120685651,34.697079514127516,34.10179367239772,33.50276164117466,32.96153593628018,32.48000436340949,31.99792559691036,31.56301562688591,31.17537521705911,30.789129036128827,30.441547866231968,30.131653299261206,29.824090972894194,29.548002014739325,29.301826914321566,29.057682065293875,28.83850433066927
T16000logg2.8,53.562255866911556,52.32962867419553,51.2089170665227,50.2254714964854,49.208311217741475,48.28240385573557,47.46476804398455,46.62529283735781,45.86097389077522,45.18274282265285,44.490917655200036,43.86101644390872,43.299589342810215,42.7296147021248,42.21027241174935,41.74523420032992,41.274439103915284,40.84499408753725,40.458777029597535,40.068496780326875,39.712161443736356,39.390450008795746,39.06548608764895,38.76822154747838,38.49855362871173,38.225378519658506,37.97428329146058
T16000logg3.0,60.2051311721466,59.09368522387401,58.08154054045823,57.192278028814904,56.2706552962764,55.42994419722313,54.68622569147078,53.9204763996273,53.22123621807043,52.59915177370316,51.96213722151794,51.37982102348375,50.858925984258036,50.32739854865108,49.84054913721803,49.4024932694378,48.95615688145671,48.54628543755526,48.175304168581114,47.79737671349867,47.449321089722766,47.13240505252048,46.80908154019102,46.51010494016049,46.23593634297588,45.95500673561745,45.69347883996209
