,vsini180,vsini185
T15000logg2.0,"{'H$\\beta$: 4861.33': 8.314954017261577, 'He I: 4921.93': 22.956264935694424, 'He I: 5015.68': 9.589208323766252, 'He II: 5411.53': 65.15861217064968, 'He I: 5875.66': 6.421557180874996, 'He II: 4199.83': 5.062843340034625, 'H$\\gamma$: 4340.46': 1.681089655565696, 'H11: 3770.63': 8.521415585067206, 'H10: 3797.90': 9.405486160676059, 'He I: 3819.62': 2.261146517527432, 'H9: 3835.38': 5.697571495738007, 'H8: 3889.05': 3.182563958032626}","{'H$\\beta$: 4861.33': 7.168516827168048, 'He I: 4921.93': 21.725230415510108, 'He I: 5015.68': 9.086499237201439, 'He II: 5411.53': 65.15689299501587, 'He I: 5875.66': 5.572349412663594, 'He II: 4199.83': 5.062072930364414, 'H$\\gamma$: 4340.46': 1.481806128736075, 'H11: 3770.63': 8.197579004716571, 'H10: 3797.90': 9.041882315010628, 'He I: 3819.62': 2.1479597342835035, 'H9: 3835.38': 5.486960286186868, 'H8: 3889.05': 2.914520493594412}"
T15000logg2.2,"{'H$\\beta$: 4861.33': 56.04692656906593, 'He I: 4921.93': 43.606641018729796, 'He I: 5015.68': 19.295764738714198, 'He II: 5411.53': 65.13152758456695, 'He I: 5875.66': 7.122952343435776, 'He II: 4199.83': 4.936721844720604, 'H$\\gamma$: 4340.46': 7.931221873907193, 'H11: 3770.63': 29.92944800591055, 'H10: 3797.90': 31.716213129091567, 'He I: 3819.62': 5.000225932046689, 'H9: 3835.38': 22.20953955143552, 'H8: 3889.05': 11.94771971945425}","{'H$\\beta$: 4861.33': 54.286144271072764, 'He I: 4921.93': 41.882662628493996, 'He I: 5015.68': 18.48348424461251, 'He II: 5411.53': 65.13022816602482, 'He I: 5875.66': 5.915124070339379, 'He II: 4199.83': 4.936009389082869, 'H$\\gamma$: 4340.46': 7.633971635768289, 'H11: 3770.63': 29.42120087253263, 'H10: 3797.90': 31.14177612681899, 'He I: 3819.62': 4.8146841951008845, 'H9: 3835.38': 21.785556052812197, 'H8: 3889.05': 11.58283540711147}"
T15000logg2.4,"{'H$\\beta$: 4861.33': 107.63308873970932, 'He I: 4921.93': 39.66149313373632, 'He I: 5015.68': 17.53744018560172, 'He II: 5411.53': 65.12419889917716, 'He I: 5875.66': 6.381060100968672, 'He II: 4199.83': 5.034273526534402, 'H$\\gamma$: 4340.46': 15.771644765546053, 'H11: 3770.63': 51.158967779546295, 'H10: 3797.90': 53.91163509682514, 'He I: 3819.62': 6.487177527878633, 'H9: 3835.38': 38.08994478050413, 'H8: 3889.05': 23.87940646980458}","{'H$\\beta$: 4861.33': 105.89439945068455, 'He I: 4921.93': 38.129999073461455, 'He I: 5015.68': 16.79749233256352, 'He II: 5411.53': 65.12331740199016, 'He I: 5875.66': 5.279985790325997, 'He II: 4199.83': 5.033533738626517, 'H$\\gamma$: 4340.46': 15.461005961994077, 'H11: 3770.63': 50.603757428374756, 'H10: 3797.90': 53.26546323633309, 'He I: 3819.62': 6.286174162847918, 'H9: 3835.38': 37.61160807461879, 'H8: 3889.05': 23.511204651915847}"
T15000logg2.6,"{'H$\\beta$: 4861.33': 120.73305680651471, 'He I: 4921.93': 26.91932884124386, 'He I: 5015.68': 12.476136406446418, 'He II: 5411.53': 65.0735318306403, 'He I: 5875.66': 4.848903868170643, 'He II: 4199.83': 5.069442395095174, 'H$\\gamma$: 4340.46': 19.58231011470178, 'H11: 3770.63': 63.1114135645471, 'H10: 3797.90': 66.97296551685271, 'He I: 3819.62': 6.7634142212584445, 'H9: 3835.38': 47.569222171442696, 'H8: 3889.05': 31.23600796706305}","{'H$\\beta$: 4861.33': 119.15456280284856, 'He I: 4921.93': 25.780521998107904, 'He I: 5015.68': 11.950908358791507, 'He II: 5411.53': 65.0725797131227, 'He I: 5875.66': 3.9718068702049187, 'He II: 4199.83': 5.068887739038588, 'H$\\gamma$: 4340.46': 19.293396708626343, 'H11: 3770.63': 62.55790269563264, 'H10: 3797.90': 66.31798981186238, 'He I: 3819.62': 6.578007355178455, 'H9: 3835.38': 47.09646588116596, 'H8: 3889.05': 30.88598382415103}"
T15000logg2.8,"{'H$\\beta$: 4861.33': 171.94559872476177, 'He I: 4921.93': 28.078286990551966, 'He I: 5015.68': 12.156962832979485, 'He II: 5411.53': 65.1321444519117, 'He I: 5875.66': 5.221007584089643, 'He II: 4199.83': 5.089616068362445, 'H$\\gamma$: 4340.46': 28.809696414114416, 'H11: 3770.63': 82.27522558615854, 'H10: 3797.90': 86.65930364080347, 'He I: 3819.62': 8.628026705168715, 'H9: 3835.38': 62.990778655496925, 'H8: 3889.05': 44.46143119376984}","{'H$\\beta$: 4861.33': 170.29679024705786, 'He I: 4921.93': 26.945977340483626, 'He I: 5015.68': 11.640653550069667, 'He II: 5411.53': 65.13162272469322, 'He I: 5875.66': 4.285560399209403, 'He II: 4199.83': 5.089075117878266, 'H$\\gamma$: 4340.46': 28.496799805646038, 'H11: 3770.63': 81.7094350699234, 'H10: 3797.90': 85.97457480452265, 'He I: 3819.62': 8.425478657595255, 'H9: 3835.38': 62.492854548307484, 'H8: 3889.05': 44.104062306484764}"
T15000logg3.0,"{'H$\\beta$: 4861.33': 201.43708145109292, 'He I: 4921.93': 22.90420282604189, 'He I: 5015.68': 9.03348463402044, 'He II: 5411.53': 65.13442191730199, 'He I: 5875.66': 3.8794353884737456, 'He II: 4199.83': 5.121095173804724, 'H$\\gamma$: 4340.46': 35.219620782306286, 'H11: 3770.63': 98.43201084178503, 'H10: 3797.90': 102.7446527420432, 'He I: 3819.62': 9.743693336443766, 'H9: 3835.38': 76.24606226978972, 'H8: 3889.05': 55.82096763036684}","{'H$\\beta$: 4861.33': 200.03469025331617, 'He I: 4921.93': 21.984620284737968, 'He I: 5015.68': 8.640728207357766, 'He II: 5411.53': 65.13397431918462, 'He I: 5875.66': 3.1925334821124003, 'He II: 4199.83': 5.120680355557886, 'H$\\gamma$: 4340.46': 34.933781851277274, 'H11: 3770.63': 97.88082006761448, 'H10: 3797.90': 102.07187483225646, 'He I: 3819.62': 9.552319067228781, 'H9: 3835.38': 75.75855315665197, 'H8: 3889.05': 55.48594060743005}"
T16000logg2.0,"{'H$\\beta$: 4861.33': 12.16833203037433, 'He I: 4921.93': 20.724390916707645, 'He I: 5015.68': 6.2849628805611895, 'He II: 5411.53': 65.5393058797712, 'He I: 5875.66': 9.47683442026441, 'He II: 4199.83': 5.255939507392188, 'H$\\gamma$: 4340.46': 3.5713177259735214, 'H11: 3770.63': 3.4165045004709502, 'H10: 3797.90': 3.252442940802875, 'He I: 3819.62': 1.5712826462487282, 'H9: 3835.38': 1.6352940146719142, 'H8: 3889.05': 3.6840758149199804}","{'H$\\beta$: 4861.33': 11.489243563293735, 'He I: 4921.93': 19.493928988428642, 'He I: 5015.68': 5.8637321046279025, 'He II: 5411.53': 65.53701918899263, 'He I: 5875.66': 8.693426577514263, 'He II: 4199.83': 5.255181372721933, 'H$\\gamma$: 4340.46': 3.446204859511631, 'H11: 3770.63': 3.2128611844449244, 'H10: 3797.90': 3.0106267974316334, 'He I: 3819.62': 1.4719802022819304, 'H9: 3835.38': 1.5463952908070673, 'H8: 3889.05': 3.4976596167530714}"
T16000logg2.2,"{'H$\\beta$: 4861.33': 14.22550829372619, 'He I: 4921.93': 31.490521290038323, 'He I: 5015.68': 13.227928950672792, 'He II: 5411.53': 65.03829404206097, 'He I: 5875.66': 6.076991235773128, 'He II: 4199.83': 4.976583586387252, 'H$\\gamma$: 4340.46': 2.1707788212323615, 'H11: 3770.63': 12.84883019228333, 'H10: 3797.90': 14.632420189347206, 'He I: 3819.62': 3.391361183283746, 'H9: 3835.38': 9.99757086868639, 'H8: 3889.05': 4.202171710386817}","{'H$\\beta$: 4861.33': 12.990860139149776, 'He I: 4921.93': 30.03092912486681, 'He I: 5015.68': 12.644151147625541, 'He II: 5411.53': 65.03522271565404, 'He I: 5875.66': 5.087749906797177, 'He II: 4199.83': 4.975377450357449, 'H$\\gamma$: 4340.46': 1.977383485476012, 'H11: 3770.63': 12.49670189756388, 'H10: 3797.90': 14.230243292134656, 'He I: 3819.62': 3.2419665783373666, 'H9: 3835.38': 9.76634671124455, 'H8: 3889.05': 3.9294451063233464}"
T16000logg2.4,"{'H$\\beta$: 4861.33': 46.475008990481705, 'He I: 4921.93': 36.98205263423059, 'He I: 5015.68': 16.87814656850135, 'He II: 5411.53': 65.08628029604124, 'He I: 5875.66': 6.194981360036891, 'He II: 4199.83': 4.934664592077182, 'H$\\gamma$: 4340.46': 7.159364439961638, 'H11: 3770.63': 29.74599974463751, 'H10: 3797.90': 32.67002502095421, 'He I: 3819.62': 5.486327188398272, 'H9: 3835.38': 23.339424078162637, 'H8: 3889.05': 11.830855081441719}","{'H$\\beta$: 4861.33': 45.05013719794282, 'He I: 4921.93': 35.421592393919134, 'He I: 5015.68': 16.196694318552954, 'He II: 5411.53': 65.08562285911815, 'He I: 5875.66': 5.113443840902668, 'He II: 4199.83': 4.933301196005282, 'H$\\gamma$: 4340.46': 6.927551441631744, 'H11: 3770.63': 29.29798366204831, 'H10: 3797.90': 32.15594515615361, 'He I: 3819.62': 5.29392784351819, 'H9: 3835.38': 22.994728087037892, 'H8: 3889.05': 11.519198195307553}"
T16000logg2.6,"{'H$\\beta$: 4861.33': 91.4538565383049, 'He I: 4921.93': 39.33123955942497, 'He I: 5015.68': 17.620103744907592, 'He II: 5411.53': 64.9883959598925, 'He I: 5875.66': 6.485842349386919, 'He II: 4199.83': 4.965019911444755, 'H$\\gamma$: 4340.46': 14.305633313532129, 'H11: 3770.63': 49.04459022903219, 'H10: 3797.90': 52.60013901146495, 'He I: 3819.62': 7.48927127957007, 'H9: 3835.38': 38.024932414807786, 'H8: 3889.05': 22.912499757003918}","{'H$\\beta$: 4861.33': 89.95435404339617, 'He I: 4921.93': 37.76721127128155, 'He I: 5015.68': 16.917358389344248, 'He II: 5411.53': 64.98656482030059, 'He I: 5875.66': 5.371864979716653, 'He II: 4199.83': 4.963766508606895, 'H$\\gamma$: 4340.46': 14.05045539470705, 'H11: 3770.63': 48.54621220644372, 'H10: 3797.90': 52.01580397763931, 'He I: 3819.62': 7.26562112966786, 'H9: 3835.38': 37.608879465940106, 'H8: 3889.05': 22.585047507051755}"
