,vsini100,vsini102,vsini104,vsini106,vsini108,vsini110,vsini112,vsini114,vsini116,vsini118,vsini120,vsini122,vsini124,vsini126,vsini128,vsini130,vsini132,vsini134,vsini136,vsini138,vsini140,vsini142,vsini144,vsini146,vsini148,vsini150,vsini152,vsini154,vsini156,vsini158,vsini160,vsini162,vsini164,vsini166,vsini168,vsini170,vsini172,vsini174,vsini176,vsini178,vsini180,vsini182,vsini184,vsini186,vsini188,vsini190,vsini192,vsini194,vsini196,vsini198,vsini200,vsini202,vsini204,vsini206,vsini208,vsini210,vsini212,vsini214,vsini216,vsini218,vsini220,vsini222,vsini224,vsini226,vsini228,vsini230,vsini232,vsini234,vsini236,vsini238,vsini240,vsini242,vsini244,vsini246,vsini248,vsini250,vsini252,vsini254,vsini256,vsini258,vsini260,vsini262,vsini264,vsini266,vsini268,vsini270,vsini272,vsini274,vsini276,vsini278,vsini280,vsini282,vsini284,vsini286,vsini288,vsini290,vsini292,vsini294,vsini296,vsini298,vsini300
T15000logg2.0,18.13094443441407,17.55266256739075,16.822019985188163,16.141883688826525,15.621297970353872,14.971332220135073,14.365267599824506,13.897818298391748,13.320795481208819,12.781872704412772,12.363289275620154,11.852212986136344,11.37413144448054,11.00042169419685,10.548942530988013,10.125954991928841,9.793379424362689,9.39572289004864,9.02257867807759,8.727637550641898,8.378560560315744,8.050482709829366,7.789929126892665,7.484693150382455,7.19735728354042,6.968199634513048,6.702535424517652,6.452053008830914,6.2515686549028935,6.021670983097814,5.804600705875951,5.630355769220806,5.4328640694741885,5.246148465414875,5.095950611678174,4.927853351733136,4.768736452627871,4.640589242224406,4.49917232374412,4.365172517130359,4.25725836572476,4.1400777950987155,4.028951777229951,3.939609603082399,3.8444571312153704,3.7541746413554025,3.6818875494124526,3.6067733633644985,3.535508484653568,3.4789001919930764,3.4220413063144575,3.36814806956601,3.325965825438507,3.2857445765373017,3.2477203674588453,3.2188076244874693,3.1937319294939917,3.1701723384505227,3.1534361649881464,3.1421061881138543,3.131692538501132,3.1261016530454158,3.127204395612333,3.1287109127662944,3.133302937477476,3.1456345017541993,3.157954277932414,3.1718554668218015,3.194346750976416,3.2165047664305497,3.2389356111552283,3.270637033812121,3.3017475530895473,3.3319857484777033,3.372013399058422,3.4112219913051134,3.4485531152639735,3.4960290728012384,3.5424561696816217,3.5861296900736668,3.640137207008573,3.6928417147840573,3.7420458168629596,3.801614914580874,3.859605995415175,3.913481910499299,3.97761752309618,4.039894429540714,4.097576391900201,4.1653111903566,4.230928587126787,4.291601061030151,4.362053372730016,4.430180462295114,4.493126518158605,4.565546254232423,4.6355005261967275,4.700129634527254,4.77392107278621,4.845180571846361,4.911039076778756
T15000logg2.2,24.586012048951808,23.859101787903285,22.945329672210068,22.08940428706805,21.43021685205453,20.61088683458777,19.842195645584397,19.245750437675216,18.51226846068409,17.823027812772814,17.28454573506533,16.62900621270739,16.012017605583008,15.526935868759209,14.94205568017059,14.39067278000163,13.954663224421921,13.433777573515645,12.941919457231943,12.550929756530277,12.087985707159817,11.650103672163635,11.300359772628793,10.889845758749713,10.500886905407807,10.188891547165793,9.825831175665412,9.481266182113607,9.2038465181378,8.883849240315385,8.579703187261062,8.334041172762829,8.053269135712666,7.786035002504187,7.569604377808734,7.324614315498095,7.091093098526446,6.901559923016444,6.689190065246241,6.486434901070392,6.32162821997907,6.138961623133082,5.964251474407334,5.822144651663148,5.666485955013167,5.517315451665931,5.396025694134355,5.264924029331602,5.139028496437379,5.03684182968753,4.928109098541129,4.823471164279315,4.73884427635006,4.650524359330206,4.565321001606085,4.496844796363969,4.427147248895324,4.359690214537153,4.306051083062201,4.253301907217522,4.202010402043003,4.161972723372297,4.124596493163467,4.087989982035406,4.060391350233546,4.036917009412963,4.0136285023508185,3.997385640124322,3.986467811175284,3.9752452864042853,3.9693544332466573,3.9697596452441863,3.9694495447684996,3.972972039081094,3.9835561781345237,3.9930635039925684,4.005087605302791,4.0247401818267114,4.042968723836349,4.062565651442782,4.0901639063605115,4.115986455569875,4.142190059604532,4.17658777368168,4.208850269588463,4.24066672239295,4.2807136958436125,4.318269741105453,4.354710776503997,4.399291312331114,4.4410556969056625,4.481190272904869,4.529286464111258,4.574306043915547,4.617317659833178,4.668068263702098,4.7155704954126785,4.760795940200435,4.813532397614498,4.862942442939668,4.9098861045462865
T15000logg2.4,23.373457547579527,22.688215473331542,21.828571946651664,21.021710647278724,20.399993081487995,19.628793497658194,18.903803292304556,18.34103382070992,17.650346474434894,17.000042561545342,16.49181630358754,15.874347988658196,15.292082831661533,14.834184904697803,14.283221701906957,13.762846322176705,13.351265514733631,12.860660345126789,12.396534725642034,12.027501138498764,11.591637954183343,11.178590453962677,10.84857909507995,10.462325679008291,10.095635268905047,9.80137754883401,9.460092615880805,9.13551764038061,8.874047829249486,8.573613542827614,8.287417569790417,8.056096858267319,7.792888771777983,7.541762422024174,7.3382190978848145,7.108973175233146,6.88989325975907,6.711930653628325,6.513643923733999,6.323815141722199,6.16938048550857,5.999283040078902,5.836121791251827,5.703296047454564,5.558830693468859,5.419959457082796,5.306959860410489,5.185802656289796,5.069077128185489,4.974281743443297,4.874357927774535,4.777859818772357,4.699801018774933,4.619247346349972,4.541239110230346,4.478572780617261,4.415682077661947,4.354552369569431,4.3060251722123555,4.259203079558656,4.213446455460572,4.177881057241702,4.145634213399465,4.113849415732809,4.0901449329491735,4.0710902108221445,4.051989278904636,4.039122273728207,4.031990393480383,4.024384133335987,4.021396617916973,4.02501227307426,4.027787870167886,4.033772246169426,4.047032548789474,4.059133131460557,4.073208451467854,4.095047375479994,4.115417007484383,4.136686804041747,4.166027809593291,4.193583632262682,4.221119218341597,4.256868023856267,4.290507431830557,4.3233588950664235,4.3644208354720835,4.40305252379274,4.440278581077422,4.485598458592499,4.528192605134987,4.568907743395261,4.617518936307956,4.663166477112713,4.706591531272656,4.7576729528230866,4.805636144409093,4.851138078841789,4.9040516930749645,4.953780736407365,5.000884803319289
T15000logg2.6,19.460773629146537,18.868327468529298,18.124525140736264,17.427555773704896,16.891262651651513,16.225710717043214,15.601092537577783,15.116891944427783,14.522554819290338,13.96393379372277,13.527938913053546,12.998371594536648,12.499898115275343,12.108415470016983,11.637720291751618,11.194002840741025,10.843524998453487,10.426273631821054,10.032327354318946,9.719533222405621,9.350742358252726,9.001989265598445,8.72376629554767,8.398886237061816,8.091153088885903,7.844619163473096,7.559538879902184,7.289068257024165,7.071596904125187,6.822642305278473,6.586097772876277,6.395334508748631,6.179263263824212,5.973693556851888,5.807522971935282,5.621423265803979,5.444135531438845,5.300601566969685,5.141804074273776,4.990322611649962,4.8676065300288665,4.733663252548298,4.605710590880887,4.502118913033287,4.390782867012808,4.284271245684246,4.198237739604336,4.107471077062241,4.0205190873398315,3.950621988511922,3.878598308684081,3.809516240289602,3.7544632944405207,3.6995311517900333,3.646779964629041,3.6053835454206347,3.566030098251396,3.528185612911294,3.499335072289403,3.4741419245588228,3.449864222427714,3.4325091681466744,3.420149693042089,3.4081944310339436,3.401353629542604,3.4006021366487804,3.3998261169362616,3.4025880945774256,3.4123241930045505,3.4216765121790482,3.4331928582900204,3.4523821703858015,3.470882079081834,3.490348432266891,3.518015813795148,3.5447183541850085,3.571343017153448,3.6065321846591236,3.640484445652716,3.673454174050504,3.7151930940453353,3.755408192440097,3.793872232441382,3.8411624273599445,3.886629444765472,3.9297130641656595,3.9815539167788145,4.031271962681565,4.078108000513293,4.133534766462643,4.186563234320285,4.236340144458841,4.294478003310977,4.349996572106732,4.402008609265065,4.462121453075758,4.519469961275369,4.573147487246394,4.634662139002529,4.693344079221338,4.74825682383544
T15000logg2.8,20.079328758106303,19.479767415966087,18.72447544708588,18.017728891474274,17.474269351086537,16.797555632987336,16.163324186255647,15.67195685526243,15.066804377354913,14.498783239951138,14.055684459483508,13.515683563174376,13.008073450955038,12.609609135165575,12.128876573687641,11.676312957609413,11.319021684454377,10.892133407975084,10.489657387712647,10.17025578480421,9.792231190302541,9.435274641893818,9.150666629549978,8.816944258886108,8.501325032913522,8.248624917733435,7.955074218605128,7.677021501565143,7.453595402986732,7.1965387222831945,6.952716622719731,6.756207494695046,6.532392109527706,6.31982967830429,6.148108483804206,5.954609359929549,5.770612925012826,5.621724814259175,5.455877304127238,5.297975820721535,5.170107225887884,5.029466929066374,4.8953874623206595,4.786853423185265,4.669180638454048,4.556845275016643,4.4660911484199355,4.369348218406298,4.276872841798757,4.202476980197578,4.124821340525615,4.050501768617565,3.99116549234089,3.9309229342215595,3.8732010118290123,3.8277224438569704,3.783345735921051,3.7407654265071413,3.7080128344814827,3.678054041424873,3.649255097673599,3.6281644376669826,3.6112755550097617,3.595000266981538,3.5845805915137943,3.579526052721808,3.5746260035335613,3.573962730009043,3.579616019007104,3.5850365180384385,3.593279321864512,3.6086028182273555,3.6233609492932235,3.639704267855201,3.6637182010348397,3.686862750214362,3.7105099044735854,3.74224404417631,3.7728083782780937,3.802936956533064,3.841402637657686,3.8783876463162215,3.9141384216889987,3.958321763990152,4.000702521456087,4.041188678792694,4.090069793303769,4.136827860392574,4.181169361935595,4.233768381519662,4.283953755875702,4.331331849917035,4.386763943867041,4.439551281920601,4.4892566796676014,4.546783115837501,4.601510447789799,4.652972176679487,4.712017417744199,4.768189906311207,4.820980124285889
T15000logg3.0,17.054917007369127,16.54640235552045,15.905585071098674,15.306543216262014,14.84591720596148,14.272485432589272,13.735582541180266,13.319578588728657,12.807697954606793,12.327696541402975,11.953174190521157,11.497479478147458,11.069531097132888,10.733482949866994,10.32901995568298,9.948619294147061,9.64816639964464,9.29034460327266,8.953298274330646,8.68568518508473,8.370247817889453,8.072659659120244,7.835266255801334,7.5582925003301025,7.296581356768806,7.086947845104234,6.8448746924056625,6.61579091150974,6.431652812678302,6.221291508196361,6.0219489833448,5.861269865407201,5.679797851962453,5.5076200090444924,5.368550164986833,5.213419589353018,5.0660561619557685,4.946887799506533,4.8157734636841285,4.6910679132580615,4.590213395712871,4.48097861386602,4.376946221712078,4.2929313311019754,4.203625051127038,4.118458134520054,4.04992731186508,3.9787740072483793,3.9108291151469876,3.856539972339503,3.801929423857141,3.7497198999947714,3.708538790164998,3.669012399624403,3.631183564959978,3.6020632346935817,3.5762716495076186,3.5515536402304217,3.5335052909207922,3.520183258448717,3.5073918543090894,3.4994874210716507,3.4974631405760417,3.495508276325909,3.49688706698436,3.505091559868304,3.5129796303515355,3.5228487080351645,3.5403059346117978,3.557123599111547,3.5747434452578633,3.6005491654105395,3.6254369699872466,3.6501018678766446,3.683397578589613,3.7155235694521016,3.7465356792649915,3.7864729971448527,3.824991641483572,3.8616302111038876,3.907340899262295,3.951374274459312,3.992882357966075,4.0434721308904615,4.092118294246815,4.137714573465174,4.192286240912789,4.2446503693614215,4.293558811518511,4.3512481015029,4.406490092295644,4.457984062564002,4.518007853107129,4.575395797198767,4.628843944510484,4.690546538786062,4.749492328460457,4.804384951388822,4.867255138541358,4.9273163718858015,4.983267418937865
T16000logg2.0,18.156310279119737,17.606279650046687,16.901606175988867,16.25178938979747,15.757715806612644,15.131829455737218,14.553941444178545,14.111264307194585,13.556592091070666,13.043827864135293,12.648316497603428,12.158028407528759,11.704227441150316,11.351961115996193,10.91985512732079,10.519394544049499,10.206711106971701,9.827109865812254,9.474841091160004,9.198319673286926,8.866073175751719,8.557333303355959,8.313818260921083,8.024273658544603,7.754844508569663,7.541437416419563,7.29040626541633,7.056505733840382,6.870576389999703,6.654330272304683,6.452606301027869,6.291798938905073,6.107028215190113,5.934497723864091,5.7966927430299755,5.640442885087192,5.494436351778973,5.377719802448492,5.247335800797404,5.12545728341228,5.028097106219377,4.921198566223916,4.821301472304684,4.741730080644552,4.656178844484097,4.576329300881946,4.513119636199818,4.44699693243833,4.38545572884029,4.337312187239847,4.288897228575586,4.244097044053569,4.209838706997392,4.177574399260277,4.148085780539015,4.126620695874345,4.109077602852439,4.093563644880193,4.083854870193808,4.079677220887247,4.0768638708153775,4.077917139520191,4.085826092710497,4.0945272940229405,4.105412341905559,4.124246981108147,4.143409802221364,4.163296369587535,4.19205374563651,4.220780172838067,4.248951718364818,4.286772683104864,4.324277574377336,4.360094354044522,4.406198852085604,4.451733687179589,4.494571349451015,4.548176299104011,4.600956952915028,4.650150366123581,4.710413625050722,4.769578103438316,4.824389640531918,4.890393230532519,4.9550077324019774,5.014635707109479,5.085413236868469,5.154511061404991,5.218127043843545,5.292719154422232,5.365370789958067,5.432177956604388,5.509698778647101,5.585068822128765,5.654346237650502,5.734024829159203,5.811404529130224,5.8825366504098335,5.963743221679506,6.0425678056175185,6.115061454517517
T16000logg2.2,20.672494877956904,20.028961179080028,19.211844458883263,18.454161366601973,17.873123963965806,17.142952478730432,16.465260542705185,15.941943083139444,15.290626486851377,14.685615831311985,14.215488870004187,13.635645828478674,13.096614228183508,12.675396555143962,12.16026702813041,11.681043449298087,11.304682603623023,10.848083650293425,10.423022218544777,10.087716288221564,9.68404056183976,9.307999514806474,9.01021089089637,8.654380462701969,8.322691505434461,8.059148963090735,7.746592782167577,7.455074693690058,7.222808422428523,6.949487288002618,6.694465839925185,6.490835901497256,6.2532115228572955,6.031445000378343,5.854092276507628,5.649000388561407,5.457556051945987,5.304326205607162,5.128874195699604,4.965072425319055,4.83398503275071,4.685523207456158,4.546906802832467,4.436131821902162,4.312220596008931,4.1965371347548475,4.104387419777304,4.002808168762943,3.908027733091698,3.8329738009721774,3.7517397703831876,3.6760485340764517,3.616713879667512,3.554048946110786,3.4958134334973274,3.450945868704695,3.405226306141591,3.362932424685133,3.331362296070534,3.301057293300709,3.2732742188384782,3.2538931247677976,3.2375548669686536,3.2229463537723113,3.2147151635721363,3.2110057332922017,3.2083498525164957,3.2103102428899732,3.2180176245741086,3.2262147567049806,3.237496958643768,3.2555311379173046,3.2735818197780073,3.2933794673526333,3.320727142753459,3.3476745870885853,3.375200201284403,3.410865156694009,3.445734962494931,3.4801716745064466,3.523121487701802,3.5648876310603725,3.605365298882103,3.6545255240931285,3.702122291656906,3.7477304756724727,3.8020088851902347,3.854365676557726,3.9041880885046947,3.9625261475812175,4.01863120677876,4.071799162283141,4.133234888165332,4.192197460159351,4.247941471324339,4.311664076709523,4.372756395309687,4.430440639824685,4.495817847800338,4.558489994728788,4.61762980026545
T16000logg2.4,22.849834537700893,22.166564219465112,21.29845187782006,20.491729054786887,19.87292553107564,19.09482320528865,18.371010025698983,17.811882078293404,17.115635177758048,16.467336881818117,15.963306530273654,15.341451762286999,14.761851181170384,14.308560108801,13.754227439521353,13.237026000378311,12.830337414556803,12.337219634403109,11.876633816484937,11.512665701273635,11.075010774043287,10.665752744101518,10.34088805006913,9.953451154381957,9.59070746875654,9.301602290386946,8.959645944242604,8.639101145684636,8.382725884932077,8.082055323994679,7.799924246866283,7.573597434817662,7.310547778353212,7.063493329043014,6.864821393610673,6.6361026135506505,6.421089022695558,6.247871470015089,6.050455709502648,5.86468561405724,5.714876782418163,5.545969661235085,5.386860653581012,5.258553184518387,5.115572464239808,4.980748453623592,4.872170527698948,4.752767016994279,4.640078696505011,4.5496144506234275,4.451688927978216,4.359219390169901,4.285413525603542,4.207089106972308,4.133106713695192,4.07463173789486,4.014190940012651,3.9570909144020145,3.9127076652816797,3.8685335555879177,3.826806734285164,3.79534648833879,3.7659157643441787,3.7381515462246178,3.718516022365461,3.702414634397907,3.6873158695485215,3.6784862795257744,3.6744251951650138,3.670808187103686,3.6718438694933946,3.6786400137500914,3.6854116481156733,3.6954295658734724,3.7119823269435317,3.728098301266191,3.7462345576834686,3.771467637613474,3.7958746841043087,3.821241279369451,3.8540585716767994,3.885667810467263,3.9173349265249913,3.9566165031719582,3.9943118506020436,4.031319441367811,4.075936671757092,4.118605726806209,4.1599962159836315,4.208856758816821,4.255449488696498,4.300319597603285,4.352431791210512,4.402027109123729,4.449582012636427,4.504113620909042,4.555967341221488,4.60555986795835,4.661871824593924,4.715430909200583,4.766574770022605
T16000logg2.6,23.81936073770585,23.125196842478417,22.246748117472837,21.428008202886026,20.798265110331513,20.009608738526016,19.273774564490065,18.703785437920224,17.996931964094063,17.33674340219543,16.822022219732002,16.189627767592416,15.598358195054292,15.13461073739932,14.569899026426425,14.04132370522759,13.62446678964957,13.121206966515729,12.649588434190981,12.275771250767388,11.828241820651902,11.408310922532653,11.073930140837657,10.676907866260802,10.303866652650852,10.005589248656982,9.654354279353315,9.323895056490123,9.058698549935308,8.749075255148878,8.45742179710303,8.222632018011712,7.950964071230412,7.694783985324602,7.488009958354817,7.251007944602314,7.0272649260533075,6.846303632235113,6.640939817490368,6.446827194721263,6.28962465936479,6.113094496929969,5.946009771887875,5.810643680025986,5.660353017461918,5.517900865818291,5.4025860646711985,5.276168224050011,5.156180148363171,5.059286016094272,4.954621678854928,4.85515933396046,4.775211537809242,4.690400813733514,4.609706171957137,4.545352332770073,4.478652767738102,4.4150955400910075,4.3650702224041815,4.31484991937131,4.266899399581224,4.230009189951144,4.194737478107037,4.1609682191958814,4.1360927934347105,4.114352166189721,4.093453589642412,4.0795524173883795,4.070046224528133,4.060813958014164,4.05692049585684,4.058451467684226,4.05976611917825,4.064970773592507,4.076414550444824,4.087204293679078,4.100620752730786,4.120876968503341,4.14006853380832,4.160795187343256,4.188747323606641,4.215235523718605,4.242334862886107,4.276842369504427,4.309498146815885,4.3420051767038,4.38192552920945,4.419628397272539,4.4565828861765056,4.5008140989822625,4.542508979248661,4.583005051376658,4.630548370668395,4.67531104231718,4.718552657086396,4.768575112527453,4.815662841127896,4.861003556144114,4.912866424219159,4.961727213775312,5.0086815932594595
