,vsini60,vsini85,vsini110,vsini135,vsini160,vsini185,vsini210,vsini235,vsini260
T15000logg2.0,28.284903516868503,22.370682247360556,18.485964933767757,15.928307556551218,14.254399804395266,13.243849107917557,12.67964034232666,12.423096857427097,12.396123983668804
T15000logg2.2,36.27533861703681,30.074097363977952,25.832515828208546,22.90453430723466,20.863590512931598,19.51734781783654,18.656517041266643,18.141138648071284,17.89599212685866
T15000logg2.4,37.625523847486754,32.15190561305748,28.390565822278177,25.772903411915102,23.92940609956568,22.699977819959997,21.90169387986824,21.412588053047727,21.16587922532926
T15000logg2.6,35.02316404435318,30.333646818816025,27.1431979574344,24.94042099990981,23.40690887091929,22.401358197101505,21.76409412261427,21.39121571877819,21.225675743341608
T15000logg2.8,36.149653774803404,31.843258267062083,28.899854849481688,26.863000968718605,25.44434012104099,24.5146146506131,23.927152647387516,23.58476796261522,23.431923350585645
T15000logg3.0,34.04872997038171,30.641609981200542,28.31438672043732,26.71186228370794,25.609416383492988,24.90333576784366,24.472465601494243,24.238596349206862,24.15530124470889
T16000logg2.0,26.58827329641001,20.7380891331154,16.99195902938346,14.588562624175157,13.061177846388096,12.176492510384566,11.714128237041699,11.535038691795878,11.562891413786303
T16000logg2.2,30.626416508949152,24.551906396942783,20.535301256367045,17.861992876804813,16.07990365425967,14.970714395611148,14.31756706590515,13.979123829951638,13.880690718163846
T16000logg2.4,33.98950168608981,28.046830942549974,24.055089812474357,21.33621144298216,19.465108320066264,18.25075167666824,17.48914099940781,17.045103456556017,16.848335911385703
T16000logg2.6,36.40786686903835,30.840214830698727,27.07019129889755,24.485868051187232,22.693301650914922,21.513928922386683,20.757111761370908,20.297768657588943,20.07269070668107
T16000logg2.8,35.88880486917561,31.05007383496713,27.761636008221195,25.498815958549596,23.925700550202595,22.891511540619632,22.229432206765495,21.82986937861174,21.636013026377714
T16000logg3.0,34.61872957524949,30.432850740221937,27.585450826434535,25.634711433353356,24.291634968291977,23.420980966230804,22.87303081962779,22.552195601908426,22.408590616395326
T16000logg3.2,35.087616105457826,31.105700327648567,28.372887345294934,26.486356562577278,25.17702344353844,24.317659258357782,23.765430468898018,23.427349981336626,23.254728216148695
T17000logg2.2,30.58155932454852,24.233437606621095,20.11719919628032,17.382215323352934,15.544372866546,14.392613676620707,13.709655340476656,13.34801541745929,13.229899283993554
T17000logg2.4,33.892138549599956,27.65236224714675,23.484888997447282,20.65015440487429,18.69928446072807,17.434596517765975,16.64627350462504,16.189189807741098,15.986717632997815
T17000logg2.6,36.31594814492058,30.3734482423622,26.372724929253557,23.632360857995696,21.727769836513694,20.471287589393324,19.664023687975217,19.170248116961933,18.921621098097955
T17000logg2.8,36.86750670331297,31.37369822309544,27.659612231983548,25.118765836591802,23.358116692642184,22.196132787918025,21.444077733953176,20.97761727516328,20.73725594164954
T17000logg3.0,35.950125662684734,30.98454215051787,27.60298889211546,25.276900009719455,23.659806180092605,22.59157094543537,21.89967889331343,21.470074148560908,21.247141458366286
T17000logg3.2,34.18884058794564,29.81207815485912,26.811704090463703,24.74340008918185,23.30753340408226,22.362055934507836,21.75123283282598,21.372535287316595,21.17548815860211
T18000logg2.2,31.187648341975763,24.751720436635008,20.595281452763953,17.85933261018595,16.04407050968341,14.916532301188155,14.250761633374934,13.894219542634497,13.773370260760425
T18000logg2.4,30.6306365243802,24.681049323657962,20.812544349226965,18.228923240777547,16.481150567182038,15.378347325223594,14.720279725585996,14.367209486826704,14.245307946177109
T18000logg2.6,38.10141874064424,31.902031135735175,27.719051860348632,24.835376164256765,22.807835727460287,21.448288857918147,20.55782539207359,19.995384597617857,19.689942127878233
T18000logg2.8,36.25269742092659,30.518773804623898,26.67226114537728,24.042167855357516,22.21214445832215,20.999356483744673,20.213081318802686,19.722703462628765,19.465534995418725
T18000logg3.0,34.9891171537087,29.845602324171626,26.370545783822802,23.980936673912076,22.312734194575302,21.20473801685047,20.484520178189616,20.035466023664508,19.801144095874935
T18000logg3.2,33.088958866979816,28.502999052808917,25.380222034739784,23.22669428540667,21.72508027864793,20.73133913672635,20.088236153759766,19.689501054263182,19.482571184216404
T18000logg3.4,32.18601003008517,28.04948968569666,25.196773261136563,23.213916411385508,21.823543741956705,20.896370310025297,20.289160588124567,19.90380071854147,19.690212961460425
T19000logg2.4,33.1748242215319,26.998665037275867,22.948623397384313,20.230288053504978,18.381616895005877,17.19644347856186,16.47013509243653,16.05777505434306,15.887756008546175
T19000logg2.6,34.410346471257114,28.310334157388123,24.30905469260247,21.59507566567869,19.71352960530768,18.476714592489774,17.69184464313902,17.219765274830692,16.992400019087192
T19000logg2.8,35.05899163980619,29.350376891483,25.56248308348843,22.970487045385433,21.155924849240336,19.94710918534943,19.162187332631248,18.673103085597816,18.418648281392684
T19000logg3.0,34.1128557696131,28.82970932751199,25.302857604034006,22.88968226499739,21.204838062563905,20.08356099005877,19.354035290395323,18.897623899583625,18.65844327905682
T19000logg3.2,32.02543809106611,27.220336902956287,23.98448776001055,21.762541487688665,20.2129707737295,19.18529517906756,18.520307849165132,18.10796558815619,17.894983370036233
T19000logg3.4,30.25545313634706,25.991691032766497,23.093900877018214,21.103814936122596,19.722177587828448,18.8092179756002,18.21747593567515,17.84774490391976,17.652508482932486
T19000logg3.6,35.51696583894433,31.401375525811318,28.50301986886231,26.44322287579622,24.958223878076087,23.930878868374688,23.225285529528215,22.741572884277485,22.42679214986876
T20000logg2.4,28.083933886135252,22.81161955658996,19.43254592977723,17.20804451582635,15.732947583645414,14.824305351149352,14.309245182112729,14.066269689616771,14.027953563804918
T20000logg2.6,32.69180416889199,26.94121866454103,23.207361456523238,20.69960000187886,18.981079718533607,17.866009271750524,17.175410152665876,16.779898983267323,16.61132848622179
T20000logg2.8,33.74209120160637,28.04733817835925,24.3092700269772,21.762445803196094,19.985650777587534,18.80511296500335,18.048427179912398,17.588540138620544,17.359489025721
T20000logg3.0,32.34492290591958,27.042066091398958,23.55731492168325,21.18071241229909,19.518145446072477,18.412289524937258,17.70013553857701,17.263452571556172,17.043352939956087
T20000logg3.2,30.34488619064547,25.46072192774909,22.223522718239757,20.01987179769471,18.48974936595136,17.47891402580488,16.830541567997795,16.43491308486167,16.238989198280645
T20000logg3.4,28.604424467273134,24.213756738670252,21.271454376375665,19.264741122627754,17.876371533353144,16.962989495599203,16.378765421768886,16.022879573957635,15.845804112386256
T20000logg3.6,29.249050054226277,25.34930479732471,22.69570766033637,20.86155058962879,19.578115692878985,18.725493089022073,18.173643983926816,17.829059591232586,17.642662856731732
T20000logg3.8,36.94881699506611,33.36453541304021,30.814602473502614,28.979106520414266,27.635429996308375,26.689929481897902,26.02717710558432,25.5578299388983,25.232194097368424
T21000logg2.4,26.840050952873877,21.723114107160168,18.44261961291731,16.298850144668513,14.912788936319268,14.099838708175842,13.693785505814223,13.57035785814778,13.647116194226989
T21000logg2.6,29.47795938247146,24.344569900106837,21.021970873197194,18.80417660970211,17.306938971917504,16.36192720620701,15.812172664385606,15.538260334459354,15.468414531215867
T21000logg2.8,32.59590514196742,27.352112409839194,23.961697159135458,21.685735581261888,20.124653017001474,19.10932495241278,18.482203830478902,18.126847855942056,17.9778710001283
T21000logg3.0,35.59224031002957,30.345318794198967,26.898023913750052,24.54064210902496,22.88522167035294,21.774717515754325,21.059473248530626,20.622868523912825,20.395766130510843
T21000logg3.2,35.350069089816365,30.400139153020127,27.1554789602168,24.94365916634097,23.394275837793504,22.35828936292289,21.688712870038554,21.276216788304193,21.061220703240206
T21000logg3.4,36.07778739150357,31.416349732281798,28.303934138460143,26.162797081620177,24.657384826411505,23.646504875049516,22.98901050675218,22.579051677012643,22.358052649628164
T21000logg3.6,34.32456553252577,30.05482552922536,27.170581381595877,25.176908255726726,23.776010635016597,22.840538264307405,22.237574092321378,21.867298837854097,21.67392165984578
T21000logg3.8,31.86537981560116,28.072391428913658,25.46976998049317,23.65505790988251,22.377717513280952,21.529278052868133,20.991812998048964,20.672494562938255,20.515139099450103
T21000logg4.0,31.60468196482997,28.15618348001502,25.7169422220211,23.98813572763412,22.762342007541562,21.944705033529882,21.428341223419505,21.12372729488487,20.972834903584808
T22000logg2.6,29.16580672199596,24.1687536742397,20.930160166036924,18.775900709383706,17.326418936553978,16.412086897026036,15.884591742894248,15.629356658930528,15.574367550158932
T22000logg2.8,32.09885438280679,27.032040770041302,23.74656500050658,21.53473089378611,20.015151812139713,19.026966236719588,18.422884449599707,18.09071362398104,17.961603666526987
T22000logg3.0,32.59746603746079,27.735915289547613,24.60510789861698,22.502977770770887,21.056556077747302,20.11012032872233,19.523153410835985,19.190005133412598,19.047471600779765
