,vsini70,vsini80,vsini90,vsini100,vsini110,vsini120,vsini130,vsini140,vsini150,vsini160,vsini170,vsini180,vsini190,vsini200,vsini210,vsini220,vsini230,vsini240,vsini250,vsini260,vsini270,vsini280,vsini290,vsini300,vsini310,vsini320,vsini330
T15000logg2.0,233266.32491131927,207740.36885120676,185967.31310879288,166108.51388783194,149729.4880336513,135652.5867200001,122869.96033513869,112245.73593700497,103179.34690410376,95125.39253812816,88545.06424891215,83104.13110324381,78484.66024658477,74867.08322476635,72037.95812258824,69802.09026661351,68194.48074462946,67066.06359273288,66294.35278933716,65870.15367956187,65726.38406156567,65818.9848534762,66156.54497793227,66697.81620048723,67409.39419549532,68284.74302256007,69258.8986770057
T15000logg2.2,319741.35316931247,290200.0668857666,264744.8283936315,241301.53390408278,221749.93244047492,204716.62338925354,189001.60500493797,175696.29440989037,164086.38319646724,153489.5965700716,144551.30789780183,136868.43744743906,130020.85600449795,124330.13247351939,119532.70620015336,115351.71224636423,111931.61270783062,109092.46120603902,106647.85345088439,104672.47748969951,103076.99832480107,101764.16410043021,100798.0768095142,100121.09485445308,99659.41020607082,99440.09617049231,99400.25415032453
T15000logg2.4,331337.2864161976,305909.8249775883,283939.24390199047,263631.3943972866,246625.62366310888,231729.4033846224,217891.52457029372,206095.56107006286,195718.43493729524,186151.89488788214,177998.6528759138,170904.3961049416,164486.11128086387,159064.6879967046,154406.3595177164,150251.05858671648,146760.83068825916,143775.693320836,141114.7706644563,138874.29167280902,136973.89774645644,135312.49326049018,133971.23635797462,132901.2632504023,132025.92409247084,131378.81199617076,130914.62592777476
T15000logg2.6,309926.5604352423,289479.8958945912,271882.8013567487,255644.34986638557,242049.3784103136,230131.49795591782,219040.73125345673,209574.80793691173,201242.6834613963,193558.2467065003,187010.15731473634,181317.99766201692,176172.63286677538,171829.7180929274,168105.5286503919,164789.71859950747,162008.82449360535,159636.5737306559,157526.050476263,155753.24292706844,154256.59976823162,152955.7270267518,151913.48829541978,151093.4640195546,150433.3431855506,149949.81353708336,149612.95231258153
T15000logg2.8,353822.0401145509,334406.91289250227,317685.5870641527,302237.4943166309,289285.7609023626,277906.23986203107,267283.1372637235,258186.80054548426,250146.72689849863,242691.3629240324,236300.99009112894,230705.0195851681,225598.84731964784,221244.47223200166,217463.32334706833,214043.96070500612,211126.92509546198,208588.90096350107,206278.59586687176,204287.0781699547,202552.14434598273,200986.00268448197,199662.517568703,198548.49094983924,197575.1765190872,196764.22628754948,196096.36221789682
T15000logg3.0,369676.9679439412,354333.95449664607,341068.88872854295,328761.8646779076,318399.697148731,309256.50409334456,300680.5758895209,293307.4775818754,286766.1752954989,280673.9873294977,275429.8478141925,270816.6298002325,266582.24718805397,262950.79627990426,259777.07067108434,256882.59782972359,254394.14571283397,252208.74077208675,250195.37796600556,248440.57601009225,246889.9167197206,245465.03426111367,244234.72514617367,243173.09132964865,242218.06654787602,241389.55741541533,240679.67557651567
T16000logg2.0,228810.42084271877,203362.80125011047,181917.82439644376,162558.7856617007,146789.08739587915,133417.08487958868,121412.80464242249,111565.60093894585,103284.75876042205,96033.02957041065,90216.24339806035,85517.89142292792,81640.48486362003,78720.07590069162,76556.99975514424,74975.14393416843,73972.88795622016,73408.33446632586,73174.33311525415,73236.33631308709,73535.21817318618,74040.3924434171,74751.36820172073,75628.56093800884,76647.73360812425,77800.48015052036,79014.09502109275
T16000logg2.2,261323.46083679853,233580.93104742555,210054.49199929758,188582.81450042926,170915.3635129692,155752.9999680044,141917.6130691949,130385.26013774601,120517.96014042335,111682.6825152026,104410.56502856463,98348.37368769357,93116.9983038365,88935.8411887676,85582.23544387051,82823.30162832764,80726.61969809505,79140.60626789695,77915.55335544614,77072.36371354469,76539.6603283298,76254.08142890705,76245.06574289057,76464.57854951492,76861.47544085507,77444.28231871851,78143.52689602389
T16000logg2.4,298978.25761313265,271301.01842082356,247735.32275710584,226109.0453685302,208222.64465126055,192762.53712408716,178522.892259819,166546.34050134986,156180.63187623332,146762.07412209222,138888.911489212,132195.38786572719,126271.62345083672,121397.18236635192,117339.65870906101,113837.80263317461,111012.28375386832,108707.92787042756,106751.45934166915,105206.6092579182,103998.36269829875,103043.1619567482,102391.54560398862,101998.68291909125,101797.27251355631,101801.90133152615,101958.32541684984
T16000logg2.6,333495.29308892327,307272.3862312039,284856.19588068326,264225.60556413635,247092.17504087868,232211.8848241677,218440.5688832648,206786.77728477924,196624.29206829608,187312.2391800448,179449.2807737933,172685.45110638882,166621.19349203346,161552.76200293956,157255.68452856963,153468.36010868853,150329.49379657203,147690.06992053855,145373.6247193548,143460.18213819596,141877.87356430892,140537.6315317524,139491.50659557676,138705.07917386433,138104.32409704433,137696.07035482788,137446.88572300854
