,vsini150,vsini155,vsini160,vsini165,vsini170,vsini175,vsini180,vsini185,vsini190,vsini195,vsini200,vsini205,vsini210,vsini215,vsini220,vsini225,vsini230,vsini235,vsini240,vsini245,vsini250,vsini255,vsini260,vsini265,vsini270,vsini275,vsini280,vsini285,vsini290,vsini295,vsini300
T15000logg2.0,56803079.24602614,80808275.77712151,40181161.84259589,1359655.3436188607,12232139.48201408,34748437.9989865,32543639.22915403,40600782.3489192,85289741.70302205,69535231.49415669,313464598.38861763,649270038.4054873,655977084.5270216,1374824405.1487014,1303012088.6486344,451362948.0576628,1922686.9919670536,82260635.1070471,153299420.55820537,313501245.39563453,512777808.1764533,1020394033.0422266,1305502156.3472085,1240996110.3373141,1112224642.4293306,665900247.8754736,102768830.68534712,62342487.99875821,142770471.11793163,118602309.33931737,81587446.41322054
T15000logg2.2,33399655.182266463,42530630.081318155,31662274.359288275,1850318.7786410688,8097248.893835545,24321829.635873374,25097460.25336512,22316649.68865647,61951497.8050794,97354158.76643467,439926948.1385174,883232523.1020082,886651637.5424871,1844463776.4553692,1392371778.6997457,292678876.3980116,12210177.01699477,164829217.51950043,243047045.3627832,238025416.0059391,488322145.15297747,951010752.1865718,1410710774.3381073,1360675707.684455,1175377930.4723768,993266328.880085,201621654.3020143,51893582.85281744,166889690.62181145,147801850.59539095,107674382.34927472
T15000logg2.4,14829934.871394783,18538092.857665908,25542914.147443436,3494424.3381601376,5363085.656601584,15084232.181983719,13609354.04176572,23453215.207922272,51856946.816506565,371557841.22818226,1380367636.3762877,1968937704.7189171,1872862677.010973,1857492659.542207,591572667.4782537,6081101.012230587,295911934.7916621,363332483.86556023,286413920.77116126,424251607.57315505,649839250.295329,1205253341.057326,1548702626.1258054,1366075064.8036742,1210394260.3304248,480722093.33209753,33905308.64434993,162153653.9983138,188972372.4575073,123427207.38573477,76224499.73845726
T15000logg2.6,12700774.039958997,9752658.015041662,2876262.198270697,3215310.444942833,3383832.5808030986,9725293.734519297,8866556.155807693,15587988.983636508,26230459.92990551,80089610.38253814,504553218.7498218,1061672730.2183378,1082706948.6834316,1985157934.0534549,1667720569.042479,193076581.9657296,21640000.17793747,164931656.98187,227221261.8839901,244977426.66090935,463196753.04654443,758532081.8571239,1130769156.6056755,1252426707.637758,1214404936.3222764,1352326386.9560854,495550574.87140656,7157577.249605365,131739700.53745899,171655191.88114566,149741318.5811381
T15000logg2.8,2491009.584558999,1366362.8447028599,845107.7545561551,2355465.9610072416,967429.0387147239,1542847.6481164466,1715897.6427283504,4218612.128194233,10915448.574868878,137933876.78065306,723020822.5659963,1473535391.0938115,1528293298.3450723,2215442676.933709,1138362658.5150533,74741532.6797447,70321981.63665792,222205603.5867998,267750273.8138675,264140300.30328408,478001201.6862234,733883212.1748049,1168348975.3289886,1268256566.9316912,1184760574.0577521,1339418144.26086,416091357.37602514,17057813.075771064,158991730.6982477,179665909.44906256,143650890.18047044
T15000logg3.0,455724.58957752737,816199.322419886,42619.65106909558,1082325.180578156,581497.8313788322,1188266.0037764898,1230530.350542087,2661022.4601460835,17295691.90853034,505685966.56086236,1801843332.4992874,2348346740.080858,2187058198.102496,1749114713.3485038,312501809.8612472,38951740.014617756,321190513.6695436,354712199.64545476,269553402.2416457,358068580.58616555,489643899.4202622,1038973780.3959337,1433370122.2923737,1349991896.8043296,1240937849.0912242,894700761.9791725,48786257.41427368,118214132.49926846,211365304.78009766,156567370.6579585,96655037.37615864
T16000logg2.0,132041149.37396097,128180267.0968705,101906024.25895342,21831795.063683473,31219669.442169398,63787060.28921803,45872876.64490058,86432492.97794977,147000186.2901675,184290095.78216988,250346471.16085634,430281159.57372284,408505788.79116976,834887099.1755558,890277223.0558113,226768859.21246177,3407167.4269461976,86963957.32355866,134366777.2482865,294841104.8846373,598398603.4314955,1102121561.4609046,1044474113.9284722,709933820.4028842,529463467.11168736,203397049.5730582,116890640.90573771,114258746.50144568,74476381.67618994,54173045.81703816,44348418.834371984
T16000logg2.2,89671836.27893937,157332587.8037178,80849467.20791014,3058307.306200701,25041688.42468534,54992047.06148577,40376339.07592788,82690966.13345477,135594519.22937593,196859968.8312729,406579111.84401137,708361729.891498,661968669.4918597,1210131587.3492486,1013575837.6485221,187506212.6515311,19103800.12679378,128838914.50986555,139617100.85379547,307022376.2314,596670576.9679134,1133283007.8275552,1265743271.8155475,1016145465.8501256,837540450.0523748,434246022.4101888,84068383.4135063,131517642.70894477,116205580.74310482,84781450.10022421,65001310.70853974
T16000logg2.4,43852775.71832528,134278401.5420104,76965751.5522831,25495348.019975014,10243153.335989092,20721355.7894328,19136709.88504444,45341883.02253165,114622237.89140043,343931084.11726487,914939066.6260185,1311138773.3283036,1233193196.3097463,1501135069.4005988,667517776.8895468,8383985.659586956,125627428.25209641,274652891.1675503,285567683.576805,351678931.7614124,699585697.9891751,1189893488.1345973,1323961278.3856664,1016553248.6485832,787998652.2454504,297519216.70064354,76431887.08093174,190714899.4044476,149779088.5926966,83804527.18565436,50844745.69448802
T16000logg2.6,24600433.495915927,71494394.27854407,41512689.37018224,20214338.17351035,5966608.720610681,14478863.36583148,8431995.101479825,37275556.97202661,47166650.72779478,148931072.06698817,359183453.89348346,710007595.1917477,645711274.8140657,1570713436.2397268,1341554160.453946,247005704.24416524,4891615.489091231,96471381.32465218,132618934.83880623,231422711.24999398,441790939.44355667,847861886.9370954,1153016116.8490093,1162010600.9974132,1070306666.8883835,861444679.7938923,291578837.8868034,64771824.6235348,132667437.99254969,125753208.32742015,99432893.51892553
