,vsini60,vsini62,vsini64,vsini66,vsini68,vsini70,vsini72,vsini74,vsini76,vsini78,vsini80,vsini82,vsini84,vsini86,vsini88,vsini90,vsini92,vsini94,vsini96,vsini98,vsini100,vsini102,vsini104,vsini106,vsini108,vsini110,vsini112,vsini114,vsini116,vsini118,vsini120,vsini122,vsini124,vsini126,vsini128,vsini130,vsini132,vsini134,vsini136,vsini138,vsini140,vsini142,vsini144,vsini146,vsini148,vsini150,vsini152,vsini154,vsini156,vsini158,vsini160,vsini162,vsini164,vsini166,vsini168,vsini170,vsini172,vsini174,vsini176,vsini178,vsini180,vsini182,vsini184,vsini186,vsini188,vsini190,vsini192,vsini194,vsini196,vsini198,vsini200,vsini202,vsini204,vsini206,vsini208,vsini210,vsini212,vsini214,vsini216,vsini218,vsini220,vsini222,vsini224,vsini226,vsini228,vsini230,vsini232,vsini234,vsini236,vsini238,vsini240,vsini242,vsini244,vsini246,vsini248,vsini250,vsini252,vsini254,vsini256,vsini258,vsini260
T21000logg3.8,48.21484588037737,47.70184524783007,47.234715050005,46.8896821042201,46.39937300835246,45.9530437087919,45.617169847616005,45.15128327690974,44.727090876641945,44.4024862653078,43.96147257427008,43.55969181223751,43.24752056961529,42.83097555409381,42.45118134337252,42.15193258548346,41.758917328715576,41.400252491808324,41.11395460534479,40.743246844485064,40.40463278995068,40.13103121418879,39.781300929564146,39.461582070838574,39.20027172192311,38.87021237766259,38.5682713497759,38.31880536009295,38.00722495455266,37.72204885987173,37.484005224619224,37.18985540918612,36.92054729429897,36.693547366987595,36.41590316251385,36.16166584776557,35.94536964081545,35.68340369452242,35.44350953812198,35.23759631973605,34.99053252523891,34.764288047476946,34.5684316619665,34.33552234747203,34.12225113541631,33.93611256606831,33.716629643427844,33.51566885545011,33.338896436696565,33.13212626724383,32.94281623976252,32.77503893948791,32.58027013321483,32.40194752501275,32.24276960148337,32.059291908422985,31.891292705079053,31.74029799492725,31.567409172179282,31.409075539421227,31.26583112988229,31.102840279166582,30.953526071491794,30.817593318979903,30.663833267324296,30.522907707223116,30.393867322370472,30.248708627880244,30.11555484611226,29.993036397982923,29.85590312205208,29.730216027203454,29.613633577324638,29.484018848695058,29.365524756461614,29.254380742269205,29.131851628901547,29.02007868304568,28.914201399788666,28.798395920035684,28.6929284984588,28.592204374091835,28.482816276026426,28.383256630006628,28.287635705831562,28.184391205753638,28.090371357070254,27.99980513739081,27.90243281871868,27.813624604123913,27.72801195570989,27.63623468889874,27.5523584201601,27.471532182724413,27.385070487932328,27.305968150773264,27.229634408400468,27.148219476626284,27.07378947585182,27.001610267893806,26.924983540887933
T22000logg3.8,42.765450656535734,42.26720313727189,41.81585046850623,41.482913215290225,41.00947550015082,40.580749983360455,40.258464449516445,39.81133536460023,39.406323669442486,39.096637949898216,38.675956253613066,38.294630701585056,37.9984950590183,37.60349869390503,37.24510269006715,36.96275567972268,36.592132991339156,36.25547515393756,35.98668160920394,35.6388478223072,35.322527866739826,35.066771542876644,34.74006204149602,34.442645733656384,34.199290618406145,33.892140700749216,33.61230194439739,33.38072564623641,33.09177107600858,32.82836730426076,32.608036120938245,32.336133999157035,32.08820149814063,31.87867751159813,31.62286328409617,31.389581981209943,31.1905017311016,30.94994114132417,30.730584452352375,30.541624043962674,30.315553344229993,30.109446729740885,29.93029432791759,29.717990138573644,29.52448419340209,29.35482102125525,29.155578367605443,28.97403303394017,28.81352506711734,28.62664981267548,28.456430036308017,28.304726256552367,28.129538934180406,27.97001602112218,27.82675081045669,27.662579713420584,27.513125627044143,27.37791190416584,27.224090018642354,27.084084051114715,26.956521579063207,26.81239664384201,26.68122479288545,26.56090657922803,26.425841180774828,26.302882118535734,26.189429851711868,26.062819258052315,25.94758956043761,25.840537327154056,25.721819657284858,25.61407656092308,25.51279432350199,25.401467899647074,25.30072033097747,25.204932722946356,25.100563729425208,25.006302229183948,24.915868716268264,24.818092054525632,24.729888386084667,24.644698493406434,24.553201851887952,24.470652321600962,24.39064209098748,24.30513884974596,24.22790038344129,24.152972900219797,24.073183324672268,24.00098392455534,23.930963099833708,23.85660199088169,23.789282224464085,23.723867325271282,23.6546560726205,23.592086045919228,23.530954480212234,23.466628366337257,23.40861025204524,23.35152580166007,23.291834408019906
T22000logg4.0,44.71822796883968,44.26848677594182,43.86020767747147,43.55804892873045,43.1275734521719,42.73692023695046,42.44223214875209,42.03266256450848,41.66090248543073,41.37560447730008,40.987427259684004,40.63487601904689,40.36004913792534,39.99298050943079,39.65932817061297,39.395450613285966,39.0487102420849,38.73324468760525,38.480372942957324,38.152920223108424,37.85472426863649,37.6126575202159,37.30333913362023,37.02142525041757,36.78983060991197,36.49752934268863,36.23095069674911,36.00946570992901,35.73316703573632,35.48107065217966,35.2693579024068,35.00818117061244,34.76982547986848,34.56759515529789,34.3207775992046,34.09551028876238,33.90250763118004,33.66936656997298,33.45659403354994,33.27258110650309,33.052486157380564,32.85164948803996,32.676388174758266,32.468729621039586,32.279280751045114,32.112517049082214,31.91669245892511,31.73808102841564,31.57953772231365,31.394943903358023,31.226615661934108,31.07599520121845,30.902033733203524,30.74343394894592,30.60041975061492,30.436494692961436,30.28706497687835,30.151319967367982,29.99683798684286,29.856024317463717,29.727200318924776,29.58158257005176,29.448828307402426,29.3265821721892,29.189263790842023,29.06401582652843,28.9480199676135,28.81846590878348,28.700498184701136,28.59014939129345,28.467868266094584,28.35688907728125,28.251725288661593,28.136283084769065,28.031764942369488,27.93165975722971,27.822681424537105,27.724175960155886,27.62902126398347,27.526188415803528,27.43324575716097,27.34302554777072,27.246063047931887,27.15831449749324,27.072992081126284,26.98164652323396,26.898793193606355,26.818278244820643,26.73229456538283,26.654151981433504,26.578221319591197,26.497336304456386,26.42381255535076,26.352134061749258,26.276087367916222,26.20704010732508,26.139332595400564,26.06787257877447,26.003080931746748,25.93915038790506,25.872034028487544
T23000logg3.8,38.43272844920049,37.9494119422107,37.51609812975078,37.196657177310016,36.73986695294346,36.33050602023443,36.022725883668194,35.59373515583762,35.209198233890454,34.9149209083711,34.51358411894392,34.15359277383998,33.873612037123486,33.49885200192772,33.162362732031454,32.89671253751434,32.546864068121955,32.23237812462186,31.98058393893672,31.65371005945059,31.359532979329458,31.120839094725994,30.814983205812226,30.539448749836936,30.3130237485607,30.02640380014664,29.76802125039713,29.553099334539343,29.284217146710635,29.041753383672418,28.837719139501203,28.58537781244649,28.357840691476856,28.164224863297733,27.927458708899348,27.71403966141742,27.53048091232577,27.308484321032143,27.10848963063602,26.934686056866155,26.726734321277988,26.539530121697283,26.375198378137835,26.180613703428374,26.005598598449296,25.850456744462463,25.668581952021153,25.505163345747942,25.358913297944486,25.189099298137595,25.036689453788895,24.899018008989106,24.740627620135957,24.59864634897961,24.469227467046025,24.321638590903518,24.1895133678007,24.068008388487183,23.930606225908694,23.80775601330465,23.69382481584339,23.56600216778381,23.451891604964896,23.345131995793935,23.226285314116,23.120663982114863,23.02039010479601,22.909936679486222,22.81216909654684,22.718104030703348,22.615492198983826,22.52493179334213,22.436863136478127,22.341589779509373,22.257635529825464,22.175392409472348,22.087016914948688,22.00912058837744,21.932581839921756,21.85072647974558,21.778447009097107,21.70748640557082,21.631824743996308,21.564919593163946,21.49928063500121,21.429510820904756,21.367860319622526,21.307188236049694,21.24301473547473,21.186417759868082,21.130438094710968,21.07156749150217,21.01981314517838,20.968261869158976,20.914414452558447,20.867277849835805,20.8199270292544,20.770844823547733,20.72810097908116,20.684756511829452,20.640200869997994
T23000logg4.0,41.04218862954007,40.59858153308497,40.19981896288371,39.906233901177025,39.483652658942795,39.10397455563535,38.81893566031032,38.41888186807929,38.05940665403475,37.78476141365981,37.407516927629,37.06836360471131,36.80506302704067,36.45008496707652,36.13068792996267,35.87901928556147,35.54523270479232,35.24461104057982,35.0044156908587,34.69047245693242,34.40743090338977,34.17827918922473,33.8827454819615,33.61605602330131,33.397413800934785,33.11895264967773,32.86749213137596,32.65884993889018,32.39629929432135,32.159103168549166,31.960030082182488,31.712422716585156,31.488687159403288,31.29884252696499,31.0653761926674,30.85443027798735,30.673545416477698,30.45353000709432,30.254782400742766,30.082622576288262,29.875433352670754,29.688341985136617,29.524686706817146,29.329729551883386,29.15376601057835,28.99838012651605,28.815063638560105,28.649697827860336,28.502324854449373,28.330061387404584,28.174760238568876,28.035123005490348,27.87332969625243,27.727562252673806,27.595367474955054,27.443470107315125,27.306708243953636,27.181648301923175,27.039081058623818,26.910794754489558,26.792554490762587,26.658759027741265,26.538398264248197,26.426676883249158,26.301106166627786,26.18838186465422,26.082627976102938,25.964761794654837,25.859394550192878,25.75909204808039,25.64844984889056,25.54983321596659,25.45485242930249,25.351000023332077,25.258620881214053,25.168823504062388,25.0713850160308,24.98474666983769,24.900070258456903,24.80872109660675,24.727400540950313,24.647787992001167,24.562243199126076,24.485937125944883,24.411267066150387,24.33126287420362,24.259841327693305,24.18983416735645,24.11510676856149,24.04844922135585,23.982805647174022,23.91308865405738,23.85097791010514,23.78948474379193,23.72451706446914,23.66673866311056,23.609188978389795,23.5487258807995,23.495079874505024,23.4412751646212,23.385087858139627
T23000logg4.2,42.567483930654284,42.18284666008598,41.83618474378206,41.57912397115091,41.209593794769326,40.876711623087196,40.624908007775645,40.272132145384646,39.95433709679241,39.709606280235484,39.374238128702174,39.07200805964616,38.83543613488489,38.51740981855545,38.230631677326244,38.00274753847037,37.70152613761991,37.42970833195709,37.21064999173739,36.925421422528885,36.66785355861295,36.45750635895091,36.18735099345753,35.943252255578216,35.741379594543005,35.485388211544674,35.254000746054054,35.06033369031601,34.817694503720624,34.598351384435084,34.412653239039685,34.18267257426342,33.97479271026944,33.79685981526962,33.57893678985663,33.38201975484312,33.211683248619984,33.005297930169185,32.818893636815396,32.65599948123645,32.46066660635709,32.284352832040355,32.1287471192365,31.944004601963865,31.77736597837702,31.628879889339604,31.454258385184616,31.2968680050563,31.15530521849953,30.99032540086247,30.84174554956532,30.70688516654307,30.55106225141631,30.41084524031685,30.282446619195877,30.135295463361327,30.002984462683724,29.880800970267103,29.74184122434988,29.61695504299047,29.50074968267958,29.36950429862541,29.251867879098924,29.1410917488712,29.017097833960985,28.90650764812169,28.80065844848068,28.683477681545885,28.579324603013205,28.47834128410813,28.367569513007172,28.269301757589414,28.17312239502905,28.06839842144493,27.975461906104897,27.8840995234177,27.78510941884726,27.697050540927364,27.61049095097404,27.51696259569762,27.433510403110997,27.35162572487211,27.26332260637543,27.18442195388217,27.10691092828728,27.02360707997912,26.94918353097466,26.875768744984658,26.797236341685405,26.72714538821386,26.6576061806406,26.583613253970654,26.517684290787148,26.451815679175173,26.382133155824942,26.320168143988287,26.257796960722,26.19220806604076,26.133985309737085,26.07497856201593,26.013276548076178
T24000logg3.8,35.160214642585444,34.701952944216664,34.2922254866386,33.98799875962562,33.55655932023218,33.17104780831878,32.87900799794806,32.475545679195896,32.11500582624391,31.83689940610438,31.46114212886461,31.12514980889271,30.861637419813587,30.512333911464424,30.199678096263497,29.950633039559467,29.625933576282005,29.334936920648047,29.09970965615717,28.79749396760346,28.526295489873963,28.303961426329106,28.02210247398142,27.768891760106992,27.55847157046394,27.295070739493564,27.058267993781385,26.858898289629604,26.612399035721513,26.39073043908353,26.201742857642767,25.97092689357736,25.76339308166197,25.584297858772967,25.36821070353319,25.174025466490335,25.00446942230248,24.80233954436659,24.6208483196033,24.46055269391722,24.271697923566844,24.102310495369185,23.951020501566916,23.774801812877005,23.61695834564598,23.47441935145325,23.310219897649905,23.16337419239205,23.029319540849304,22.87653381344313,22.74014623356871,22.614294128702934,22.472329635684787,22.345870221953504,22.22792740202901,22.09620243370253,21.97913899115832,21.86880732638895,21.746753357668585,21.638646751786553,21.5355311671057,21.422584674115058,21.323183785724563,21.22668135104084,21.122279810578696,21.030843235688035,20.94082489130236,20.84441715194807,20.76032473761919,20.676548807192077,20.58760692567692,20.51015931117661,20.432499791740312,20.35054452135876,20.27912134225181,20.207453372523144,20.132063554080055,20.06621560233476,20.000333920283,19.931146463586778,19.870673440822678,19.810213939406374,19.746913628082396,19.6916904478317,19.63627841440345,19.578573000867177,19.528439693854256,19.477758364335372,19.42536262020455,19.380086817816466,19.33389439655145,19.286524781052208,19.245829068066303,19.203931648071226,19.1613200103105,19.124924055813175,19.08716211740604,19.049067089165334,19.016757355772555,18.982944008559787,18.949142622928203
T24000logg4.0,36.91438321922,36.49760566169806,36.12409747198611,35.84623104220403,35.45115908857352,35.097293279439675,34.828677886366286,34.456603153100325,34.123308477673554,33.865662101950015,33.51665963310821,33.20385348445456,32.95797213464792,32.63125759091022,32.338161596995285,32.10415746457562,31.798414614584583,31.523831143350748,31.30135587530241,31.014995163526603,30.757525198681005,30.545963975568664,30.277349560388302,30.035605910849494,29.83427292685724,29.581930967018224,29.354692385912813,29.162975829945584,28.9256783762392,28.71193776803348,28.52935305351413,28.30612058696724,28.105078700844626,27.931271948613055,27.721326756298268,27.532342598821998,27.367055935511598,27.16975606563285,26.992287589150056,26.835314861832614,26.650086234227604,26.483638228533735,26.334784485319023,26.161083309749674,26.005178238836503,25.86424045201559,25.701531107380532,25.55569108393857,25.422444663629296,25.270184400792925,25.133924596476046,25.00812216494099,24.86577341873216,24.73861061349855,24.619993851628394,24.48702926947895,24.368470150873545,24.256785468734808,24.13268840077534,24.022378262483723,23.917228557907123,23.80149250251027,23.699261799528127,23.600057870045664,23.49218528603106,23.397353389270787,23.304013612091506,23.203519621545684,23.115494349814274,23.027861121296045,22.934289771005385,22.85241348668971,22.770437310910996,22.683374033115772,22.607072775371126,22.53068820264433,22.44977021896251,22.378655106985136,22.307689413871685,22.232599258874615,22.166531107664593,22.100630177591793,22.031086889412805,21.969973495701495,21.90878374477892,21.84452238916749,21.788227738651102,21.731451420239008,21.672208972805198,21.62051389377528,21.567932912598888,21.513446218259613,21.466091020358174,21.417525571089385,21.367540704654797,21.324257526071637,21.279555786260442,21.23384094977696,21.19443636489118,21.15340844806161,21.111750346638225
T24000logg4.2,39.52439132452131,39.15014653967792,38.81354599023727,38.56327167866284,38.205382158899745,37.883648862392675,37.639576007985404,37.299511270524796,36.99377715291962,36.75760383731188,36.435808277704105,36.14634969113161,35.919011669015106,35.61519402329521,35.34168179587026,35.12353613448986,34.83691511950284,34.57863410617048,34.36963315979224,34.09916674969909,33.855199608292175,33.65505173674939,33.39961067859435,33.16900069463303,32.97731732747578,32.73584466262289,32.51771600506806,32.334123726695495,32.1057115756815,31.899326449793023,31.723524819013164,31.50743620556284,31.312188884971032,31.14395210762808,30.939577473431388,30.754971120935153,30.594132978523735,30.400962640414715,30.226564780192593,30.072986255356653,29.89054913458524,29.725954341494127,29.579495690657257,29.40733676890326,29.25214111468647,29.11264282175745,28.950298565400246,28.804089235737564,28.67136713753715,28.518369743688094,28.380726316223985,28.254576279480272,28.110453837835696,27.980947380462094,27.861145619817904,27.725427648921325,27.60362023617958,27.48994540981141,27.36217570976819,27.247636433522032,27.139858093243486,27.019587047903343,26.91225473361379,26.809765144747473,26.696554013199556,26.596073461534576,26.498563888684732,26.39199396708068,26.297752530487212,26.205197964922842,26.10488003399541,26.016361241233998,25.92867861206655,25.83426000253844,25.75091903225353,25.668114468542274,25.579288405541703,25.500712677516958,25.42272975638637,25.339230307485266,25.265267716289767,25.191848760772547,25.113439468669885,25.0440056624345,24.97486164102318,24.901317755649398,24.83625847713402,24.771177648820572,24.702273016457397,24.641433029806308,24.58019324745067,24.51569558166022,24.458881187788464,24.401288856010414,24.340971616285643,24.28796381391869,24.233864450144377,24.177517308478883,24.12809074147164,24.077357852659304,24.024781222683515
T25000logg3.8,32.21289375523062,31.772068549116067,31.378644647603934,31.085541914155247,30.671785800206592,30.30278932705316,30.022273782889712,29.636616173681997,29.2926943160267,29.02642443064286,28.668497344626484,28.34913483010109,28.097689014965713,27.766132624291487,27.470018761464363,27.233176222326545,26.926042870099725,26.651408972371417,26.42842817195663,26.14350007396713,25.888400072213372,25.678268544160556,25.413345157937385,25.17590520559935,24.97757310296966,24.730700877039173,24.509295548703506,24.321844761842517,24.091431680811976,23.88476005893482,23.707485851615733,23.492304969149163,23.29936464906679,23.1317624137768,22.930864146268494,22.750869515727306,22.592575202137123,22.405190629900613,22.23749400626647,22.08822480704235,21.9136865085695,21.757712398773027,21.61721541041065,21.45490548332988,21.310114488286327,21.178141208108688,21.027462560556422,20.89332686534464,20.769614894063654,20.62998280528883,20.505986832898156,20.390261923324967,20.261106867459883,20.146746442188434,20.038723899316103,19.919492436126347,19.814258014713133,19.7136615843004,19.603812989265577,19.507513818795942,19.413743843752265,19.31274412083305,19.224748605811417,19.13762971045396,19.044944151761353,18.964605374757898,18.88395576680961,18.799054450784023,18.725700801346964,18.65136402148431,18.573739357780955,18.50666576757317,18.438553032735385,18.367739093578397,18.30648014412061,18.244330796009347,18.17991551235433,18.12423755108702,18.06764375084841,18.00926711767058,17.95898220238776,17.90756954655164,17.854915648456775,17.80981576491714,17.7632881190889,17.716061652777764,17.675873862381604,17.63402120452591,17.59193464519645,17.55636638870787,17.51899983333313,17.48176698036689,17.450522931408695,17.417458332398635,17.38480713853618,17.357647811342826,17.32867351075792,17.300355973818508,17.277073782692586,17.2519848689086,17.227774431572833
