,vsini70,vsini80,vsini90,vsini100,vsini110,vsini120,vsini130,vsini140,vsini150,vsini160,vsini170,vsini180,vsini190,vsini200,vsini210,vsini220,vsini230,vsini240,vsini250,vsini260,vsini270,vsini280,vsini290,vsini300,vsini310,vsini320,vsini330
T15000logg2.0,349729.7181575111,313236.5266242794,280952.1921265374,250349.8329080481,224449.41332050238,201710.15627202444,180548.76281489036,162654.9485269133,147124.50191445532,133007.20203865803,121243.20933075633,111313.28342200302,102678.29185646189,95793.63940206477,90342.67280035427,86009.96700179657,82917.57948615548,80856.49138870905,79648.71921202316,79250.56280272803,79538.3696649907,80432.79808935091,81828.58174574187,83662.79624425647,85922.15007684493,88481.57015152188,91317.90164250121
T15000logg2.2,332616.23353935,299115.64021026867,269101.82741488685,240214.86449320053,215329.4743531848,193045.58927593427,171852.6182469375,153511.55479442992,137200.03092107203,121973.18574864618,108909.90554082522,97519.56727723895,87219.47660513666,78609.45141614662,71378.54819516238,65150.99825562154,60183.948269897046,56265.62952549104,53154.79920112204,50921.276368741645,49432.90464356313,48547.283115782724,48249.20636487445,48463.310157166154,49117.278233076446,50163.95062999013,51561.71667960765
T15000logg2.4,364791.4506126571,334502.39665015496,307230.0603807341,280786.1209092802,257827.47346793424,237078.0915440578,217112.4221126491,199626.44969902484,183871.53372792635,168936.21089841455,155914.20266292797,144353.70862215132,133667.3213542876,124509.10839821544,116588.33347989735,109506.81107342614,103594.90687014273,98652.05623300832,94404.92855936704,90999.67088592795,88308.05439766755,86149.43388734922,84580.40491369601,83522.5053590834,82862.30445759253,82620.89755982699,82746.58154835318
T15000logg2.6,426643.6517971017,399889.30410213536,375691.26329805655,352111.5761884945,331526.6166259756,312797.00172386825,294634.9265971171,278596.09613262746,264007.4577808684,250029.95416518708,237704.3886713378,226619.11923247116,216214.2295250788,207145.00307051814,199143.0687628293,191812.8780312584,185521.44136629638,180081.09527764394,175204.86596893845,171092.78861971784,167621.01128520962,164584.12863889552,162098.4348228314,160082.05906946832,158391.29388774384,157107.3032103171,156170.34072895403
T15000logg2.8,532259.0802218944,507316.9384371416,484718.1521162507,462648.97344179725,443330.7162464821,425697.7005093932,408520.87970082834,393275.28492345667,379328.4012060096,365865.91950272105,353898.925287255,343038.6945527001,332729.54730076616,323630.6031114584,315486.75703860424,307893.84248143213,301246.3685703712,295363.7859695818,289940.7999911574,285219.4604104166,281077.12525999476,277283.5305680384,274004.7806027191,271154.2686503449,268559.97406401834,266354.28651231184,264470.42910388426
T15000logg3.0,608894.059510811,588545.408029505,570005.5930118113,551807.262288447,535792.1620943514,521094.49884659855,506701.0207837489,493855.20952312346,482037.05106034264,470563.3553274128,460302.8736081662,450931.2376935432,441970.01783281966,433999.6200273053,426803.1525730871,420021.7195693754,414019.4351831273,408639.7036804429,403602.0020172086,399149.1830558745,395169.6587062644,391442.25719401124,388149.8918347078,385207.42043349566,382442.41132321925,380009.70810815395,377841.6972926687
T16000logg2.0,395922.1777644139,357980.7015529116,325040.70027227304,294414.0073394184,268994.7627158945,247142.90907107733,227231.538714393,210744.33807337913,196753.24813098824,184318.00195261982,174201.24408634947,165901.684709172,158921.49094627603,153590.78834251218,149617.9616755668,146731.40882448305,144967.1780603421,144136.8561076224,144103.47043375685,144768.12225974066,146024.0700680771,147827.71587535125,150038.53260473892,152608.3380433473,155544.9891974425,158718.33200850652,162099.79389385736
T16000logg2.2,345549.8306913667,307515.0499924321,273965.3626607181,242122.6922323135,215093.08235828398,191276.20012540356,168961.10843233165,149944.61558532494,133316.85569462625,118040.93650162086,105152.02215651641,94131.19719132743,84367.97664656444,76396.51816050611,69899.69138305733,64503.30159691923,60395.321952248494,57365.714787577184,55190.442325079064,53879.07478798729,53303.70434005111,53345.17210873793,53940.674662857404,55020.75493575395,56530.01350591736,58401.80509718723,60585.50631672911
T16000logg2.4,361340.5378074814,326199.3118249472,294944.3483659091,264978.58891092474,239254.41809260528,216282.935673322,194425.8177453425,175499.45296060963,158655.9616726158,142874.21620046598,129278.1799364632,117371.22371976632,106517.38112836337,97355.02806611801,89573.3890077037,82758.0863018138,77202.08807714106,72696.78799134612,68970.92880793806,66127.72482976003,64035.972095218596,62526.53765318237,61617.0684925609,61228.93896518589,61261.58026141958,61709.40756853168,62516.844280507445
T16000logg2.6,409858.6702543436,378013.57601722213,349541.19206246705,322079.2245209841,298356.1585607943,277014.4411129459,256528.9499164559,238625.91226707122,222525.8441919081,207259.38115406947,193937.66992593912,182098.7938149135,171118.5939234744,161664.6913324851,153445.38712557196,146037.27238258766,139786.35984904517,134494.5028928594,129868.11827497292,126072.37740786924,122979.34290428259,120390.21117078821,118384.70855198886,116880.43842448185,115746.49216011453,115029.6192138928,114672.45569116552
