,vsini100,vsini102,vsini104,vsini106,vsini108,vsini110,vsini112,vsini114,vsini116,vsini118,vsini120,vsini122,vsini124,vsini126,vsini128,vsini130,vsini132,vsini134,vsini136,vsini138,vsini140,vsini142,vsini144,vsini146,vsini148,vsini150,vsini152,vsini154,vsini156,vsini158,vsini160,vsini162,vsini164,vsini166,vsini168,vsini170,vsini172,vsini174,vsini176,vsini178,vsini180,vsini182,vsini184,vsini186,vsini188,vsini190,vsini192,vsini194,vsini196,vsini198,vsini200,vsini202,vsini204,vsini206,vsini208,vsini210,vsini212,vsini214,vsini216,vsini218,vsini220,vsini222,vsini224,vsini226,vsini228,vsini230,vsini232,vsini234,vsini236,vsini238,vsini240,vsini242,vsini244,vsini246,vsini248,vsini250,vsini252,vsini254,vsini256,vsini258,vsini260,vsini262,vsini264,vsini266,vsini268,vsini270,vsini272,vsini274,vsini276,vsini278,vsini280,vsini282,vsini284,vsini286,vsini288,vsini290,vsini292,vsini294,vsini296,vsini298,vsini300
T15000logg2.0,7.0472721401842735,6.763892957529116,6.5188010811371555,6.2369549725783475,5.995372714649703,5.789002199524677,5.551083411252161,5.347067151756061,5.175056163184546,4.976250339719326,4.805969347282448,4.664465720725438,4.5005300915189075,4.360567552703598,4.246199496796014,4.113406087742632,4.000713089933483,3.9105136536414458,3.8055622431768223,3.717409789064565,3.648760368893927,3.568714988701318,3.50263737820097,3.4531965562917057,3.3954051353155474,3.3491318085778476,3.316706311842325,3.278787053171766,3.2501861239309977,3.2327601266323787,3.2124682957835518,3.199525498495107,3.195311095050636,3.1904694821608666,3.1912925433228354,3.198662149476748,3.20720998972073,3.2200157849808986,3.237480318619514,3.257464335318028,3.2805782371661945,3.3066938049760064,3.3363612531690876,3.368207646444982,3.4016380109276074,3.4393322061602234,3.4784212584518164,3.517902116085887,3.562090269851459,3.6070240060373893,3.6514256431613736,3.700645944145217,3.750137151506638,3.798418622818464,3.851369371723555,3.9042767774243314,3.955456316710885,4.011072646464706,4.066410422225471,4.119645066658135,4.177010005426784,4.233932024711632,4.288630706117692,4.346839166065258,4.404632665312259,4.46039746576758,4.51860146205787,4.576682551417795,4.632728515507919,4.690710232407429,4.748620821783418,4.804429250033598,4.861930943982693,4.919326687311364,4.974549055740887,5.031337259984344,5.087962302791841,5.1423600330021975,5.1982361213656185,5.253891967196356,5.307347236727141,5.362083367402447,5.416607119452811,5.469035680181921,5.52243345267019,5.575688072976358,5.6270151741728025,5.6789096905325005,5.730775346552981,5.780906337348336,5.831187928946356,5.881562258558241,5.930384265215655,5.978995714854868,6.027796810878525,6.075212552232075,6.122120418931056,6.169307121214667,6.215246161274639,6.260459710803815,6.30602207203862
T15000logg2.2,7.974343085075487,7.672925116925041,7.412061086397477,7.111168076573852,6.852418898706402,6.631146567483953,6.3752674491433226,6.155034627909457,5.969038011805382,5.753401997467583,5.567895451170506,5.413338001985052,5.233700052686388,5.079502833330774,4.95299513017035,4.8055992151919265,4.679643060537589,4.5781892367834605,4.459688857599684,4.359202290399529,4.280136609599042,4.187531611324676,4.109999350761694,4.050932968035505,3.9815088423188185,3.9246059622035956,3.8833377734073133,3.834597099707535,3.7961348515585067,3.770493507873638,3.7402348130954914,3.7181501878545538,3.706262530954642,3.692292081316198,3.6846435920019287,3.6848453946185797,3.6850374084260826,3.689991434107384,3.700800111876633,3.7130888518320724,3.728914641317837,3.748903893949524,3.771407082794061,3.7964712005881402,3.82421321808712,3.8552526473408384,3.888007021351742,3.922157889191531,3.9601709513412393,3.9991634473502646,4.038538343375629,4.082015432363007,4.125906735379852,4.169419595757889,4.217007442622667,4.264610443737695,4.311241547593631,4.361831794266556,4.41212458840235,4.461012573712562,4.51364126796585,4.565747133509575,4.616312596751001,4.670005103252876,4.723187082995898,4.7750268891409435,4.828896594447639,4.882551732257619,4.934861849470932,4.988668742625225,5.042316958256089,5.094561897312692,5.148018700694708,5.201290702448769,5.25307857847557,5.305945062628152,5.358558790377362,5.409604701726179,5.461679420975611,5.513412559122133,5.5635655252289355,5.614610927792785,5.6652813164023845,5.714434195035333,5.76424168537761,5.813698757592865,5.861762822881045,5.910158469180429,5.95827263706279,6.0051445627855005,6.052008044250813,6.098668893777602,6.144230195688067,6.189496471673469,6.2346177354356245,6.278769432147745,6.322394852366569,6.365936907194718,6.408610794436379,6.450596616452999,6.492556293771605
T15000logg2.4,8.601202713571082,8.292775367305868,8.025657758249569,7.717026062150666,7.451129046552813,7.22353063914118,6.959881170124237,6.732483197467187,6.540189189268947,6.316860123077864,6.124266568333217,5.963517852959116,5.776350747165631,5.615215334179273,5.482678158250824,5.32796587320553,5.195261887953744,5.087972543923083,4.962400015894328,4.855385675482723,4.770700883171941,4.671287972352422,4.587460147466458,4.523000804334725,4.447029236621791,4.384067529075161,4.33767101090859,4.282612990701079,4.2383341823065726,4.207760958510161,4.171485567727496,4.143827854785737,4.127170811661246,4.107518277375634,4.09454151724947,4.090141705848115,4.084974258845777,4.084837383885762,4.091239478342291,4.098445669180175,4.1094061874706185,4.125210022958394,4.142850855162197,4.163256962475079,4.186996661412088,4.213398840589752,4.241687771895128,4.271991252960485,4.305591285329255,4.340297098338266,4.375963722690854,4.415243193002268,4.45501730517636,4.4949527980401225,4.538548514826175,4.582195136118256,4.625372003773702,4.6721634317570455,4.71865006366124,4.764204461487015,4.813209538727853,4.861652288526934,4.909017377779823,4.959236407282618,5.008892800026704,5.057668329080258,5.1081950121433595,5.158452471205016,5.207830197767359,5.258408812955021,5.308777660095286,5.358219720642276,5.408543341691395,5.458640957492351,5.5077310870221154,5.557556868314423,5.607087468864553,5.655512809854413,5.704640635828638,5.753370023434564,5.8009589346710975,5.849150592331959,5.896886097652957,5.943515939300037,5.990557000652677,6.037138017078044,6.082709057442157,6.128420629777004,6.173713062629602,6.218117700293771,6.262376339599468,6.306267467092064,6.349385587099566,6.392122602059125,6.434524892480513,6.476258288056607,6.517425315595857,6.558301714597698,6.598584300800873,6.6381751891065885,6.677523585608845
T15000logg2.6,8.186536466307732,7.901316444308748,7.654602916377175,7.369336959170636,7.123548894916524,6.913475099655385,6.669976924531021,6.459981351038695,6.28272140837779,6.076749676554632,5.899184935705637,5.751306908855971,5.579059954285802,5.430871246651745,5.309324116510958,5.167405013637929,5.045814921058966,4.94787320842459,4.833224980036693,4.735703285838213,4.65892543635551,4.56878873375267,4.493017650684102,4.43520303775792,4.367053836358553,4.31087855775519,4.270047798708871,4.221507324662206,4.182899565026567,4.156913117359858,4.126059161666012,4.103096634933566,4.090147524668481,4.074983089891752,4.065842337057175,4.064378831117325,4.0628863783470885,4.065833796291431,4.074516158471443,4.084676189828593,4.098063487604529,4.115591837214933,4.135546687777162,4.15781043478997,4.1827898990808,4.210965055068468,4.240622264603587,4.271748691032241,4.306661841496192,4.342318874086514,4.378453545417251,4.418661919999017,4.459038584805113,4.499146241523018,4.543356102027031,4.587319915748543,4.630427968581653,4.677578614182937,4.724151307800954,4.769443889332265,4.8186034229783035,4.866947928114795,4.913895715271857,4.964108732536492,5.013519714272712,5.0617436150337145,5.1121509328169745,5.162050617980327,5.2107977365173355,5.261146627156332,5.31106854390379,5.3598385190957485,5.409821512125219,5.459399240510325,5.507789139300397,5.557181316347638,5.606134538654056,5.653838402463409,5.702459326010553,5.750565010867222,5.797411855782678,5.845041947544604,5.892117848331768,5.937987248521464,5.98442979394324,6.030326030116668,6.07512232230557,6.12021346383078,6.164805613251966,6.208427769315559,6.252056484289996,6.29524372564942,6.337581346384217,6.379689879426771,6.4213930667460675,6.462355059866873,6.502898470582987,6.543087047482123,6.582613460608279,6.6215874641543095,6.660265402870545
T15000logg2.8,9.594144221934648,9.283282920590985,9.01336156561383,8.701150762086767,8.431684910542256,8.200362730192248,7.932087175689529,7.700209238950412,7.50346608911129,7.274682215738826,7.076883580307519,6.911123741000643,6.717864409936692,6.550965532470143,6.413000525723902,6.251726187630302,6.112842720995353,5.999829611426053,5.867355504573738,5.75385232588552,5.6632353618286535,5.556664453949077,5.466109742266595,5.395575191072329,5.3122510812428825,5.242390247734956,5.189881934195553,5.127299419915834,5.076022641379062,5.0392848453046115,4.995468371919657,4.9607816126002975,4.93791204328308,4.91080439465559,4.890811035568105,4.880187078561219,4.867680533204108,4.860569716321413,4.860793177668793,4.86076890297576,4.864817320688811,4.874530370269488,4.88503891499851,4.898614946444551,4.91635319182587,4.935757428071643,4.957316135347131,4.981716775376389,5.008467707038992,5.0365580502180025,5.066431266688225,5.099030188946186,5.132325411921598,5.1665938556032485,5.203695005828472,5.241017367361659,5.278667729418744,5.319163172553587,5.3594960818496755,5.399679987853405,5.442598263141366,5.485071688682092,5.527252929511913,5.5715779144007485,5.6154524656719635,5.659250083076771,5.704055520327583,5.748716348306127,5.793311499875473,5.838340459809049,5.883288944931777,5.928143228130444,5.973068222371053,6.0179104441918065,6.062578039566933,6.107164892376382,6.151596903141625,6.195737455173153,6.239797489973885,6.283575683301301,6.326993422584052,6.370287757726103,6.413207355253969,6.455760077122197,6.498072709767608,6.539965596006491,6.58154184573982,6.62269270923623,6.663422510206863,6.703911192421181,6.743778701705869,6.7832357990049,6.822519208503037,6.861037425888142,6.899137552202316,6.937121027387576,6.974237555295447,7.01094447670612,7.047563818779752,7.083261777350158,7.118572915880311
T16000logg2.0,6.540271335526112,6.260504467251508,6.0190359304724295,5.741455680072933,5.503979613077908,5.301589417874349,5.0682871206929825,4.868646042473086,4.700785954180191,4.506760797749071,4.340970935045434,4.203664222542544,4.044537459911214,3.9090672031100904,3.798849088223913,3.670798619792429,3.5625291871179154,3.4763789717362057,3.3760650725943306,3.29223594290803,3.2275109961064685,3.151975784674924,3.090103799193671,3.0444445131616495,2.9910279698295033,2.948832559194229,2.919968479781457,2.8863586574928455,2.861711496408032,2.847707278564795,2.8315967910386095,2.8224905005715404,2.821595289679801,2.8207821773831414,2.8253297217370434,2.835931836948432,2.8483561931656536,2.8647847424173523,2.885380304948945,2.909127576925801,2.9357789566009567,2.9648393633467487,2.998278557413885,3.0336049420157742,3.069900494901019,3.1113223345391985,3.153861636086315,3.196200936547548,3.2440461102452742,3.2924211719966907,3.3397119878874366,3.3925156228768283,3.4454534276925273,3.4966728457637677,3.5531348744108486,3.609498911614719,3.6636697018731708,3.7227276135049996,3.7815313102232015,3.8377864019791605,3.898545747990738,3.958937916602048,4.016598658512505,4.078231927318806,4.139488973521841,4.198125959069581,4.259802104380899,4.321334511993722,4.380186471585587,4.4416692812098955,4.503030594329141,4.56159521056336,4.622645526211424,4.683520016414358,4.741516811475674,4.801896501069342,4.862068019595369,4.919328249458376,4.978842064673847,5.038150590111467,5.094605357692456,5.1530384859677305,5.211348119117451,5.2669443283508475,5.324109306669565,5.381296883272622,5.435975241515761,5.491709720656223,5.547655914914147,5.60132210961054,5.655511779551336,5.710105892761378,5.762639755190477,5.815220454536367,5.868368580575002,5.919660619951113,5.970590786128724,6.02223116907755,6.072190915976963,6.121466815268821,6.171559595491123
T16000logg2.2,9.827575673736003,9.45400337473463,9.130418005287996,8.755725140752517,8.432303644973052,8.155277802438714,7.833592176670249,7.555456287497381,7.319930954775141,7.045633792275346,6.808323104068676,6.609785138906238,6.377876807713708,6.177374623790984,6.011841790698433,5.817900415197954,5.650595723160927,5.514543223032815,5.354629596337619,5.217271770689268,5.107572813575766,4.978167280565601,4.867804019130849,4.781651895964541,4.6795662318114575,4.593476482938219,4.528281548484011,4.45061395735335,4.386244824240768,4.339434196183724,4.283647664100416,4.238588581083497,4.207955551427273,4.1715033558390475,4.143494567264847,4.127112152562321,4.107512877017024,4.0944341407074365,4.090612584844208,4.085461591094361,4.085329230041908,4.092433221483164,4.099568687110856,4.110516894728233,4.126914141532166,4.144417200466457,4.164679990853486,4.188819378246894,4.214912103659325,4.242824501295579,4.2733400395894545,4.306291269744989,4.34031550586301,4.375959937960297,4.414210093406782,4.452980131439163,4.492584246209009,4.534846950166485,4.577185617853015,4.619755065261204,4.664922348322875,4.709826262449905,4.75466493448584,4.8016511884628565,4.848276719882043,4.894919384777657,4.942709077208684,4.9903680341391565,5.037935625934947,5.086216293896384,5.134366256107363,5.182254980051914,5.230696546868241,5.278921648299552,5.326702942228491,5.375018548505649,5.423000407083678,5.470357512257165,5.518304880439089,5.5657829066814495,5.612536068764763,5.659831342067147,5.706584167838109,5.752597321854121,5.798986139142891,5.844822902527987,5.889977013089034,5.935238955058546,5.979988766399536,6.024147719894737,6.068117298754135,6.111628061559484,6.154638537608742,6.197208756614711,6.239355577687176,6.2810879101130705,6.32217924938372,6.362898430584877,6.403263559096678,6.442852978361218,6.4821268210334395
T16000logg2.4,10.650708713519988,10.276259140493984,9.95179079739089,9.575399064567518,9.24986669470281,8.97088541369307,8.646370408152404,8.365196548749207,8.126920322467523,7.848971339796941,7.607950295855183,7.406091549840531,7.169945391341117,6.9652471757558585,6.795986678759393,6.597383654730021,6.425535110730776,6.28546974780926,6.120597012411331,5.978444657301301,5.864533704489686,5.729955418847931,5.614624385804632,5.524133939969286,5.416735243673586,5.325564120318982,5.256012104875207,5.172885254248542,5.103366795690724,5.0521184913723705,4.9908775529226475,4.940646265188871,4.905489821242792,4.863676773604208,4.830510943223823,4.809560044097116,4.7847204041277225,4.766529160540767,4.758165424205492,4.747869047370461,4.742683125205057,4.7453460856382925,4.74737983467971,4.753342285646926,4.765369037895277,4.777860523412073,4.793210800361327,4.813027121158238,4.8342294203095175,4.857306459486041,4.883540899826417,4.911737652624688,4.941010318703317,4.972419163097136,5.006060102292322,5.040170172289913,5.075592112545496,5.1133963141512355,5.15117349955008,5.189633005368775,5.230480369274724,5.2709229452614546,5.311759456745325,5.354531100433121,5.3967981021821725,5.43955770540705,5.483224894502522,5.526624751513355,5.570432841766652,5.614665518108122,5.658645319099458,5.702894517432805,5.747338290664675,5.791462391497525,5.835685921071015,5.88005064382169,5.923978107887284,5.967816753419237,6.011863150141073,6.055316509949109,6.098561368554876,6.142007360163299,6.184754264183098,6.227250717781257,6.269840376479394,6.311682460937251,6.3533012073495705,6.394814972698642,6.435582661945382,6.476187625617515,6.5164630501104,6.5560069741619245,6.595446988997947,6.634377541215698,6.672575155374735,6.710724012476157,6.748226215603378,6.785019755603076,6.821793910262071,6.857839512904515,6.893219943044754
T16000logg2.6,11.392177419275551,11.017366004247958,10.692280847523415,10.314731633373281,9.987751027766807,9.707226339439966,9.380546478822252,9.097074094147146,8.856539762386507,8.575649469478503,8.331670696071217,8.127008668102157,7.8873310030591846,7.6791735494594064,7.5067034942501385,7.304128124786441,7.128438060682098,6.984860305972003,6.8156785457196545,6.66939479794505,6.5517495972392545,6.4126143094730255,6.292931651241796,6.1985490364008005,6.08640069963333,5.990713863359798,5.917203029515747,5.829152852355148,5.75501058521084,5.699713278994234,5.633501573943051,5.578586866985913,5.53928949739988,5.492545115589622,5.454674323323781,5.429524644501333,5.399820766884225,5.376925978361474,5.364361853000073,5.3492484244285015,5.33937471808712,5.33788508394651,5.335123116281289,5.336420830721509,5.344326496479746,5.352070682369125,5.362786418129089,5.378507589968276,5.395034849517694,5.413521698523566,5.435694477882047,5.459307606837372,5.4840499721301885,5.511442389345663,5.540605279761919,5.570257748715986,5.601718794381778,5.635157941227639,5.668558182716417,5.703125236176292,5.739721086933969,5.77587588010398,5.812912999734365,5.851534062368761,5.889607887796665,5.928673285853415,5.968284743962803,6.007589994516877,6.047815474556787,6.088082973805811,6.128064844350181,6.168847409731241,6.209403194298425,6.249620359432098,6.290474144106719,6.33103350273551,6.371136420526749,6.411678699653851,6.452008264266694,6.491712379906801,6.531716216144162,6.571538305978033,6.6106045956221,6.649902555561951,6.688961825446011,6.727189050308301,6.765645164857771,6.80372320434405,6.840939927432414,6.8784154509747895,6.915350142771768,6.951409317433401,6.987755652111331,7.023442313904835,7.0582244276217025,7.093318881811741,7.127671855951878,7.16112340998075,7.194886628990377,7.227872387617801,7.259986798091071
T16000logg2.8,11.525384762667041,11.165970538374122,10.854225996670964,10.491842355432984,10.177768925005147,9.90831253656092,9.594258109186232,9.321547218784449,9.09014298859491,8.819702527676334,8.584632149449636,8.387441684429565,8.156339861071116,7.955478221543667,7.789047792276692,7.593418127517491,7.423616944526293,7.284841408388971,7.121195468478132,6.979575183417477,6.865664401887449,6.730846658484081,6.614765116467184,6.523203476058269,6.414316266463163,6.321306202152153,6.249862780030277,6.164118671613749,6.091845004559325,6.037916419667254,5.973227570251243,5.919480569239246,5.880916092894989,5.835057512624974,5.797748336810259,5.772782459468128,5.743419873233407,5.720565071833846,5.707732758531025,5.692479868925133,5.68219628667835,5.680068275299032,5.6767364252859585,5.677236690587261,5.684178624263155,5.690997846805404,5.700588133845196,5.7150682228647405,5.730381454080975,5.747473064777466,5.768176463167861,5.7903482739116106,5.81348244943713,5.839225424903439,5.866775190580512,5.8946577396866395,5.924333945665998,5.956036022968419,5.987548993135397,6.020236707108019,6.055006272137804,6.089190346470322,6.12428783661078,6.161017926155104,6.197066685178987,6.234154123153553,6.27183895616974,6.309086752212052,6.347330210047454,6.38563471053336,6.4235419591827565,6.462364237752272,6.500921664394807,6.539056362832751,6.577972746671972,6.616508590016876,6.65452529272422,6.693146599250455,6.731441712182713,6.769059198077734,6.807150964383231,6.844940763818292,6.881925066098992,6.919316745945904,6.956359978766835,6.992516195612337,7.029071743170003,7.065160366010607,7.100323391456064,7.1359068292185945,7.170886916743278,7.204915572688944,7.239383060276374,7.273156481414934,7.305938953139009,7.339174434442224,7.37165885264379,7.40314607763623,7.43507416548437,7.466233662440913,7.496425049843057
