,vsini70,vsini80,vsini90,vsini100,vsini110,vsini120,vsini130,vsini140,vsini150,vsini160,vsini170,vsini180,vsini190,vsini200,vsini210,vsini220,vsini230,vsini240,vsini250,vsini260,vsini270,vsini280,vsini290,vsini300,vsini310,vsini320,vsini330
T15000logg2.0,7.56009921755676,6.326723871135169,5.277374315569283,4.429938996221609,3.764927914080254,3.2216368250076046,2.8094046155153123,2.5094172782192117,2.29117954209012,2.155142772922394,2.0863511857014228,2.0704576382647772,2.1019582881183094,2.170712909722725,2.270521521566659,2.3926144227756065,2.531307485318987,2.6850052134103564,2.8461588661715758,3.0130851500982647,3.186664639455842,3.3610127017019,3.5361655730012416,3.713615504578667,3.8884972912683593,4.062026245370843,4.235827603471573
T15000logg2.2,8.079132125937669,6.8873238854496694,5.862348864228222,5.024773965720676,4.356926497536659,3.7998635013011826,3.365666152317419,3.037278917856395,2.7841696824264477,2.609762704950028,2.500306532922048,2.4403725425990705,2.427228822206805,2.451232314510913,2.5046937945092203,2.5815122108201956,2.6761098915228625,2.785500115588705,2.904456198917673,3.031037799877034,3.1646346755970933,3.301396600731812,3.440838210245841,3.5831389026857474,3.7251884222986438,3.8676583550823835,4.010705587928813
T15000logg2.4,9.831607890675135,8.706665045993496,7.733415143430921,6.933356199319189,6.289934548549035,5.747064461333147,5.317783492780642,4.986184865229523,4.722571191819006,4.531914992798157,4.401495127530588,4.315654629965588,4.2735444689571125,4.266160217338669,4.285005887456105,4.3261419941705075,4.3842920520988535,4.455403137377984,4.53637484975943,4.62522709705874,4.720046138619855,4.819083229996261,4.92155349987055,5.026244501080661,5.132143234378245,5.239532170128319,5.3468304497225585
T15000logg2.6,12.072572097954684,11.083467347965716,10.224176245957311,9.515542140034247,8.943218497348045,8.457821877590172,8.07182902729179,7.771117826803703,7.5291051397157265,7.350879219617467,7.225147665141359,7.137519782554186,7.087889118730082,7.068281331395763,7.07048001343232,7.091833113050948,7.127681222887346,7.17361183082136,7.22801331715528,7.28913877363893,7.3542330428238,7.423239672497527,7.4953535997971485,7.568157088101569,7.642584345406327,7.718728816637455,7.79332833780657
T15000logg2.8,16.19155737810508,15.220667096696326,14.374609618861811,13.674536058045003,13.10628074196379,12.620831649420293,12.23111449253403,11.92320677902344,11.67033704249119,11.478624223321155,11.337018731752927,11.230519188713767,11.160286426328607,11.118439113322447,11.095881272648683,11.091521529578753,11.10061264448136,11.117589528516344,11.142601860251805,11.173693019308399,11.20680136924107,11.243878756921692,11.283787126060878,11.322614028797855,11.363569628923736,11.40636140434422,11.44585767155962
T16000logg2.0,8.867838255634043,7.53871515541333,6.426158371899368,5.544323902847977,4.866220483588207,4.325053590026183,3.9272682673782597,3.649597757623916,3.4597703161383007,3.355690176293231,3.3201562953476693,3.3389932074205495,3.404836710942866,3.506662249128486,3.6391576127757506,3.791920930368969,3.9589969243468888,4.139726980229132,4.325449843075962,4.514701620273018,4.709506141036027,4.902946992058969,5.095442932182436,5.289302627395755,5.478876181412536,5.66580960992252,5.852543990922904
T16000logg2.2,9.2556885669892,7.738478902219142,6.440998617344768,5.387856804731452,4.551793844458693,3.8563846762930343,3.3167883987053988,2.9089521765602413,2.5934808092312895,2.3752555949005183,2.235694405366472,2.154915010766784,2.1308288033996843,2.150698221845995,2.2046441617375505,2.286456125808052,2.388698435316957,2.5077489685228254,2.6381055284117854,2.77684079432089,2.923505210706553,3.073711109589019,3.2263410898464837,3.382197689458649,3.5374551711737334,3.692470843722301,3.8484473238289505
T16000logg2.4,10.124577466438595,8.729459650992705,7.525956140037631,6.540690462670862,5.75016878091693,5.084083492639283,4.559049780311026,4.153659465637084,3.830766461308868,3.5972105436758346,3.4362196434947108,3.3281957014690087,3.273141693381379,3.2593328347301234,3.276291388160374,3.3201422671804792,3.383938978697971,3.4631028780391944,3.554235757877364,3.6544014935771605,3.761869746631921,3.8742917543365847,3.990249561316907,4.109256538192199,4.229396718505113,4.350608914824031,4.4725388779132915
T16000logg2.6,12.209484182382633,10.906283192327455,9.77549527978213,8.84480074003251,8.09306422867863,7.4544178061792135,6.946107401278977,6.548216303309412,6.225179686880374,5.984936553978043,5.811837451791509,5.686529941338666,5.610484289972199,5.572666584048147,5.562152407267557,5.576907471874825,5.6102914413539,5.656865194757226,5.715085496264272,5.781993686047186,5.8546994472486515,5.932817651822271,6.01469434632766,6.098551853866037,6.184516545802686,6.272174815278609,6.359527682608761
T16000logg2.8,14.863165589336393,13.68571181418026,12.659493320009156,11.811962402384308,11.124472554073275,10.537537678608548,10.068154525758938,9.698082610166933,9.394617899294744,9.165914723734845,8.997553656061195,8.871336841356976,8.789429048820798,8.74159874417709,8.717172103951604,8.715265835020563,8.729661670307365,8.75454583643318,8.789728087588731,8.832358515293503,8.878749919755776,8.930106325721164,8.984671859775364,9.039548643731226,9.09672702644227,9.15554218077705,9.212450854218911
