,vsini70,vsini80,vsini90,vsini100,vsini110,vsini120,vsini130,vsini140,vsini150,vsini160,vsini170,vsini180,vsini190,vsini200,vsini210,vsini220,vsini230,vsini240,vsini250,vsini260,vsini270,vsini280,vsini290,vsini300,vsini310,vsini320,vsini330
T15000logg2.0,141132.90445265,119454.54582795728,100654.51339372645,85090.7215078129,72658.29523777806,62344.69638644415,54344.87352208443,48419.98166704602,44027.80611596451,41189.813789799366,39660.770293203066,39174.9100688751,39646.21966939443,40891.730590186744,42798.28909135673,45205.86530221982,47991.42699331642,51128.77501876219,54464.576491124506,57952.449427484615,61625.90958297746,65353.715781377476,69125.89856936688,72991.202948298,76825.12618165705,80642.90356365839,84500.62671493817
T15000logg2.2,151484.1816024687,131259.768931687,113515.73540754241,98622.36451650043,86497.36677062829,76185.41113556632,67927.22954985133,61532.71489208181,56475.048369173666,52839.96724876913,50421.9574165451,48939.5270571526,48370.108587459414,48550.754817061796,49337.630931165,50634.63722121827,52328.11016557719,54359.93453055503,56636.15525787817,59108.485651313036,61774.90011168571,64555.45421803792,67430.43466532913,70414.94323284556,73429.44631174412,76477.84718523212,79576.40793637648
T15000logg2.4,196838.67771510276,178219.72179711133,161792.80693627585,147916.0536072696,136504.08437708882,126661.60609253703,118637.32661488175,112263.53176472505,107035.83575178166,103071.00361076016,100190.55973608088,98110.20200496425,96850.51902117845,96267.72492911467,96199.8690374297,96603.49221337707,97376.23005993816,98434.11123104583,99738.11761246141,101241.86117390486,102910.91671106055,104719.38849962033,106642.06619818945,108657.71499279625,110741.77179251664,112889.78320458488,115071.62322722776
T15000logg2.6,260204.45925130002,244134.72011673718,229908.00985638495,217852.22963294364,207885.74397023564,199227.29997043306,192106.97921073122,186377.89290743464,181592.44374315388,177869.62415888137,175056.19061027953,172890.17778931174,171410.68181877545,170494.5395485154,169981.72907733356,169861.65684052018,170046.08494762867,170439.6465250769,171043.28301286337,171816.11328362423,172701.16124783646,173717.562018641,174839.3530464886,176013.38181231887,177267.5865029725,178592.80055085558,179914.5379535374
T15000logg2.8,369154.7694125794,353426.62824406795,339475.14987371064,327622.84615982615,317777.0158200851,309157.33065031347,301995.09182065784,296142.3426949501,291144.9309962621,287139.29391942424,283977.3492198674,281382.8753714318,279422.00206724694,277975.3505315793,276862.3272090028,276108.66007752036,275626.0626354208,275291.50685238594,275149.24223757134,275155.2441615659,275219.75115523994,275412.593037358,275701.103086836,275992.6965718356,276375.24275813927,276831.33376516856,277236.34184991143
T16000logg2.0,170016.47281066698,146775.8022643212,127045.08635708287,111110.55304518426,98727.95915772568,88786.13231470063,81406.60180694752,76254.44742642985,72763.55333011712,70884.42802115947,70321.21088905954,70822.97490440059,72252.22976373084,74408.81212398125,77207.66827592444,80445.05519027243,83992.78758499816,87850.55347569537,91832.7609151424,95899.31392814881,100111.72694773748,104313.71157096025,108505.42552901791,112756.66517862762,116924.22626812254,121033.51073541077,125162.96777728775
T16000logg2.2,160876.190403701,136039.3346375146,114477.4967093949,96608.01665168133,82220.66722961418,70120.45228106822,60577.63760439665,53298.111476608035,47636.1857209317,43677.403082007535,41140.17297003848,39689.59002195546,39293.030895979115,39740.60600456418,40868.12546895759,42559.47498609104,44673.55180235931,47152.920719090784,49884.87780074745,52809.25735213559,55936.59763372197,59167.3976254071,62476.128998723936,65895.90739714204,69324.21435762974,72763.11720989675,76254.60563607558
T16000logg2.4,183813.73113050495,161487.5406783851,141940.70898161604,125590.88765195281,112261.10790438828,100867.65882041713,91698.4368200517,84507.84593651243,78697.02221592228,74393.14245493013,71356.80062784301,69258.79943060986,68115.00534207231,67741.39134228449,67958.79207502688,68707.6198026381,69861.93013506211,71340.62754383731,73085.83780593796,75039.74532944236,77181.26615337048,79462.49100132247,81852.22711462202,84350.2953244313,86903.70192543982,89505.7077473733,92156.47386083515
T16000logg2.6,239137.63087876205,218595.61988540913,200526.06389502864,185341.02078074627,172874.4636136095,162117.06537747502,153357.26856831505,146369.703249366,140585.35026049305,136151.26972978783,132851.08875525952,130359.46332028894,128724.29177992721,127778.20009992269,127330.6346595929,127365.36724914428,127766.22112134163,128431.05221772727,129348.96983130358,130463.84471071315,131725.9283054063,133136.9929119016,134661.6673178526,136265.9797402134,137950.45984298503,139701.16366655755,141474.22219572365
T16000logg2.8,312058.1964215524,293805.5812477934,277703.03523049183,264142.58391151053,252967.75485941634,243274.98756983568,235338.78297799232,228950.71589088795,223592.78485059328,219413.34247278908,216215.7865861002,213695.51234415744,211915.1939709654,210722.82464736,209930.6086414167,209549.64575672563,209473.51454322485,209589.66897852204,209921.84907858283,210417.1788250198,211005.3505998517,211729.01943120637,212550.87642245882,213407.35334763624,214348.51895686754,215355.02827060982,216341.97494994773
