,vsini50,vsini52,vsini54,vsini56,vsini58,vsini60,vsini62,vsini64,vsini66,vsini68,vsini70,vsini72,vsini74,vsini76,vsini78,vsini80,vsini82,vsini84,vsini86,vsini88,vsini90,vsini92,vsini94,vsini96,vsini98,vsini100,vsini102,vsini104,vsini106,vsini108,vsini110,vsini112,vsini114,vsini116,vsini118,vsini120,vsini122,vsini124,vsini126,vsini128,vsini130,vsini132,vsini134,vsini136,vsini138,vsini140,vsini142,vsini144,vsini146,vsini148,vsini150,vsini152,vsini154,vsini156,vsini158,vsini160,vsini162,vsini164,vsini166,vsini168,vsini170,vsini172,vsini174,vsini176,vsini178,vsini180,vsini182,vsini184,vsini186,vsini188,vsini190,vsini192,vsini194,vsini196,vsini198,vsini200
T15000logg2.0,803.9332346679109,776.4315972762164,757.1480268171533,731.7426717397427,708.2433039328279,691.5087729140508,670.1524243536596,650.4668546264958,636.2754690540902,618.644448008897,602.4491673997984,590.6684224337006,576.371829686466,563.2956418830984,553.7317590370102,542.3688186128957,532.0368296406463,524.47092450163,515.6576877894291,507.71213142403377,501.91997295255015,495.30117411474754,489.41075303363885,485.17366877036284,480.42705480409523,476.2904652363248,473.4013751462364,470.2388035122046,467.5856389494974,465.8524445097441,464.0192407204975,462.6099538516979,461.85778237500574,461.1312654022591,460.7554777842773,460.827106826853,461.01308192090426,461.4866159557049,462.2416273746756,463.1707207519159,464.332488126106,465.6458794679229,467.17019908712655,468.8797528037753,470.6409931507011,472.6325153083955,474.7689909681988,476.8818383992869,479.23185449842964,481.69349051995835,484.07589948917155,486.6938921703136,489.39604725885937,491.97872555607086,494.7895343209089,497.6615277215794,500.38544342599664,503.3255925990954,506.3066786538319,509.119991212222,512.1338975200674,515.1700505104443,518.0258594786759,521.0635782999179,524.1057779000135,526.9610077632439,529.9772323568094,532.9809805194321,535.7962856318047,538.7503568209194,541.6760435203847,544.4163477756898,547.2729119544471,550.0869043946658,552.7225060415421,555.4529748473758
T15000logg2.2,1054.7747327524562,1018.7572350549989,993.2112177718691,959.3136144458139,927.449460494674,904.480276404238,874.9826743750792,847.3336689368795,827.1329168630733,801.8878524483123,778.273883560989,760.8309582588016,739.5323637933989,719.6464890118442,704.8311956250442,687.1020755601456,670.5821440385413,658.1993393338252,643.6427967324074,630.1131095063168,619.9371712839713,608.165067903253,597.2606003029753,589.0574064127707,579.7066801767944,571.0859923663128,564.6258060458648,557.3642393798093,550.7135332834034,545.777046738325,540.3034398239932,535.3367417512525,531.7177922626754,527.7601370638864,524.2182241315528,521.7251356663916,519.03923036703,516.6891928309218,515.1461646015031,513.5148447990348,512.1498736803213,511.39804687781896,510.62990214983466,510.0677762957559,509.96491314519295,509.8921225375936,509.97308461309757,510.39259919586993,510.8690169920941,511.45403820446626,512.2840822450469,513.1833923430956,514.1521261631103,515.2941939291644,516.5075266725314,517.7557547764171,519.1229849342924,520.5560738877255,521.9928266258103,523.5081536267483,525.0785414865636,526.6238763534265,528.2187269112154,529.8541907825851,531.4383592494931,533.0523510513274,534.6907990600524,536.2544129463912,537.8357995202399,539.4252776520027,540.919150771813,542.4249933441481,543.923030431146,545.3078047729664,546.7039554591877,548.0776210385557
T15000logg2.4,945.49409643951,916.0802003134377,895.1826100469987,867.4421998245358,841.3081816002132,822.4362385756452,798.2049681392344,775.441978755434,758.781981910354,737.9798484239692,718.4807533486393,704.0538688670783,686.4663248936694,670.0143078178728,657.7399699883168,643.087110763684,629.4121716116205,619.1509908164986,607.1286491594398,595.9419484305316,587.5238055893751,577.8280306509959,568.8423712453045,562.0846388715594,554.4254373823939,547.3666803091851,542.0855118941521,536.1932939788027,530.8054386724496,526.8219645052399,522.4490580381639,518.4956966899616,515.6392293987652,512.5595865735802,509.82419555159265,507.9341967842475,505.942993607202,504.2292757556047,503.1569953260959,502.0704451589786,501.20221521861095,500.8116091261324,500.4659082910104,500.2861524741711,500.453958402952,500.7040331167823,501.07380859683053,501.68925028839095,502.40761496846557,503.204914019459,504.16926998694913,505.2447101230533,506.36306008721573,507.58886489661074,508.92480060962913,510.2716099077429,511.6816186497605,513.1941478328469,514.6886722469974,516.2145611019198,517.8303286012124,519.4019222120486,520.9832583967554,522.6382621795036,524.2256714028836,525.8096197334935,527.4489651089672,529.0002759706497,530.541789157615,532.1197564128164,533.5922997496215,535.0542246561087,536.5340230445377,537.8944042591629,539.2477361216615,540.6018534756626
T15000logg2.6,741.3507070839831,719.5549083055797,704.132552680562,683.7643657339253,664.6855123141414,650.9677201871078,633.4557486811066,617.1031512430117,605.1933125849126,590.4225429225656,576.6689656561996,566.5530823291823,554.3212346847296,542.9692173561476,534.5639538959932,524.6304997927854,515.451910930846,508.6352541040365,500.7496007725112,493.50843840131427,488.1388351890783,482.05533991411585,476.52011604037995,472.4482985253452,467.9344831273643,463.8850764694812,460.9614426742437,457.8012845528266,455.03210196581523,453.11123149650064,451.10679319228456,449.42838494330374,448.3718782061952,447.3430128983427,446.5824018093588,446.2606119890803,446.0446574561881,446.04524689552215,446.33822345983566,446.7890218120575,447.41011197194723,448.20810654725904,449.19533352462247,450.3115923832237,451.51524307391077,452.92363747566316,454.42457068444577,455.9450718013265,457.6741163032748,459.4637057089568,461.2227747219109,463.18584457612326,465.18142800058786,467.11069483800446,469.2336660463878,471.3644186082035,473.40431508287276,475.623579385714,477.8283200101622,479.92658417754166,482.1869631811523,484.41248177928173,486.5230591995102,488.7764706408788,490.9764550293863,493.05888526288464,495.2637960471341,497.3986493898209,499.41809644428935,501.5394527369619,503.5762125138316,505.5036156831822,507.5129912478381,509.4258449156563,511.238458790557,513.1148602474201
T15000logg2.8,710.1282726937613,690.3156848238093,676.3437232793805,657.7004783492097,640.2944069434795,627.8160339936952,611.7291116945732,596.7540041147937,585.8756595985778,572.2574607855156,559.6152568774761,550.3382068584466,539.0204886154258,528.5476663727746,520.8092969168971,511.58682625792835,503.0897488327046,496.7906826787351,489.44601483189757,482.72068047501074,477.7413722996334,472.05857185188637,466.90186502695013,463.1131460284211,458.8849904208785,455.10105674509,452.3710548065716,449.40285121752544,446.80645616010867,445.0049375995732,443.11599839305865,441.5345578908459,440.5360990900331,439.56072575852704,438.8354917673713,438.5216201004901,438.30906800997406,438.29544254237106,438.55583329202074,438.96987244175887,439.537024543295,440.2699307547543,441.18814194964904,442.2187726839252,443.33150285063857,444.64517506618284,446.03547139214646,447.4447554881291,449.05860072599006,450.7178410732949,452.34983663540334,454.1813363361504,456.0309806009104,457.8207443525353,459.7988517586671,461.7711902877092,463.6618172690373,465.7254518323054,467.7619951764145,469.70348055955816,471.7997921300589,473.84976195402334,475.79808784935614,477.8813094919452,479.9008364063802,481.8175494332667,483.8484244603079,485.800195223193,487.65236473372414,489.5980992777751,491.45153746174213,493.2120548772217,495.0465326937392,496.77812106696865,498.426175782578,500.1306019257218
T15000logg3.0,597.251502627893,582.7385775436946,572.4537781273065,558.8624727387537,546.1128235781864,536.9318440889857,525.2240102304148,514.2784755004074,506.296891886983,496.42824218323943,487.23377636309135,480.4671097923836,472.32909752167876,464.7791502170317,459.19199741143353,452.64364459413946,446.60448976866985,442.13061483451395,437.0179052516565,432.3442548020099,428.8994222787395,425.06610655029465,421.60970782285943,419.0996142298464,416.3927568796034,414.0075735724349,412.3332739797374,410.6066104104197,409.1519142350567,408.21356277697186,407.32922377890964,406.67175699167655,406.37150921073965,406.2012051697088,406.2166976622206,406.4607374966735,406.88630286569185,407.46004968595287,408.1598175600457,409.0732818000588,410.100459415146,411.17342430773226,412.4768108599432,413.8624603969593,415.23268269917725,416.8382536426686,418.4976951327284,420.09641658705704,421.92663367393476,423.7852637319342,425.5510950884363,427.53841456444815,429.53141255140645,431.4101744411278,433.4961341384211,435.5673413543429,437.5113816764136,439.64550602715735,441.74634330579687,443.71380224423103,445.8524573179014,447.94094956160694,449.89516851574473,452.0007626573098,454.0408729209626,455.9500787099241,457.9906477131616,459.95217398279067,461.78951344603746,463.73875994354063,465.5973666937619,467.34110767321056,469.1785914358676,470.91622876290063,472.55026586580664,474.2620279320778
T16000logg2.0,820.7785085498284,792.1677515824043,772.36098693569,745.7651298185154,721.5051095837955,704.4447649322453,682.251188493209,662.0855560291693,647.7312425878663,629.5502644047501,613.0996655195353,601.2891660566827,586.6750754074501,573.5220975983399,564.0357610236969,552.5409771827241,542.2710929819884,534.8666473513529,526.0662378961598,518.2872687322503,512.7191796657504,506.2218164812608,500.5722784945813,496.60240620721294,492.05447785487866,488.20717465537575,485.61124254843037,482.6985821842341,480.3625599975229,478.93463171310486,477.3831059644545,476.30419489769685,475.859625530402,475.43356790068304,475.39271173477346,475.76892565599235,476.26689893083113,477.07586352771347,478.1306323188528,479.3791661832157,480.8754146087163,482.4841233909386,484.33306907850545,486.37641363925843,488.43029067995366,490.7508933781082,493.2223486987884,495.6280644536076,498.3127705668663,501.11415937509173,503.7937439759132,506.75538954382864,509.8073876388293,512.6967598022046,515.8649933373065,519.1027984090765,522.1483671271471,525.4644297012975,528.8323829019389,531.9869151165472,535.398747868842,538.8462649728048,542.0659457317324,545.5254829811589,549.0050741207759,552.2482028560489,555.7102291652734,559.1768884120786,562.4037285666167,565.8259196042403,569.2378436307888,572.4114578790785,575.7554985949207,579.0755204817259,582.1631041702035,585.3964281252147
T16000logg2.2,873.3884934208143,840.9543046913451,818.5008236278491,787.8313684704962,759.7967674373855,740.0630302138364,713.9769237774682,690.2111484962635,673.2560350686161,651.4503559424884,631.6450370342847,617.3679205390465,599.4370210822365,583.2067093668487,571.4212852545495,556.9276681888186,543.8652624434555,534.3438346447482,522.8548533573463,512.5608686541528,505.060592751285,496.16766651808365,488.2660522626148,482.54501457874403,475.87333670381196,470.019077735881,465.8456517913791,461.05781372841693,456.93997109476504,454.0981862714697,450.89497620072933,448.2372128239484,446.5296579456913,444.64850764249206,443.207429733935,442.4560706964424,441.6675361442054,441.22985967480935,441.27543228251216,441.3790482554847,441.75800234189995,442.4585478173203,443.27939849599653,444.31230982960477,445.5422346171012,446.9291538143388,448.47593780808904,450.125414036678,451.94983853089076,453.8918825502827,455.86638838924944,458.0209375081383,460.2588179728726,462.47754152385187,464.87233402384317,467.3219616301217,469.714966058042,472.27347391066905,474.8619457131975,477.36719953470975,480.0222361807945,482.68456828397353,485.24580645411095,487.9371450544037,490.6147180797347,493.1806240554178,495.8543116103689,498.4947093848729,501.0191222151443,503.6274083959362,506.18460110292006,508.6269729606328,511.1286522966351,513.5639324101992,515.8902767647144,518.2522822904375
T16000logg2.4,939.2166099569429,906.2817403589244,883.4149346033959,852.0419513419316,823.2139964723293,802.8549936486535,775.8354254996722,751.0819129214351,733.3549528914309,710.4745145321423,689.5653639330583,674.4241219167668,655.3436030224372,637.9517246785014,625.2520559713315,609.5815829341346,595.341766739211,584.8875296834971,572.2279693769506,560.7704678561371,552.3421357564054,542.3083677091721,533.2778351628189,526.6504135933735,518.883662499169,511.949154361692,506.9030507971808,501.076237540011,495.93541398434814,492.26246085864966,488.08140437885953,484.461670196809,481.9684325550402,479.1712349633527,476.82905513757726,475.3382171851043,473.69278728148174,472.41165047810426,471.76204060797227,471.06334109604023,470.6516510870776,470.6978795396946,470.7654902184314,471.05476996159035,471.66677916589117,472.34316267314256,473.1864978966706,474.24900421654996,475.39832164220155,476.66927994910793,478.08135126344416,479.5880485439039,481.1787330145411,482.85250682003164,484.61857594517005,486.4366957551609,488.2953379388647,490.2368451280435,492.2022077142374,494.17752056289737,496.22118426094363,498.2630499384569,500.29389003315873,502.3751896399003,504.43111506069,506.4628924058187,508.525296344082,510.5407631206891,512.5255218840556,514.5202458528063,516.4487084024565,518.3454889715496,520.2316334454039,522.0350606950286,523.8105360200891,525.5560671645425
T16000logg2.6,929.9711938791854,899.457738209661,878.216632712175,849.001917636874,822.0723801939012,802.9984213164178,777.63238381531,754.315763406479,737.5635966218798,715.906598209647,696.0445980817148,681.6096213013656,663.3976509340108,646.7330979076775,634.5148831944587,619.4270317836528,605.658015927623,595.501867832763,583.1991578399314,572.0105747754151,563.733912040351,553.8818550562918,544.9639769891002,538.373418926154,530.654474430353,523.7133812090696,518.6155507271038,512.7357254569057,507.49880340364297,503.7070369146075,499.39831275885894,495.61631072634134,492.95438106407977,489.9748390391487,487.422075923526,485.72608497552847,483.85867937459835,482.3322642718861,481.4514465073709,480.5025537846787,479.8212691759712,479.61823969800747,479.4160384116761,479.41910358831166,479.7697187315689,480.1629612659616,480.70892905470424,481.50203715979643,482.35901026103755,483.32476226556173,484.4618590280069,485.6692819285093,486.948709506707,488.3431876196302,489.8041713010444,491.305743080294,492.8812763639606,494.5123713047706,496.1563952578243,497.84515790930493,499.57360611952544,501.2900813471486,503.0315353640326,504.793772985339,506.52145892191305,508.26200678430575,510.0029197736413,511.68893299673454,513.3819667504138,515.0545628712134,516.6543313192512,518.2605305074082,519.8260285753628,521.3038281805227,522.7917956134866,524.2205723839334
