,vsini60,vsini62,vsini64,vsini66,vsini68,vsini70,vsini72,vsini74,vsini76,vsini78,vsini80,vsini82,vsini84,vsini86,vsini88,vsini90,vsini92,vsini94,vsini96,vsini98,vsini100,vsini102,vsini104,vsini106,vsini108,vsini110,vsini112,vsini114,vsini116,vsini118,vsini120,vsini122,vsini124,vsini126,vsini128,vsini130,vsini132,vsini134,vsini136,vsini138,vsini140,vsini142,vsini144,vsini146,vsini148,vsini150,vsini152,vsini154,vsini156,vsini158,vsini160,vsini162,vsini164,vsini166,vsini168,vsini170,vsini172,vsini174,vsini176,vsini178,vsini180,vsini182,vsini184,vsini186,vsini188,vsini190,vsini192,vsini194,vsini196,vsini198,vsini200,vsini202,vsini204,vsini206,vsini208,vsini210,vsini212,vsini214,vsini216,vsini218,vsini220,vsini222,vsini224,vsini226,vsini228,vsini230,vsini232,vsini234,vsini236,vsini238,vsini240,vsini242,vsini244,vsini246,vsini248,vsini250,vsini252,vsini254,vsini256,vsini258,vsini260
T15000logg2.8,339.70797018079634,317.20377725053623,296.32489129311466,281.2209820527343,262.3460563222808,244.90934456004487,232.18785696054573,216.65415331246632,202.37334823518833,191.9005860373274,179.37511067516706,167.93056928662455,159.52806914317858,149.67040398952892,140.73881929986868,134.20828243867882,126.68926024197772,119.9579179892014,115.09479869236682,109.6040895774765,104.77718340358322,101.37826642094018,97.62762745192414,94.42886388152608,92.29659883197219,90.02046094955384,88.19432474122667,87.14013935999586,86.09653420090956,85.40983438680021,85.25727602856611,85.22837948907376,85.47136298986226,86.05869130500113,86.8512209400491,87.83849895836269,89.02081907876178,90.46609934000656,92.03754556939755,93.68876798169882,95.64332106710152,97.6649077259651,99.67908240256175,102.02432904445693,104.38768405330316,106.67912246098031,109.32014480456624,111.94071862935934,114.44264620866288,117.30548231348462,120.1192766799093,122.78123272935446,125.80932449508448,128.76874138633016,131.55304525449333,134.70285856170648,137.7715139685625,140.64888469981648,143.88521167086893,147.03299772504266,149.97842167220136,153.27058448364366,156.46993124498744,159.45981479065046,162.77950330401387,166.00409482670415,169.0155592478478,172.33680664731205,175.56227980790462,178.57404575090445,181.87434082884857,185.07982714631027,188.07362501423637,191.335194105046,194.5045353881149,197.4661662840778,200.6765550945326,203.7985908624476,206.7182041524542,209.87003994878532,212.93830766197297,215.81025692027575,218.9005785669418,221.91247471799412,224.7345589529281,227.76340837130323,230.71877897586145,233.4910310936576,236.4598713126557,239.3596453177613,242.0831242811866,244.99349173684487,247.83861694060596,250.51440157417542,253.36707893904276,256.15789020763424,258.78650602216777,261.58134612056654,264.3175333398398,266.8988944949733,269.635049979061
T15000logg3.0,257.3877950196878,240.7598776393439,225.2995234384477,214.1022578121444,200.30743565211895,187.55118463543192,178.24766210495952,167.06637473729413,156.79447866743578,149.2812189489314,140.45714356481386,132.42218365152317,126.55977622667089,119.8300345379702,113.78081094897591,109.41369284208933,104.52310134397464,100.21515205777726,97.18171481833119,93.88826061543199,91.08882537374612,89.22751862954657,87.30535622482257,85.79619447215907,84.94933926842775,84.18954989236066,83.76751435188227,83.78355442573866,83.99419341444795,84.47248271721871,85.20858948711671,86.21573847999153,87.42530208575013,88.74984587160036,90.39834465566551,92.18917098752954,93.98377275189902,96.13759202146727,98.379457452502,100.54063241883816,103.08346409075725,105.66702634906164,108.10755718899455,110.94300026986488,113.7796535089424,116.42887891906847,119.47958719147194,122.50021064608552,125.30301584706535,128.50864214133895,131.66087549393495,134.57555732433858,137.88993101705512,141.13492661096316,144.13036338861647,147.51800288238655,150.82615339118772,153.87821081042063,157.31057106030073,160.6576166581817,163.74588535840638,167.19835171179656,170.56238202378793,173.66781491700465,177.11800719991186,180.47831657352128,183.58261922213723,187.01022887136884,190.34778336622884,193.4340646593229,196.82164746067969,200.12028742793132,203.17417984740052,206.5081993928808,209.75565851239926,212.76616390602302,216.03741948431684,219.22547855704255,222.18517817753968,225.3885440767346,228.51277220744063,231.41762743901427,234.55139901757198,237.61032522639613,240.45896652087336,243.52366653249328,246.51768449914357,249.31045317911745,252.30763308005743,255.23792423651616,257.97591553109953,260.9071234550375,263.7748368339236,266.4591505672925,269.3253980787183,272.13129695753435,274.76269540904207,277.5643619658393,280.3087152414254,282.8874791033523,285.6243656523771
T16000logg2.8,483.7602590816173,455.2784934316227,428.7709999190227,409.4999552534623,385.23213172891894,362.7287162412814,346.2078048242941,325.86630131248324,307.07360957348294,293.1792173109662,276.40763527479896,260.97935511737353,249.52579035905825,235.94562234963442,223.51922269839142,214.28865292120327,203.52259131408294,193.73770467592823,186.4971772148235,178.1811284669401,170.68997263950436,165.20246823883338,158.9930567603715,153.46742658623606,149.49995827483676,145.07947375911561,141.21515104428437,138.54477799135464,135.62395667115487,133.14412059213478,131.56296852540558,129.8829025778865,128.54006255248547,127.85872745003216,127.19113279449891,126.76788781806945,126.81764522083833,126.96436744274713,127.27344048587699,127.90766024373988,128.7000731360502,129.5842720937417,130.67926828630453,131.9773646123219,133.30864059580563,134.7635196878547,136.45432994860948,138.131945619605,139.8674394140953,141.8625345382903,143.80996584361418,145.7659570993174,147.9976344041229,150.1578155383008,152.28937471798787,154.7054667130348,157.03496429457687,159.30746674396772,161.86608257961893,164.3292573994526,166.71344788842316,169.3781965569828,171.9424982191589,174.41073965127504,177.14783125306496,179.78167578132857,182.30672131792093,185.0846049492289,187.7581848825855,190.314163123175,193.1049292605244,195.79207793398376,198.35620480647032,201.13718839250868,203.8169674493587,206.37094269677283,209.12560399708346,211.78286777539853,214.31343316116917,217.03122702577156,219.65640671418296,222.15525339896993,224.83096594882392,227.41919622503747,229.88226309948413,232.51458508004106,235.0642819569871,237.49051656370972,240.08027885122928,242.59152249572088,244.98143158130384,247.52981255324494,250.00288509941774,252.35719247131297,254.8644884307665,257.29908385626385,259.6180028289033,262.0833956658847,264.4785287192425,266.7616655392802,269.1835259773063
T16000logg3.0,427.950182046392,403.98304643068843,381.6217745153438,365.33391944089647,344.96080025934856,326.0256529900709,312.1037676580364,295.0852083897924,279.3323075553484,267.67524405498534,253.71419761798742,240.85400728409886,231.30703508599345,220.08598946618045,209.8131167127397,202.19264755038498,193.39328490722625,185.4022070538459,179.51018746821464,172.82359335391897,166.81776438357315,162.45137302059206,157.58470027195963,153.28253700843362,150.24094049584687,146.92137485088813,144.06025443294877,142.15003398893444,140.12787222813873,138.4674424497981,137.50712505491737,136.55757241723316,135.88182867469177,135.7052044308843,135.62903707126742,135.7472640147056,136.20553155399577,136.8290320210405,137.57642672126536,138.5398839133429,139.7149917416074,140.95312442720746,142.31229516682532,143.9160475104834,145.53225670391123,147.19794337121186,149.1313502519816,151.03730320392023,152.9396294683707,155.1254160439082,157.25421856427704,159.34032768504468,161.71951166705014,164.0214747571187,166.25199641554545,168.77932370131734,171.21674402108016,173.56132462712574,176.2003867159791,178.74224048913112,181.17513639507837,183.894291823555,186.51228164418882,189.00926988872857,191.77933683006552,194.44617897607606,196.9834683243964,199.7772359102334,202.4671662269648,205.02222612370187,207.81577476102785,210.5063520207872,213.0594729824564,215.83348888233346,218.5068059839803,221.04222569245263,223.782754080916,226.426041896654,228.93253091813835,231.63092257967793,234.2363282932532,236.70702276902125,239.3592002358026,241.92286717755792,244.35453561082676,246.95963409543165,249.4804363624553,251.87236421726612,254.43117210884498,256.9092710856538,259.2619404000131,261.7753952642882,264.21106606150704,266.52512301258145,268.99344808938736,271.3865206858241,273.66221603280417,276.0847536711882,278.43448611884355,280.6715640793328,283.0469172113943
T17000logg2.8,628.4099234375813,593.1619765302923,560.6033315781511,536.9807973246853,506.74948410554964,478.9141445007637,458.49434581124586,432.9576948381976,409.515436415871,392.1706454587987,370.91266853199966,351.4606935941861,336.98191964500063,319.5511480640942,303.6600394133112,291.7940850811282,277.73429174077387,264.97234350016043,255.44386793404823,244.31116876506857,234.2595584715662,226.78626854537583,218.16112628485294,210.42445561655285,204.72852707799,198.2237578610038,192.43746141685511,188.25455299707423,183.521073173314,179.35696653887845,176.4432596138187,173.1727702477789,170.34130621745777,168.47750100415186,166.40185460016613,164.65163240133853,163.64437672678343,162.53329897562048,161.64950649405415,161.33177888684997,160.9907704306206,160.79380435900268,161.02493128507737,161.29311884393763,161.6368609600607,162.301930615036,163.0499533058773,163.81941023535967,164.82783889286887,165.95479976008068,167.0628564668786,168.34606658055856,169.7756259950998,171.1579971237197,172.66520658950094,174.3391698222312,175.94714868639932,177.6394069008701,179.51076664416874,181.30428751549212,183.14876699075856,185.17645112620238,187.11874416026956,189.08441897373564,191.22986665917335,193.2849113618601,195.3409080072666,197.5675159487241,199.70078013290032,201.81733987123437,204.0921687937637,206.27295169196887,208.4235661999964,210.71949498299463,212.92280382347457,215.0858188406979,217.38247941137615,219.58967052275938,221.74899251782782,224.03288284407785,226.2316603887595,228.37688926332658,230.64072610005368,232.8242552164223,234.9499860232705,237.19118478983364,239.35654288614765,241.4610477865484,243.67972696262524,245.8261005177322,247.90961609949377,250.10641819067627,252.23336067073905,254.29637868375485,256.47092779051275,258.5773362957601,260.6196585720246,262.7702562142216,264.8542917406038,266.8749658837071,268.9990695899063
T17000logg3.0,621.0287832035663,589.0634687141517,559.3884207590885,537.7890497678721,510.29298137270024,484.8473334913414,466.1241405124004,442.8283797578112,421.3338530523698,405.38470366928976,385.93379583655934,368.0437592566761,354.6913945318819,338.69451853244226,324.0348114746093,313.0598098540649,300.1180924312297,288.3085508622611,279.4686722860292,269.1903462109962,259.8586536060067,252.90274400785694,244.91460982112145,237.70669044542706,232.3855328273606,226.3409459116123,220.92832517520202,217.0031519130328,212.58747743912937,208.67230300249275,205.92117675525327,202.8544449764244,200.17213518361012,198.39403547221423,196.43112122335916,194.75042869454097,193.7669803613997,192.69609374847224,191.8185310617385,191.47504961693613,191.1167251921225,190.87605494422561,191.04205581997718,191.24765961999083,191.50843091036128,192.07723028559542,192.72708482212312,193.38275522871874,194.27030764424836,195.2710817475589,196.24087500936494,197.3835431859015,198.66455858719593,199.88909666262245,201.24000848886618,202.7477636306741,204.18247850336863,205.70601419868757,207.39764035330785,209.00597606831167,210.6721409700267,212.51011598413834,214.25844737397688,216.03880997766123,217.98781392485944,219.84306637625565,221.70917503328215,223.7355497670554,225.66577480834326,227.5900710598397,229.6634369714226,231.64013139311592,233.59797542469988,235.69317029543691,237.69298630286465,239.66416950837683,241.76222249760934,243.76774333069324,245.73728109613631,247.82561987296555,249.82532208637053,251.78350468542786,253.8551795601167,255.84249062028857,257.7841395357321,259.8364003729598,261.80830858221583,263.73156365983516,265.7640652851858,267.71947135299195,269.6242240243106,271.6370410251369,273.5751322633429,275.4614855045194,277.45382848744043,279.37327118302596,281.2407794373966,283.21072738952074,285.10953243047385,286.9570826192697,288.901925513747
T18000logg2.8,646.9416497958114,609.394081732965,574.990521954222,550.1201130037686,517.9792853440083,488.6286572446658,467.1654891048167,440.09143260031243,415.4441690150969,397.257877866621,374.79971212306697,354.4204089707493,339.2870537353634,320.9481259187522,304.3669257023489,292.0103225924471,277.28427604309024,264.0256209309033,254.142783684601,242.53460478666557,232.1356365089254,224.4148156961384,215.45640667329744,207.48119362782433,201.61658258237404,194.8786683909822,188.92846514220784,184.63170971623407,179.7316303521109,175.45192917025003,172.46064861255383,169.06574574789872,166.14868626126955,164.2306709119719,162.05653603888408,160.23889229088692,159.1924273875985,157.99845549298362,157.05806638481272,156.710806146104,156.29594943860153,156.0485966621936,156.25626515248453,156.45554278664653,156.75204375675435,157.3970537181288,158.07864595091027,158.80226185854423,159.7922046534533,160.85438556694461,161.91732426065744,163.18251970324096,164.54912453390293,165.88718255891126,167.37645639450452,168.99010306847657,170.55524660721886,172.22987196664832,174.04453210055834,175.7974723652456,177.6250446346882,179.6002294509338,181.5046581699408,183.45445231074888,185.55169969844755,187.57176345077838,189.6130339129073,191.79552964227042,193.8967944452193,195.99991464314843,198.2345624730385,200.3864521143384,202.52501834398512,204.78452311291065,206.96208394541645,209.11450873439995,211.3784370762492,213.56311128783986,215.7134120477718,217.96825992737732,220.14775550974576,222.2856017006318,224.52400488731445,226.69132224539158,228.81136461171815,231.03064636276957,233.18272142471528,235.2834329635388,237.48377410251425,239.61978319496603,241.70175474849535,243.88399117406698,246.00357461622485,248.06764509117798,250.23150663143733,252.33359250431468,254.3797228770929,256.52348534841184,258.60620167710647,260.63346397923453,262.754494451064
T18000logg3.0,585.7337087056297,553.3771000678124,523.6017996567133,502.0320669108215,474.3742422306981,449.0129294531782,430.4382453798659,407.18986144550956,385.94472669553556,370.2545966419229,351.03185521722645,333.52960820559946,320.5314543365599,304.90766779518157,290.7413428121334,280.1943936939459,267.7300408009959,256.48324901743456,248.12008437090654,238.38151223292274,229.6457360785718,223.1890631571297,215.764268258023,209.15319142300396,204.32997198217475,198.8403115308194,194.00002151754975,190.55248074795946,186.66046270861312,183.27630588258472,180.96990823322858,178.38218976471825,176.18087056032635,174.80803644346727,173.27372653289893,172.02147857926147,171.4019323131504,170.70872785288353,170.20841505213963,170.18839381132543,170.1591269347569,170.24782617740433,170.69929367151448,171.18933279002124,171.73616816279673,172.5557795730088,173.45029381658873,174.35372806655155,175.461172337414,176.6721965897562,177.85681858320743,179.19246530281035,180.6548031363811,182.0664109829224,183.58738115777584,185.25274157452856,186.85186511120259,188.52663059491064,190.35709750624943,192.1119939575627,193.91444806625844,195.8766634700311,197.75766771278575,199.66266915110276,201.72466633453638,203.7020280826108,205.68394805909057,207.81486256991872,209.85944637928372,211.89312633140713,214.06492750286566,216.15058735933775,218.21340599357282,220.40294396638447,222.50833717114125,224.58180194354094,226.7719113445999,228.88128131073904,230.9518390397469,233.13142108390784,235.23448871453633,237.29353421579495,239.45674627916338,241.54778662904374,243.59095921151652,245.73577557947834,247.81225217768633,249.83822203931672,251.9646365347418,254.02557505931637,256.03446105003826,258.142619263045,260.1871773968629,262.179128766149,264.2681794684633,266.2948860701912,268.2693395671607,270.33722458066717,272.34386973932067,274.29947914018135,276.34328880906867
T19000logg2.8,519.0694836666178,484.9163562066202,453.962070449685,431.75270360428567,402.9377038123021,376.9329495793179,358.0698529253342,334.22994311518437,312.80762042635394,297.1447062945548,277.80921574270207,260.5168763937119,247.814297418045,232.4629202336515,218.80982155740838,208.77228489774956,196.87046859105288,186.35700657994724,178.65996370853642,169.68345535297794,161.82336882867838,156.13414700966183,149.58994945351668,143.9292751038294,139.92560790774883,135.3688612652516,131.50034122736923,128.8851739874992,125.9297302743687,123.50131754358608,122.01249399992534,120.33370432106952,119.04948691687245,118.46278806397322,117.79267301931836,117.40784950466374,117.53493492696357,117.65402911280799,117.96803984645234,118.65269577084332,119.38289482449841,120.23393619198195,121.34891077390652,122.54794153675687,123.80830343277735,125.25248103206567,126.80957462051947,128.38190435966197,130.07786245098958,131.90989636737635,133.72329382865763,135.61451351520293,137.66131139755078,139.66602692046257,141.7127176762461,143.9304784341487,146.09070932124675,148.26393198576315,150.61812346179838,152.90493271537963,155.1807112125367,157.6405978184766,160.02667414640976,162.38171046323785,164.91728236471155,167.37489578324085,169.78532809758195,172.36757557560392,174.86984809750012,177.31248973985686,179.91541417547427,182.43856892902608,184.89285071104223,187.4954028823244,190.02041176823042,192.46984224457012,195.0569849263378,197.57034247147436,200.00332504112538,202.56611660848992,205.05963894413327,207.469455594183,210.00410602160437,212.47390204364245,214.85794812939577,217.3641555980562,219.80908938471111,222.16749444922306,224.64651776009046,227.06666172676137,229.400728320893,231.85367071495315,234.24897923131385,236.5597010450916,238.98636791303062,241.35590892197015,243.64323409402613,246.0420396224606,248.38402193916303,250.64692689899448,253.01538809086628
T19000logg3.0,568.0319368909728,534.639292811079,504.34895766318033,482.62252020327406,454.21893804113796,428.5552001244555,409.9370933992429,386.2145291979837,364.8627896344324,349.24030414921697,329.7833357633539,312.34311638072955,299.51166421927127,283.85275929197695,269.8824917396986,259.5818761559912,247.23517579700328,236.28022880248463,228.2193074208209,218.70366653561103,210.3173627019142,204.193854290766,197.05289151463896,190.81455796694908,186.33242492393967,181.15039836635134,176.67909328669316,173.56250964602577,169.9747082232601,166.93756657776333,164.94017694424835,162.63608871491834,160.7498607905519,159.65818062032258,158.37803750287713,157.40544818218405,157.03776777400657,156.5662416461152,156.31058918837056,156.51426783944675,156.6746491666309,156.97559780997733,157.6248842328772,158.27494733776743,159.0049224751272,159.9989289202906,161.0272828887069,162.08844802250312,163.34931132883247,164.67210521844862,165.99267324114442,167.4630179780295,169.0192299942598,170.54850590841951,172.18773059885837,173.93297049095665,175.63455881720404,177.41338302999654,179.31279171650516,181.15763609634092,183.05225123455784,185.07490619325725,187.0356690398068,189.02309392658867,191.13867387853355,193.1875387453601,195.24409182685585,197.42301923224582,199.53261354850278,201.63484277774555,203.85021131926075,205.9959343217385,208.12263415682628,210.35242826689824,212.51424245548316,214.64802629207975,216.87617610580415,219.03944438036973,221.16765785148073,223.38415595216125,225.53951334586017,227.6543009185256,229.85425802034106,231.99666690405735,234.09433948176942,236.27643686501315,238.4038008836629,240.4836022226713,242.64831270968403,244.75996981763547,246.8225256591967,248.9702603612537,251.06552596176948,253.11127404106588,255.24124120884713,257.3186971762016,259.3471993009404,261.4573652698947,263.5148386394156,265.52480582991546,267.61230187043265
