,vsini70,vsini80,vsini90,vsini100,vsini110,vsini120,vsini130,vsini140,vsini150,vsini160,vsini170,vsini180,vsini190,vsini200,vsini210,vsini220,vsini230,vsini240,vsini250,vsini260,vsini270,vsini280,vsini290,vsini300,vsini310,vsini320,vsini330
T15000logg2.0,904.0623345680067,808.6852469705634,728.226992401189,660.0464381560462,607.8450398995112,567.2373382357147,536.2196145182711,515.3336460448826,501.9987821849896,494.5898977892965,492.5353132349732,494.46510488534324,499.3010422347254,506.47686930467904,515.4201709720855,525.6009597684135,536.6598479880657,548.417917970082,560.7262001058283,573.3401966425498,586.2703741982472,599.5543660607108,612.9595504694571,626.5717176109595,640.4712795556629,654.3635545061321,668.3192757517008
T15000logg2.2,1210.0841029268583,1116.5133957372568,1036.075242356847,966.1186092064119,910.5832397150593,865.1565771032133,827.8381908281036,799.7667080890714,778.2915038487039,761.7817880345792,750.3229941049448,742.3483230413071,736.7452894451266,733.5221883058165,731.814346284725,731.0530523220893,731.3685492909086,732.2721016142671,733.6165346616198,735.5638288612653,737.8151632371284,740.4277514644075,743.4884594487032,746.7860473454682,750.4483683420701,754.4430993424667,758.5616317492877
T15000logg2.4,1493.4116236886912,1418.3046547475055,1353.4188843649556,1296.6363552185628,1251.1889120949172,1213.6085307519943,1182.2267868187328,1158.082017723031,1138.996932617092,1123.5504590904038,1111.9675548388004,1102.892606054339,1095.3124586611225,1089.4447482150074,1084.4938145501226,1079.907158419906,1076.0469417977424,1072.396781028051,1068.8234283818415,1065.704813437587,1062.663857975108,1059.7582680683654,1057.2602223778629,1054.849545845148,1052.6391454402158,1050.7632848831006,1048.9006767185374
T15000logg2.6,1610.387508145892,1549.7273120109926,1497.3839719843386,1451.5330300750552,1414.849923002353,1384.5121445335496,1359.14160830585,1339.5827965148635,1324.0411293447848,1311.3333017445766,1301.634012673504,1293.8056802095055,1286.9989974154355,1281.4416891316093,1276.429493850227,1271.5267154222126,1267.1021937292114,1262.6823977385861,1258.1752118980346,1253.976890500702,1249.7248611079283,1245.4856633763889,1241.5636503834992,1237.6312829351546,1233.7866571749203,1230.2031080729598,1226.5437295921574
T15000logg2.8,1962.951488192242,1906.626630260395,1857.9641280633518,1815.2412970634407,1780.9702800887803,1752.5025369205582,1728.503828640597,1709.7923862711575,1694.6567269998766,1681.9047757527323,1671.7657942886447,1663.116422063037,1655.0860923261157,1648.0242003513727,1641.203033385602,1634.1623022788517,1627.407570618913,1620.4180277317969,1613.0963125311396,1605.9807741883617,1598.6514345726032,1591.1706024828404,1583.9683449216357,1576.6437834617752,1569.2832377725606,1562.1697779408544,1554.8839943729456
T15000logg3.0,2162.535787905749,2119.7318272276943,2082.712740697823,2050.2270081568186,2024.2017818030245,2002.640173710116,1984.49616090476,1970.382204018379,1958.979944852119,1949.3007674911196,1941.5272943981026,1934.774911836289,1928.283554786683,1922.3782291571583,1916.4605207269274,1910.1040973010931,1903.7928477091764,1897.0671571005041,1889.8231760738493,1882.5909847124578,1874.9842358114047,1867.054764132527,1859.2443056217141,1851.167203094646,1842.900374618581,1834.7528425043654,1826.3115085740849
T16000logg2.0,901.6157372520994,804.2376055705206,723.8690442665024,657.4791688877477,608.5499282650818,572.5180752607191,547.0798401799675,532.3074829687679,525.6308692194796,525.2472633136239,530.1640197721682,539.1628824667631,551.1086068322063,565.1253606421094,580.8599792475818,597.7543040951158,615.2184359902748,633.2588270630126,651.7092114814324,670.1392847816913,688.7075702902722,707.4577183520024,726.028934184351,744.6350045868819,763.3828882918249,781.8831760610391,800.3188518418453
T16000logg2.2,897.4113797869381,801.7784360600203,721.5388179415532,653.4475150734286,601.3990259805353,560.9516735506882,529.7206723631924,508.5022039469491,494.6620262617026,486.3032188148987,483.1035350373981,483.6441798257919,486.7133508693351,491.98445469445755,498.8669454655409,506.7550506425838,515.4892074823625,524.8416980272139,534.6359472638885,544.7609258168104,555.1550358571933,565.8609694585318,576.7393366767911,587.7962123064567,599.1524060018365,610.5779792900978,622.0564480882339
T16000logg2.4,1121.01325173046,1035.1944905128298,962.4731541789091,900.0766325081265,851.4358200964725,812.557093093567,781.3657718370887,758.767894703697,742.3538859443389,730.4147024745663,722.9446340873696,718.5610410222132,716.1161128133845,715.6100859273117,716.3737728645833,717.7875037018534,720.0003487317034,722.6576364967494,725.55639257975,728.8650980814368,732.3722437690038,736.0869739973203,740.1083030042378,744.2875601976652,748.711545143965,753.3592973322758,758.0670895580739
T16000logg2.6,1412.1405795862106,1336.6941363748545,1272.488469018333,1216.7359406323465,1172.8807812627774,1137.3917690082128,1108.134559180993,1086.2905737326446,1069.684349609243,1056.5565297964588,1047.2527541484324,1040.46744930456,1034.973647649576,1031.1006045693653,1028.147318152154,1025.3980939926257,1023.2999435713696,1021.4167822498218,1019.4694396126627,1017.8958129252381,1016.3833140678951,1014.8727223142758,1013.6967806064702,1012.5926456191257,1011.5826987175758,1010.8526535062416,1010.1261096283769
