,vsini70,vsini80,vsini90,vsini100,vsini110,vsini120,vsini130,vsini140,vsini150,vsini160,vsini170,vsini180,vsini190,vsini200,vsini210,vsini220,vsini230,vsini240,vsini250,vsini260,vsini270,vsini280,vsini290,vsini300,vsini310,vsini320,vsini330
T15000logg2.0,2892481.823421774,2505176.8482378796,2179401.4814075707,1901935.7591991653,1689823.4650538284,1524791.2927740952,1398065.2417881426,1312450.9140654937,1257277.0773759284,1226260.3203232284,1217008.4610608695,1223821.8213665863,1242773.8995428027,1271187.8537317035,1306679.9010760486,1347478.1199667165,1391757.8208937244,1438845.0937155047,1488385.3182738703,1539072.1000153252,1591041.0907550612,1644662.6262360937,1698716.4540331399,1753653.079960884,1809973.3275793681,1866201.2389053472,1922714.7921864311
T15000logg2.2,4161290.1806415026,3780721.7922839564,3454295.556867815,3168490.922587058,2941950.9029391715,2756713.0075735673,2603694.8546175915,2488470.3686167765,2400091.05223757,2332021.643298476,2284750.2747575534,2251797.0053813285,2228895.0813108203,2215837.0448559057,2209089.710024488,2206518.7094210275,2208383.019958908,2212805.79461239,2219240.612683833,2228119.3954638806,2238379.09426697,2250278.899586017,2263983.6124134767,2278801.58328274,2295255.8275580225,2313015.6591540333,2331388.079725792
T15000logg2.4,5257462.6912504705,4947875.2464651335,4681157.205180573,4446505.722662069,4259134.172116518,4104409.2766246684,3974782.8547547227,3875164.3187960736,3796444.43972273,3732899.824148095,3685493.453206174,3648576.6893931134,3618224.8260330427,3595094.648756314,3575911.354094033,3558583.5942141716,3544329.3569310447,3531169.359312871,3518561.3007219154,3507843.096816185,3497646.1876772013,3488172.3780248784,3480371.069461481,3473122.2199683404,3466834.065608448,3461889.0846085367,3457149.6785721523
T15000logg2.6,5689260.623229871,5437605.838431258,5221477.5875459025,5031542.2414328,4880278.3344922075,4755670.366904569,4651496.000827845,4571613.5845044255,4508474.455036383,4457329.858727027,4418788.45638489,4388111.123714306,4362033.844835477,4341181.4758736985,4322724.135846386,4305005.838694995,4289265.941563014,4273724.725096183,4258013.9517431855,4243542.734556829,4229010.3030388225,4214672.800405799,4201608.981676516,4188669.5661340565,4176221.789610053,4164807.715508123,4153224.6533763157
T15000logg2.8,7086593.109327635,6851357.968951178,6649187.906568138,6471192.186936659,6329136.138887764,6211678.40597596,6112761.2038662685,6036145.553819452,5974605.97050753,5923300.309277513,5883092.56362744,5849306.57223767,5818524.434994947,5791905.698635336,5766532.82511767,5740586.392536581,5715896.582707062,5690498.509015223,5663944.281597968,5638251.049534249,5611887.88089653,5585046.442011606,5559344.964374464,5533342.712573063,5507322.017713857,5482296.2739964435,5456738.332146512
T15000logg3.0,7883827.647026365,7704780.649165906,7550836.293771693,7415519.925652637,7307775.280568376,7219039.463587431,7144641.217888314,7087316.676658953,7041494.965491924,7003209.143512503,6973065.933851364,6947389.822390377,6923225.425953318,6901627.543846524,6880222.409652316,6857338.043874039,6834717.810129402,6810653.965185227,6784675.0518470695,6758769.017793447,6731544.182091912,6703145.565801926,6675244.217672614,6646461.960922157,6617032.989467795,6588088.26159665,6558126.959088409
T16000logg2.0,2843484.252959974,2450769.861169689,2127247.9395222585,1858187.6381663342,1659686.9903207715,1512834.9369484144,1407861.1105931106,1345694.8489375752,1315727.4863046575,1311217.521924297,1328058.2191629133,1361111.7989248543,1406473.3393891132,1460180.1986314189,1520639.0637416062,1586219.6211996237,1654087.4037655992,1724248.8387533687,1796442.824591078,1868530.2880582782,1941207.9427933712,2014972.9574916526,2088018.4158157883,2161287.1523015527,2235456.4626094494,2308609.386946654,2381558.346032238
T16000logg2.2,2923096.113653761,2540032.0585648934,2219214.3606495764,1944859.5581569825,1735172.0113830485,1571931.0935885091,1444785.198621056,1357815.8388614377,1300296.214469425,1264912.7809604183,1250412.6073389784,1250970.993625546,1262157.7898413783,1282331.084671835,1309001.9535418884,1340125.074617464,1374693.335214529,1411804.4938732684,1450982.7053267802,1491474.2372211001,1533111.550629732,1576249.271186042,1620071.8819541053,1664706.5674388197,1710769.6251583637,1757082.911813384,1803676.8406030359
T16000logg2.4,3813030.5672209132,3465969.3639186067,3172467.715641663,2918681.4964034837,2721013.8513535624,2562921.2226073495,2435160.062369696,2342288.8951053047,2274403.850619977,2224769.507625212,2193451.8706298927,2174747.458395115,2164341.921682977,2161972.4034004416,2164830.073133358,2170720.211005328,2179930.655197512,2191067.197759221,2203462.540757817,2217536.969705804,2232538.5967484303,2248603.306223039,2265920.9693249925,2284015.9064647257,2303296.0946189417,2323464.929025108,2343980.2857769337
T16000logg2.6,4966804.714897071,4658185.466904474,4396062.097343419,4166804.096484377,3986657.8985541877,3840837.445609765,3719937.275284423,3629510.5523836105,3560518.5564964768,3505981.3830567235,3467327.310454903,3439126.9589635115,3416703.0993253114,3401109.1264761514,3389413.839940435,3378992.9637398403,3371339.061998999,3364755.8585535386,3358214.7882547677,3353236.832651707,3348686.4138767724,3344368.913472787,3341435.932927624,3338976.750359909,3337091.5686123287,3336336.6630228893,3335740.024463538
