,vsini100,vsini102,vsini104,vsini106,vsini108,vsini110,vsini112,vsini114,vsini116,vsini118,vsini120,vsini122,vsini124,vsini126,vsini128,vsini130,vsini132,vsini134,vsini136,vsini138,vsini140,vsini142,vsini144,vsini146,vsini148,vsini150,vsini152,vsini154,vsini156,vsini158,vsini160,vsini162,vsini164,vsini166,vsini168,vsini170,vsini172,vsini174,vsini176,vsini178,vsini180,vsini182,vsini184,vsini186,vsini188,vsini190,vsini192,vsini194,vsini196,vsini198,vsini200,vsini202,vsini204,vsini206,vsini208,vsini210,vsini212,vsini214,vsini216,vsini218,vsini220,vsini222,vsini224,vsini226,vsini228,vsini230,vsini232,vsini234,vsini236,vsini238,vsini240,vsini242,vsini244,vsini246,vsini248,vsini250
T15000logg2.0,1143.1259578631627,1130.988851169826,1114.6533665204113,1099.8176646234258,1088.6008253866655,1073.6812576955629,1060.1279604483964,1049.8011572278042,1036.2104935070995,1023.8634940828591,1014.3910620629447,1002.0442034672512,990.829126608767,982.1729386404262,970.9887411342522,960.8340597336668,952.9547482247779,942.8554745845447,933.6914111229653,926.5478836427583,917.4573273718912,909.2142047245804,902.7627741502722,894.6046600281231,887.2117740610425,881.4056753456443,874.1031451961138,867.4887971775346,862.2786101668714,855.7547413972521,849.8470684948958,845.1817281186593,839.3607767901901,834.0893859149022,829.9177764419177,824.7271369483451,820.0249960525061,816.2976879366091,811.6695862606501,807.4747044731,804.1455515588752,800.0186630017663,796.2756858750599,793.3033041438242,789.62397077628,786.285157618795,783.6338671721635,780.3564665680052,777.3818715776582,775.0219714812489,772.1086640646495,769.4657332349143,767.3732413231944,764.7931016509792,762.4555303318924,760.611251952545,758.3386281171248,756.2844441367987,754.6723206848892,752.6845878500719,750.8937049792696,749.4987397996349,747.7738966206568,746.2259600984919,745.0325351280832,743.547905073419,742.2215442170585,741.212877530577,739.9450335704199,738.8181298476127,737.9764946002639,736.9017544762758,735.9519730399387,735.2591301929244,734.354046621552,733.5593983166139
T15000logg2.2,1936.4346085725842,1923.5854446757817,1905.9724839466405,1889.8985140506331,1877.7416009899293,1861.2661691420028,1846.2157280683248,1834.733851359451,1819.3319918379125,1805.2495413075346,1794.420552163777,1780.02864898203,1766.8587637317494,1756.657444965751,1743.2134547417104,1730.9013007906738,1721.29993285632,1708.7429768307088,1697.2337545306123,1688.201946374485,1676.4712581521533,1665.7092015950184,1657.2134658683826,1646.24750088684,1636.175486923791,1628.179322946566,1617.915763943616,1608.475632686022,1600.9401226848972,1591.3163704826275,1582.449779146691,1575.3345721965143,1566.2890413180899,1557.9389468324127,1551.2036728846263,1542.6772280213315,1534.7893227652326,1528.3949698457432,1520.3324508695905,1512.8566918846473,1506.767010776582,1499.118601171965,1492.0104906095644,1486.1932127048397,1478.9156382845242,1472.1373270761865,1466.56518025095,1459.6222323090665,1453.142757010549,1447.7937439629409,1441.1561108453386,1434.9511668394894,1429.8084816667806,1423.4532430630195,1417.5044436265139,1412.5558690878934,1406.4651889246961,1400.7584716710767,1395.9950024912398,1390.1540544287484,1384.6772519778747,1380.0909474529612,1374.4852181710783,1369.2252762983182,1364.8069902503432,1359.4202026020705,1354.3617407293566,1350.1000574794027,1344.9137205171398,1340.0392177183398,1335.9205790955305,1330.9147125060115,1326.2053175529636,1322.2146555993027,1317.368543484948,1312.8048510663873
T15000logg2.4,2596.4651723454463,2585.113233285704,2569.403618954694,2555.0181417275244,2544.13996995054,2529.2502542793086,2515.5966211320083,2505.177994841174,2491.057629264195,2478.091461062103,2468.11398449886,2454.7119942785735,2442.3883999633244,2432.8308198238274,2420.096823643772,2408.370762151605,2399.2094309928607,2387.0936740274437,2375.9202065171235,2367.1294729656834,2355.582870316183,2344.9169036228436,2336.469165578986,2325.4426156761606,2315.238524368839,2307.104242052862,2296.548524358697,2286.760429892671,2278.9086568695684,2268.7750543941584,2259.3577489191457,2251.7571046161825,2241.998506885626,2232.908544137458,2225.5283041711064,2216.100085941139,2207.296765004338,2200.107828299182,2190.9691906517255,2182.416007323734,2175.392228303352,2166.5073804659123,2158.172880925729,2151.29187689066,2142.630662028517,2134.4892642340064,2127.7331945118963,2119.2717151942643,2111.303846997602,2104.6595738232477,2096.379768413606,2088.571487093966,2082.0303221116305,2073.9192482769768,2066.2611633328484,2059.817966458909,2051.8663502830973,2044.3520998875479,2038.0039591378766,2030.2043935972756,2022.8284881331288,2016.5728408189843,2008.9175387865187,2001.673228451645,1995.50612312312,1987.9854194454397,1980.86374507767,1974.7790903036353,1967.3811758505701,1960.3709572528285,1954.3604557186445,1947.071724196814,1940.1602080539174,1934.2138801351405,1927.019727240598,1920.1932918383966
T15000logg2.6,2899.155120600028,2889.224206224311,2875.4013375547197,2862.717200713853,2853.1321776891145,2839.9334100912506,2827.8025274366437,2818.5512122431555,2805.9347571366857,2794.3204525240467,2785.3872330930935,2773.3111001865195,2762.1760731340128,2753.5428364503136,2741.9651617816253,2731.2718705145016,2722.9184570552015,2711.797847924789,2701.5085028118583,2693.4128692148934,2682.7079869334325,2672.7845227535813,2664.9229204234175,2654.59269975479,2644.99686482453,2637.3441710502498,2627.347730787889,2618.0414405697165,2610.571669713039,2600.868895673131,2591.8149008617024,2584.5019611500825,2575.054300352346,2566.2172077014156,2559.0358966134445,2549.8075055340328,2541.154779462746,2534.081760363514,2525.0402305162797,2516.543079465885,2509.557733357947,2500.675284943972,2492.309762666385,2485.395200860244,2476.649340074624,2468.3968863049486,2461.5404763437814,2452.9142733411095,2444.761672374684,2437.9550257357214,2429.436508730889,2421.375259791559,2414.6137547469566,2406.1952275662284,2398.2205837366587,2391.5025312975135,2383.1790300138355,2375.288151668811,2368.6131826573537,2360.380505200592,2352.570491268579,2345.9379320568028,2337.7909401424404,2330.057416559218,2323.465117619572,2315.3969459655927,2307.733667633187,2301.177635192787,2293.179659480801,2285.578511123157,2279.0528723518905,2271.1148197861676,2263.5662024593503,2257.0635236267763,2249.1740744629105,2241.66751436345
T15000logg2.8,3506.658568973425,3496.998751454919,3483.478638282106,3471.0523615886605,3461.6652450331785,3448.6664360574077,3436.6973208790796,3427.5702310218353,3415.0529463781227,3403.5056953040416,3394.622566147533,3382.5464646896444,3371.3849506069723,3362.727225334028,3351.0516808394123,3340.2390774268097,3331.785990203305,3320.47067807401,3309.9701557661756,3301.699390842767,3290.704490750811,3280.4791024454075,3272.3669034004283,3261.65272590316,3251.6655087189242,3243.6869954618464,3233.2146703246226,3223.4296172497766,3215.5597605081202,3205.291972411565,3195.6744865073674,3187.8886970837893,3177.7901715356406,3168.3081078196883,3160.583280201364,3150.622000309011,3141.2466290716366,3133.5620425372776,3123.7100940936443,3114.4170872559216,3106.755371618727,3096.989873496957,3087.7600648724756,3080.107874096864,3070.4112764115816,3061.2308081088127,3053.579123817688,3043.9393375134973,3034.7997883132757,3027.1440173236474,3017.553896560259,3008.4512501629565,3000.7902962065095,2991.2463627784537,2982.1798226135124,2974.515120297229,2965.0160178243887,2955.985864568801,2948.3195325622282,2938.863697960457,2929.86938079108,2922.2026648425817,2912.7873145717294,2903.826795291862,2896.1595029134514,2886.7800349807976,2877.8489629175665,2870.178688159668,2860.8280918926366,2851.920051466805,2844.2423513674194,2834.912024230405,2826.0190246568795,2818.3277664739267,2809.007848948024,2800.1208554157474
T15000logg3.0,3903.92599261536,3895.77058052166,3884.281436799562,3873.694556864197,3865.6871352406733,3854.527931373837,3844.225329525648,3836.358013182512,3825.5013647245314,3815.4581314369702,3807.719716772449,3797.1361324096224,3787.3255069545485,3779.702024350506,3769.36130064243,3759.755610208065,3752.2310954865156,3742.1026202295034,3732.6733965721965,3725.230111753245,3715.282837708253,3706.000887621753,3698.619557228688,3688.8221888819908,3679.658256709458,3672.3187354835813,3662.6408805906567,3653.5666872128522,3646.2489154228797,3636.6614227076316,3627.6499060827905,3620.33429296464,3610.809909453316,3601.836452560014,3594.505032494286,3585.0197061744548,3576.062891805786,3568.7000659046835,3559.233335572933,3550.2756982692617,3542.8689232861825,3533.4045124406935,3524.432675182075,3516.9727106597406,3507.498643948233,3498.5040046257564,3490.9855374567915,3481.495053774727,3472.4738938478686,3464.895589353836,3455.3860989431605,3446.33836122028,3438.7018321384435,3429.1734370989907,3420.10108349657,3412.4094957076604,3402.8633186626175,3393.7687200624596,3386.0255008171143,3376.4623547751225,3367.346986307211,3359.554663229873,3349.9738582460895,3340.8375026692615,3332.997020643839,3323.3962181984266,3314.236929955975,3306.347615166828,3296.7228131722177,3287.536882812788,3279.596325164438,3269.941745347882,3260.7239139943713,3252.7281347140497,3243.037091750796,3233.7814120610115
T16000logg2.0,909.3320337784653,898.0211627353037,882.9533605826982,869.3817606576755,859.1160392490463,845.6058121837741,833.4415004800633,824.1745791850375,812.1110676894539,801.2566286164191,792.9372017896524,782.2137013540283,772.5759651179171,765.15178350377,755.6691423495146,747.1612306620216,740.5810542027109,732.2470394698978,724.7866414948905,718.9993358030437,711.7254706055346,705.2319524478969,700.1847986251411,693.883745905692,688.2764187106925,683.9143358468829,678.4990265336947,673.6969789901375,669.9628384602017,665.3469321403852,661.2699565590854,658.1056498896454,654.204982597261,650.7752258771831,648.1232427485979,644.8577042468644,642.001533034471,639.8066969727925,637.1020812586996,634.7518239619475,632.9628981637703,630.7524774245466,628.8478980945462,627.418947430176,625.6445970117259,624.1338208987306,623.0251187503476,621.6378050214105,620.4776578442131,619.656126169661,618.6157343427417,617.7712808580154,617.2102393384306,616.4845239733804,615.9279541165116,615.6062601831121,615.1691571007277,614.877769995898,614.7781287917836,614.6071115993971,614.5605526375301,614.6672755598871,614.7407718160032,614.9189752359334,615.2163878422778,615.5127612057362,615.8954955671268,616.3675991946134,616.8653175617194,617.4324057154452,618.0630203968931,618.7408793446536,619.4724351103476,620.2453753660254,621.0827074873924,621.9594223209539
T16000logg2.2,1309.9501508094186,1297.8881394755401,1281.6520794026321,1266.9128512252678,1255.6821407360962,1240.742296153287,1227.175013186472,1216.7515364798078,1203.031531791467,1190.5696633381567,1180.924315944912,1168.349064897222,1156.927437921667,1148.0287384467902,1136.526368901773,1126.0819718959553,1117.8969321939671,1107.397935455764,1097.8686087282972,1090.3619794542376,1080.797263924128,1072.1199834054519,1065.2532419767213,1056.5527068618946,1048.66272356323,1042.393718110261,1034.4861631700746,1027.3173070964644,1021.6007980267404,1014.4148098813539,1007.9005777941713,1002.6893519786075,996.1546207904779,990.2296280498567,985.4759554138079,979.5249414609876,974.1266484021947,969.7840002034724,964.3536495230115,959.4241698166898,955.4490063410421,950.4823291719083,945.9699257193581,942.3231325746829,937.7702948051465,933.630446951317,930.2783577871339,926.097404408399,922.2932317559332,919.2080741538396,915.3647477979866,911.866692811481,909.0264163159578,905.493460879267,902.2783918747789,899.6659613894396,896.4216516677703,893.4711036162631,891.0729997690353,888.0987528863931,885.3961739460462,883.2000917708981,880.4774164574171,878.0055524543766,875.9983149891826,873.5072596401485,871.2472464628294,869.4140702034895,867.133220807468,865.0648511837444,863.3895085714194,861.2965798287812,859.398915827637,857.8642167520145,855.9366882654124,854.188754187652
T16000logg2.4,1910.4522609645387,1898.6870122612047,1882.6816883787956,1868.064295530931,1856.9408240392709,1841.9716117193773,1828.2888252892583,1817.7885065677674,1803.7928796860422,1790.990467820468,1781.0903712490647,1768.0066967628827,1756.0309474911287,1746.7056321699642,1734.4742489285636,1723.2726112173714,1714.4948303667873,1703.0577535569332,1692.57819831832,1684.3186177935536,1673.618337196076,1663.808300198505,1656.0349342738925,1646.0135453138919,1636.8194808702888,1629.4976266358187,1620.0968340868326,1611.464398242845,1604.5570457341953,1595.7186582178892,1587.593553699186,1581.0622859244702,1572.7293502594162,1565.0584021590269,1558.8645116223474,1550.982479942104,1543.7151307535382,1537.821139973633,1530.3394877126425,1523.4292914724388,1517.800431552075,1510.6738516866608,1504.0798396839846,1498.6853912892984,1491.875100946078,1485.5629168717012,1480.3772741675182,1473.851513581892,1467.7936529018052,1462.7965911199935,1456.5304289302344,1450.7059626643727,1445.882489422883,1439.8572006326613,1434.2509483402343,1429.5906114329578,1423.7923270789165,1418.3931169211767,1413.88852849098,1408.3057854094088,1403.1038197144812,1398.7484565026941,1393.3695429710301,1388.3539698384889,1384.1401998535869,1378.9514186377169,1374.1092214723994,1370.027369594271,1365.01284558831,1360.3289143113275,1356.3672406382084,1351.5092748238544,1346.9669224260824,1343.112005472258,1338.3919205748932,1333.973750994126
T16000logg2.6,2556.604148765777,2545.358330476402,2529.9753164657795,2515.8721729346917,2505.115586043551,2490.553419013274,2477.1881002708838,2466.905143326733,2453.110609447353,2440.4365896370937,2430.6072827681205,2417.526871731992,2405.49695123722,2396.0982701885437,2383.6789516780905,2372.2459149120214,2363.2524876458624,2351.4423236683137,2340.5592995437987,2331.9438530346874,2320.691561215381,2310.3115067685403,2302.044687131546,2291.29925329679,2281.3749527235086,2273.4255668231326,2263.136570466751,2253.6210374432276,2245.95661112381,2236.0746328420028,2226.9217097097016,2219.509208122693,2209.9867905542515,2201.152287241232,2193.9592832303024,2184.7519102015526,2176.1945690670163,2169.1902942592687,2160.257459928439,2151.94018979391,2145.096801732571,2136.40299548637,2128.293939105896,2121.587586892988,2113.1035533332847,2105.1773054041155,2098.5892791609576,2090.292509817583,2082.5301560040607,2076.0469181182852,2067.921189169223,2060.309900415344,2053.9228443926004,2045.9575030579151,2038.4894290449033,2032.1939456777661,2024.3820883401743,2017.0523475575988,2010.8461346410882,2003.1823912617322,1995.986817379547,1989.8679889748705,1982.34628821489,1975.2793483688542,1969.2446986372138,1961.8567408421495,1954.9105592821284,1948.9547161372902,1941.6898347876129,1934.8543097207469,1928.969732080738,1921.8152742746793,1915.0785083454407,1909.2557896588762,1902.1977367410805,1895.546759328893
