,vsini150,vsini155,vsini160,vsini165,vsini170,vsini175,vsini180,vsini185,vsini190,vsini195,vsini200,vsini205,vsini210,vsini215,vsini220,vsini225,vsini230,vsini235,vsini240,vsini245,vsini250,vsini255,vsini260,vsini265,vsini270,vsini275,vsini280,vsini285,vsini290,vsini295,vsini300
T15000logg2.0,16.05070409720282,15.247787841859754,14.537721112917533,13.928831867515846,13.327929091184892,12.801980480794954,12.354391660259887,11.92018817618166,11.545885660372525,11.23190947290162,10.934040576010025,10.68373352241521,10.479777402553095,10.293199462143056,10.144296574259844,10.031048595463824,9.93545751078482,9.869413007455593,9.830646239408217,9.808829588544638,9.809526033368664,9.830570337458092,9.866599790631577,9.91867392101197,9.98510904028542,10.06353381615479,10.152294241617437,10.250478785824527,10.357458686319015,10.470289515803332,10.588987854978496
T15000logg2.2,30.402738130744584,29.37479846555232,28.445496268009546,27.629331051802907,26.803616856400797,26.05978372142439,25.40624080153171,24.751138841815386,24.163472718719685,23.647519926531643,23.134677140730222,22.677021661916168,22.276295347056376,21.881476099190028,21.53184837396328,21.227574323441633,20.930655164043095,20.670384324339985,20.44597365591709,20.22880554537237,20.040607990219304,19.88018507966843,19.725425650504565,19.592613983013397,19.480615298584894,19.371724579110715,19.27866297037015,19.20072953395601,19.12312661787839,19.056551751110135,19.000776388838673
T15000logg2.4,40.59697921671003,39.645174638594945,38.7785793337488,38.01270059274905,37.23063787921392,36.51945154351496,35.889193303174984,35.24982763407355,34.6691312397974,34.153331514457385,33.632748671491726,33.16054154278848,32.74044461854874,32.3182613174626,31.936018072406494,31.595781727887076,31.254953309918307,30.946853185836233,30.67243087384459,30.397545196332985,30.148863517752385,29.92668687611774,29.702860472718275,29.49924483672491,29.31592714309255,29.12892543160525,28.95690856126862,28.800130671474705,28.637440830394883,28.485660983508083,28.34522976294251
T15000logg2.6,43.234064385706716,42.41997472857228,41.67802502165355,41.021842192349716,40.35056175447626,39.73904636266733,39.19631040137025,38.6440838697279,38.14112309269138,37.69327962747284,37.23937673090017,36.82602985976063,36.45700084616766,36.08408029050885,35.744625848131896,35.44098150327793,35.134627613193835,34.855725113602084,34.60566273370762,34.35299231175795,34.12234571777605,33.91451477091103,33.703006148468475,33.508459666400846,33.33148502271051,33.1489707869999,32.97894240631083,32.82220683707771,32.657882693595575,32.50259651734169,32.35731118756428
T15000logg2.8,54.207852323467336,53.3927868966858,52.646768139795654,51.984170326511396,51.30263628239811,50.67815682113105,50.120673132951595,49.5494070606432,49.0251363933398,48.554718863322954,48.07368807905058,47.63137810144874,47.2325297964561,46.82504146404551,46.44953123168623,46.1092553490984,45.76138124795406,45.439807800201784,45.14673836611349,44.846150772413345,44.566786484763234,44.31009419390895,44.044894565713776,43.79619788247751,43.56507931978666,43.32374882063573,43.094781420911765,42.879259861354655,42.65171782513615,42.43342123099873,42.22539053791039
T15000logg3.0,60.61717408621103,59.930457445695225,59.29966154027495,58.73756697262447,58.15684866180276,57.62229746850708,57.14306196836072,56.6492110011968,56.19337000616849,55.78214445990165,55.35872135835092,54.966592407140745,54.61057790895379,54.24376629016886,53.902742451292106,53.59105585779381,53.26920223066562,52.96852343949473,52.69162407423847,52.40443501456674,52.13431283338363,51.88313398471744,51.62069999071466,51.37152472260913,51.137044076848525,50.88977738863007,50.65243910976179,50.42635366853449,50.185909702600334,49.95294804271662,49.728547656689244
T16000logg2.0,14.483332565804913,13.787714951110814,13.180995678786877,12.666501074042097,12.167825414758221,11.739713410341823,11.381722530516628,11.043187382031443,10.760012718180969,10.529782421487372,10.320338782997236,10.153989531061042,10.027507703207005,9.922020763507154,9.849992631886485,9.808080883956334,9.786730256150735,9.791130175786455,9.8182769811195,9.864920494076886,9.930796912510491,10.01348163988072,10.113561305730736,10.226909306413209,10.351912894414015,10.491255140387082,10.638523469375656,10.793219722732298,10.958997943075774,11.128479822921392,11.302488375327544
T16000logg2.2,19.21442302184869,18.355396882720473,17.591246997324784,16.927884690694793,16.270843939673064,15.691089454023638,15.189912210947876,14.700530459434189,14.273255986454217,13.906775405204288,13.554621776881056,13.252033166251854,12.996504546834688,12.756479954941037,12.55606451768559,12.392332388964748,12.244320189881913,12.127628160421267,12.039448448512276,11.9660339119528,11.916615732655929,11.888903186482407,11.873685943361089,11.875715200629122,11.893632133965609,11.920813060495677,11.95931726122148,12.00892322796084,12.064443693243872,12.126724082621264,12.196527181182056
T16000logg2.4,28.290508393817902,27.378902186384593,26.55868278119902,25.838730487999843,25.11550975930217,24.467486169708838,23.898593148843602,23.332509643871116,22.827587224683935,22.384723913946726,21.947839375978788,21.560472438611132,21.221889621849524,20.891113211671545,20.600579541995625,20.34868134793242,20.10538956709046,19.894520909628998,19.714129611662514,19.541846286042016,19.39495301482174,19.271607917889447,19.154504417612046,19.056268333512566,18.975663882918223,18.898508822081887,18.834545280467918,18.783273471687654,18.73256350328311,18.690727513110495,18.657721804999436
T16000logg2.6,38.58210792145754,37.66904966294535,36.84163823075264,36.10961374677256,35.368000175969044,34.69707861812679,34.10179291318181,33.50276102043798,32.96153544350843,32.480003994490836,31.99792534487871,31.563015480019814,31.17537517157047,30.7891290856203,30.441548000792196,30.13165351423758,29.824091258071643,29.54800235855984,29.301827307949228,29.0576824951676,28.838504785349432,28.64260964399563,28.44715012507424,28.270615884770166,28.11170774143819,27.950814104892462,27.803669001192475,27.669324504754872,27.530585647142914,27.401846519914432,27.281803004250563
