,vsini150,vsini155,vsini160,vsini165,vsini170,vsini175,vsini180,vsini185,vsini190,vsini195,vsini200,vsini205,vsini210,vsini215,vsini220,vsini225,vsini230,vsini235,vsini240,vsini245,vsini250,vsini255,vsini260,vsini265,vsini270,vsini275,vsini280,vsini285,vsini290,vsini295,vsini300
T15000logg2.0,17.735876847958444,16.941027834149427,16.237882323114206,15.622111403638252,15.024094395109719,14.503860498448699,14.053322032233634,13.629132350113181,13.270276294137421,12.966740908905422,12.694358477409416,12.475837477447833,12.300772529137683,12.15858271598017,12.05975893313346,11.994590052308403,11.96183277973681,11.963186948774673,11.990281282205402,12.04784005895442,12.131440046315245,12.23405557414158,12.364221731516002,12.5132628906644,12.67627158816051,12.863269525773706,13.062197476451525,13.272856287070905,13.502803920347892,13.738436641052663,13.985086486649047
T15000logg2.2,16.231073636895236,15.41798778727502,14.68918071010043,14.042481273466322,13.40451117200754,12.83955133134117,12.34133471291074,11.861321852144416,11.444010332763899,11.080788684199941,10.741681694734888,10.455497440939519,10.212794179125346,9.997043142390428,9.824941661416709,9.687429211977859,9.57733644735624,9.502452229170649,9.454689891335951,9.43313063309968,9.439106890335287,9.465829131411844,9.516329422921554,9.587310546793562,9.67439577943156,9.781962412286047,9.903440546837077,10.038234843862961,10.18934788383692,10.34865499046998,10.51936131623801
T15000logg2.4,19.20455381453366,18.428980656411017,17.72872909595113,17.102834907746093,16.479940871996437,15.922976163084595,15.427037366151641,14.943222828440941,14.516649329203005,14.140086387848275,13.781594706637808,13.471992590967918,13.203114122020901,12.955414255327295,12.748502339002032,12.574499313842388,12.422472211672932,12.303743323057331,12.211183180184241,12.139754429340758,12.094624519357021,12.069985743791365,12.0643701788214,12.078509584512236,12.109067214732768,12.155636227239844,12.21607177110661,12.289960597887369,12.37626813278228,12.471498773412629,12.577570255441056
T15000logg2.6,24.16164404375756,23.44961839955681,22.80311950501446,22.22240836893282,21.640450706362582,21.116278651447182,20.646527702492907,20.1838539483519,19.771692976579214,19.40450726456742,19.04992958547525,18.73881292520169,18.46469888856803,18.206222560571824,17.984277926337224,17.7925817571507,17.617404507191125,17.472178416022558,17.35136741730631,17.246351649624668,17.165078732170215,17.10322970768195,17.055313233170438,17.0252917396976,17.011106513259445,17.00814607254231,17.017998974673734,17.04063792527995,17.071484203041262,17.111117145517788,17.16034323507359
T15000logg2.8,31.849154037417765,31.14291696986873,30.49862330421565,29.91675007172079,29.330300146462328,28.798625731724314,28.318707628818572,27.84210383012516,27.413513894960694,27.027814572364054,26.650679315118985,26.31498179944369,26.014704080996456,25.725894773055245,25.47202223469906,25.24732933109938,25.03491735563438,24.851285580283097,24.691245340495918,24.5428261549667,24.41727268428186,24.310723586937367,24.213977844390087,24.13458712961502,24.070724295653164,24.014097324518932,23.970283768742156,23.938513200562674,23.91142648733409,23.89391127920171,23.884304800678557
T15000logg3.0,36.02795624379603,35.44252411336295,34.907273924266995,34.42294945137784,33.933711873358035,33.48914019931489,33.087124820533816,32.68681468271028,32.32580920555783,32.0003279029423,31.680866768995507,31.39535542654291,31.13941859453154,30.891792535667395,30.67268741132102,30.478226884777865,30.292489898505114,30.130047498272347,29.987784530137198,29.853409412793667,29.737279478882254,29.637769877655067,29.54433353588276,29.464605192594725,29.398428992120227,29.336033636065103,29.28382893355478,29.24159941944539,29.201148912146568,29.168722434245257,29.141729560496866
T16000logg2.0,22.371231470889192,21.630436981335656,20.981955719384572,20.41644939596386,19.875502968764163,19.41179301827775,19.01330764465724,18.64645617070361,18.343545724627422,18.091626705222154,17.87468184368971,17.709635790714948,17.583902915484153,17.493525453145974,17.444150993671496,17.424650061561874,17.438966473807433,17.485050925010903,17.553470495804156,17.653098642606086,17.776596462781363,17.916148103959735,18.083527695011824,18.266749928948165,18.463604187611413,18.683323381986103,18.911266112159204,19.15297045069999,19.41172919378166,19.67219162675084,19.947336106228935
T16000logg2.2,16.686674198009424,15.846986133277284,15.10004538451523,14.436748975876586,13.790355685294639,13.223382575789023,12.723337411183,12.248987895055638,11.842078267599899,11.488578191068775,11.165771893686113,10.899235841522344,10.6748473337119,10.482946757461997,10.336976279655634,10.223750664186555,10.142579303325354,10.098218942837711,10.078840912714588,10.089563555359081,10.128479852384888,10.18671773249353,10.271503119266532,10.37605030774605,10.4972390535952,10.640119058769553,10.795250067648325,10.96564729369251,11.152384078152876,11.345126385115488,11.551957804744351
T16000logg2.4,17.999934911939157,17.166012308882493,16.417110448690586,15.746093201664948,15.084493307899578,14.496696787750114,13.971950931972454,13.465728740972486,13.023095778486397,12.631447821586539,12.26394482993756,11.950348092017169,11.67765346073927,11.43165089780274,11.230379760343784,11.061498133036121,10.919565378171491,10.814062721908517,10.733734520585056,10.678972981109098,10.65259620488066,10.646073530344008,10.662083514447215,10.698889438296614,10.752226454002727,10.824110102714009,10.910275071345438,11.010233507765017,11.124471572428735,11.247631566311956,11.381904910779413
T16000logg2.6,22.266554437308976,21.47100471499375,20.751971909408756,20.10381597729728,19.459673899399935,18.882459456165627,18.363009159853917,17.856242781529904,17.407602264375242,17.006037964912867,16.622706217204897,16.289092381735383,15.993649803636151,15.719183704671067,15.48636345370008,15.284126508667573,15.103389436627342,14.956830976895422,14.834319083258961,14.732203347440109,14.656879985955976,14.600859283203842,14.562522680907303,14.544312932811664,14.541768566788416,14.553620135847535,14.580171778310714,14.618653535004466,14.668268482795082,14.728263612278422,14.796346661033661
