,vsini60,vsini85,vsini110,vsini135,vsini160,vsini185,vsini210,vsini235,vsini260
T15000logg2.0,398.77710759865516,239.608285415945,164.3553299928578,137.6999130525621,137.93579000565342,152.24114500978462,173.3008785785423,197.54390770658236,222.79141452190507
T15000logg2.2,707.0800324222269,519.7426260750195,419.6899944278026,369.99396109787807,347.99205067959014,342.15875750486833,345.2649521039329,353.4255946126891,364.7386945539311
T15000logg2.4,926.6064875827689,768.2296414200878,682.716196679209,639.2815888584719,618.3670411522663,610.2601874061114,608.8739491002592,610.9508816712388,615.3535262244603
T15000logg2.6,1010.547407745345,887.2973685874441,823.4838334343026,793.3746414650246,780.5583369928648,776.7798872297349,777.1053922223123,779.0499913850689,782.0716537163397
T15000logg2.8,1300.2510245888393,1185.7207723222145,1126.243228051004,1098.0194485052123,1085.4057994534458,1080.6443205735852,1079.0145983170144,1078.0605054046102,1077.5405225670972
T15000logg3.0,1521.299090875176,1433.2639268197795,1388.8298951597108,1369.3775794227995,1362.2034769199815,1360.6791787641405,1360.857296254444,1360.6895830282585,1360.028612375306
T16000logg2.0,390.4749791920305,233.75731474801435,167.02881866275536,151.48126003578224,163.21936711536856,187.6524757715618,217.24511735555254,248.6287829260221,279.50136619019713
T16000logg2.2,435.872779866738,268.13104386819236,188.47718601631934,158.6948535396655,155.76862348422807,166.87065391628877,184.80174680209083,206.03463917479527,228.5779717736901
T16000logg2.4,638.2159331096419,472.8902130657869,390.2158227970191,353.9940719887285,342.30717820851095,343.8729061403432,352.0858726559278,363.61099425459224,377.0209549446936
T16000logg2.6,886.5264811211329,732.2463716877704,652.7318888281616,615.5197839728596,600.2808529788358,596.8802326178823,599.2322545681383,604.2051277602518,610.8474873855901
T16000logg2.8,1131.389561934977,998.2925259246243,929.2422833057714,896.9126660263402,883.3906315551699,879.6631650390882,880.257717199446,882.3021664075208,885.1955399280203
T16000logg3.0,1354.7239873973429,1243.032018735688,1185.5452724843994,1159.5778774330474,1149.6897156325822,1147.8677405337228,1149.1959394324263,1151.0762546814537,1153.0351081369047
T16000logg3.2,1645.3556006921835,1538.02700746629,1482.6301204504334,1457.506325008281,1447.677884053479,1445.3090048859833,1445.571660684293,1445.8186286940495,1445.7080118419515
T17000logg2.2,377.1418519107163,203.84164587379527,127.88213391685612,105.40983549243452,110.69023108559355,129.3505972914624,154.00706103081671,181.1847370062179,208.6581232402811
T17000logg2.4,529.6352252119278,355.00114980267523,271.1973762350731,237.8045862487833,230.88104152493742,237.74076779196994,251.3753156693407,268.3113203372666,286.751805020307
T17000logg2.6,761.3985665819797,592.5520646560481,507.6758624140824,469.7262967410351,456.17666573770754,455.57685857110306,461.36141454561306,470.2034532609958,480.7918726792155
T17000logg2.8,991.9374569095621,836.50113181649,756.5803916886395,719.5604549283992,704.7122059160865,701.5831528531834,703.9856085957119,708.6844314823392,714.7009079009772
T17000logg3.0,1232.8443579254242,1093.478515400673,1020.5390373645806,986.1404027662512,971.7470791013886,967.7973635084977,968.4847864335799,970.6978616835718,973.6695900546548
T17000logg3.2,1477.5615589430056,1355.590319278501,1291.3793545114686,1261.3326268903108,1249.0912119520667,1245.942404048959,1246.5032479919792,1247.8570903292384,1249.3392210004738
T18000logg2.2,392.42281026862054,229.0243222587069,158.76715713242052,139.79854922987047,147.9475060802619,169.88556378497117,198.49215426629715,230.1264088665841,261.98286863614794
T18000logg2.4,366.86643044826474,211.83664774840446,145.6306152078212,127.49614959333029,133.71406364876324,151.2156188832686,173.5150768236491,197.7386009732563,222.19539554588272
T18000logg2.6,699.2194891692144,517.7087871598549,425.7114401003311,383.7500043568256,368.14683212395676,367.2146113417053,374.1694168859918,385.353938315423,398.78961743539327
