,vsini60,vsini85,vsini110,vsini135,vsini160,vsini185,vsini210,vsini235,vsini260
T15000logg2.0,5.737196734088172,4.212918563751225,3.4469193427649336,3.102000427756851,2.99688941309907,3.026733701832719,3.1227561290764507,3.2492515226842285,3.384745008950377
T15000logg2.2,7.209851081986912,5.243673151720782,4.176360047564322,3.629542813813026,3.3832089642303265,3.314517175565126,3.3370143945300104,3.4085587753644098,3.5050762219856417
T15000logg2.4,6.705325802267465,5.027794154424119,4.116559977884438,3.657573340223837,3.461834614061078,3.4191705670533543,3.45486165163861,3.532797528398533,3.631589215698375
T15000logg2.6,5.720365450566193,4.433606411958449,3.7735864023506482,3.4729674773241426,3.378297089316253,3.3990405197855766,3.4765358949975425,3.5816052562343876,3.69656510801895
T15000logg2.8,5.8198518743095855,4.594155979711165,3.963498276218878,3.677184761966223,3.588540985197539,3.609802527331347,3.6853234875568175,3.7872825406226283,3.8986862050246036
T15000logg3.0,5.3481535091352566,4.407345946705835,3.936680146236031,3.7420304367314485,3.706490290648249,3.756624794171907,3.8481027382273667,3.958915428089415,4.074773724538042
T16000logg2.0,5.796782051577817,4.265696277569246,3.522682518429982,3.201126562145073,3.1139169571318095,3.1575055775796748,3.2639698957382577,3.3978976864424046,3.537992292673261
T16000logg2.2,6.350786169606196,4.568358756068892,3.666959696070338,3.242388916129831,3.083399355279556,3.0785014723220967,3.1492084342461313,3.255387446408067,3.374754816539233
T16000logg2.4,6.7290072924366635,4.889952570219217,3.934665281487841,3.4683079473567395,3.2768679931430085,3.246684072109103,3.296656114600084,3.3859448611997736,3.4921769493242154
T16000logg2.6,6.804339190267339,5.04038409564085,4.11027904537922,3.6514249042539286,3.459922964168466,3.4250987376915627,3.46862219939223,3.5511848612817443,3.651249983459581
T16000logg2.8,6.515045379527623,4.963645427565763,4.141614506097674,3.7414081864039708,3.5830665782750204,3.5649722450979473,3.6166334084453746,3.703197602181439,3.8048415491420267
T16000logg3.0,6.165714084138045,4.831129578780363,4.127031887357069,3.794348445037217,3.6765534292955686,3.681188636416124,3.7462269607902345,3.841070649465216,3.9476247769060637
T16000logg3.2,6.447114763919632,5.102369977367635,4.382688775975036,4.036841933359602,3.908611133059749,3.9043225605675747,3.962185465096065,4.051366775851971,4.153634622047716
T17000logg2.2,6.516676384116597,4.629021253380519,3.7281100353068313,3.3178464898183204,3.162192336875179,3.1536054748345532,3.217335655046406,3.3149527039968585,3.4258394246187605
T17000logg2.4,7.045768961865418,5.0373720623400695,4.020619252377677,3.527025757066912,3.3183610146732425,3.2784738282792616,3.321785208415876,3.4046289445785147,3.5044402461974227
T17000logg2.6,7.3581211605920505,5.348420407955042,4.300942043891187,3.777511918450039,3.5445023288231052,3.484819064588185,3.5115898029903234,3.5811151848910017,3.670646363141792
T17000logg2.8,7.33952253834168,5.440269295314759,4.432361206233679,3.923764669795924,3.696188156849282,3.6360780008292934,3.6599432925874464,3.72607224951103,3.812491440437156
T17000logg3.0,7.190579845723144,5.438470499685378,4.4949026458510035,4.01719340755333,3.8058557378495843,3.752688058701902,3.7793145999995605,3.846877881956869,3.9340958304636753
