,vsini60,vsini85,vsini110,vsini135,vsini160,vsini185,vsini210,vsini235,vsini260
T15000logg2.0,14.78560430554264,10.661565423787636,7.994978479971501,6.1889029525827315,4.944614885608919,4.148779745603864,3.6683115637149943,3.405970946988985,3.2936619837047783
T15000logg2.2,20.530845725394435,15.565224963227644,12.253366011005111,9.935953307478165,8.262638479731235,7.108202867188075,6.322167592742848,5.79478245807132,5.458279030105818
T15000logg2.4,20.308726006305466,15.993525566860319,13.092259712550915,11.038432256024702,9.530799806716704,8.466699732806337,7.719212584549966,7.19517249748774,6.839595140812573
T15000logg2.6,17.978427881425613,14.515845601321063,12.213744626795604,10.587255355810406,9.394602048847833,8.558418255912503,7.977661567869495,7.576914038599642,7.3109340533040506
T15000logg2.8,19.683123823294043,16.37929602487783,14.175004956911742,12.60851557841767,11.449238660351245,10.624901328376739,10.040131042387081,9.623582944093057,9.334150751001632
T15000logg3.0,19.413051023262703,16.796622464125758,15.03494652460113,13.770558788597635,12.825573848160778,12.146835657832165,11.659668209653463,11.307289069710794,11.05754936585054
T16000logg2.0,14.309193598981258,10.212619998008408,7.629041414924547,5.923154045040208,4.777188120408827,4.072747450400348,3.677449817773113,3.4932946373226867,3.448307953539959
T16000logg2.2,16.97464150331699,12.371771981617657,9.404767777297332,7.390565047226158,5.98661358701813,5.073904539764214,4.50316867374148,4.165465926701922,3.9911219574320436
T16000logg2.4,19.164779008658687,14.473555283813644,11.407535012891495,9.291472260345229,7.7820129828869415,6.765184563188561,6.092009304084172,5.653836330699985,5.386469502931333
T16000logg2.6,20.641143079730863,16.14881524278722,13.179052817395762,11.1062147608296,9.60612945980302,8.573938000662517,7.871915822940909,7.3977370557188085,7.091455490836174
T16000logg2.8,21.08703698003332,17.09466553058022,14.42470163268784,12.543048909345021,11.167328294535086,10.204912940221568,9.532742440235532,9.060413851678536,8.737573540715724
T16000logg3.0,21.32672217992762,17.842607184045555,15.492762972169292,13.824732917651822,12.597586441653903,11.731739409491844,11.120056441622337,10.68371938907764,10.379190364700248
T16000logg3.2,23.712533995990896,20.23306991734004,17.883257709716375,16.210535470448587,14.971854598050824,14.089372787729504,13.45696219753277,12.996214833899057,12.665674789620132
T17000logg2.2,17.314551282098844,12.523220979983307,9.546935697320619,7.569264379529079,6.2015328150309275,5.3210201672258775,4.780651223025796,4.471703815106621,4.324686638991914
T17000logg2.4,19.505264033608945,14.501144677629638,11.2800693015844,9.08409266311204,7.534818486247961,6.51208778469526,5.856683226275379,5.449235005913463,5.218186634893283
T17000logg2.6,21.595098404430125,16.615216277160524,13.356723118718067,11.103033855643638,9.485214878558178,8.388993720551051,7.65917963990216,7.17828749650285,6.878525827776724
T17000logg2.8,22.77827311111349,18.05550158782391,14.924657046460576,12.737165792654142,11.149600246097316,10.054488698714575,9.304644412570076,8.789817161721139,8.44874172065061
T17000logg3.0,23.690046866675267,19.305432188990135,16.362222171503515,14.286328535268927,12.76601849114846,11.701130891935797,10.95248056114241,10.418078503110188,10.044807492088449
T17000logg3.2,24.563583702618985,20.580193574048234,17.87350628194482,15.948534128793254,14.528182423748158,13.522961425073394,12.806596474980426,12.285929756293747,11.913587759441407
T18000logg2.2,15.68611010606023,11.28385374126442,8.541712681390184,6.723369894984356,5.472733282774571,4.671561260506933,4.18657867761908,3.9183186091973794,3.799617321961772
T18000logg2.4,16.786904704678573,12.228036414569312,9.40132019222582,7.518713481450109,6.214474168209697,5.377336326741056,4.863190784482572,4.56508551086346,4.417587751484462
T18000logg2.6,22.796387267985196,17.451431639973634,13.944995227205071,11.513257334077696,9.755595208239054,8.550732968154263,7.7383453519093,7.19406228217837,6.845794029254892
T18000logg2.8,22.580903472352166,17.620716998809822,14.380828296360848,12.13835564015817,10.524578051096547,9.42827372577279,8.695283738662843,8.207549580058837,7.898333809294747
T18000logg3.0,22.212367778471094,17.85160486071015,14.97677062074106,12.966412743491428,11.498741337262894,10.476890402043207,9.769723688684909,9.277703587977411,8.946829585517529
T18000logg3.2,23.414524258069605,19.358449839293005,16.638209706722964,14.71764441599837,13.306047213611771,12.310725620809835,11.606691659149464,11.100525916338443,10.744006231861565
T18000logg3.4,24.80745021675675,20.936095079599635,18.30705025427784,16.436432775666034,15.054663944938962,14.073801939256414,13.374547081268274,12.867157413008385,12.504991737717196
T19000logg2.4,16.802627536068055,12.291810728945403,9.467540378309248,7.5687041981175245,6.232287207575814,5.350295253219746,4.795723414714641,4.46843875976128,4.30178572639784
T19000logg2.6,18.828846734538043,14.071427763818752,11.089127569083269,9.069579128864522,7.63307134041641,6.671691432020519,6.046144515675572,5.649903026445902,5.419548639707969
T19000logg2.8,19.56533858901421,15.03150929456824,12.154275682497106,10.184088200204341,8.765142149554544,7.80031530591226,7.157671860912472,6.735757118410673,6.476132644166662
T19000logg3.0,21.33786171271591,16.904225680862098,14.036392163003404,12.04983141246269,10.606906919633957,9.613036993607544,8.93905984439432,8.484413080929494,8.191618071902052
T19000logg3.2,22.569509876974013,18.38431767787302,15.631862163074674,13.707125261038609,12.300418389697093,11.321091861430943,10.645615881704554,10.17832853315962,9.865598992361992
T19000logg3.4,23.450929265655766,19.57008442639152,16.959942368940823,15.112880447758931,13.753900443842445,12.797718303883277,12.126248858189383,11.649191745565007,11.31755982542825
T19000logg3.6,29.243957614543312,24.951620081449917,21.9631387419499,19.801214715315762,18.184708649901854,17.024537704637655,16.187418550906354,15.570304765274667,15.11938669281923
T20000logg2.4,13.376786664592391,9.705620688110931,7.50978708319055,6.073030932825038,5.076833057354985,4.424273212347342,4.020841602058427,3.7937586152425147,3.6919113901009006
T20000logg2.6,17.015866271283972,12.631652065686234,9.940025462461026,8.135979136298788,6.852781373427404,5.987412929883139,5.424019718308868,5.071875503775484,4.872453843035776
T20000logg2.8,17.68723171217446,13.417037375992386,10.80464607620707,9.045049768343484,7.784425636411248,6.930758296714047,6.370772155880024,6.0156061865532875,5.809484581782073
T20000logg3.0,19.661399051235005,15.37170388542343,12.688491090505229,10.857910362377416,9.536651161435556,8.63782323450876,8.044039908809445,7.661611862407044,7.433161015699569
T20000logg3.2,20.92509388573117,16.79596200680736,14.149062171936148,12.319855854080563,10.99062583502689,10.076478134790994,9.461006279076782,9.051769674614144,8.793625183050887
T20000logg3.4,22.217036366383013,18.290693667172835,15.70187462865478,13.885435491167694,12.554120852930158,11.623883363975388,10.976794974129271,10.52275699996871,10.212016352710016
T20000logg3.6,23.17121650902423,19.55790931734099,17.128947813416655,15.405289711433397,14.13386166266586,13.239197777575885,12.612289641418219,12.168728044804077,11.861628505256583
T20000logg3.8,26.557794800656826,22.87832492310033,20.312048714937745,18.44999644004636,17.058304026210067,16.066031071810922,15.357887457514746,14.843920095675335,14.475672089633038
T21000logg2.4,11.878772348705791,8.61199419819132,6.592135558746206,5.259332920726551,4.3554757296958355,3.786057029626072,3.462058453541495,3.3112352163372125,3.278019596147628
T21000logg2.6,13.839110759870968,10.193488076137346,7.977991040740599,6.506124112954149,5.469004407285778,4.776789630919977,4.340550436464301,4.086929590972366,3.9633069351319263
T21000logg2.8,15.663371038565584,11.796058166931267,9.465710083420797,7.908156936100263,6.793165107521739,6.034687018501828,5.535977673047873,5.220842581932939,5.039550076363692
T21000logg3.0,18.391617096023065,14.286659903692824,11.755850007443508,10.038491697096646,8.794857092243701,7.939283835851741,7.3690784437064085,6.999520404292332,6.775487168133216
T21000logg3.2,19.49916984720399,15.466513384501866,12.961303265383842,11.25158835667406,10.010535165307386,9.154900827099446,8.574924920208987,8.185981454525635,7.937947938523661
T21000logg3.4,20.905463515141996,17.00216211965905,14.502778844231585,12.768029418837074,11.49887467346133,10.61707512114224,10.01302583685869,9.600338601284271,9.328072401289367
T21000logg3.6,22.35775479605808,18.62992931748549,16.181439059696075,14.460123629403688,13.193986388994741,12.310099621081621,11.702520308871158,11.286407925876075,11.010882747615165
T21000logg3.8,23.930643683485854,20.433569567820655,18.08213064481817,16.406343297893827,15.164001627460229,14.285163504879229,13.665866626172548,13.22499360640494,12.916360584145725
T21000logg4.0,27.641204130643835,24.144339248300366,21.688441032922597,19.892917214103083,18.539894329199942,17.564053920323612,16.86016700454803,16.34338711275549,15.965635373640701
T22000logg2.6,16.02381891279254,11.884648458426957,9.321860385346827,7.611915288768083,6.402454641309351,5.57781451021335,5.037755775113795,4.7003014919502135,4.508243655829097
T22000logg2.8,15.493636408280798,11.660013866166022,9.348211131598113,7.8066987222534125,6.702365515461912,5.9427161879111985,5.43689882817026,5.113312593155571,4.923698457274037
T22000logg3.0,15.86263498972868,12.207335325720901,10.018958779768983,8.55478161310798,7.498019847181404,6.767759501038921,6.278378764654368,5.9614257369183825,5.771532463992926
T22000logg3.2,17.18250298498037,13.519422692849691,11.302380916759716,9.804317305859964,8.715739851810394,7.9622300981364855,7.455282257017749,7.123360150852958,6.920131164838633
T22000logg3.4,20.272832987182085,16.473009605058323,14.090537264534968,12.449814822490938,11.246413037106922,10.401685909154223,9.817436875031563,9.416085335900496,9.150211978014
T22000logg3.6,19.775282998619446,16.26084387967715,14.029353087869515,12.483834291754086,11.351762012242656,10.564417701727562,10.026718085619272,9.663200420564397,9.427955002582099
T22000logg3.8,21.002106759810246,17.716138516947044,15.572396945831901,14.066154036707985,12.955940374372434,12.179783652395944,11.647570624398357,11.285756171809622,11.048764084749926
T22000logg4.0,22.785394168889333,19.62605524874811,17.502833249813623,15.986517256678384,14.85989210288829,14.062698162455382,13.504186881932686,13.111738445449937,12.842202401782272
T23000logg2.6,9.708824614883245,6.984442356822094,5.368103509362849,4.33677070437957,3.6502894582137912,3.225491693165907,2.993872943901579,2.9005833941616666,2.9031530754686106
T23000logg2.8,13.04672763724152,9.6814181616687,7.6635569238346966,6.331047160927833,5.390636294888022,4.753437429819844,4.341514695267165,4.092926530355723,3.9633181154675907
T23000logg3.0,14.78701668442245,11.310628957197363,9.219680647240324,7.824329902704476,6.821760076345826,6.128258999056963,5.663972439335866,5.365167752550385,5.188305621509329
T23000logg3.2,15.648147349842032,12.272300038220909,10.245223995547429,8.88442223395068,7.898023659530022,7.210604423846865,6.744084382470817,6.436449261155034,6.246618259802276
T23000logg3.4,17.051415167454305,13.693689030852745,11.650346051845998,10.265103170651221,9.2545514695544,8.546587675163181,8.060258687475795,7.732008989197893,7.521420621027829
T23000logg3.6,18.418885999311232,15.077722953181626,13.006003703426824,11.583757561681788,10.540206058486747,9.808774064558198,9.310262332217365,8.978026752013221,8.768053134292348
T23000logg3.8,19.505568290132306,16.338099088036362,14.32153594806284,12.916624371713933,11.879813413032517,11.149522408096754,10.643598206817359,10.296135463139032,10.06649508120623
T23000logg4.0,20.656090888950203,17.649140039906,15.685357656163832,14.299156985244458,13.271861419395465,12.547649888139992,12.046566729307626,11.703051994029984,11.476235752679868
T23000logg4.2,22.866065559601328,19.94962909986407,17.987463928153712,16.578909681567684,15.525464521995003,14.773050056265298,14.24232079318072,13.868058079891712,13.610666573350988
T24000logg2.8,12.687819279207163,9.308997176161181,7.256706402255374,5.898487161443454,4.947041515479626,4.306460871603289,3.899225449428687,3.662344520779917,3.548700211524424
T24000logg3.0,14.307409645302263,10.87911093972273,8.794340601878279,7.402600192682292,6.407357435687898,5.7193011139038505,5.259044224775688,4.96399679365031,4.7909421643888335
T24000logg3.2,14.414200846881128,11.219007479532086,9.319665948509504,8.056599940991791,7.146200363603645,6.512739177842702,6.08485173354782,5.806583337764589,5.639687863640685
T24000logg3.4,16.47713868852365,13.17965971420425,11.20659382366412,9.880728215301076,8.913812874410535,8.232478577132973,7.764291373355039,7.4513921655056725,7.254631597496009
T24000logg3.6,16.96745683264619,13.831054569641225,11.924555358417768,10.629096833523526,9.679730056007068,9.009577310825742,8.546631159097528,8.233525568765579,8.032736090233362
T24000logg3.8,17.955526292528145,14.966803617148342,13.11004617871565,11.829740699468925,10.885215507414078,10.217198264028344,9.756121524727432,9.44427160556291,9.243706521054994
T24000logg4.0,19.095506389429932,16.226329904478135,14.400605228872925,13.127787321216882,12.1866878636208,11.519666191100379,11.056301299151835,10.739337527722912,10.532054016929731
T24000logg4.2,20.079218923481715,17.40618276634479,15.654710116258292,14.414483788992177,13.492700934379013,12.837270638568276,12.377485779100173,12.056989841900629,11.841316609131292
T24000logg4.4,21.028007977799767,18.551736229277942,16.887138931665717,15.69224412738284,14.798799335323675,14.157931369234111,13.702751099094748,13.379840241799373,13.157248933224453
T25000logg2.8,10.076311825427581,7.260841895267448,5.520468333248049,4.38251991148674,3.616704215302985,3.1293891400476355,2.8486599610518297,2.71715907763951,2.690903987267467
T25000logg3.0,13.534416081744158,10.06109306669637,7.965700762437099,6.580425317981667,5.602597559226879,4.934748434841766,4.496126787322626,4.224402664219555,4.075479367538212
T25000logg3.2,13.192307281546727,10.161942975138864,8.353927811191907,7.156665777900474,6.301515098548681,5.71115124862242,5.318199898571073,5.069853261552601,4.928712488223185
T25000logg3.4,15.408136022757715,12.255989606522407,10.353681705775129,9.076309847868288,8.147541422535136,7.493214876614574,7.0434845237964945,6.742624759860915,6.553117159494895
T25000logg3.6,16.316522185499533,13.297977219657552,11.460909678787456,10.212101702101384,9.29466616189535,8.644056617570879,8.194243737534883,7.89092201878237,7.697286281207289
T25000logg3.8,16.747752089052838,13.900806910395264,12.157406949442313,10.96798348346705,10.094131593846104,9.472929572925903,9.039286598478903,8.742464264840379,8.549335242594484
T25000logg4.0,17.82533131167703,15.116005214555438,13.415465755119994,12.23408968584733,11.358017189281757,10.732321665970273,10.294123676724091,9.992162249800568,9.793203766944375
T25000logg4.2,20.042357123910243,17.365878621313396,15.642867014010163,14.428992033975684,13.523055846654529,12.864542159414919,12.393225334183759,12.059355700371011,11.828062194369297
T26000logg2.8,7.72711777867294,5.816705822009927,4.6138139046349345,3.8331233472067114,3.32922702944107,3.0381757866619745,2.9090201707512,2.8958907066744883,2.9613774904241654
T26000logg3.0,12.58132214259881,9.348252744682652,7.330659267950938,5.990028182372597,5.056523027013122,4.426287488806242,4.023406791757875,3.7862463871078464,3.668527915131549
