,vsini75,vsini80,vsini85,vsini90,vsini95,vsini100,vsini105,vsini110,vsini115,vsini120,vsini125,vsini130,vsini135,vsini140,vsini145,vsini150,vsini155,vsini160,vsini165,vsini170,vsini175,vsini180,vsini185,vsini190,vsini195,vsini200,vsini205,vsini210,vsini215,vsini220,vsini225,vsini230,vsini235,vsini240,vsini245,vsini250,vsini255,vsini260,vsini265,vsini270,vsini275,vsini280,vsini285,vsini290,vsini295,vsini300,vsini305,vsini310,vsini315,vsini320,vsini325
T15000logg2.0,3886.489681653724,3628.33330602974,3408.2817173554154,3234.4243941047216,3062.124397020708,2916.754621063713,2802.4618740699666,2692.0380065866893,2600.3030725532744,2529.331332369229,2463.0407633040018,2409.728122596266,2370.2233191484947,2335.508701626581,2309.8099035773653,2293.172058729765,2280.9825299461154,2274.8255435668466,2274.3229752843536,2277.51085109269,2284.4791329441223,2294.7212401570637,2307.8656727590073,2323.2866632606074,2340.4375198474745,2359.8953485384236,2380.6412069302482,2402.0836161434404,2425.305506152762,2449.0588422764754,2472.790387827282,2497.8044432099823,2522.873495049989,2547.5408809049945,2573.198145339123,2598.727013024532,2623.6935674273195,2649.4760367214976,2675.0133712999786,2699.888172668637,2725.4075770763793,2750.591415819372,2775.032180261574,2799.934390513941,2824.3969752000507,2848.032316707567,2871.963672191293,2895.361813697559,2917.899330280508,2940.607209086321,2962.7285684525373
T15000logg2.2,4999.982503810288,4662.56584078462,4370.823201934382,4137.042320731235,3901.805335790964,3699.967669317707,3538.41951939974,3379.031530492306,3243.298606303458,3135.2030257026513,3030.5036575879517,2942.480029471192,2873.466227964213,2808.2390812437675,2754.8553040530796,2714.540574431833,2677.8817889095985,2649.4402163115374,2629.7655314501653,2613.0925563909946,2601.822751837869,2596.2245936690356,2592.8524840786736,2593.0150027690347,2596.8739059467553,2602.507337549508,2610.498954269411,2620.8536432651235,2632.6259568920236,2645.8895816785875,2660.569337134865,2676.2888604231357,2692.8646946111635,2710.213661476696,2728.3064399574964,2746.898246515643,2765.8831714905837,2785.4270262688633,2805.2317136366905,2825.169135096767,2845.4903182121357,2865.8610332504218,2886.123278581748,2906.5385670798787,2926.7599785609095,2946.648553969054,2966.4729914752374,2985.93488039505,3004.9609183133575,3023.8062809449475,3042.18931209151
T15000logg2.4,4687.088930071984,4397.5784380357245,4146.79930104688,3945.55899822576,3743.9798233856477,3570.8816807899375,3432.375610577132,3296.699886181193,3181.340109594822,3089.7448286321937,3001.9314180263186,2928.465138271475,2871.284672364653,2818.004683280747,2774.862415698816,2742.807480817379,2714.2988382525423,2692.7699442334374,2678.5948286877897,2667.2477055711547,2660.489453297528,2658.452197201627,2658.508335851434,2661.5855983538218,2667.719342903854,2675.5200129408495,2685.363471031315,2697.1424283822303,2710.2554483692315,2724.6857906913406,2740.2500889264097,2756.788652399591,2774.0908596377935,2791.967493938451,2810.5122541307846,2829.4939965391886,2848.7110949836488,2868.3897141311804,2888.278739937313,2908.1681713676007,2928.324157178347,2948.490055352668,2968.45046911973,2988.4511163481993,3008.246449028358,3027.649602339532,3046.8856630196574,3065.7701975415157,3084.1844301801902,3102.317530789927,3120.0162553244763
T15000logg2.6,3994.113961820207,3772.187468190265,3582.3924929151635,3431.937617628276,3282.492203312664,3156.1630216732724,3056.6639525650617,2960.4201681079285,2880.3838994159264,2818.3930819936986,2760.324543304213,2713.566264575146,2678.872267579856,2648.104673875015,2625.19129951733,2610.222403580541,2598.7826315189304,2592.624180840188,2591.4839682277798,2593.178998998611,2598.228575027738,2606.2649140822837,2616.4493294339,2628.7380392848286,2642.7384359173807,2658.4445511165513,2675.46292698803,2693.339384830608,2712.5390238494847,2732.444924948494,2752.6127068029864,2773.723288578302,2795.1210641962944,2816.4163882152957,2838.3756233853633,2860.40843595871,2882.145703168137,2904.355332007136,2926.491272569342,2948.2028108431155,2970.199166472127,2991.985451529856,3013.2353866919575,3034.568769181333,3055.556470689014,3075.9123268523413,3096.1758640879134,3115.997015661666,3135.1551900051545,3154.105504145444,3172.563528099308
T15000logg2.8,4092.6025185665476,3880.31660985438,3698.851089595682,3555.079866811043,3411.9234258845067,3290.9851827950797,3195.834451817959,3103.6518659647477,3027.1352571450925,2968.0168018055238,2912.6177289494017,2868.17279386115,2835.34855355637,2806.244702309374,2784.707898530843,2770.7810038141583,2760.1471059714418,2754.561636067581,2753.764204542008,2755.6024000799475,2760.6582803944343,2768.5759722156704,2778.5110607604574,2790.491143318525,2804.126239368835,2819.376788577141,2835.9157004202343,2853.290846526489,2871.923120681445,2891.2605410891815,2910.8632229504465,2931.364428617518,2952.1629696001537,2972.8719285259167,2994.20499597218,3015.6200545168335,3036.754313801633,3058.3216758813924,3079.8149748480487,3100.8918587970743,3122.2057123038417,3143.3011425688246,3163.867965999869,3184.469579469289,3204.7207456084084,3224.3511520496318,3243.8417472763185,3262.8885086126206,3281.2868087893394,3299.4286649259434,3317.077225221999
T15000logg3.0,3787.4783003574425,3624.6946461489197,3486.196726139588,3377.037315766775,3269.2636920882737,3179.0545635697363,3108.846394151041,3041.899055423636,2987.358319960392,2946.185240372758,2908.8013883494064,2880.0740028417545,2860.1205545531457,2843.8296390146556,2833.4439921819503,2828.6198454971513,2826.9571032644894,2829.1466914095568,2834.6590549354446,2842.6935097490323,2853.123831890661,2865.3851736785073,2879.611855966133,2895.320077660325,2911.9481353708966,2930.1771888498483,2949.297545080134,2968.7178806860907,2989.398124093468,3010.510490777808,3031.4984437783514,3053.4164047408153,3075.448164490198,3097.0996282668866,3119.4181139893544,3141.680673133592,3163.4314640897387,3185.652057067081,3207.6903286465,3229.122931892575,3250.823463556685,3272.2224345533446,3292.9447930550114,3313.738788479853,3334.1289295354695,3353.7909317485946,3373.3621964762447,3392.460487422699,3410.8280869349037,3428.9904172812626,3446.6451524722916
T16000logg2.0,3891.5870068157715,3635.752878777554,3419.4951127836925,3249.8910627485648,3082.516690067665,2942.6851454650055,2833.6295911322377,2728.556168231084,2642.1649725773295,2575.943018094946,2514.3326276843927,2465.500132025262,2429.9094293777152,2399.121241284468,2377.153663949042,2363.804446399609,2355.0333860993496,2352.1021103279686,2354.4564727504376,2360.642175928755,2370.389296434517,2383.084530008349,2398.816810670756,2416.6054015653444,2435.827218564036,2457.480991476271,2480.19884741287,2503.3410383376654,2528.3621291048516,2553.66830903062,2578.692461218268,2605.0702748549297,2631.2718929233138,2656.8571118855593,2683.5281417255223,2709.8906868019017,2735.5320839586784,2762.1122710443683,2788.3091114480508,2813.728882831149,2839.944554243489,2865.7383806249795,2890.712130166704,2916.327409332669,2941.450629767722,2965.6859965134336,2990.412842702637,3014.563164030311,3037.7935085063446,3061.3926755607754,3084.362320586154
T16000logg2.2,4326.576511054209,4024.284458627812,3767.013926043517,3563.5797606809283,3360.914689797164,3190.050729250337,3055.2570590175474,2923.5487887448467,2813.544729114237,2727.500604078973,2645.267433924692,2577.9944872208853,2526.8316483912886,2479.8307359520027,2443.3938105960938,2417.8663932057552,2396.4756404794543,2382.328140332786,2375.268185161323,2371.6569106659617,2372.6322710916415,2377.912583093788,2385.7799858082026,2396.43835870136,2409.5912928882435,2424.7389950114352,2441.525815297345,2459.60951997856,2479.1886521922643,2499.54362041931,2520.356310499994,2542.1860849878067,2564.245441330195,2586.302848147626,2609.1316107426683,2631.9874627503336,2654.6486890460233,2677.967764331371,2701.190756793728,2724.096303510138,2747.53530453408,2770.768736625601,2793.555808061298,2816.6914608970956,2839.463165289654,2861.6440186868426,2883.984866434438,2905.8288864847786,2927.018803439901,2948.2486024029654,2968.910240193742
T16000logg2.4,4654.44647901101,4339.3139451168045,4069.672530562675,3855.348659578871,3640.7672566099195,3458.7631867817313,3314.3436261819975,3172.4246979178415,3053.027366784671,2958.8888626606554,2868.1396112214343,2793.0436977277373,2735.1011552864857,2680.960251206874,2637.9345447948053,2606.6434897153244,2579.152619166614,2559.349686758163,2547.3144489085685,2538.413574563819,2534.47132289665,2535.4008899243245,2538.602655602949,2544.918020489522,2554.2271800554095,2565.2577548066406,2578.2372918678807,2592.96571857529,2608.9822454806203,2626.07912365275,2644.045571496698,2662.872094863611,2682.191191889164,2701.851369824236,2722.119703672157,2742.6246903818956,2763.216249808659,2784.293563236142,2805.4440792127643,2826.508719922729,2847.92478259126,2869.260210257595,2890.3346363092833,2911.5642180767395,2932.516419214178,2953.027949755776,2973.499153714407,2993.543153745044,3013.0666121870554,3032.436429969491,3051.298989872423
T16000logg2.6,4756.603802899341,4452.152995137571,4191.03203184623,3982.911657647957,3773.912156387183,3596.270195332983,3454.9767252084525,3315.838351281672,3198.6216901661073,3106.0289587454945,3016.626569190474,2942.5491502278696,2885.257473356466,2831.54007890131,2788.6905383124495,2757.330487175647,2729.475808509624,2709.141122264446,2696.4370043312315,2686.594423510508,2681.6425466843652,2681.5286123569804,2683.4713274283145,2688.532812269911,2696.629059858823,2706.280620110035,2717.9267981890935,2731.4106551286477,2746.05696869088,2761.869982865748,2778.672634650742,2796.236448980757,2814.391550763452,2833.0048819655367,2852.1210707806586,2871.5511263713884,2891.1671492660385,2911.1569603268576,2931.2801767002943,2951.40244116757,2971.756568253069,2992.0744485060145,3012.2108266039754,3032.382165264177,3052.3158425847723,3071.8875299276556,3091.294919172179,3110.312733682411,3128.888057308586,3147.1879109255997,3165.0178849756803
