,vsini75,vsini80,vsini85,vsini90,vsini95,vsini100,vsini105,vsini110,vsini115,vsini120,vsini125,vsini130,vsini135,vsini140,vsini145,vsini150,vsini155,vsini160,vsini165,vsini170,vsini175,vsini180,vsini185,vsini190,vsini195,vsini200,vsini205,vsini210,vsini215,vsini220,vsini225,vsini230,vsini235,vsini240,vsini245,vsini250,vsini255,vsini260,vsini265,vsini270,vsini275,vsini280,vsini285,vsini290,vsini295,vsini300,vsini305,vsini310,vsini315,vsini320,vsini325
T15000logg2.0,14738.022098737063,13860.71739758419,13071.615248548429,12407.899803973485,11711.796079304566,11082.83091673711,10547.017408606242,9989.960847390055,9485.005536351686,9050.704165035044,8603.440853225555,8197.812693989448,7846.752676595203,7488.9404314614985,7165.06322403309,6884.012079078247,6601.181527504633,6346.637450760819,6126.094511065757,5907.587503610387,5712.624527526334,5544.559194343203,5380.849404308933,5236.339414297067,5112.949553087537,4994.966782580997,4892.360317205924,4806.198853069597,4725.607633420146,4657.012272732012,4600.898543338334,4549.7433378482365,4507.538875606389,4474.44598686141,4445.394847339265,4422.9482270487615,4407.0756485851625,4394.637240621162,4387.264544525896,4385.036712841297,4386.080995918261,4391.2067080341685,4400.890333790244,4413.720035677631,4429.736644267308,4449.824083714522,4472.533034430547,4497.289525356271,4525.62528955457,4555.680018403318,4586.64715632841
T15000logg2.2,20380.376145123213,19363.08937322744,18442.352962229204,17664.50410916586,16845.296489086246,16100.194422562729,15462.370812959763,14795.582195375999,14186.301623126381,13659.016401857745,13111.73560029317,12610.42549846843,12173.072605953412,11722.630600663215,11309.882853057159,10947.96432158914,10578.60201351125,10240.90240981784,9944.153530695696,9644.505508137738,9371.653893895673,9131.875159551953,8892.278808233847,8674.978955618668,8484.212120042745,8295.272865281982,8124.617991569901,7975.1692476029675,7828.280571261204,7696.195293677115,7580.831995503034,7467.990840437323,7366.822383851779,7278.548474325242,7192.383085046039,7115.431339463068,7048.561729174898,6983.623445010074,6926.207635650993,6877.163073168397,6830.148874304604,6789.561149342402,6756.242985808949,6725.094566612208,6699.406842010651,6679.916347879344,6662.359469205721,6649.101257033312,6641.1187249501645,6634.455832898703,6630.940638654939
T15000logg2.4,21286.942311725554,20410.72569864562,19616.298962182304,18944.651195970477,18235.761382294593,17589.54848485975,17035.6813779495,16454.80050391981,15922.433374917448,15460.825877276595,14979.742095136613,14537.481013778459,14150.687516483065,13750.39202877611,13382.028726276974,13057.979185308386,12725.343204199724,12419.657125665522,12149.915498457283,11875.640126437862,11624.334715017092,11402.283911134346,11178.523513019094,10974.032533771704,10793.217562946067,10612.296594605377,10447.331696123238,10301.476513765643,10156.319907554187,10024.22024850547,9907.360968155295,9791.340571138555,9685.77943568181,9592.162084220412,9499.187324135419,9414.616796020546,9339.566085035452,9265.125706661414,9197.714949794326,9138.326038347532,9079.793799124898,9027.472307540911,8982.13772738129,8937.979330123002,8899.346722863707,8866.585768491726,8835.047102737291,8808.176851527942,8786.119423359101,8764.994276108282,8747.587299943214
T15000logg2.6,20017.650284641695,19313.768466177225,18677.01900881091,18139.53875944072,17572.462825765346,17055.98633849052,16613.44601664511,16148.838971981035,15723.015403625513,15353.6063813446,14968.050862510483,14613.572615849936,14303.362565253534,13981.963413646357,13686.263166782483,13426.010202931435,13158.725720085376,12913.277715815533,12696.630636304035,12476.370061405407,12274.767777414922,12096.574300928953,11917.085995932948,11753.264110811877,11608.366955320753,11463.497024588394,11331.620997796666,11215.01290492733,11099.079810281626,10993.77736301077,10900.63349960132,10808.233436424845,10724.339086537413,10649.95529198558,10576.131598068572,10509.140935139529,10449.732451592583,10390.860462524533,10337.731130584372,10291.006291932345,10245.049450055561,10204.214327065389,10168.920762858883,10134.678472555705,10105.054807430495,10079.967940672597,10055.966338917608,10035.924791428984,10019.381348638988,10003.662637166946,9991.11347812519
T15000logg2.8,22979.22253596705,22310.74001174282,21705.694048029058,21194.94318672361,20655.672104825688,20164.123673006503,19742.802668307242,19299.89239844775,18893.443491212245,18540.57793495813,18171.58159097885,17831.745100268112,17534.01364638644,17224.793016358668,16939.673607272925,16688.323805899458,16429.364225339545,16190.873433595847,15979.884704591193,15764.487187072129,15566.58419073519,15391.107992412975,15213.406806726354,15050.4118266308,14905.627574390553,14759.879589917766,14626.34920315822,14507.59502084694,14388.510315984366,14279.450724116938,14182.246572670287,14084.82406373102,13995.468279249004,13915.486474527826,13835.152686606105,13761.343954540114,13695.085533207919,13628.47269541465,13567.404971349493,13512.721596103474,13457.949064925906,13408.232996274874,13363.943702776505,13319.934804991091,13280.628843348357,13245.611088011132,13211.05277546084,13180.674575598025,13153.457964191843,13126.570236476015,13103.221803684231
T15000logg3.0,24168.3350300236,23639.510737112094,23159.909067583743,22754.344065043966,22325.120593758587,21933.119762845476,21596.502929107945,21241.68142310667,20915.405593522624,20631.588220334124,20333.9678030752,20059.35362346276,19818.33905511549,19567.383937770075,19335.594893082623,19130.9190277984,18919.496032829007,18724.424729148006,18551.542767801482,18374.518756796715,18211.51911450183,18066.711690192304,17919.5354302689,17784.18367605263,17663.703902466634,17541.886720739483,17429.921376727594,17330.131046281946,17229.518777137055,17137.00887473998,17054.36289884718,16970.97850521851,16894.131212689,16825.168805801884,16755.35500718267,16690.839328129492,16632.72816406521,16573.762616705335,16519.3307099431,16470.307212798387,16420.66991948113,16375.244381684037,16334.329712044162,16293.163936530791,16256.023799994544,16222.33712536891,16188.62517987834,16158.622450746701,16131.013170096288,16103.348488871252,16078.96146786148
T16000logg2.0,14442.338924478461,13568.41796735485,12789.124704645066,12137.499082598462,11456.026442628088,10845.780096116467,10329.004845956633,9793.568201140199,9312.563340219005,8901.34450964055,8479.493021086819,8100.383657021331,7774.286367663183,7443.352379019463,7146.613388984178,6890.833129087731,6634.864133158951,6406.979159481119,6211.204389117405,6018.869031805097,5849.587345450715,5705.382347815908,5566.753384102863,5446.66964328318,5346.015702484821,5251.809054958911,5172.206273493599,5107.477433494057,5049.1467919964225,5001.92435345637,4965.735188911816,4935.042844929715,4912.347054005672,4897.365265096364,4886.736538923529,4881.742696745423,4882.014286790757,4885.870728826013,4893.778253963618,4905.803965717819,4921.098021293029,4939.501368851075,4961.670026508218,4986.929690093632,5014.403619339468,5045.447463805833,5078.916729507463,5113.437041708665,5151.202719497171,5190.3368566885265,5229.466951883509
T16000logg2.2,16541.646627179678,15585.210355776497,14731.030141361585,14015.359251837328,13260.627878801064,12582.632948906965,12006.378301587105,11403.762335308575,10859.713493601068,10392.05283992781,9907.329745275281,9468.891953178112,9089.119062038637,8699.405798568976,8347.238807067273,8041.0211229187435,7730.659713603748,7451.498781267192,7208.762630940507,6966.2788500514125,6749.657208465746,6561.78929887268,6376.776269664912,6212.733826776185,6071.20900360811,5933.752135461175,5813.075714339831,5709.985531598443,5611.33564835437,5525.895541984002,5453.93281027404,5385.9926032583135,5328.079982918936,5280.162238720786,5235.534365350023,5198.4157869215,5168.890857236516,5142.148702860412,5121.258405390208,5106.597900226402,5094.646588315776,5087.535305061971,5085.8709099496255,5086.924931514933,5091.805617442047,5101.561177490167,5113.492560501283,5128.030889657472,5146.826994715701,5166.9027042555,5188.463514189773
T16000logg2.4,19057.602387475046,18102.004501970412,17246.62668418745,16529.498968749005,15770.378248755484,15086.424190767133,14504.449895427393,13892.917178430263,13338.661231586722,12861.318249295477,12363.588915699884,11911.163922424003,11518.182878818647,11112.023666242461,10742.751197865955,10420.371108381816,10090.740505463405,9791.920287789037,9530.575882800173,9266.589254175673,9028.34412613023,8819.969858408971,8611.810423844954,8424.712320279885,8261.249392240987,8099.470653706583,7954.75264221587,7828.735923241486,7705.066711912624,7595.076453210349,7499.672185355286,7406.5449355045575,7324.087434383705,7252.786912401763,7183.36117783384,7122.241063994056,7069.858383865332,7019.160420030812,6975.2425428249135,6938.538892954603,6903.727356383364,6874.800765266794,6851.9770877587425,6831.318094866162,6815.605116130343,6805.098671766027,6796.472442714603,6791.651224170405,6791.189243248121,6791.949220828082,6795.424899570054
T16000logg2.6,21406.977216756655,20501.74146642412,19688.85197756149,19005.921735869077,18282.792356633705,17629.269343535474,17072.07227130645,16485.990722209306,15953.072718297602,15493.067926285845,15012.554982540396,14574.152016010166,14192.28429882541,13796.538918264503,13435.12199433168,13118.439011364024,12793.378541064809,12497.08874146279,12236.734234742406,11972.434159867373,11732.35724404443,11521.120651229967,11308.802264984142,11116.487344137417,10947.155079019654,10778.301772229855,10625.794954978495,10491.584217727583,10358.618656572977,10238.879634978503,10133.50037679317,10029.443740584504,9935.830754409388,9853.332783867161,9771.913300969694,9698.772800317156,9634.421668818866,9571.103598037233,9514.740404336111,9465.528897373088,9417.699865962908,9376.105419296455,9340.306759860243,9306.306077966963,9277.733138787622,9253.833003783066,9231.587697027619,9213.746345638132,9199.567370558852,9186.502140906237,9176.840838844751
