,vsini75,vsini80,vsini85,vsini90,vsini95,vsini100,vsini105,vsini110,vsini115,vsini120,vsini125,vsini130,vsini135,vsini140,vsini145,vsini150,vsini155,vsini160,vsini165,vsini170,vsini175,vsini180,vsini185,vsini190,vsini195,vsini200,vsini205,vsini210,vsini215,vsini220,vsini225,vsini230,vsini235,vsini240,vsini245,vsini250,vsini255,vsini260,vsini265,vsini270,vsini275,vsini280,vsini285,vsini290,vsini295,vsini300,vsini305,vsini310,vsini315,vsini320,vsini325
T15000logg2.0,22172.473964519035,20899.040555638683,19736.037606318874,18744.921713141877,17677.906039919017,16703.053819881225,15864.743318324707,14974.929327702153,14161.85724819215,13457.734249943189,12719.65040052117,12045.824814078864,11459.384926970688,10851.938381834147,10298.630647176267,9815.740534882612,9321.743867446407,8873.831166258893,8482.990678470365,8088.938114781432,7734.477382682035,7426.415142576876,7121.325638157111,6850.291141958451,6616.886008161016,6390.950764244841,6194.03263992417,6027.265499846209,5870.654548797155,5738.1901205870445,5629.364857750084,5531.868200597693,5454.034101155616,5394.353187818808,5346.206697045488,5313.769796184066,5294.922246158108,5287.2024494763145,5291.851642510996,5306.400578687009,5331.434094916342,5366.070017948154,5407.7568000127085,5459.187841970836,5517.98356496375,5581.555506632717,5654.146024772041,5732.2856197959745,5813.480303207969,5903.0341072802385,5996.559984570367
T15000logg2.2,21129.578756015973,19957.630490470638,18879.523114419277,17954.95347651102,16952.1375113351,16027.493062269194,15225.897323943513,14367.055947581237,13573.80176697707,12880.214450861242,12145.221677948239,11466.174308853508,10868.768644883217,10242.42995864635,9664.531377553703,9154.106080881698,8624.878023211857,8138.159182691838,7707.581610646314,7266.572993984891,6863.16972747208,6506.609689288784,6146.362625393648,5819.391259202059,5531.442622612417,5244.937254226604,4987.61623749463,4762.499538442162,4542.220969557672,4347.006592368782,4177.9357141976025,4015.6147072733556,3874.436806011673,3754.1935208575214,3641.6263441081287,3546.647096726684,3468.1833738103232,3397.633460552648,3341.543366621026,3298.334452482835,3262.9021097461064,3239.2486834164583,3225.5822186597097,3219.361739333492,3222.6504059433228,3233.644981357111,3251.666126292054,3277.273014324854,3308.9024388554394,3347.099773934818,3391.246561321547
T15000logg2.4,23380.180263264912,22318.676034024822,21339.89153042118,20498.88818683317,19582.35193202114,18734.402372312943,17997.102030598337,17202.49617752491,16465.265799368462,15818.017771924695,15127.410044921116,14485.845403948204,13918.523595189245,13319.138250927414,12762.551160449744,12267.939557482105,11750.685141483282,11271.43321237226,10844.359575225471,10402.593600871818,9994.891683701808,9631.272713137103,9259.492934588072,8918.27757342088,8614.28155267116,8307.247465032402,8027.421372242441,7778.782145855636,7530.6711767178385,7306.314211593539,7107.736527885498,6911.884986382548,6736.446525422661,6582.111422764243,6431.763674557594,6298.756659843555,6182.875877207095,6071.571037464262,5974.862593335117,5891.998314236832,5813.894250754082,5747.985531043544,5693.290360266975,5643.308460565899,5603.434462308476,5572.731717944889,5546.558006075708,5528.686898080147,5518.49971693511,5512.5815149628215,5513.480704061527
T15000logg2.6,27619.398248870406,26680.919484101454,25813.159977303312,25066.241573984695,24250.231005827434,23492.848675436813,22832.858000731383,22119.303915867356,21454.70077646617,20869.573104949937,20242.729383981034,19657.72514263239,19138.63150842512,18587.560951471478,18073.1571447756,17614.16711363157,17131.464000222193,16681.558278061544,16278.690434555445,15859.178634643089,15469.32502840086,15119.559472300954,14759.022110451875,14425.341890609367,14125.837806411491,13820.246391639,13538.82122039032,13286.364833271993,13031.15921895234,12797.305695790526,12587.735950715954,12377.55510297106,12185.962342212008,12014.59070019616,11843.921903258224,11689.265391464514,11551.387756416432,11414.924659153005,11292.140345445261,11183.30426050746,11076.2000081741,10980.699357850799,10896.867903487135,10814.868438527574,10742.648780611244,10680.348705135139,10619.84798833279,10567.551840497732,10523.87247209027,10481.892738316725,10446.875536841057
T15000logg2.8,34723.055848649245,33847.77818869778,33037.723657911345,32339.802179018716,31576.469629880638,30867.18730673058,30248.3878166825,29578.152268576414,28952.92610522516,28401.581135317327,27809.331205021175,27255.463117259696,26762.933763279256,26238.217638681257,25747.098328125136,25307.636160875743,24843.479671919715,24409.384299310772,24019.25813411968,23610.924112219865,23229.815468708504,22886.315985261295,22530.03533695226,22198.483495643035,21899.152289523066,21591.403367105628,21305.98564776281,21048.052512861344,20784.845622165805,20541.464342729036,20321.32911930336,20097.959713192082,19891.93611602033,19705.490868824698,19517.07607957559,19343.688370286105,19186.82105593312,19028.700774032142,18883.50701281534,18752.34454521335,18620.27235120483,18499.256372042102,18390.2657241443,18280.51779991254,18180.185290287616,18090.3500568514,17999.79576028707,17917.27589474017,17844.0534684369,17770.127693406946,17703.244284161956
T15000logg3.0,39981.2556303256,39266.45384177179,38602.67591363834,38029.31551668339,37400.83880029605,36814.98196487169,36302.59240669059,35746.3459123475,35225.803503507326,34765.63007453286,34270.11477402973,33805.22291518897,33390.77594651635,32948.09459743015,32532.426680451023,32159.543708127345,31764.583638130945,31393.984693633447,31060.05012066619,30709.382989837428,30380.95127750167,30084.09334900401,29774.9817819076,29486.193732013653,29224.630280324684,28954.409084287097,28702.640401902343,28474.266216012435,28239.81369283658,28021.819127722658,27823.79832478542,27621.36068468269,27433.38403324338,27262.441516103794,27088.10420233332,26926.34503372525,26779.22578799846,26629.27324221824,26490.183085595745,26363.78029445356,26234.786125304243,26115.10960432515,26006.5376057968,25895.463996303457,25792.36325019088,25699.162565919516,25603.479809822653,25514.700733225665,25434.762039498302,25352.40878642812,25276.277703591793
T16000logg2.0,25202.451057850547,23883.92464762268,22693.04506607633,21686.050053346375,20612.241833661858,19642.546290621856,18815.504140078923,17946.513493483457,17162.027876168802,16488.513035269403,15789.876966407728,15159.989662469652,14616.717058105314,14059.937202174402,13559.270756667302,13126.429886261527,12688.445744767689,12296.730427818915,11958.513296303017,11621.725078596963,11323.604349575438,11067.96500270905,10818.871461351833,10602.2336003371,10419.31184227909,10246.558454590595,10100.815675849768,9981.481387926919,9874.239675270017,9788.880388816697,9723.699136989853,9671.161422772337,9635.94784010836,9615.752555339277,9607.924677762267,9613.51430502184,9629.872351770538,9657.848686809377,9695.99922924959,9741.633279456963,9797.966946011958,9861.958484007795,9930.770897394144,10009.449038883618,10093.725798057481,10180.88984188353,10277.041358081215,10376.804561277026,10478.713280798114,10588.509857867959,10700.360426950787
T16000logg2.2,21845.72888389332,20518.425308368507,19309.657078336528,18279.780842897493,17169.023534022697,16155.064559527043,15281.658318758435,14351.523399460279,13501.12652342591,12762.364055022363,11984.574664789026,11273.420052530813,10651.810422734045,10004.579822129266,9413.668902975412,8895.12821729984,8361.417383482318,7875.8783833575835,7449.266250238525,7015.900250946125,6624.133693902908,6280.56718893028,5936.864042070974,5629.14502230174,5360.825237781939,5097.274804401101,4864.589709671642,4663.794899839154,4470.818449808396,4303.737526307693,4162.023804635506,4029.645254971004,3918.632319508453,3827.5027065693544,3746.252165842684,3682.3609855516033,3633.738674910487,3594.8592535909206,3569.878555747116,3556.462426803692,3552.323978710685,3559.2192252838595,3574.74254013854,3598.9401267525436,3631.660624769735,3670.9903424879426,3718.1793169493126,3771.6728590286866,3830.6397868361496,3896.54168801695,3966.9498787091825
T16000logg2.4,22994.096115887616,21765.45386864183,20641.08391034957,19679.877803355546,18637.58097252629,17680.353682671503,16852.084507409563,15963.880784318502,15145.836656190604,14431.0999285399,13672.345352086262,12972.688333602846,12356.976731468514,11709.842676200682,11113.428460314344,10585.982602774433,10037.369767814576,9532.97217485347,9085.713447252458,8625.806541793598,8204.811047140096,7831.3453037327545,7452.107569687069,7107.1536578066025,6801.733447041248,6495.826061626653,6219.9079049797065,5976.624364952314,5736.3918229257515,5521.8995335788895,5333.992381931538,5151.199174128185,4990.182379161528,4850.603084984251,4717.211443529385,4602.011819985884,4503.89057285953,4412.312217060247,4335.760131366223,4272.749080389851,4216.237751423625,4172.036880750826,4138.5860705288105,4111.353446361717,4094.0482341634943,4085.452187446314,4082.5979990558885,4087.6223803419416,4099.956117713987,4117.491873101089,4141.2399532694435
T16000logg2.6,26337.33027261932,25222.40295087218,24199.08028444945,23322.466891667773,22368.76816904874,21489.979002119093,20727.711738995124,19907.002996460138,19148.090869484393,18482.94378587642,17773.41131688522,17116.03112857521,16535.27523773476,15921.447883501862,15352.604731469468,14847.176900043489,14318.094212782911,13828.535412067378,13391.957791707762,12939.664162671605,12522.468423559563,12149.73850555345,11767.804747845521,11417.111126593863,11103.769263135298,10786.327923560166,10496.527097907665,10237.923288675254,9978.76818662348,9743.64543948343,9534.294236844671,9326.581061993475,9139.47655871871,8973.507650980106,8810.43640249925,8664.836125673395,8536.472204968164,8411.586913249845,8301.378319501417,8205.22266846698,8112.737246091714,8032.478285037864,7963.777352389083,7898.673221186441,7843.649972924629,7798.309260098026,7756.3208991707515,7722.651449563681,7697.1828277077375,7674.819170609001,7659.385194501837
T16000logg2.8,30561.326346141002,29585.41267275771,28687.91169708475,27918.19455679192,27077.932757641494,26302.062042340123,25628.239559024725,24900.221109909064,24225.394046278503,23633.0386287641,22998.705275142067,22409.286265684692,21887.559733069873,21333.73019824035,20818.722601831993,20360.02542543705,19877.50584107516,19429.21844701413,19028.245822157645,18610.48410519857,18223.263116086902,17875.994704755958,17517.754292806345,17186.84034813532,16889.717018912324,16586.24465446093,16307.099892077402,16056.412363214677,15802.649225595216,15570.175399450662,15361.451092762454,15151.717162393554,14960.356324587403,14788.739030297633,14617.346389345277,14461.632541298273,14322.334632239801,14183.877844807157,14058.705449358322,13947.213942322247,13836.82453516131,13737.602454368993,13649.922654793692,13563.361081367266,13486.140692014133,13418.803698760083,13352.478123121573,13294.076107631441,13244.070155327589,13195.047656704526,13152.881147015398
