,vsini75,vsini80,vsini85,vsini90,vsini95,vsini100,vsini105,vsini110,vsini115,vsini120,vsini125,vsini130,vsini135,vsini140,vsini145,vsini150,vsini155,vsini160,vsini165,vsini170,vsini175,vsini180,vsini185,vsini190,vsini195,vsini200,vsini205,vsini210,vsini215,vsini220,vsini225,vsini230,vsini235,vsini240,vsini245,vsini250,vsini255,vsini260,vsini265,vsini270,vsini275,vsini280,vsini285,vsini290,vsini295,vsini300,vsini305,vsini310,vsini315,vsini320,vsini325
T15000logg2.0,8125.058305804196,7472.235838118464,6841.486415989643,6296.1844614234715,5799.325919032647,5322.6000332345275,4912.1000641419205,4544.90838027521,4196.5071951982545,3899.765160977767,3640.616727341444,3399.3639997457926,3198.2984676709857,3028.758271468595,2875.9636198315557,2754.0290617898727,2657.5768461101916,2576.518504635382,2518.7823232690166,2480.8844945108935,2457.013804584428,2450.5023369429587,2458.8786948106576,2479.9906876252703,2513.652739760823,2557.9038747963946,2613.2789164621504,2677.163589731362,2747.8638379125155,2827.759195811515,2913.006033130649,3001.9954945675954,3098.5923348544966,3198.233443886048,3299.3813294242905,3406.8821895614533,3515.9481083220694,3625.0411743678874,3739.6000939954492,3854.806013575548,3968.982138611403,4087.9682490377945,4206.87410330758,4323.904826158431,4445.096170044642,4565.663799773203,4683.748794840746,4805.458883644834,4926.265452166872,5044.243498974019,5165.38942950312
T15000logg2.2,8820.524542815612,8210.62288211589,7617.16596222576,7100.595811835628,6627.39512528599,6168.9225562469965,5770.255601068762,5410.442349661804,5064.3942964511225,4765.388059474196,4500.4215151070985,4248.817513018025,4034.3217699556258,3848.831959672969,3676.130757061881,3532.4746927557803,3412.790695143826,3305.1077157530212,3219.897945545328,3153.8726450669906,3098.9292675121915,3061.160813614637,3038.3006994036914,3025.559015538419,3025.66504376426,3036.8734083808727,3056.9196915836683,3086.106626992321,3123.0514093695647,3167.246338536963,3217.697259209044,3273.182995240098,3334.6631448619087,3400.281408275277,3468.9806302276515,3542.6641598163033,3619.108411175482,3697.311391006942,3779.77591852245,3864.095891655953,3949.1784093317024,4038.017285228102,4127.9549234028955,4217.843004793315,4310.928829042918,4404.517090955533,4497.49581836087,4593.065582906306,4688.845719010168,4783.733107432091,4880.572067146045
T15000logg2.4,11709.041457974774,11147.43927736545,10598.909301267584,10119.78384866067,9680.06747844171,9251.68670665367,8877.189260287774,8537.7952081166,8208.761169018264,7922.097445244898,7666.127969251833,7420.15069692289,7207.689469109191,7021.456920160545,6844.765284974028,6694.462305678172,6565.998446674192,6446.469640665307,6347.545304876349,6266.311478632585,6193.289460575544,6136.2032799402305,6093.116426916573,6057.430983292609,6033.8621141805625,6020.998968287007,6014.472498247452,6016.77682072681,6026.922933271228,6042.044405330239,6063.456844880279,6090.398670798233,6121.274456602031,6156.5873550777405,6195.8328616489825,6238.168725628597,6283.762655998713,6332.241550466113,6383.208134001799,6436.652340579904,6492.182902193104,6549.7808644562665,6609.188167397429,6670.050690886712,6732.446341014624,6796.133431550845,6860.902097149552,6926.492880266668,6993.183474352696,7060.850982456683,7128.527003481388
T15000logg2.6,15754.179909653401,15269.503474644038,14794.900882633734,14379.474792270017,13998.07266665743,13625.279894199013,13298.43045652557,13001.80221663708,12712.92741196847,12460.16407002966,12233.75778518502,12014.75802969799,11824.322323243368,11656.389424541469,11495.469586396237,11357.056839086834,11237.392231038646,11124.202389149705,11028.606558538162,10948.237060807613,10873.691584835502,10812.773631614538,10763.977811248367,10720.255502792197,10686.927912788045,10662.977003113609,10643.146291499515,10630.92854734678,10625.74362987464,10623.445385645562,10626.63768720394,10635.007990449676,10645.344898461406,10659.651519648127,10677.940914850753,10697.433201621116,10719.978380751647,10745.796219000154,10772.246567546666,10801.1768110326,10832.872422502805,10864.77086583756,10898.658762768215,10934.954919005333,10970.857571740127,11008.404520358032,11048.25927009296,11086.866740781186,11127.095757145275,11169.76876324511,11210.211832920271
T15000logg2.8,22578.69040845652,22104.38493235094,21639.27401543114,21231.57147672578,20857.08435506971,20490.10242104718,20167.48209502875,19874.169769497283,19587.236729481712,19334.953997294007,19108.048539103303,18886.92435328365,18693.074886800187,18520.8196252134,18353.80801098686,18208.22852430887,18080.640173390726,17957.684494187335,17851.466997945234,17759.921344973467,17672.312573537994,17597.6602299032,17534.782861411673,17475.035415629263,17425.180037274058,17384.577847337026,17346.147956911944,17314.991331835325,17290.9809566972,17267.882776374598,17250.0598864503,17237.729527358282,17225.35561389328,17216.83676780264,17212.825067045243,17207.97024170846,17206.168376335092,17208.376453117173,17209.115681901494,17212.44124857174,17219.47285893902,17224.5309435918,17231.787430841643,17242.60273005331,17250.744560147592,17260.86614976852,17274.683286258307,17284.816242012632,17297.057500430157,17313.36472172738,17324.827397146037
T16000logg2.0,9877.140813227274,9181.026356675486,8515.633334989152,7946.744055689579,7434.939522584469,6949.953889226864,6537.979165428343,6175.363667841441,5836.659868030033,5553.458323258817,5311.749039827948,5091.8398812015985,4913.88213003909,4769.55256190949,4644.794714630073,4551.181853448458,4483.734713925449,4433.632441498762,4406.224487666432,4398.395836861569,4405.967836161854,4429.774924732456,4467.584781885002,4519.16919694412,4581.9257979016775,4654.0574199979565,4738.069938609301,4829.118424858054,4925.528976833594,5031.607870322394,5141.485431777529,5253.508220986732,5373.384043974635,5494.79931921119,5616.073195425421,5743.873007039476,5871.832155573103,5998.221822129574,6130.2584967695475,6261.692440374629,6390.625218573354,6524.509920177073,6657.209104043527,6786.684538495802,6920.414353582154,7052.58087629162,7181.0209556939635,7313.24301793907,7443.753820498345,7570.260230573096,7700.266398780886
T16000logg2.2,9256.225726620918,8510.196893746883,7787.392971476712,7161.284542954525,6592.3842909843,6043.388897534814,5568.352488996255,5143.343495695345,4736.225024646578,4386.384652243058,4079.501313068646,3789.4191386734956,3543.782442094992,3334.040919464563,3139.87158125152,2979.8550883674634,2848.9358676370193,2732.212948220371,2641.418931413234,2573.4965050327714,2518.3979857638005,2482.754291382983,2464.5877816577313,2457.945259802095,2465.56443257396,2485.9385735071073,2516.278507440648,2556.462485971587,2605.299371704548,2662.2536427564983,2725.6696174724384,2794.4856860827736,2870.0088841308384,2949.5652939116962,3032.203236141044,3120.442968075127,3211.1476227453695,3303.355425302795,3400.4423998752254,3498.96085731833,3597.80044966632,3701.0360626975325,3804.833141713004,3907.984403510092,4014.9880997071464,4121.876410010837,4227.425816633331,4336.3008525230325,4444.712013049942,4551.387296462268,4660.878398311616
T16000logg2.4,10773.06278276059,10101.70075205006,9447.894459895944,8878.820267491043,8359.982520192372,7855.971168709723,7417.000741760143,7022.069412805186,6640.375056719626,6309.31275976871,6016.255081716678,5735.711351033542,5494.780286486872,5285.894030497663,5088.739794503463,4922.394654956452,4782.379443733179,4653.168613976809,4547.6846112762205,4463.236258883683,4388.57263955,4332.003160114586,4291.859746751656,4260.460975572902,4242.611636484993,4237.096291727511,4239.07644976452,4250.70079607734,4271.133915074521,4297.546379932061,4330.637254145231,4369.754572420079,4413.734851455552,4462.252324367871,4514.854838656243,4571.419098629,4631.146129745758,4693.638484583725,4759.497669203184,4827.591004332287,4897.433698566211,4970.279979336991,5044.556151635654,5119.754444225192,5197.48265544598,5276.002714315148,5354.891834857589,5435.710767058494,5517.0309123924,5598.457343125655,5681.141397883544
T16000logg2.6,14291.064038123828,13673.132526030398,13069.507541063393,12542.654488719072,12061.71454211088,11592.658599536675,11182.586227479744,10812.747040079274,10453.304120016395,10139.771003898368,9860.922594244483,9591.775392920968,9358.577036229353,9154.654669388687,8959.72242332038,8792.809570967695,8650.037054468461,8515.439294665717,8402.5122887067,8309.004884655511,8222.773386082205,8153.152987459397,8098.858615255229,8050.878720535424,8015.442686527735,7991.710172829215,7973.1951220556,7963.726818631823,7962.888935130349,7965.912360543392,7975.342660199534,7990.999111525206,8009.541016966655,8032.597628802712,8060.271888036403,8090.025699952739,8123.1146336699785,8159.77228810562,8197.973421466433,8238.725218535143,8282.249227951164,8326.994874645672,8373.60443902323,8422.368901712116,8471.876008158737,8522.722285617203,8575.386273783168,8628.088256732366,8681.96417815631,8737.594903975125,8792.436458259746
T16000logg2.8,18925.487756419265,18376.53453980127,17839.06069942656,17369.099195225746,16940.191159929902,16520.72345687179,16153.174399883972,15821.609151267594,15498.21362739054,15215.224260793339,14963.218482911281,14718.74209065028,14505.870230923212,14319.117825790663,14139.228598782614,13983.943671061374,13850.178682564501,13722.499819273053,13613.82477330509,13522.484215287326,13436.393263045802,13364.8408583512,13307.012462299486,13253.489052234157,13210.925597156058,13178.918139204174,13150.205034610271,13129.380212192495,13116.47075861867,13105.568125630374,13100.253691515758,13100.824320621861,13102.481694285305,13108.10885699406,13118.353456796156,13128.905295499015,13142.471995738191,13159.906035079031,13177.10098728728,13196.71316241049,13219.657559304113,13241.993820776115,13266.220584216351,13293.41444826345,13319.440132830996,13346.999132870995,13377.44409525734,13405.879161830664,13435.838953936089,13468.844809093891,13498.858956506523
