,vsini75,vsini80,vsini85,vsini90,vsini95,vsini100,vsini105,vsini110,vsini115,vsini120,vsini125,vsini130,vsini135,vsini140,vsini145,vsini150,vsini155,vsini160,vsini165,vsini170,vsini175,vsini180,vsini185,vsini190,vsini195,vsini200,vsini205,vsini210,vsini215,vsini220,vsini225,vsini230,vsini235,vsini240,vsini245,vsini250,vsini255,vsini260,vsini265,vsini270,vsini275,vsini280,vsini285,vsini290,vsini295,vsini300,vsini305,vsini310,vsini315,vsini320,vsini325
T15000logg2.0,153518.08492214425,137414.56877659878,123935.48658068282,113470.31122361521,103293.17237277355,94989.60081385089,88711.89997968121,82861.00320603122,78304.52404193446,75078.33703195702,72283.86290577236,70359.05964062872,69285.5486903777,68587.47778918651,68452.59166602902,68841.15841604403,69523.9688855051,70553.58087122308,71888.65768799538,73442.70632682867,75203.4542693159,77133.53751499103,79229.00847453377,81445.24341367508,83746.8062692586,86176.2481496142,88671.1173492691,91196.40574008143,93820.56631128518,96472.77984000728,99119.36222662611,101844.90452114242,104574.98795436467,107276.98911054684,110046.29864485297,112805.92488149382,115523.7585339836,118302.84533424184,121064.52481372289,123774.76537840551,126543.55509105294,129290.83031598668,131980.25033865534,134727.95206094204,137449.98643164698,140116.41527451322,142841.39048997726,145540.3246316044,148191.5573502012,150907.2100765674,153599.43833434384
T15000logg2.2,286087.61974980927,266975.59549734596,250632.87743881237,237638.73752188278,224663.4446600514,213695.17819481596,205044.2864099678,196578.04795482647,189519.52113569155,184044.71543696092,178776.14029557968,174476.30613338103,171255.35931417785,168205.62570999603,165814.32179528836,164158.14800415217,162618.72526528896,161522.50147157974,160931.86829519193,160411.96128908743,160195.9752232291,160336.42744711187,160518.2129047393,160913.42563523565,161565.37118160015,162239.20944244444,163064.35770129177,164075.77797751816,165093.37067812576,166217.26531463995,167476.42355522676,168731.08732277373,170061.23759124355,171490.51169576062,172910.11731749715,174383.1063454537,175927.99243080037,177460.97477267226,179031.30239295925,180651.13519041927,182259.5079635717,183892.1182881055,185560.05921473063,187217.31896940613,188888.001911817,190585.71938690176,192275.24854593218,193970.84235486726,195692.66974079836,197413.30587678548,199135.24633572748
T15000logg2.4,390457.58881388424,373916.0502225811,359746.50147601374,348469.17784486024,337167.62769087165,327598.00864197285,320043.63374159177,312610.39529351954,306395.63943974645,301565.4974156381,296870.6510916412,293012.8724009499,290103.357156032,287291.7304254048,285046.312713302,283453.05981033994,281904.6178744247,280735.8357485799,280023.4962868861,279310.88150295697,278857.9435718537,278735.62166797963,278582.8501637271,278612.9602070368,278890.70635939814,279118.26992289134,279477.42506051686,280026.82355214626,280512.6783482433,281094.4187268843,281825.65305784915,282486.6379952526,283219.47997077997,284072.92863412306,284854.6160512415,285690.673479305,286625.36090722843,287488.89448348957,288393.7639084088,289379.2394507502,290295.9216244457,291243.3002873075,292258.8398408673,293208.14302846516,294178.52477922133,295209.2846081804,296177.33289953007,297159.26712550997,298199.7707876773,299184.8390505214,300178.07049313415
T15000logg2.6,435338.09463782463,422105.3438637837,410864.67207314447,402000.10952781583,393176.9564469198,385795.0238146193,380050.64203669183,374452.5574060786,369858.05150829296,366374.18689952226,363031.9201331387,360368.1975997311,358452.2968292026,356629.36542285077,355254.04048697813,354382.4816266405,353544.021764404,352995.05690505926,352790.7448543962,352568.88216048456,352535.3499876136,352746.70118371333,352905.8528506944,353190.87433446175,353658.356316526,354051.492241618,354531.70585197175,355154.471096939,355689.9513111368,356288.2419293159,357002.9322270381,357624.9879205967,358294.5382307809,359062.5567486148,359737.30953340686,360448.5293228554,361244.60564570414,361948.6769289896,362680.92356746935,363486.5831984271,364202.88598332397,364940.1489484606,365743.1539771015,366459.45325093844,367189.56961548154,367981.1773853118,368689.59375511116,369406.31009884714,370185.1127475577,370887.62761054136,371593.61327643256
T15000logg2.8,566139.9406335565,553624.2131289551,542999.2039086607,534628.5452044691,526256.0797787642,519260.1139594612,513825.78059691936,508490.7425490386,504119.12656854466,500811.78829524707,497598.20480864844,495038.65494736924,493199.5279236629,491405.2371815491,490044.05814220133,489172.25201360666,488285.57840529206,487680.5948076869,487414.8516538248,487082.6286075159,486934.7370135209,487032.1643426613,487026.6064180355,487145.23437595286,487451.0991688505,487630.54100641713,487897.2045521225,488314.9706122207,488592.9715209353,488935.856865403,489407.0471262873,489733.0255797624,490110.1568668542,490600.35491725925,490944.52339022513,491329.96474650194,491817.0559736159,492159.4864948872,492535.8591014599,493004.2950744001,493330.99230524234,493685.1072289764,494125.1123853148,494426.55954537087,494748.94652790733,495153.4176165213,495423.87448101514,495709.85707711003,496078.44728305354,496320.769623105,496573.25088771153
T15000logg3.0,668938.9874755003,659104.7718128333,650789.8595428618,644276.6199017997,637813.7399155167,632459.1203918704,628349.8392274752,624370.9220109286,621165.562545324,618802.8760395038,616557.7112100864,614831.8075083962,613668.666164044,612571.6135241336,611810.8764598434,611425.3333920717,611045.575732963,610876.7134929294,610962.2363112433,611000.6201784747,611169.1626042852,611517.9009554347,611780.0638771714,612123.0194351184,612602.0455472918,612967.2564447919,613383.8990305847,613910.946730299,614307.3617948317,614738.3344142901,615264.8338511386,615651.9084812073,616063.4917350454,616561.6216992034,616916.0588602158,617288.1407905973,617740.7491184049,618047.7933765532,618367.4804799093,618763.0616182463,619012.8642661747,619270.9660466829,619602.156196767,619787.9208171074,619977.0053928583,620238.1829590222,620355.5367869013,620471.8014101593,620662.0455526605,620713.2866938841,620758.7135035795
T16000logg2.0,145267.29815248528,129999.24104931943,117458.18947063637,107903.7511197019,98830.86585255951,91677.25548693778,86477.65492378111,81874.49743049631,78566.93028284161,76491.14690082327,74989.78581741956,74329.52541764583,74409.07480004622,74979.9139959561,76064.73748965205,77556.58486157766,79433.09524779367,81594.4034520454,83946.49146484572,86587.92799452732,89370.1163299157,92215.11592796762,95284.40344502818,98411.0894989719,101527.5299339688,104823.4179248685,108124.63393352635,111370.44235246623,114759.2732531674,118119.319495145,121397.03653662805,124790.92642482746,128136.61400341049,131386.43224924352,134735.87424775137,138028.72013904242,141220.61062363052,144504.0678653174,147730.7295620908,150853.12536385018,154064.36025547827,157217.32431444587,160272.3729849938,163412.57192953725,166494.75516084218,169489.26527064212,172567.9766193128,175592.24406194655,178544.09073486703,181584.54231112558,184577.58347861416
T16000logg2.2,165226.29257446405,148396.19535260642,134337.09035215282,123400.25103078989,112726.01396990995,104017.24011089286,97398.5485133328,91174.48318301413,86298.4843750034,82793.4638838886,79680.1352097987,77468.64702049135,76139.11773351779,75140.29229913327,74725.06922917414,74860.09094592581,75242.47575610672,75986.28546892483,77061.93992180102,78311.81893925645,79781.89760861626,81448.73801710941,83241.75332134345,85168.86090382023,87209.32020375326,89344.79692914536,91558.33872736155,93830.12572789688,96172.78601782526,98554.948245078,100958.5329483762,103416.50577313584,105889.68389066565,108361.06388188564,110877.84936516802,113395.48407502491,115895.21563738168,118436.83046139324,120969.52407759221,123475.10777665615,126020.13627187705,128547.70397719542,131046.03039404721,133581.00482353417,136091.47979618204,138575.68137281772,141095.33243440103,143586.69328509242,146060.7440235126,148573.70867363148,151058.1780394937
T16000logg2.4,258260.82679411754,241350.7013278108,227096.4558547765,215905.05097857537,204830.06285966688,195654.2605050363,188558.08502159815,181709.0538708032,176172.78672308373,172027.45337743405,168128.90789040888,165119.12163387286,163031.84422226876,161138.9796935146,159834.73754375137,159136.07750205835,158562.9190597922,158370.37972116898,158574.37995378603,158845.775031552,159364.61364029013,160148.49471093144,160962.7765445799,161941.92234442008,163102.93777658616,164271.65428817816,165551.72353450904,166958.19496031347,168356.80380482954,169830.2573739672,171392.158636632,172937.4581926263,174533.7967156191,176192.80985368963,177832.06824505143,179506.31608241785,181223.90510120743,182921.77575575068,184642.5150320514,186392.73713131135,188124.10491011152,189867.68000146712,191633.56206105545,193380.97838749725,195131.2039934209,196901.5775998846,198655.3311957137,200404.9429304038,202179.2903910483,203942.6464664695,205697.51703614314
T16000logg2.6,371637.2610353019,355602.23357070814,342017.26292496995,331295.08273939067,320600.0559519503,311676.58479770244,304719.92937076284,297923.3962799726,292361.1171373879,288130.05166039563,284062.1017110325,280834.95900985494,278503.7539214675,276287.15970286116,274631.89972943615,273578.35443525785,272575.77909238014,271941.85229940637,271716.0037971157,271487.65253256453,271504.15909401525,271806.292300155,272071.4749413065,272504.22142959235,273144.6263657822,273727.47309167765,274428.09204893385,275284.84696467384,276071.8013839263,276943.44724910945,277936.28240349557,278854.06407961895,279834.9856888098,280912.98139693553,281915.3228241487,282965.8349274316,284094.50753176986,285149.2579860995,286239.6275297897,287395.43011869694,288478.9722706015,289587.56343768793,290753.4105435348,291849.01601012895,292959.55224624847,294124.66391534754,295222.1864401612,296326.433378863,297488.739570247,298589.25140051503,299690.5008842564
