source_id,ra,ra_error,dec_error,dec,r_med_geo,r_lo_geo,r_hi_geo,r_med_photogeo,r_lo_photogeo,r_hi_photogeo,flag
524924310153249920,19.511227046863358,0.0074612005,0.00889375,65.29162260285469,4475.711,4291.8213,4693.107,4527.0576,4322.5547,4850.6323,10033
2059383668236814720,299.59029482904185,0.010937963,0.01300258,35.201578765113695,2146.6218,2092.8835,2210.7363,2164.8872,2090.2837,2239.5312,10033
4070968778552176768,270.66572721019475,0.30168003,0.24638063,-20.286815742414063,1833.0999,936.0754,2901.2783,3637.9077,2372.871,6170.932,10033
4255891924062617088,283.8766800200503,0.014235792,0.014256109,-2.604679419397789,7731.999,6996.186,8822.101,7386.871,6600.535,8207.93,10033
4309225217336733824,287.4047303861521,0.059651483,0.06551249,9.832011185333132,3571.8506,2837.5386,4350.9985,3170.2651,2466.2412,3996.0024,10033
4657637156283982336,84.91180937278517,0.016985357,0.016223233,-69.74320044608977,23756.209,19126.42,30727.135,21067.406,17369.266,24212.543,10022
4660300345280168192,83.20650116570275,0.021186251,0.02190675,-66.37033228204352,17214.277,13413.4,23731.256,15435.089,12715.752,17712.398,10012
4686397666038575104,19.271456284201804,0.02277063,0.021735583,-73.44334343347884,16637.664,12747.248,22433.654,15366.154,12523.121,18382.27,10022
5337498593446516480,170.3128552789008,0.0116339,0.011172204,-60.62377582639316,6784.6416,6212.58,7418.782,6752.4946,6297.3564,7431.1533,10033
5620657678322625920,135.5285587975077,0.010860206,0.012674867,-40.55465296117549,1960.9159,1907.9954,2018.4348,1969.4784,1901.437,2029.5931,10033
5886085557746480000,235.59729827776863,0.010904525,0.009432026,-52.38601199162066,5614.2314,5179.285,6103.27,5535.3643,5091.0376,5887.9526,10033
5966391894137386240,255.20266422670755,0.04276633,0.029696511,-41.65488285396999,2129.592,1982.501,2330.938,2049.848,1906.7565,2253.7576,10033
5976382915813535232,255.9865659301791,0.021049444,0.012138224,-37.8441202722809,1499.6696,1442.5804,1550.4056,1513.9932,1461.3417,1592.3752,10033
6054569565614460800,186.65645139154256,0.012048252,0.013341482,-62.77035949368261,3604.5767,3409.2615,3808.6685,3546.0981,3381.9048,3729.7097,10033
